x	y
1	3.8586766
2	3.8581074
3	3.8575295
4	3.8568894
5	3.8563864
6	3.8563180
7	3.8562284
8	3.8560612
9	3.8559357
10	3.8559009
11	3.8559064
12	3.8559031
13	3.8557739
14	3.8557006
15	3.8556987
16	3.8556967
17	3.8555351
18	3.8555700
19	3.8555535
20	3.8555504
21	3.8554868
22	3.8554655
23	3.8553720
24	3.8553740
25	3.8553348
26	3.8553252
27	3.8553244
28	3.8553152
29	3.8552789
30	3.8552800
31	3.8552565
32	3.8552660
33	3.8552630
34	3.8552161
35	3.8552154
36	3.8552157
37	3.8552160
38	3.8552094
39	3.8552021
40	3.8552303
41	3.8552071
42	3.8551432
43	3.8551451
44	3.8552169
45	3.8552137
46	3.8552074
47	3.8552010
48	3.8551607
49	3.8550891
50	3.8550840
51	3.8550736
52	3.8550649
53	3.8549875
54	3.8549364
55	3.8549233
56	3.8549226
57	3.8548762
58	3.8548646
59	3.8548317
60	3.8548362
61	3.8548341
62	3.8548019
63	3.8547974
64	3.8548094
65	3.8548133
66	3.8548086
67	3.8547862
68	3.8547529
69	3.8547346
70	3.8546868
71	3.8546959
72	3.8547251
73	3.8546660
74	3.8546730
75	3.8547339
76	3.8547426
77	3.8547492
78	3.8547545
79	3.8547368
80	3.8547397
81	3.8547020
82	3.8546947
83	3.8547499
84	3.8547315
85	3.8547339
86	3.8547307
87	3.8547327
88	3.8547343
89	3.8547274
90	3.8547302
91	3.8547482
92	3.8547143
93	3.8546995
94	3.8546847
95	3.8547444
96	3.8547607
97	3.8547630
98	3.8548827
99	3.8548720
100	3.8548148
101	3.8548181
102	3.8548483
103	3.8548471
104	3.8547136
105	3.8547071
106	3.8547165
107	3.8547901
108	3.8547862
109	3.8547862
110	3.8548646
111	3.8548776
112	3.8548669
113	3.8548459
114	3.8548646
115	3.8548559
116	3.8548622
117	3.8548948
118	3.8548384
119	3.8547862
120	3.8548086
121	3.8548598
122	3.8548593
123	3.8548907
124	3.8548907
125	3.8548810
126	3.8548776
127	3.8548698
128	3.8548193
129	3.8548069
130	3.8548556
131	3.8548711
132	3.8548595
133	3.8548812
134	3.8548646
135	3.8548384
136	3.8548354
137	3.8548234
138	3.8547972
139	3.8548071
140	3.8548706
141	3.8549340
142	3.8549429
143	3.8549429
144	3.8548719
145	3.8548779
146	3.8548687
147	3.8548855
148	3.8549160
149	3.8549168
150	3.8549154
151	3.8549168
152	3.8549304
153	3.8549439
154	3.8549524
155	3.8550004
156	3.8549887
157	3.8549808
158	3.8549865
159	3.8550017
160	3.8550047
161	3.8550017
162	3.8549845
163	3.8549638
164	3.8549662
165	3.8549586
166	3.8549619
167	3.8549604
168	3.8549865
169	3.8550240
170	3.8549985
171	3.8549421
172	3.8549495
173	3.8550344
174	3.8550155
175	3.8550124
176	3.8550144
177	3.8549429
178	3.8549429
179	3.8549429
180	3.8549952
181	3.8549723
182	3.8550229
183	3.8550231
184	3.8550101
185	3.8549615
186	3.8549985
187	3.8550485
188	3.8550624
189	3.8552035
190	3.8552015
191	3.8550759
192	3.8550126
193	3.8550087
194	3.8550474
195	3.8550431
196	3.8550300
197	3.8550017
198	3.8550068
199	3.8550363
200	3.8550117
201	3.8550126
202	3.8550866
203	3.8550801
204	3.8550736
205	3.8550605
206	3.8550997
207	3.8551183
208	3.8550080
209	3.8550504
210	3.8550334
211	3.8550344
212	3.8550591
213	3.8551193
214	3.8551007
215	3.8550910
216	3.8550788
217	3.8550652
218	3.8550736
219	3.8550456
220	3.8550932
221	3.8551467
222	3.8551474
223	3.8551465
224	3.8551300
225	3.8551137
226	3.8551229
227	3.8551520
228	3.8551340
229	3.8551095
230	3.8551374
231	3.8551425
232	3.8551474
233	3.8551422
234	3.8550932
235	3.8551084
236	3.8551335
237	3.8551342
238	3.8551349
239	3.8552042
240	3.8551836
241	3.8550994
242	3.8551034
243	3.8552364
244	3.8552303
245	3.8552107
246	3.8552079
247	3.8551781
248	3.8551868
249	3.8551829
250	3.8552238
251	3.8552238
252	3.8551258
253	3.8551084
254	3.8550987
255	3.8551665
256	3.8551706
257	3.8551476
258	3.8551662
259	3.8551724
260	3.8551848
261	3.8552042
262	3.8552108
263	3.8551954
264	3.8552042
265	3.8551960
266	3.8551969
267	3.8551926
268	3.8552669
269	3.8552481
270	3.8552485
271	3.8552654
272	3.8552597
273	3.8552369
274	3.8552565
275	3.8553218
276	3.8552470
277	3.8552289
278	3.8552369
279	3.8552370
280	3.8552681
281	3.8553054
282	3.8552857
283	3.8552565
284	3.8552077
285	3.8552097
286	3.8551955
287	3.8551868
288	3.8552055
289	3.8552185
290	3.8552271
291	3.8552129
292	3.8553029
293	3.8553084
294	3.8553552
295	3.8553348
296	3.8553329
297	3.8553438
298	3.8553241
299	3.8552826
300	3.8552826
301	3.8552863
302	3.8553054
303	3.8553697
304	3.8553752
305	3.8553544
306	3.8552659
307	3.8552761
308	3.8553172
309	3.8553162
310	3.8553022
311	3.8552977
312	3.8553182
313	3.8553174
314	3.8553175
315	3.8553209
316	3.8553120
317	3.8552462
318	3.8552530
319	3.8552434
320	3.8552544
321	3.8552602
322	3.8552652
323	3.8552652
324	3.8552739
325	3.8552793
326	3.8552989
327	3.8553087
328	3.8553675
329	3.8553523
330	3.8553505
331	3.8553755
332	3.8554067
333	3.8554253
334	3.8553966
335	3.8553871
336	3.8554045
337	3.8554655
338	3.8554412
339	3.8553923
340	3.8553598
341	3.8553758
342	3.8554007
343	3.8554132
344	3.8554759
345	3.8555231
346	3.8555177
347	3.8554171
348	3.8553978
349	3.8554002
350	3.8554197
351	3.8555354
352	3.8555177
353	3.8555177
354	3.8555079
355	3.8554951
356	3.8553759
357	3.8553690
358	3.8553871
359	3.8554289
360	3.8554498
361	3.8554655
362	3.8554655
363	3.8554655
364	3.8554604
365	3.8554597
366	3.8554594
367	3.8554655
368	3.8554589
