x	y
1	108.7345455
2	108.6381061
3	108.5576852
4	108.4458333
5	108.3687500
6	108.3913171
7	108.3810000
8	108.3430909
9	108.3234944
10	108.3276167
11	108.3260417
12	108.3231250
13	108.2973380
14	108.2850000
15	108.2846296
16	108.2842593
17	108.2622222
18	108.2700000
19	108.2668421
20	108.2679167
21	108.2577197
22	108.2522778
23	108.2308597
24	108.2312500
25	108.2200000
26	108.2195406
27	108.2221566
28	108.2212500
29	108.2298413
30	108.2282500
31	108.2200000
32	108.2218182
33	108.2187500
34	108.2023868
35	108.2074060
36	108.2076503
37	108.2091723
38	108.2096319
39	108.2138032
40	108.2075000
41	108.2005556
42	108.1898101
43	108.1895949
44	108.2045941
45	108.2228321
46	108.2047727
47	108.2043939
48	108.1983333
49	108.1846296
50	108.1880127
51	108.1850000
52	108.1816780
53	108.1701852
54	108.1615278
55	108.1601389
56	108.1615884
57	108.1588012
58	108.1681189
59	108.1487037
60	108.1504770
61	108.1539141
62	108.1515859
63	108.1446429
64	108.1444444
65	108.1518519
66	108.1615584
67	108.1564706
68	108.1373867
69	108.1373556
70	108.1326444
71	108.1343939
72	108.1414415
73	108.1332949
74	108.1303333
75	108.1243704
76	108.1238642
77	108.1255216
78	108.1302233
79	108.1314783
80	108.1299372
81	108.1206183
82	108.1165000
83	108.1240556
84	108.1206481
85	108.1214286
86	108.1205919
87	108.1207706
88	108.1229273
89	108.1209722
90	108.1215079
91	108.1259656
92	108.1153409
93	108.1117500
94	108.1122500
95	108.1247778
96	108.1240113
97	108.1238519
98	108.1461652
99	108.1389286
100	108.1291576
101	108.1315258
102	108.1324742
103	108.1259358
104	108.0961111
105	108.0928650
106	108.0976667
107	108.0976157
108	108.0942857
109	108.0900000
110	108.1083333
111	108.1108333
112	108.1073295
113	108.1014286
114	108.0990000
115	108.0986667
116	108.1103973
117	108.1174492
118	108.1075000
119	108.1037500
120	108.1276349
121	108.1353409
122	108.0990000
123	108.1057222
124	108.1322778
125	108.1260063
126	108.1096429
127	108.1076546
128	108.0953431
129	108.0902215
130	108.0995278
131	108.1018056
132	108.1026705
133	108.1081818
134	108.1116667
135	108.1045455
136	108.0872535
137	108.0808674
138	108.0758586
139	108.0762222
140	108.0836481
141	108.0982963
142	108.1051031
143	108.1072222
144	108.0939135
145	108.0948283
146	108.0933450
147	108.0973333
148	108.1004769
149	108.0988750
150	108.0983083
151	108.0947090
152	108.0964815
153	108.0976805
154	108.0965404
155	108.1204444
156	108.1187500
157	108.1161307
158	108.1135185
159	108.1127315
160	108.1093505
161	108.1095833
162	108.1029461
163	108.0890000
164	108.0911744
165	108.0928464
166	108.0903030
167	108.0906251
168	108.0946491
169	108.0955063
170	108.0868750
171	108.0758046
172	108.0768056
173	108.0871296
174	108.0838889
175	108.0829740
176	108.0843175
177	108.0714603
178	108.0750000
179	108.0757143
180	108.0829274
181	108.0841964
182	108.0940441
183	108.0920000
184	108.0842857
185	108.0547619
186	108.0631250
187	108.0739583
188	108.0748571
189	108.1011093
190	108.1024737
