x	y
1	0.0399794
2	0.0399767
3	0.0399725
4	0.0399710
5	0.0399702
6	0.0399683
7	0.0399676
8	0.0399664
9	0.0399641
10	0.0399637
11	0.0399641
12	0.0399638
13	0.0399631
14	0.0399633
15	0.0399634
16	0.0399635
17	0.0399634
18	0.0399634
19	0.0399634
20	0.0399628
21	0.0399627
22	0.0399627
23	0.0399626
24	0.0399625
25	0.0399626
26	0.0399628
27	0.0399628
28	0.0399631
29	0.0399630
30	0.0399628
31	0.0399627
32	0.0399618
33	0.0399619
34	0.0399621
35	0.0399621
36	0.0399623
37	0.0399627
38	0.0399624
39	0.0399624
40	0.0399623
41	0.0399622
42	0.0399618
43	0.0399626
44	0.0399627
45	0.0399627
46	0.0399627
47	0.0399626
48	0.0399626
49	0.0399626
50	0.0399624
51	0.0399624
52	0.0399617
53	0.0399614
54	0.0399625
55	0.0399624
56	0.0399623
57	0.0399623
58	0.0399620
59	0.0399621
60	0.0399622
61	0.0399620
62	0.0399619
63	0.0399619
64	0.0399618
65	0.0399614
66	0.0399606
67	0.0399615
68	0.0399614
69	0.0399612
70	0.0399609
71	0.0399613
72	0.0399615
73	0.0399611
74	0.0399604
75	0.0399604
76	0.0399612
77	0.0399610
78	0.0399607
79	0.0399607
80	0.0399606
81	0.0399604
82	0.0399607
83	0.0399618
84	0.0399620
85	0.0399619
86	0.0399617
87	0.0399614
88	0.0399616
89	0.0399617
90	0.0399619
91	0.0399620
92	0.0399620
93	0.0399620
94	0.0399620
95	0.0399620
96	0.0399619
97	0.0399620
98	0.0399620
99	0.0399619
100	0.0399622
101	0.0399622
102	0.0399620
103	0.0399619
104	0.0399622
105	0.0399622
106	0.0399623
107	0.0399626
108	0.0399625
109	0.0399624
110	0.0399627
111	0.0399631
112	0.0399634
113	0.0399635
114	0.0399633
115	0.0399642
116	0.0399644
117	0.0399647
118	0.0399644
119	0.0399644
120	0.0399645
121	0.0399647
122	0.0399650
123	0.0399649
124	0.0399643
125	0.0399642
126	0.0399642
127	0.0399638
128	0.0399625
129	0.0399627
130	0.0399650
131	0.0399649
132	0.0399632
133	0.0399635
134	0.0399645
135	0.0399645
136	0.0399647
137	0.0399649
138	0.0399649
139	0.0399649
140	0.0399647
141	0.0399647
142	0.0399642
143	0.0399644
144	0.0399654
145	0.0399657
146	0.0399657
147	0.0399658
148	0.0399661
149	0.0399659
150	0.0399656
151	0.0399655
152	0.0399654
153	0.0399655
154	0.0399654
155	0.0399654
156	0.0399656
157	0.0399657
158	0.0399657
159	0.0399659
160	0.0399660
161	0.0399661
162	0.0399663
163	0.0399653
164	0.0399653
165	0.0399654
166	0.0399656
167	0.0399658
168	0.0399661
169	0.0399660
170	0.0399662
171	0.0399669
172	0.0399668
173	0.0399666
174	0.0399668
175	0.0399667
176	0.0399668
177	0.0399672
178	0.0399674
179	0.0399674
180	0.0399675
181	0.0399678
182	0.0399678
183	0.0399678
184	0.0399678
185	0.0399677
186	0.0399675
187	0.0399675
188	0.0399676
189	0.0399673
190	0.0399673
191	0.0399674
192	0.0399677
193	0.0399690
194	0.0399689
195	0.0399689
196	0.0399690
197	0.0399690
198	0.0399689
199	0.0399687
200	0.0399687
201	0.0399685
202	0.0399686
203	0.0399690
204	0.0399688
205	0.0399688
206	0.0399691
207	0.0399691
208	0.0399692
209	0.0399699
210	0.0399702
211	0.0399701
212	0.0399702
213	0.0399703
214	0.0399703
215	0.0399704
216	0.0399704
217	0.0399704
218	0.0399692
219	0.0399691
220	0.0399691
221	0.0399693
222	0.0399695
223	0.0399697
224	0.0399697
225	0.0399704
226	0.0399701
227	0.0399702
228	0.0399703
229	0.0399703
230	0.0399704
231	0.0399702
232	0.0399698
233	0.0399699
234	0.0399702
235	0.0399703
236	0.0399711
237	0.0399716
238	0.0399717
239	0.0399716
240	0.0399718
241	0.0399722
242	0.0399716
243	0.0399714
244	0.0399712
245	0.0399708
246	0.0399707
247	0.0399709
248	0.0399711
249	0.0399715
250	0.0399715
251	0.0399715
252	0.0399716
253	0.0399723
254	0.0399724
255	0.0399724
256	0.0399725
257	0.0399722
258	0.0399722
259	0.0399722
260	0.0399723
261	0.0399723
262	0.0399724
263	0.0399718
264	0.0399720
265	0.0399722
266	0.0399721
267	0.0399717
268	0.0399721
269	0.0399720
270	0.0399720
271	0.0399724
272	0.0399722
273	0.0399718
274	0.0399712
275	0.0399712
276	0.0399712
277	0.0399717
278	0.0399719
279	0.0399716
280	0.0399710
281	0.0399712
282	0.0399715
283	0.0399720
284	0.0399724
285	0.0399725
286	0.0399729
287	0.0399732
288	0.0399732
289	0.0399732
290	0.0399732
291	0.0399735
292	0.0399734
293	0.0399735
294	0.0399747
295	0.0399745
296	0.0399743
297	0.0399742
298	0.0399742
299	0.0399742
300	0.0399742
301	0.0399742
302	0.0399745
303	0.0399745
304	0.0399734
305	0.0399742
306	0.0399738
307	0.0399732
308	0.0399734
309	0.0399733
310	0.0399733
311	0.0399739
312	0.0399741
313	0.0399740
314	0.0399740
315	0.0399746
316	0.0399747
317	0.0399748
318	0.0399743
319	0.0399744
320	0.0399745
