x	y
1	36742.5963749
2	36742.7685713
3	36743.6165781
4	36743.5470837
5	36743.4082481
6	36743.8373765
7	36743.6301295
8	36743.6023327
9	36743.6414289
10	36744.0866935
11	36744.0659821
12	36743.7067448
13	36743.7067448
14	36743.7067448
15	36743.8131854
16	36743.7502887
17	36743.1813148
18	36743.1842178
19	36743.2519527
20	36743.2435958
21	36743.3087364
22	36743.2858202
23	36742.4033302
24	36742.0085320
25	36742.0607847
26	36742.1510394
27	36742.9075599
28	36742.3071189
29	36740.0925997
30	36727.9003030
31	36705.9541690
32	36684.0080350
33	36639.0707130
34	36644.2959830
35	36693.4135210
36	36817.2524200
37	37018.9478420
38	37308.4278000
39	37764.0713440
40	38320.5625990
41	39022.8388870
42	39969.6578110
43	40981.7926100
44	42118.2888350
45	43374.4437430
46	44696.9595800
47	46147.4945320
48	47466.3526800
49	48693.2460760
50	49805.7060590
51	50890.4721110
52	51754.2092420
53	52521.2788780
54	53186.4557490
55	53757.0552330
56	54289.5102460
57	54699.6939410
58	55052.9221930
59	55373.7537710
60	55609.9359750
61	55803.7934920
62	55965.7768620
63	56099.5437740
64	56225.4727810
65	56313.2573170
66	56376.4830840
67	56436.5736890
68	56479.4209030
69	56522.2681170
70	56548.9169940
71	56577.6559790
72	56598.8183225
73	56615.9310818
74	56632.3713294
75	56644.0169080
76	56658.1251370
77	56668.0531500
78	56675.6394679
79	56683.2257859
80	56691.3491454
81	56694.7020270
82	56699.9272970
83	56704.1075130
84	56709.1779602
85	56709.2037640
86	56709.2295678
87	56710.7962887
88	56711.0592007
89	56710.4823424
90	56709.2805303
91	56707.1788106
92	56704.3687765
93	56703.0624590
94	56696.4437837
95	56695.7470810
96	56687.8898231
97	56682.1613790
98	56674.6137668
99	56670.1432580
100	56662.6972482
101	56653.5530257
102	56646.4335954
103	56641.5349047
104	56630.9537330
105	56618.9356120
106	56609.0075990
107	56599.6021130
108	56586.5389380
109	56576.2819265
110	56566.0249150
111	56553.0101222
112	56539.3663616
113	56526.7095965
114	56516.5203200
115	56501.3670370
116	56485.3612099
117	56470.4472912
