x	y
1	-0.0072151
2	-0.0072153
3	-0.0072154
4	-0.0072156
5	-0.0072155
6	-0.0072156
7	-0.0072152
8	-0.0072148
9	-0.0072147
10	-0.0072147
11	-0.0072149
12	-0.0072149
13	-0.0072144
14	-0.0072140
15	-0.0072142
16	-0.0072138
17	-0.0072141
18	-0.0072142
19	-0.0072146
20	-0.0072155
21	-0.0072155
22	-0.0072156
23	-0.0072157
24	-0.0072157
25	-0.0072155
26	-0.0072154
27	-0.0072151
28	-0.0072137
29	-0.0072063
30	-0.0071420
31	-0.0070050
32	-0.0068126
33	-0.0066882
34	-0.0066304
35	-0.0066266
36	-0.0066418
37	-0.0067205
38	-0.0067275
39	-0.0067916
40	-0.0068532
41	-0.0070493
42	-0.0070011
43	-0.0070544
44	-0.0071084
45	-0.0073400
46	-0.0072480
47	-0.0072753
48	-0.0073102
49	-0.0074410
50	-0.0072810
51	-0.0072131
52	-0.0071344
53	-0.0071395
54	-0.0069865
55	-0.0069122
56	-0.0068665
57	-0.0068234
58	-0.0067770
59	-0.0067593
60	-0.0067536
61	-0.0067110
62	-0.0066793
63	-0.0066590
64	-0.0066641
65	-0.0066361
66	-0.0066203
67	-0.0065980
68	-0.0065917
69	-0.0065879
70	-0.0065698
71	-0.0065585
72	-0.0065494
73	-0.0065419
74	-0.0065366
75	-0.0065244
76	-0.0065225
77	-0.0065124
78	-0.0065017
79	-0.0065006
80	-0.0064870
81	-0.0064779
82	-0.0064688
83	-0.0064596
84	-0.0064521
85	-0.0064419
86	-0.0064312
87	-0.0064218
88	-0.0064101
89	-0.0064018
90	-0.0063941
91	-0.0063882
92	-0.0063766
93	-0.0063702
94	-0.0063628
95	-0.0063568
96	-0.0063474
97	-0.0063430
98	-0.0063370
99	-0.0063293
100	-0.0063248
101	-0.0063190
102	-0.0063128
103	-0.0063065
104	-0.0062983
105	-0.0062983
106	-0.0062918
107	-0.0062902
108	-0.0062861
109	-0.0062796
110	-0.0062739
111	-0.0062678
112	-0.0062660
113	-0.0062638
114	-0.0062651
115	-0.0062615
116	-0.0062587
117	-0.0062577
118	-0.0062547
119	-0.0062515
120	-0.0062512
121	-0.0062485
122	-0.0062471
123	-0.0062420
124	-0.0062448
125	-0.0062402
126	-0.0062367
127	-0.0062404
128	-0.0062391
129	-0.0062369
130	-0.0062347
131	-0.0062351
132	-0.0062364
133	-0.0062337
134	-0.0062312
135	-0.0062299
136	-0.0062308
137	-0.0062324
138	-0.0062331
139	-0.0062308
140	-0.0062293
141	-0.0062261
142	-0.0062258
143	-0.0062248
144	-0.0062204
145	-0.0062229
146	-0.0062216
147	-0.0062193
148	-0.0062217
149	-0.0062248
150	-0.0062210
151	-0.0062229
152	-0.0062188
153	-0.0062169
154	-0.0062131
155	-0.0062186
156	-0.0062141
157	-0.0062166
158	-0.0062166
159	-0.0062077
160	-0.0062204
161	-0.0062128
162	-0.0062140
163	-0.0062159
164	-0.0062140
165	-0.0062134
166	-0.0062058
167	-0.0062077
168	-0.0062070
169	-0.0062147
170	-0.0062051
171	-0.0062026
172	-0.0062121
173	-0.0062026
174	-0.0062090
175	-0.0061975
176	-0.0061994
177	-0.0061994
178	-0.0061918
179	-0.0061918
180	-0.0061893
181	-0.0061778
182	-0.0061836
183	-0.0061677
184	-0.0061715
185	-0.0061683
186	-0.0061588
187	-0.0061404
188	-0.0061264
189	-0.0061366
190	-0.0061169
191	-0.0061226
192	-0.0060947
193	-0.0060960
194	-0.0060680
195	-0.0060376
196	-0.0060274
197	-0.0060077
198	-0.0059900
199	-0.0059322
200	-0.0059100
201	-0.0059036
202	-0.0058675
203	-0.0058338
204	-0.0057830
205	-0.0057443
206	-0.0056828
207	-0.0055952
208	-0.0055165
209	-0.0054460
210	-0.0053343
211	-0.0052029
212	-0.0050099
213	-0.0048475
214	-0.0046450
215	-0.0043479
216	-0.0041251
217	-0.0039582
218	-0.0037468
219	-0.0035577
220	-0.0033685
221	-0.0032549
222	-0.0031845
223	-0.0030505
224	-0.0030461
225	-0.0031413
226	-0.0031997
227	-0.0033025
228	-0.0033311
229	-0.0035602
230	-0.0037570
231	-0.0039569
232	-0.0041124
233	-0.0043771
234	-0.0045790
235	-0.0047580
236	-0.0049033
237	-0.0050544
238	-0.0052277
239	-0.0053502
240	-0.0054460
241	-0.0055501
242	-0.0056301
243	-0.0057050
244	-0.0057583
245	-0.0058307
246	-0.0058700
247	-0.0059033
248	-0.0059441
249	-0.0059741
250	-0.0060160
251	-0.0060446
252	-0.0060611
253	-0.0060947
254	-0.0061144
255	-0.0061355
256	-0.0061566
257	-0.0061764
258	-0.0062001
259	-0.0062154
260	-0.0062356
261	-0.0062547
262	-0.0062759
