x	y
1	702.9472727
2	702.9472727
3	702.9428462
4	702.9300000
5	702.9053333
6	702.9050000
7	702.8838889
8	702.8731250
9	702.8666667
10	702.8375556
11	702.8367515
12	702.8343596
13	702.7988606
14	702.7864157
15	702.7866667
16	702.7880000
17	702.7923199
18	702.7912500
19	702.7883333
20	702.7700000
21	702.7731224
22	702.7706787
23	702.7729972
24	702.7724508
25	702.7742159
26	702.7712500
27	702.7681250
28	702.7711111
29	702.7718519
30	702.7725926
31	702.8197531
32	702.8537500
33	702.8566667
34	702.8762500
35	702.8839352
36	702.8916204
37	702.9386883
38	702.9525000
39	703.0020000
40	703.0051111
41	703.0040985
42	703.0225682
43	703.0267820
44	703.0309958
45	703.0769986
46	703.0923329
47	703.0915315
48	703.0978571
49	703.1111376
50	703.1145006
51	703.1234994
52	703.1483333
53	703.1560000
54	703.1546904
55	703.1568421
56	703.1567251
57	703.1663333
58	703.1666667
59	703.1688889
60	703.1711111
61	703.1712500
62	703.1745455
63	703.1907744
64	703.1894444
65	703.1867874
66	703.1950000
67	703.1910338
68	703.1905018
69	703.1912500
70	703.1997714
71	703.1993750
72	703.1925000
73	703.1925000
74	703.1925000
75	703.1945370
76	703.1933333
77	703.1824444
78	703.1825000
79	703.1837963
80	703.1836364
81	703.1848830
82	703.1844444
83	703.1675556
84	703.1600000
85	703.1610000
86	703.1627273
87	703.1772054
88	703.1657143
89	703.1233333
90	702.8900000
91	702.4700000
92	702.0500000
93	701.1900000
94	701.2900000
95	702.2300000
96	704.6000000
97	708.4600000
98	714.0000000
99	722.7200000
100	733.3700000
101	746.8100000
102	764.9300000
103	784.3000000
104	806.0500000
105	830.0900000
106	855.4000000
107	883.1600000
108	908.4000000
109	931.8800000
110	953.1700000
111	973.9300000
112	990.4600000
113	1005.1400000
114	1017.8700000
115	1028.7900000
116	1038.9800000
117	1046.8300000
118	1053.5900000
119	1059.7300000
120	1064.2500000
121	1067.9600000
122	1071.0600000
123	1073.6200000
124	1076.0300000
125	1077.7100000
126	1078.9200000
127	1080.0700000
128	1080.8900000
129	1081.7100000
130	1082.2200000
131	1082.7700000
132	1083.1750000
133	1083.5025000
134	1083.8171296
135	1084.0400000
136	1084.3100000
137	1084.5000000
138	1084.6451852
139	1084.7903704
140	1084.9458333
141	1085.0100000
142	1085.1100000
143	1085.1900000
144	1085.2870370
145	1085.2875309
146	1085.2880247
147	1085.3180082
148	1085.3230398
149	1085.3120000
150	1085.2890000
151	1085.2487778
152	1085.1950000
153	1085.1700000
154	1085.0433333
155	1085.0300000
156	1084.8796296
157	1084.7700000
158	1084.6255556
159	1084.5400000
160	1084.3975000
161	1084.2225000
162	1084.0862500
163	1083.9925000
164	1083.7900000
165	1083.5600000
166	1083.3700000
167	1083.1900000
168	1082.9400000
169	1082.7437037
170	1082.5474074
171	1082.2983333
