210913_Cbl-b_A03-H11 Fc=2-1 - 1_X	210913_Cbl-b_A03-H11 Fc=2-1 - 1_Y	210913_Cbl-b_A03-H11 Fc=2-1 - 2_X	210913_Cbl-b_A03-H11 Fc=2-1 - 2_Y	210913_Cbl-b_A03-H11 Fc=2-1 - 3_X	210913_Cbl-b_A03-H11 Fc=2-1 - 3_Y	210913_Cbl-b_A03-H11 Fc=2-1 - 4_X	210913_Cbl-b_A03-H11 Fc=2-1 - 4_Y	210913_Cbl-b_A03-H11 Fc=2-1 - 5_X	210913_Cbl-b_A03-H11 Fc=2-1 - 5_Y	210913_Cbl-b_A03-H11 Fc=2-1 - 6_X	210913_Cbl-b_A03-H11 Fc=2-1 - 6_Y	210913_Cbl-b_A03-H11 Fc=2-1 - 7_X	210913_Cbl-b_A03-H11 Fc=2-1 - 7_Y	210913_Cbl-b_A03-H11 Fc=2-1 - 8_X	210913_Cbl-b_A03-H11 Fc=2-1 - 8_Y	210913_Cbl-b_A03-H11 Fc=2-1 - 9_X	210913_Cbl-b_A03-H11 Fc=2-1 - 9_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 10_X	210913_Cbl-b_A03-H1 Fc=2-1 - 10_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 11_X	210913_Cbl-b_A03-H1 Fc=2-1 - 11_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 12_X	210913_Cbl-b_A03-H1 Fc=2-1 - 12_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 13_X	210913_Cbl-b_A03-H1 Fc=2-1 - 13_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 14_X	210913_Cbl-b_A03-H1 Fc=2-1 - 14_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 15_X	210913_Cbl-b_A03-H1 Fc=2-1 - 15_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 16_X	210913_Cbl-b_A03-H1 Fc=2-1 - 16_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 17_X	210913_Cbl-b_A03-H1 Fc=2-1 - 17_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 18_X	210913_Cbl-b_A03-H1 Fc=2-1 - 18_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 19_X	210913_Cbl-b_A03-H1 Fc=2-1 - 19_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 20_X	210913_Cbl-b_A03-H1 Fc=2-1 - 20_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 21_X	210913_Cbl-b_A03-H1 Fc=2-1 - 21_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 22_X	210913_Cbl-b_A03-H1 Fc=2-1 - 22_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 23_X	210913_Cbl-b_A03-H1 Fc=2-1 - 23_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 24_X	210913_Cbl-b_A03-H1 Fc=2-1 - 24_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 25_X	210913_Cbl-b_A03-H1 Fc=2-1 - 25_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 26_X	210913_Cbl-b_A03-H1 Fc=2-1 - 26_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 27_X	210913_Cbl-b_A03-H1 Fc=2-1 - 27_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 28_X	210913_Cbl-b_A03-H1 Fc=2-1 - 28_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 29_X	210913_Cbl-b_A03-H1 Fc=2-1 - 29_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 30_X	210913_Cbl-b_A03-H1 Fc=2-1 - 30_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 31_X	210913_Cbl-b_A03-H1 Fc=2-1 - 31_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 32_X	210913_Cbl-b_A03-H1 Fc=2-1 - 32_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 33_X	210913_Cbl-b_A03-H1 Fc=2-1 - 33_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 34_X	210913_Cbl-b_A03-H1 Fc=2-1 - 34_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 35_X	210913_Cbl-b_A03-H1 Fc=2-1 - 35_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 36_X	210913_Cbl-b_A03-H1 Fc=2-1 - 36_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 37_X	210913_Cbl-b_A03-H1 Fc=2-1 - 37_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 38_X	210913_Cbl-b_A03-H1 Fc=2-1 - 38_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 39_X	210913_Cbl-b_A03-H1 Fc=2-1 - 39_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 40_X	210913_Cbl-b_A03-H1 Fc=2-1 - 40_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 41_X	210913_Cbl-b_A03-H1 Fc=2-1 - 41_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 42_X	210913_Cbl-b_A03-H1 Fc=2-1 - 42_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 43_X	210913_Cbl-b_A03-H1 Fc=2-1 - 43_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 44_X	210913_Cbl-b_A03-H1 Fc=2-1 - 44_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 45_X	210913_Cbl-b_A03-H1 Fc=2-1 - 45_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 46_X	210913_Cbl-b_A03-H1 Fc=2-1 - 46_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 47_X	210913_Cbl-b_A03-H1 Fc=2-1 - 47_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 48_X	210913_Cbl-b_A03-H1 Fc=2-1 - 48_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 49_X	210913_Cbl-b_A03-H1 Fc=2-1 - 49_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 50_X	210913_Cbl-b_A03-H1 Fc=2-1 - 50_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 51_X	210913_Cbl-b_A03-H1 Fc=2-1 - 51_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 52_X	210913_Cbl-b_A03-H1 Fc=2-1 - 52_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 53_X	210913_Cbl-b_A03-H1 Fc=2-1 - 53_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 54_X	210913_Cbl-b_A03-H1 Fc=2-1 - 54_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 55_X	210913_Cbl-b_A03-H1 Fc=2-1 - 55_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 56_X	210913_Cbl-b_A03-H1 Fc=2-1 - 56_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 57_X	210913_Cbl-b_A03-H1 Fc=2-1 - 57_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 58_X	210913_Cbl-b_A03-H1 Fc=2-1 - 58_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 59_X	210913_Cbl-b_A03-H1 Fc=2-1 - 59_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 60_X	210913_Cbl-b_A03-H1 Fc=2-1 - 60_Y	210913_Cbl-b_A03-H1 Fc=2-1 - 61_X	210913_Cbl-b_A03-H1 Fc=2-1 - 61_Y
1.6	7982.92	1.6	7971.29	1.6	7963.64	1.6	7956.59	1.6	7954	1.6	7950.23	1.6	7948.23	1.6	7948.57	1.6	7943.49	1.6	7956.39	1.6	7950.58	1.6	7945.5	1.6	7946.21	1.6	7940.56	1.6	7943.15	1.6	7942.63	1.6	7941.09	1.6	7939.76	1.6	7950.53	1.6	7945.36	1.6	7943.47	1.6	7944.6	1.6	7944.82	1.6	7944.87	1.6	7946.06	1.6	7947.3	1.6	7947.5	1.6	7950.97	1.6	7952.02	1.6	7951.41	1.6	7953.23	1.6	7955.08	1.6	7956.16	1.6	7960.1	1.6	7957.97	1.6	7960.9	1.6	7963.78	1.6	7963.29	1.6	7964.63	1.6	7965.7	1.6	7967.4	1.6	7965.33	1.6	7971.51	1.6	7971.83	1.6	7971.11	1.6	7973.86	1.6	7975.68	1.6	7971.99	1.6	7974.81	1.6	7975.93	1.6	7976.05	1.6	7978.47	1.6	7976.94	1.6	7980.97	1.6	7982.33	1.6	7985.63	1.6	7986	1.6	7985.87	1.6	7984.73	1.6	7985.28	1.6	7986.18
2.6	7984.74	2.6	7971.49	2.6	7965.52	2.6	7959.54	2.6	7954.94	2.6	7951.55	2.6	7948.9	2.6	7949.31	2.6	7943.57	2.6	7955.49	2.6	7951.94	2.6	7948.27	2.6	7945.64	2.6	7943.03	2.6	7941.33	2.6	7941.04	2.6	7940.4	2.6	7937.97	2.6	7952.1	2.6	7943.38	2.6	7944.55	2.6	7944.58	2.6	7944.42	2.6	7946	2.6	7946.09	2.6	7945.44	2.6	7946.41	2.6	7951.14	2.6	7950.97	2.6	7952.21	2.6	7953.08	2.6	7955.89	2.6	7957.07	2.6	7957.94	2.6	7961.38	2.6	7962.25	2.6	7965.33	2.6	7965.88	2.6	7964.88	2.6	7965.32	2.6	7965.9	2.6	7965.6	2.6	7969.71	2.6	7973.48	2.6	7970.73	2.6	7972.55	2.6	7975.03	2.6	7972.59	2.6	7974.24	2.6	7977.42	2.6	7977.62	2.6	7980.14	2.6	7978.01	2.6	7981.75	2.6	7982.18	2.6	7986.55	2.6	7990.51	2.6	7984.89	2.6	7984.67	2.6	7985.72	2.6	7984.33
3.6	7983.76	3.6	7972.17	3.6	7965.23	3.6	7957.72	3.6	7954.52	3.6	7949.29	3.6	7948.19	3.6	7946.92	3.6	7943.13	3.6	7956.64	3.6	7951.61	3.6	7946.67	3.6	7945.56	3.6	7944.44	3.6	7940.9	3.6	7941.79	3.6	7941.07	3.6	7939	3.6	7951.15	3.6	7945.74	3.6	7946.8	3.6	7943.56	3.6	7944.62	3.6	7944.1	3.6	7946.32	3.6	7944.91	3.6	7948.39	3.6	7952.07	3.6	7953.15	3.6	7951.07	3.6	7952.82	3.6	7954.07	3.6	7958.63	3.6	7957.31	3.6	7960.52	3.6	7960.03	3.6	7963.09	3.6	7965.33	3.6	7967.5	3.6	7965.79	3.6	7968.09	3.6	7964.68	3.6	7971.17	3.6	7971.97	3.6	7970.59	3.6	7973.95	3.6	7973.88	3.6	7973.27	3.6	7975.76	3.6	7977.3	3.6	7977.22	3.6	7976.91	3.6	7977.14	3.6	7980.36	3.6	7980.2	3.6	7985.97	3.6	7988.35	3.6	7984.71	3.6	7986.37	3.6	7988.07	3.6	7986.54
4.6	7985.96	4.6	7970.39	4.6	7964.51	4.6	7958.67	4.6	7954.53	4.6	7949.88	4.6	7949.49	4.6	7949.23	4.6	7942.12	4.6	7954.93	4.6	7950	4.6	7947.5	4.6	7946.47	4.6	7942.59	4.6	7941.08	4.6	7941.12	4.6	7941.11	4.6	7936.48	4.6	7952.2	4.6	7944.47	4.6	7947.22	4.6	7945.67	4.6	7944.56	4.6	7945.23	4.6	7946.15	4.6	7945.85	4.6	7947.47	4.6	7952.02	4.6	7951.62	4.6	7951.53	4.6	7951.57	4.6	7953.19	4.6	7955.22	4.6	7957.65	4.6	7959.7	4.6	7960.45	4.6	7962.33	4.6	7962.51	4.6	7965.05	4.6	7964.88	4.6	7966.3	4.6	7965.6	4.6	7969.42	4.6	7971.84	4.6	7971.5	4.6	7972.55	4.6	7971.91	4.6	7973.57	4.6	7974.47	4.6	7975.53	4.6	7976.16	4.6	7979.01	4.6	7977.65	4.6	7979.83	4.6	7983.07	4.6	7985.92	4.6	7987.36	4.6	7983.93	4.6	7984.78	4.6	7986.7	4.6	7985.47
5.6	7986.41	5.6	7970.97	5.6	7966.01	5.6	7959.7	5.6	7955.78	5.6	7949.59	5.6	7950.72	5.6	7948.23	5.6	7944.79	5.6	7954.78	5.6	7950.03	5.6	7945.49	5.6	7946.04	5.6	7943.23	5.6	7942.17	5.6	7941.82	5.6	7939.69	5.6	7937.68	5.6	7950.58	5.6	7946.49	5.6	7944.11	5.6	7946.81	5.6	7942.24	5.6	7945.63	5.6	7945.75	5.6	7945.98	5.6	7947.86	5.6	7951.43	5.6	7952.07	5.6	7952.15	5.6	7953.16	5.6	7955.06	5.6	7956.78	5.6	7959.1	5.6	7960.28	5.6	7960.51	5.6	7963.41	5.6	7964.53	5.6	7965.89	5.6	7965.47	5.6	7965.22	5.6	7965.51	5.6	7969.9	5.6	7972.06	5.6	7971.55	5.6	7972.67	5.6	7972.98	5.6	7973.65	5.6	7974.82	5.6	7975.96	5.6	7974.1	5.6	7980.12	5.6	7978.79	5.6	7981.82	5.6	7983.49	5.6	7984.62	5.6	7987.31	5.6	7985.2	5.6	7983.94	5.6	7986.86	5.6	7984.33
6.6	7986.39	6.6	7969.18	6.6	7966.38	6.6	7958.33	6.6	7954.58	6.6	7949.15	6.6	7949.46	6.6	7946.04	6.6	7944	6.6	7955.3	6.6	7951.46	6.6	7945.56	6.6	7947.76	6.6	7941.93	6.6	7941.88	6.6	7939.52	6.6	7941.45	6.6	7937.17	6.6	7953.92	6.6	7945.88	6.6	7945.97	6.6	7944.37	6.6	7944.37	6.6	7946.14	6.6	7949.17	6.6	7945.24	6.6	7947.69	6.6	7951.83	6.6	7952.46	6.6	7952.34	6.6	7954.08	6.6	7955.84	6.6	7955.49	6.6	7957.38	6.6	7957.77	6.6	7959.7	6.6	7963.05	6.6	7965.43	6.6	7966.45	6.6	7966.35	6.6	7967.69	6.6	7967.26	6.6	7972.08	6.6	7970.69	6.6	7970.42	6.6	7974.99	6.6	7970.42	6.6	7973.15	6.6	7975.41	6.6	7975.22	6.6	7975.52	6.6	7979	6.6	7976.74	6.6	7981.2	6.6	7984.65	6.6	7984.81	6.6	7987.82	6.6	7986.4	6.6	7984.5	6.6	7985.84	6.6	7984.35
7.6	7985.21	7.6	7970.93	7.6	7965.44	7.6	7958.24	7.6	7954.31	7.6	7948.82	7.6	7948.27	7.6	7947.52	7.6	7943.89	7.6	7955.01	7.6	7951.52	7.6	7945.6	7.6	7942.94	7.6	7942.68	7.6	7941.71	7.6	7940.96	7.6	7940.43	7.6	7937.7	7.6	7950.78	7.6	7945.89	7.6	7945.73	7.6	7943.7	7.6	7943.91	7.6	7947.35	7.6	7948.14	7.6	7945.7	7.6	7946.65	7.6	7953.41	7.6	7950.57	7.6	7952.7	7.6	7955.49	7.6	7954.3	7.6	7956.62	7.6	7957.24	7.6	7960	7.6	7959.85	7.6	7962.31	7.6	7964.37	7.6	7964.62	7.6	7965.01	7.6	7966.22	7.6	7967.1	7.6	7971.11	7.6	7972.29	7.6	7971.06	7.6	7975.15	7.6	7971.79	7.6	7972.82	7.6	7973.88	7.6	7975.73	7.6	7976.05	7.6	7978.75	7.6	7977.36	7.6	7981.43	7.6	7983.73	7.6	7986.19	7.6	7986.35	7.6	7984.55	7.6	7985.75	7.6	7987.33	7.6	7985.83
8.6	7983.88	8.6	7971.13	8.6	7968.27	8.6	7957.24	8.6	7953.08	8.6	7951.35	8.6	7948.77	8.6	7947.26	8.6	7943.87	8.6	7955.45	8.6	7950.71	8.6	7946.99	8.6	7944.72	8.6	7941.29	8.6	7942.91	8.6	7941.97	8.6	7938.96	8.6	7938.67	8.6	7949.56	8.6	7943.74	8.6	7944.05	8.6	7943.4	8.6	7946.17	8.6	7943.49	8.6	7947.68	8.6	7947.14	8.6	7946.21	8.6	7951.23	8.6	7949.93	8.6	7949.95	8.6	7952.55	8.6	7953.1	8.6	7957.67	8.6	7959.21	8.6	7957.94	8.6	7958.16	8.6	7962.77	8.6	7961.92	8.6	7965.57	8.6	7965.97	8.6	7967.04	8.6	7966.49	8.6	7969.42	8.6	7971.62	8.6	7972.22	8.6	7973.01	8.6	7974.4	8.6	7971.05	8.6	7974.53	8.6	7976.75	8.6	7974.2	8.6	7978.56	8.6	7978.25	8.6	7977.72	8.6	7982.95	8.6	7984.1	8.6	7985.18	8.6	7985.58	8.6	7984.6	8.6	7984.3	8.6	7986.05
9.6	7985.39	9.6	7970.94	9.6	7964.72	9.6	7957.47	9.6	7953.78	9.6	7950.01	9.6	7947.34	9.6	7948.3	9.6	7943.71	9.6	7955.38	9.6	7950.4	9.6	7948.12	9.6	7943.75	9.6	7943.09	9.6	7942.96	9.6	7940.86	9.6	7941.27	9.6	7939.82	9.6	7949.81	9.6	7943.95	9.6	7944.54	9.6	7946.97	9.6	7944.96	9.6	7946.29	9.6	7946.23	9.6	7943.89	9.6	7948.64	9.6	7952.75	9.6	7950.65	9.6	7953.66	9.6	7953.72	9.6	7953.76	9.6	7956.72	9.6	7957.55	9.6	7959.21	9.6	7960.22	9.6	7963.04	9.6	7963.31	9.6	7965.14	9.6	7965.56	9.6	7966.41	9.6	7968.86	9.6	7970.39	9.6	7972.44	9.6	7970.25	9.6	7975.35	9.6	7972.13	9.6	7972.45	9.6	7974.41	9.6	7977.4	9.6	7975.89	9.6	7978.69	9.6	7977.51	9.6	7980.08	9.6	7984.89	9.6	7985.95	9.6	7988.49	9.6	7984.52	9.6	7983.58	9.6	7986.12	9.6	7984.38
10.6	7983.89	10.6	7971.15	10.6	7964.81	10.6	7957.47	10.6	7954.35	10.6	7950.24	10.6	7948.64	10.6	7946.18	10.6	7943.16	10.6	7955.84	10.6	7952	10.6	7946.61	10.6	7943.63	10.6	7944.71	10.6	7941.67	10.6	7942.35	10.6	7940.59	10.6	7939.56	10.6	7951.09	10.6	7943.51	10.6	7944.13	10.6	7945.49	10.6	7946.2	10.6	7944.75	10.6	7947.15	10.6	7944.46	10.6	7947.1	10.6	7952.91	10.6	7950.53	10.6	7953.24	10.6	7951.82	10.6	7952.71	10.6	7955.34	10.6	7957.88	10.6	7959.86	10.6	7962.06	10.6	7962.15	10.6	7961.68	10.6	7966.08	10.6	7966.49	10.6	7968.46	10.6	7966.51	10.6	7969.64	10.6	7970.54	10.6	7969.36	10.6	7975.05	10.6	7973.18	10.6	7973.15	10.6	7973.19	10.6	7975.67	10.6	7975.25	10.6	7980.01	10.6	7977.52	10.6	7980.36	10.6	7983.04	10.6	7985.43	10.6	7988.24	10.6	7984.36	10.6	7984.93	10.6	7986.05	10.6	7983.15
