x	y
1	146.5742857
2	146.5742857
3	146.6004762
4	146.5866234
5	146.5817143
6	146.5808889
7	146.5825061
8	146.5831753
9	146.5640156
10	146.5645333
11	146.5597039
12	146.5897500
13	146.5653788
14	146.5691100
15	146.5768571
16	146.5793672
17	146.5852051
18	146.5820000
19	146.5457692
20	146.5411333
21	146.5506667
22	146.5528462
23	146.5558303
24	146.5593571
25	146.5571429
26	146.5803724
27	146.5807673
28	146.5670981
29	146.5380788
30	146.5424111
31	146.5382857
32	146.5405435
33	146.5855037
34	146.5864535
35	146.5740303
36	146.5629841
37	146.5621667
38	146.5833059
39	146.5848601
40	146.5724762
41	146.5774562
42	146.5810964
43	146.5818846
44	146.5823035
45	146.5770706
46	146.5695313
47	146.5753005
48	146.5999074
49	146.5930159
50	146.5930769
51	146.5830769
52	146.5678818
53	146.5435053
54	146.5483333
55	146.5456818
56	146.5410714
57	146.5552015
58	146.5562000
59	146.5624176
60	146.5577681
61	146.5530000
62	146.5619129
63	146.5490000
64	146.5464615
65	146.5425000
66	146.5350000
67	146.5471082
68	146.5519819
69	146.5624603
70	146.5812282
71	146.5827030
72	146.5615370
73	146.5624393
74	146.5773139
75	146.5784103
76	146.5811688
77	146.5926774
78	146.5865913
79	146.5843444
80	146.5958333
81	146.5956087
82	146.5826091
83	146.5852976
84	146.5885714
85	146.5712500
86	146.5568737
87	146.5693182
88	146.5660590
89	146.5266434
90	146.5270833
91	146.5237393
92	146.5189530
93	146.5338184
94	146.5400000
95	146.5750000
96	146.5731795
97	146.5575560
98	146.5520000
99	146.5226311
100	146.5290043
101	146.5398419
102	146.5675000
103	146.5587292
104	146.5672756
105	146.5627778
106	146.5553333
107	146.5676029
108	146.5556667
109	146.5355556
110	146.5285000
111	146.5235515
112	146.5190079
113	146.5237500
114	146.5272378
115	146.5260952
116	146.5291667
117	146.5363936
118	146.5397786
119	146.5851787
120	146.5867949
121	146.6028205
122	146.6061239
123	146.5992857
124	146.6050000
125	146.5882578
126	146.5871742
127	146.5795000
128	146.5772619
129	146.5647817
130	146.5700000
131	146.5740041
132	146.5995307
133	146.6021705
134	146.5789011
135	146.5778958
136	146.5747329
137	146.5287197
138	146.5366667
139	146.5504545
140	146.5508909
141	146.5605000
142	146.5575931
143	146.5657036
144	146.5818626
145	146.5904583
146	146.5823854
147	146.5618615
148	146.5575000
149	146.5539806
150	146.5663430
151	146.5672222
152	146.5827778
153	146.5996406
154	146.5966418
155	146.5800000
156	146.5698031
157	146.5961111
158	146.5976859
159	146.5753312
160	146.5710000
161	146.5676000
162	146.5660000
163	146.5979167
164	146.5928914
165	146.5872601
166	146.6171970
167	146.6060000
168	146.6061111
169	146.6058466
170	146.6049980
171	146.5988112
172	146.5937496
173	146.5974191
174	146.6060417
175	146.6062590
176	146.5949567
177	146.5846667
178	146.5875556
179	146.5891981
180	146.5820852
181	146.5747222
182	146.5710714
183	146.5745705
184	146.5657457
185	146.5970256
186	146.5905198
187	146.5887500
188	146.5922349
189	146.5976923
190	146.5958230
191	146.5555000
192	146.5581061
193	146.5525000
194	146.5559583
195	146.5595489
196	146.5755844
197	146.5850003
198	146.5741020
199	146.5670833
200	146.5749206
201	146.5544318
202	146.5447016
203	146.5444029
204	146.5486199
205	146.5525000
206	146.5685622
207	146.5637175
208	146.5523016
209	146.5424603
210	146.5375000
211	146.5375000
212	146.5400000
213	146.5453333
214	146.5762222
215	146.5833333
216	146.6060417
217	146.6068045
218	146.6040153
219	146.5749847
220	146.5749020
221	146.5830909
222	146.5900126
223	146.5874874
224	146.5838065
225	146.5738095
226	146.5614286
227	146.5568373
228	146.5687500
229	146.5760788
230	146.5778414
231	146.4600000
232	146.4000000
233	146.5544815
234	146.5720000
235	146.5755000
236	146.5787458
237	146.5870876
238	146.6095076
239	146.5802671
240	146.5625980
241	146.5658824
242	146.5691667
243	146.5738889
244	146.5601515
245	146.5658653
246	146.5714310
247	146.5591667
248	146.5595455
249	146.5577626
250	146.5824706
251	146.5956250
252	146.5934178
253	146.5887490
254	146.5942857
255	146.6046594
256	146.6063333
257	146.6027521
258	146.5983526
259	146.5906535
260	146.6108669
261	146.6125549
262	146.6016667
263	146.6013636
264	146.6003493
265	146.5986451
266	146.6047692
267	146.5937222
268	146.5869100
269	146.5868750
270	146.5734250
271	146.5843939
272	146.5682913
273	146.5406944
274	146.5490476
275	146.5495979
276	146.5615325
277	146.5696970
278	146.5639630
279	146.5735320
280	146.5736818
281	146.5743939
282	146.5781061
283	146.5751635
284	146.5698899
285	146.5794988
286	146.5864996
287	146.5726984
288	146.5694676
289	146.5757858
290	146.5827856
291	146.5844285
292	146.5889704
293	146.5962500
294	146.5883333
295	146.5659916
296	146.6054545
297	146.6161111
298	146.6178083
299	146.6186538
300	146.6192170
301	146.6289259
302	146.6386275
303	146.6466897
304	146.6591292
305	146.7276506
306	146.7278333
307	146.7731667
308	146.8107222
309	146.8642778
310	146.9510835
311	146.9997917
312	147.0460417
313	147.1166667
314	147.2111111
315	147.2835227
316	147.3306250
317	147.4610618
318	147.5563725
319	147.6483333
320	147.7406667
321	147.8300980
322	147.9143193
323	147.9792574
324	148.0191667
325	148.1478333
326	148.2134259
327	148.2215123
328	148.2321914
329	148.2500000
330	148.3087332
331	148.3863889
332	148.4308333
333	148.4395000
334	148.4460714
335	148.4741270
336	148.4284524
337	148.3900000
338	148.3275000
339	148.2700000
340	148.2455000
341	148.2478333
342	148.2376667
343	148.2280126
344	148.1510757
345	148.0916128
346	148.0729365
347	147.9875758
348	147.9300909
349	147.9100000
350	147.8475000
351	147.7811768
352	147.7285455
353	147.7186818
354	147.6497222
355	147.5466667
356	147.5350000
357	147.4735714
358	147.4300000
359	147.3665833
360	147.3298505
361	147.3325687
362	147.2884900
363	147.2502453
364	147.1975000
365	147.1350000
366	147.1194687
367	147.1000000
368	147.0533333
369	147.0273333
370	147.0157727
371	146.9775000
372	146.9534310
373	146.9511068
374	146.9270047
375	146.8801259
376	146.8703333
