x	y
1	0.0380110
2	0.0380110
3	0.0380110
4	0.0380103
5	0.0380100
6	0.0380100
7	0.0380100
8	0.0380104
9	0.0380104
10	0.0380104
11	0.0380104
12	0.0380118
13	0.0380108
14	0.0380110
15	0.0380109
16	0.0380106
17	0.0380105
18	0.0380105
19	0.0380086
20	0.0380083
21	0.0380087
22	0.0380085
23	0.0380084
24	0.0380084
25	0.0380088
26	0.0380100
27	0.0380097
28	0.0380095
29	0.0380079
30	0.0380080
31	0.0380078
32	0.0380079
33	0.0380103
34	0.0380102
35	0.0380094
36	0.0380089
37	0.0380090
38	0.0380101
39	0.0380102
40	0.0380097
41	0.0380097
42	0.0380097
43	0.0380096
44	0.0380095
45	0.0380095
46	0.0380094
47	0.0380097
48	0.0380110
49	0.0380110
50	0.0380108
51	0.0380097
52	0.0380088
53	0.0380082
54	0.0380084
55	0.0380084
56	0.0380081
57	0.0380082
58	0.0380083
59	0.0380085
60	0.0380086
61	0.0380087
62	0.0380086
63	0.0380077
64	0.0380074
65	0.0380073
66	0.0380074
67	0.0380083
68	0.0380085
69	0.0380090
70	0.0380101
71	0.0380101
72	0.0380086
73	0.0380088
74	0.0380087
75	0.0380088
76	0.0380090
77	0.0380091
78	0.0380095
79	0.0380096
80	0.0380098
81	0.0380098
82	0.0380098
83	0.0380099
84	0.0380099
85	0.0380091
86	0.0380085
87	0.0380089
88	0.0380089
89	0.0380067
90	0.0380067
91	0.0380067
92	0.0380068
93	0.0380077
94	0.0380077
95	0.0380094
96	0.0380091
97	0.0380085
98	0.0380084
99	0.0380078
100	0.0380078
101	0.0380078
102	0.0380088
103	0.0380089
104	0.0380090
105	0.0380089
106	0.0380089
107	0.0380087
108	0.0380080
109	0.0380070
110	0.0380070
111	0.0380067
112	0.0380068
113	0.0380072
114	0.0380074
115	0.0380075
116	0.0380074
117	0.0380076
118	0.0380077
119	0.0380102
120	0.0380102
121	0.0380102
122	0.0380102
123	0.0380096
124	0.0380100
125	0.0380097
126	0.0380097
127	0.0380095
128	0.0380095
129	0.0380091
130	0.0380094
131	0.0380096
132	0.0380105
133	0.0380105
134	0.0380094
135	0.0380099
136	0.0380100
137	0.0380078
138	0.0380078
139	0.0380083
140	0.0380080
141	0.0380082
142	0.0380080
143	0.0380084
144	0.0380092
145	0.0380097
146	0.0380095
147	0.0380086
148	0.0380086
149	0.0380091
150	0.0380090
151	0.0380090
152	0.0380098
153	0.0380099
154	0.0380098
155	0.0380088
156	0.0380082
157	0.0380097
158	0.0380096
159	0.0380090
160	0.0380088
161	0.0380089
162	0.0380090
163	0.0380100
164	0.0380097
165	0.0380094
166	0.0380099
167	0.0380094
168	0.0380094
169	0.0380096
170	0.0380095
171	0.0380097
172	0.0380098
173	0.0380099
174	0.0380102
175	0.0380104
176	0.0380100
177	0.0380095
178	0.0380098
179	0.0380099
180	0.0380096
181	0.0380095
182	0.0380093
183	0.0380096
184	0.0380098
185	0.0380109
186	0.0380104
187	0.0380104
188	0.0380108
189	0.0380108
190	0.0380106
191	0.0380086
192	0.0380087
193	0.0380088
194	0.0380088
195	0.0380088
196	0.0380090
197	0.0380095
198	0.0380095
199	0.0380093
200	0.0380091
201	0.0380082
202	0.0380082
203	0.0380087
204	0.0380091
205	0.0380091
206	0.0380099
207	0.0380096
208	0.0380092
209	0.0380087
210	0.0380084
211	0.0380084
212	0.0380086
213	0.0380087
214	0.0380102
215	0.0380104
216	0.0380112
217	0.0380111
218	0.0380116
219	0.0380107
220	0.0380107
221	0.0380107
222	0.0380108
223	0.0380102
224	0.0380102
225	0.0380100
226	0.0380098
227	0.0380099
228	0.0380102
229	0.0380102
230	0.0380102
231	0.0380052
232	0.0380052
233	0.0380087
234	0.0380097
235	0.0380098
236	0.0380099
237	0.0380103
238	0.0380117
239	0.0380104
240	0.0380097
241	0.0380100
242	0.0380104
243	0.0380105
244	0.0380098
245	0.0380100
246	0.0380102
247	0.0380098
248	0.0380099
249	0.0380099
250	0.0380111
251	0.0380119
252	0.0380115
253	0.0380116
254	0.0380119
255	0.0380119
256	0.0380121
257	0.0380118
258	0.0380118
259	0.0380118
260	0.0380120
261	0.0380120
262	0.0380117
263	0.0380117
264	0.0380116
265	0.0380116
266	0.0380119
267	0.0380117
268	0.0380118
269	0.0380117
270	0.0380114
271	0.0380120
272	0.0380110
273	0.0380095
274	0.0380098
275	0.0380096
276	0.0380097
277	0.0380104
278	0.0380103
279	0.0380106
280	0.0380107
281	0.0380107
282	0.0380108
283	0.0380108
284	0.0380108
285	0.0380112
286	0.0380113
287	0.0380106
288	0.0380106
289	0.0380107
290	0.0380108
291	0.0380104
292	0.0380107
293	0.0380111
294	0.0380111
295	0.0380111
296	0.0380133
297	0.0380138
298	0.0380138
299	0.0380139
300	0.0380137
301	0.0380142
302	0.0380150
303	0.0380153
304	0.0380156
305	0.0380185
306	0.0380186
307	0.0380211
308	0.0380233
309	0.0380263
310	0.0380317
311	0.0380345
312	0.0380372
313	0.0380412
314	0.0380466
315	0.0380501
316	0.0380527
317	0.0380594
318	0.0380648
319	0.0380702
320	0.0380758
321	0.0380807
322	0.0380855
323	0.0380893
324	0.0380915
325	0.0380989
326	0.0381026
327	0.0381037
328	0.0381048
329	0.0381063
330	0.0381092
331	0.0381134
332	0.0381167
333	0.0381171
334	0.0381185
335	0.0381208
336	0.0381207
337	0.0381197
338	0.0381186
339	0.0381175
340	0.0381199
341	0.0381203
342	0.0381207
343	0.0381255
344	0.0381251
345	0.0381252
346	0.0381253
347	0.0381253
348	0.0381260
349	0.0381261
350	0.0381260
351	0.0381247
352	0.0381258
353	0.0381277
354	0.0381281
355	0.0381271
356	0.0381264
357	0.0381275
358	0.0381286
359	0.0381281
360	0.0381291
361	0.0381293
362	0.0381291
363	0.0381290
364	0.0381288
365	0.0381278
366	0.0381284
367	0.0381286
