x	y
1	8941.5865000
2	8941.5865000
3	8941.2303750
4	8941.7543964
5	8942.6243500
6	8942.6379167
7	8943.3028889
8	8943.9469630
9	8944.2497292
10	8944.8291509
11	8944.4863750
12	8944.2828924
13	8944.1427731
14	8943.3068577
15	8943.6723750
16	8945.5547500
17	8945.2585848
18	8944.2447187
19	8943.9098824
20	8944.0562500
21	8944.6590417
22	8944.1180774
23	8944.2019375
24	8944.0621266
25	8943.9903437
26	8942.9677563
27	8942.8151001
28	8941.8703289
29	8942.6683419
30	8942.5612017
31	8944.2967500
32	8942.9601250
33	8942.9370000
34	8942.7815351
35	8942.9660714
36	8943.0357107
37	8942.9096776
38	8943.5960625
39	8943.5736176
40	8943.4830908
41	8944.2320000
42	8944.7851068
43	8944.5778311
44	8942.9713453
45	8940.3909375
46	8940.7362708
47	8940.7821905
48	8941.4847500
49	8943.2823333
50	8943.9606667
51	8944.4355000
52	8944.3209078
53	8943.6215000
54	8943.6215000
55	8943.8392454
56	8943.9307774
57	8944.7254875
58	8945.3504673
59	8945.4029077
60	8945.5220446
61	8945.1634004
62	8946.2888873
63	8946.4635601
64	8945.9950144
65	8946.0857695
66	8945.8678345
67	8945.3970934
68	8945.3848197
69	8945.0025493
70	8944.4023386
71	8944.2250779
72	8943.5052143
73	8943.5432308
74	8945.0896071
75	8943.5969011
76	8942.9517390
77	8944.3591875
78	8944.8701990
79	8944.4455283
80	8944.2659167
81	8945.0053000
82	8945.4803942
83	8945.5827033
84	8944.9674890
85	8943.9059527
86	8943.9700731
87	8943.6941786
88	8944.1384094
89	8943.9011416
90	8944.0488500
91	8945.1976368
92	8946.4959375
93	8946.4396667
94	8946.0786779
95	8945.9037003
96	8945.7933231
97	8945.4190833
98	8945.7637499
99	8945.0449087
100	8944.4482188
101	8943.6458534
102	8943.9854519
103	8945.7621635
104	8946.0569776
105	8946.0689999
106	8945.5156154
107	8945.4034154
108	8945.3842923
109	8945.2785714
110	8943.9394687
111	8942.9092500
112	8943.8840193
113	8943.7443078
114	8941.4440500
115	8941.6933269
116	8944.6831154
117	8944.2843286
118	8943.9434474
119	8943.7949968
120	8944.1671484
121	8944.6245246
122	8944.1729198
123	8944.2714904
124	8944.3784753
125	8945.2169400
126	8945.1681000
127	8943.8484808
128	8943.0462212
129	8943.7253365
130	8944.4355000
131	8944.4668077
132	8944.4321456
133	8944.9979203
134	8944.0333918
135	8943.8211015
136	8943.4926883
137	8944.2116500
138	8943.7704796
139	8943.8250000
140	8944.7877116
141	8945.3747308
142	8945.2651538
143	8945.1689567
144	8944.2359135
145	8943.9267500
146	8944.4830644
147	8944.6123885
148	8944.3239663
149	8944.1400337
150	8944.6297980
151	8945.3273779
152	8945.3919500
153	8945.8780392
154	8945.5473768
155	8945.4416944
156	8945.4110079
157	8945.1063338
158	8944.8085480
159	8944.6124063
160	8944.4355000
161	8944.1850385
162	8944.0624167
163	8943.9852954
164	8943.8005292
165	8943.5018255
166	8943.6783095
167	8944.0517255
168	8943.6215000
169	8942.2598975
170	8942.2048269
171	8943.9424038
172	8943.4470714
173	8943.3950753
174	8943.6559385
175	8943.4587000
176	8943.6796429
177	8945.3731595
178	8944.7625536
179	8943.6554167
180	8943.6113250
181	8943.7874308
182	8943.8363758
183	8943.3591765
184	8943.4180000
185	8942.0189375
186	8942.7947812
187	8942.9558678
188	8943.6528077
189	8944.1811250
190	8945.1862324
191	8945.1495670
192	8944.5045408
193	8944.3522500
194	8944.1710530
195	8944.3087038
196	8943.6362464
197	8943.7668571
198	8944.4120192
199	8943.9684936
200	8944.0476230
201	8943.7868437
202	8945.3103543
203	8944.0440692
204	8944.5243162
205	8944.3245000
206	8944.5260526
207	8945.9340000
208	8945.3051135
209	8944.6711371
210	8944.3557774
211	8943.8839687
212	8941.2353558
213	8941.5101875
214	8942.3343625
215	8942.7493571
216	8942.4821236
217	8943.5361442
218	8942.8958324
219	8942.7893304
220	8942.8141071
221	8942.9327308
222	8942.6040000
223	8942.0312980
224	8942.3333510
225	8943.2388093
226	8942.9528571
227	8943.0826875
228	8942.8302692
229	8943.8015192
230	8944.7172692
231	8944.4916690
232	8943.6362464
233	8943.5197500
234	8942.6447000
235	8942.8075000
236	8944.1621118
237	8944.3649614
238	8944.0188597
239	8944.2521940
240	8944.0879194
241	8944.3415769
242	8943.3773846
243	8942.7164377
244	8943.6347697
245	8943.9466505
246	8944.0721071
247	8943.6261239
248	8943.8310331
249	8943.9210577
250	8942.9069549
251	8943.5135373
252	8943.9678266
253	8943.9945833
254	8944.0566769
255	8943.0711652
256	8942.7699308
257	8942.6156665
258	8943.4225091
259	8943.5465486
260	8944.2990625
261	8944.8283285
262	8944.5576000
263	8944.2241731
264	8944.1913000
265	8944.1843333
266	8944.3186062
267	8943.5197500
268	8942.6149195
269	8943.4616071
270	8943.5294405
271	8943.2584799
272	8943.7140000
273	8943.3385401
274	8943.0222894
275	8943.0788333
276	8943.2632009
277	8943.0316765
278	8943.7683686
279	8943.7173798
280	8943.4248158
281	8943.2220087
282	8943.1244904
283	8943.0059908
284	8943.0236796
285	8942.9803985
286	8942.1835636
287	8941.7649617
288	8941.8081696
289	8941.1184500
290	8941.7645625
291	8941.6205048
292	8941.6301071
293	8941.7952179
294	8941.8578333
295	8942.2786678
296	8943.2123047
297	8942.2315827
298	8942.4954014
299	8943.7190104
300	8944.7483736
301	8945.2982150
302	8943.9571513
303	8943.1369227
304	8942.9639697
305	8942.9735132
306	8943.5108653
307	8943.0182679
308	8942.6972510
309	8942.9905712
310	8943.3397308
311	8943.3609753
312	8943.5808000
313	8944.7720577
314	8945.1604688
315	8945.2245800
316	8945.3832733
317	8945.6626358
318	8944.8354265
319	8944.0334877
320	8943.2314583
321	8943.5350619
322	8943.3840833
323	8944.0970707
324	8944.3720714
325	8944.5377244
326	8944.2222874
327	8943.5160279
328	8942.9231471
329	8942.8838125
330	8943.2170280
331	8943.3768155
332	8943.1153151
333	8941.8796369
334	8943.0618750
335	8942.8794135
336	8943.0013553
337	8942.8191622
338	8942.8365714
339	8943.4257129
340	8943.6263452
341	8944.5106012
342	8944.7843571
343	8944.1573833
344	8944.3383750
345	8943.9974464
346	8943.8128145
347	8944.0489278
348	8944.9418274
349	8944.7245042
350	8945.2841875
351	8945.4893393
352	8945.4596405
353	8944.9248802
354	8945.1165312
355	8944.7988929
356	8943.0618750
357	8943.2121290
358	8943.1563571
359	8942.2653649
360	8943.1738000
361	8943.1229250
362	8942.9957327
363	8943.3450776
364	8943.3961877
365	8943.4057749
366	8942.9750019
367	8942.6621429
368	8943.1127500
369	8942.9901875
370	8942.9959127
371	8943.1777782
372	8944.0192940
373	8944.0152857
374	8943.9259315
375	8944.1956167
376	8943.9357279
377	8944.4582830
378	8944.1570260
379	8943.6751863
380	8943.7188971
381	8942.8318039
382	8942.4877143
383	8943.0825495
384	8942.6766786
385	8942.6359216
386	8942.8515475
387	8943.3379300
388	8943.1854286
389	8943.0266538
390	8943.9364768
391	8944.2065625
392	8944.4293333
393	8944.6277818
394	8944.4191064
395	8945.2813846
396	8944.8715714
397	8943.7144447
398	8943.3271696
399	8943.5641500
400	8944.6353000
401	8944.1773073
402	8944.8607953
403	8944.3314375
404	8944.1649086
405	8944.5434167
406	8944.7689574
407	8944.3827953
408	8944.4399464
409	8945.2969833
410	8946.3586531
411	8944.9128000
412	8944.5926238
413	8944.9589307
414	8944.4604616
415	8943.9267500
416	8943.2973349
417	8943.5336250
418	8942.7057500
419	8942.5158167
420	8943.5373606
421	8943.5062385
422	8944.6858050
423	8944.8628500
424	8944.2443653
425	8944.8520284
426	8943.5380492
427	8943.6570537
428	8943.9144339
429	8943.5520247
430	8943.2392501
431	8942.7802582
432	8942.0184489
433	8942.5022500
434	8943.2118910
435	8943.8635579
436	8943.9187325
437	8943.8351594
438	8943.9291781
439	8943.3939191
440	8943.3072940
441	8942.8094567
442	8943.2006250
443	8944.8784327
444	8945.0163229
445	8944.6829177
446	8945.1507938
447	8944.7506607
448	8944.7113308
449	8943.6717549
450	8943.4921491
451	8943.1462286
452	8943.5621458
453	8943.4383500
454	8941.6882500
455	8942.0613333
456	8942.4853269
457	8942.0229461
458	8943.2098038
459	8945.1243961
460	8945.0401298
461	8943.9572750
462	8943.2977500
463	8943.2179560
464	8943.8549100
465	8942.1788304
466	8942.4309691
467	8942.2710000
468	8942.3511667
469	8943.2090449
470	8943.2376410
471	8943.2313584
472	8944.0625301
473	8944.2617423
474	8942.8187538
475	8942.8329375
476	8944.2711346
477	8943.7910833
478	8943.8758750
479	8944.3150958
480	8944.5251282
481	8943.8702222
482	8944.1980833
483	8943.9189231
484	8943.8511643
485	8943.0662357
486	8942.4975274
487	8942.4983365
488	8943.2000449
489	8942.6053620
490	8942.3696463
491	8942.3765652
492	8941.9974135
493	8942.7275536
494	8943.3652614
495	8943.3175545
496	8943.5960625
497	8944.0285000
498	8943.8237308
499	8943.5410962
500	8944.1949807
501	8944.8795000
502	8944.9239000
503	8945.1408125
504	8944.9547164
505	8945.0527088
506	8946.3202976
507	8945.5286603
508	8944.9565495
509	8944.2574375
510	8943.9287595
511	8943.8758750
512	8943.9340179
513	8944.1509354
514	8943.7476919
515	8944.1048125
516	8943.7446419
517	8943.4903990
518	8943.5633571
519	8942.1708750
520	8941.9668512
521	8942.2377000
522	8943.5237781
523	8943.3925625
524	8942.8923874
525	8943.3671250
526	8943.5421202
527	8943.4414222
528	8943.1205769
529	8943.1675385
530	8943.6767357
531	8944.0220934
532	8943.9882473
533	8944.1904780
534	8946.0835760
535	8946.0925714
536	8946.8775000
537	8946.5340937
538	8944.7797788
539	8945.0737500
540	8945.2863792
541	8945.1285576
542	8945.0387321
543	8946.1202225
544	8946.4647280
545	8946.5112000
546	8946.2936538
547	8944.0421971
548	8944.0640769
549	8944.2404792
550	8944.7246625
551	8946.4654125
552	8946.5252885
553	8945.7258750
554	8946.0712211
555	8946.1837215
556	8945.9785220
557	8945.7328125
558	8945.2984183
559	8945.2640357
560	8945.2015601
561	8945.2192765
562	8944.7279423
563	8944.3155193
564	8944.0308125
565	8944.5118125
566	8944.4493750
567	8944.2862667
568	8945.2902000
569	8945.8230000
570	8945.6997005
571	8945.3583654
572	8945.2917857
573	8945.5954500
574	8945.4773423
575	8945.3729519
576	8945.4293413
577	8945.2794439
578	8945.5640048
579	8946.6333000
580	8947.1346144
581	8947.3539375
582	8947.5970179
583	8946.7357768
584	8946.4481374
585	8946.2323681
586	8945.6504359
587	8945.7751026
588	8946.2560982
589	8946.2608830
590	8946.1495962
591	8945.8456859
592	8946.0889375
593	8947.4112644
594	8947.0229327
595	8947.2657217
596	8947.7932500
597	8947.7451346
598	8946.9962083
599	8945.7790865
600	8946.4861538
601	8946.5421692
602	8946.7209615
603	8947.2318462
604	8946.3978214
605	8946.1906875
606	8946.1495962
607	8946.1822083
608	8945.6996068
609	8945.7797136
610	8945.5764670
611	8945.6203269
612	8944.4355000
613	8944.1302500
614	8945.0515529
615	8944.9463654
616	8944.6546538
617	8945.6225833
618	8946.3221146
619	8946.1797857
620	8948.1832917
621	8947.8717429
622	8945.7285077
623	8945.7520630
624	8945.4345000
625	8947.3615833
626	8948.2834135
627	8947.8363251
628	8947.8492125
629	8948.0613221
630	8948.0026202
631	8948.0064405
632	8947.8689103
633	8947.8857500
634	8947.7322000
635	8946.7926346
636	8946.1922885
637	8945.8091250
638	8945.8260833
639	8946.1064537
640	8946.1077391
641	8945.8698687
642	8946.2200385
643	8946.2454231
644	8945.8671923
645	8945.7191154
646	8945.7086795
647	8945.7771651
648	8945.7762484
649	8945.8378412
650	8945.6473653
651	8945.2381154
652	8945.0882654
653	8945.2433654
654	8944.7843571
655	8944.8693352
656	8945.2573269
657	8945.5567067
658	8944.8376875
659	8945.0968750
660	8946.1876635
661	8945.1146491
662	8945.2291500
663	8945.0460000
664	8945.0561538
665	8945.6361236
666	8945.8762320
667	8945.8361789
668	8945.6473211
669	8945.1105721
670	8944.3709279
671	8944.1000604
672	8944.0678125
673	8944.3904062
674	8945.9637115
675	8945.8520884
676	8945.1681000
677	8944.8134286
678	8944.6676987
679	8944.5382284
680	8945.6241591
681	8946.2997875
682	8945.0460000
683	8944.9051154
684	8944.9786182
685	8945.2902000
686	8945.4616778
687	8945.2043628
688	8945.9181429
689	8946.8874725
690	8946.1401455
691	8946.1829716
692	8946.3030233
693	8945.6034130
694	8945.0841563
695	8944.9510986
696	8945.2654233
697	8946.2493043
698	8944.1894042
699	8944.3649691
700	8944.5918691
701	8944.5927500
702	8944.2829367
703	8944.1302500
704	8943.8758750
705	8944.0913456
706	8943.9988059
707	8943.9243385
708	8943.8481250
709	8943.6215000
710	8943.9334180
711	8943.7704911
712	8943.6287679
713	8944.2135000
714	8944.2421630
715	8943.5061833
716	8944.8332500
717	8945.3004349
718	8944.8628500
719	8944.4180571
720	8944.8550600
721	8945.2754315
722	8945.1435516
723	8945.4549446
724	8945.5578124
725	8944.9442500
726	8944.3507083
727	8946.4211667
728	8944.4797391
729	8944.4614363
730	8944.7916250
731	8944.5372500
732	8945.9956667
733	8945.2902000
734	8944.3863044
735	8943.5126143
736	8942.9601250
737	8943.2025865
738	8944.4355000
739	8943.9471000
740	8942.2250760
741	8942.3423571
742	8942.1970000
743	8942.1122083
744	8941.9765417
745	8943.2121875
746	8943.2885000
747	8943.3501667
748	8943.4070982
749	8943.2399375
750	8942.7912208
751	8942.1533929
752	8942.0722351
753	8941.3385502
754	8941.0755476
755	8941.2843369
756	8941.5184117
757	8941.4332765
758	8942.6447000
759	8942.8838125
760	8942.6548750
761	8940.4570750
762	8940.1758301
763	8940.1183929
764	8940.9918905
765	8941.1645368
766	8941.2852851
767	8941.4847500
768	8941.7730417
769	8941.3321250
770	8941.3677806
771	8941.4266071
772	8941.4406277
773	8941.8431259
774	8941.5661500
775	8940.9632813
776	8940.8844250
777	8940.8409500
778	8940.2166462
779	8940.0563817
780	8939.9924167
781	8939.2646959
782	8939.3530559
783	8939.0262514
784	8939.1729600
785	8939.6532500
786	8937.2878465
787	8937.1827936
788	8940.3595147
789	8941.1795000
790	8941.6697500
791	8941.6848053
792	8941.6864000
793	8942.2478750
794	8941.9426250
795	8942.6771277
796	8942.8680289
797	8941.7318571
798	8940.0659762
799	8939.3529921
800	8939.2945556
801	8938.7909444
802	8938.3559375
803	8939.6278125
804	8940.2491042
805	8939.7773916
806	8940.1474643
807	8941.3830000
808	8941.6523382
809	8944.9733214
810	8945.7073750
811	8948.1874078
812	8948.5360250
813	8950.3675250
814	8953.4098500
815	8956.8588667
816	8960.4632833
817	8959.8154038
818	8962.4757750
819	8965.4907311
820	8975.5432500
821	8978.6845500
822	8983.2754548
823	8988.1201667
824	8990.9151608
825	8999.4631523
826	9002.1618313
827	9009.6926884
828	9012.5460652
829	9017.2966421
830	9019.9767329
831	9025.1571667
832	9031.5633056
833	9032.9848935
834	9032.9302500
835	9033.7563462
836	9039.5717500
837	9041.8768500
838	9042.6649500
839	9044.6701165
840	9044.8881875
841	9045.2936912
842	9047.8019375
843	9046.9929674
844	9046.4884375
845	9045.7276250
846	9042.8616667
847	9039.9448333
848	9036.9889444
849	9036.7052778
850	9035.4256944
851	9032.5384671
852	9029.9148063
853	9029.1068718
854	9023.4027500
855	9019.0099022
856	9018.7333500
857	9016.8543667
858	9014.1121877
859	9010.3941667
860	9006.2627904
861	9003.4853092
862	9000.9939643
863	8995.8592232
864	8993.2556224
865	8992.6650000
866	8989.6125000
867	8987.1094500
868	8985.1447500
869	8981.6341029
870	8978.3847348
871	8978.2877250
872	8976.3435265
873	8973.5580577
874	8971.8271218
875	8968.7639250
876	8967.6880314
877	8966.7914286
878	8966.7696250
879	8966.1773529
880	8965.9232500
881	8962.2479167
882	8962.2417500
883	8962.0567500
884	8960.3764281
885	8958.6487857
886	8958.1717500
887	8956.1552500
888	8955.4261618
889	8955.5335179
890	8954.9012143
891	8954.3442669
892	8951.1518925
893	8951.0079225
894	8950.7113275
895	8950.4387500
896	8949.5657549
897	8949.1707885
898	8948.3528750
899	8947.8264212
900	8948.6611992
901	8948.1720336
902	8947.8140625
903	8947.2629329
904	8947.7481830
905	8948.3612116
906	8947.2375385
907	8946.8916185
908	8946.4660761
909	8945.5547500
910	8944.6729167
911	8943.9505098
912	8943.8639426
913	8944.2126190
914	8943.9521875
915	8943.8100997
916	8943.9128750
917	8944.9951250
918	8945.0493230
919	8944.3778910
920	8944.9612083
921	8944.4748125
922	8944.1071250
923	8943.4704167
924	8943.7910833
925	8941.3688583
926	8942.3160674
927	8942.8007167
928	8941.5312643
929	8942.8392537
930	8943.5559305
931	8942.7348214
932	8941.3465081
933	8942.1495938
934	8942.2648333
935	8941.4918283
936	8941.8408750
937	8941.0815638
938	8941.1068214
939	8940.9662625
940	8940.9857375
941	8941.0136257
942	8941.9553437
943	8941.4949250
944	8940.5678475
945	8939.5515000
946	8938.0870980
947	8938.5381111
948	8938.0334722
949	8937.9142500
950	8938.3747391
951	8938.4822729
952	8937.9998125
953	8937.2687609
954	8937.6564824
955	8937.6691250
956	8937.4643036
957	8937.4535119
958	8936.9161750
959	8936.6821500
960	8936.5417384
961	8936.4053437
962	8936.3972500
963	8936.5042179
964	8936.5608794
965	8936.2319063
966	8936.6007500
967	8934.7353333
968	8934.8710000
969	8935.0919429
970	8935.1695730
971	8933.3786667
972	8933.7274813
973	8934.1253275
974	8934.6422896
975	8934.7110334
976	8933.9826442
977	8934.6662206
978	8932.1885325
979	8932.7147871
980	8933.7606754
981	8931.8948125
982	8931.9203670
983	8931.7012100
984	8932.1964286
985	8932.5638669
986	8932.6490303
987	8932.4353635
988	8929.2265536
989	8928.7370711
990	8928.7084408
991	8928.5474461
992	8929.7523500
993	8929.4067955
994	8928.5973932
995	8926.4388321
996	8926.2008289
997	8922.4164430
998	8921.9068437
999	8917.2319002
1000	8914.4392917
1001	8914.6518214
1002	8910.8051429
1003	8909.3850476
1004	8908.2270357
1005	8904.7972004
1006	8904.6803214
1007	8900.8816548
1008	8897.3833929
1009	8897.2459643
1010	8894.6211106
1011	8892.3664393
1012	8891.1207611
1013	8890.1354785
1014	8886.9766765
1015	8887.7291749
1016	8888.6086667
1017	8887.7927378
1018	8886.2784943
1019	8887.4555000
1020	8884.6597976
1021	8885.4833960
1022	8885.5222500
1023	8885.4859107
1024	8884.5402083
1025	8887.3440295
1026	8887.8625000
1027	8888.8121667
1028	8890.7030208
1029	8891.6187708
1030	8894.0692500
1031	8893.7825000
1032	8896.5112500
1033	8898.2348078
1034	8899.4584028
1035	8900.6321250
1036	8904.8838214
1037	8905.8527965
1038	8905.5379286
1039	8906.8833798
1040	8907.5002500
1041	8911.8191462
1042	8912.1511542
1043	8912.5155958
1044	8916.1405208
1045	8916.7108861
1046	8917.8561389
1047	8920.0155000
1048	8920.8178759
1049	8923.4912210
1050	8925.7716429
1051	8928.8532143
1052	8930.3408042
1053	8929.1533560
1054	8930.0648088
1055	8931.3921190
1056	8931.7167500
1057	8933.5875219
1058	8934.0816793
1059	8934.9521987
1060	8935.7867500
1061	8936.6033151
1062	8936.7858605
1063	8939.3378250
1064	8940.1827453
1065	8939.1793703
1066	8938.7469355
1067	8938.8901250
1068	8939.6862857
1069	8940.2905075
1070	8940.8081548
1071	8941.1213571
1072	8940.9768703
1073	8941.2667143
1074	8940.6707500
1075	8941.7371429
1076	8942.6366118
1077	8942.4659107
1078	8942.9177292
1079	8943.8860500
1080	8944.4355000
1081	8943.6550186
1082	8943.0471604
1083	8943.9623183
1084	8943.7777589
1085	8944.4533901
1086	8944.6627276
1087	8944.9924474
1088	8945.3178077
1089	8945.4091842
1090	8944.8908928
1091	8945.2280789
1092	8946.2963853
1093	8945.9956667
1094	8946.5157222
1095	8946.8675797
1096	8946.5286429
1097	8946.3614821
1098	8946.0329377
1099	8945.4006166
1100	8944.4936429
1101	8944.5847333
1102	8945.6721401
1103	8945.7302319
1104	8946.0295833
1105	8945.5809193
1106	8946.0076373
1107	8946.0679239
1108	8945.6834121
1109	8945.5716559
1110	8946.6061667
1111	8947.3862500
1112	8947.7932500
1113	8947.6514167
1114	8946.6748550
1115	8948.2769023
1116	8948.2467577
1117	8947.7787143
1118	8947.1955908
1119	8946.6920019
