x	y
1	3.1781889
2	3.1781889
3	3.1781021
4	3.1780798
5	3.1780737
6	3.1781268
7	3.1781221
8	3.1780900
9	3.1781008
10	3.1780877
11	3.1780798
12	3.1780376
13	3.1780676
14	3.1780671
15	3.1779629
16	3.1779781
17	3.1780052
18	3.1780279
19	3.1780534
20	3.1780798
21	3.1780697
22	3.1780449
23	3.1780144
24	3.1779986
25	3.1780192
26	3.1780493
27	3.1780335
28	3.1781256
29	3.1781226
30	3.1781165
31	3.1780387
32	3.1779994
33	3.1780511
34	3.1780534
35	3.1780507
36	3.1780564
37	3.1781064
38	3.1781392
39	3.1781280
40	3.1780577
41	3.1780432
42	3.1780268
43	3.1780165
44	3.1780120
45	3.1780030
46	3.1779995
47	3.1779917
48	3.1780052
49	3.1780075
50	3.1779522
51	3.1779578
52	3.1779315
53	3.1778913
54	3.1779229
55	3.1778873
56	3.1778833
57	3.1779150
58	3.1778357
59	3.1778097
60	3.1778105
61	3.1778814
62	3.1779052
63	3.1779001
64	3.1778991
65	3.1778618
66	3.1779316
67	3.1779352
68	3.1779300
69	3.1779522
70	3.1779718
71	3.1779578
72	3.1779264
73	3.1779272
74	3.1779272
75	3.1778995
76	3.1779014
77	3.1778903
78	3.1779222
79	3.1779415
80	3.1779211
81	3.1778986
82	3.1778891
83	3.1779085
84	3.1779120
85	3.1779059
86	3.1777089
87	3.1777135
88	3.1777950
89	3.1777979
90	3.1777659
91	3.1778225
92	3.1778027
93	3.1777898
94	3.1778544
95	3.1778532
96	3.1778560
97	3.1778851
98	3.1778943
99	3.1778884
100	3.1778188
101	3.1777829
102	3.1777502
103	3.1777940
104	3.1778048
105	3.1778144
106	3.1778095
107	3.1778171
108	3.1778497
109	3.1778519
110	3.1778102
111	3.1777924
112	3.1778128
113	3.1778075
114	3.1778051
115	3.1778033
116	3.1778032
117	3.1778075
118	3.1778138
119	3.1778269
120	3.1778330
121	3.1778303
122	3.1777840
123	3.1777920
124	3.1777868
125	3.1777543
126	3.1776299
127	3.1776392
128	3.1776484
129	3.1776678
130	3.1776858
131	3.1776743
132	3.1776762
133	3.1776745
134	3.1776647
135	3.1777135
136	3.1777197
137	3.1776785
138	3.1776867
139	3.1776983
140	3.1776948
141	3.1776674
142	3.1776731
143	3.1776152
144	3.1776199
145	3.1776205
146	3.1776384
147	3.1776525
148	3.1777238
149	3.1777071
150	3.1776975
151	3.1776586
152	3.1776525
153	3.1776600
154	3.1776830
155	3.1777109
156	3.1777161
157	3.1777142
158	3.1777042
159	3.1777364
160	3.1776854
161	3.1776864
162	3.1776932
163	3.1777102
164	3.1776525
165	3.1776396
166	3.1776647
167	3.1776263
168	3.1776686
169	3.1777047
170	3.1776864
171	3.1777022
172	3.1776932
173	3.1776394
174	3.1776281
175	3.1775253
176	3.1775429
177	3.1775609
178	3.1775431
179	3.1775558
180	3.1776949
181	3.1776226
182	3.1775833
183	3.1775998
184	3.1775961
185	3.1775784
186	3.1775914
187	3.1776355
188	3.1776372
189	3.1776137
190	3.1775982
191	3.1775838
192	3.1775915
193	3.1775821
194	3.1775779
195	3.1775941
196	3.1775970
197	3.1775670
198	3.1775270
199	3.1775357
200	3.1775388
201	3.1776149
202	3.1776118
203	3.1776098
204	3.1775762
205	3.1775991
206	3.1775711
207	3.1775738
208	3.1775713
209	3.1775711
210	3.1775206
211	3.1775304
212	3.1776220
213	3.1776127
214	3.1775304
215	3.1773880
216	3.1774083
217	3.1774866
218	3.1774845
219	3.1774824
220	3.1773880
221	3.1774156
222	3.1774354
223	3.1774318
224	3.1774508
225	3.1774600
226	3.1774693
227	3.1774643
228	3.1774609
229	3.1774575
230	3.1774257
231	3.1775398
232	3.1775342
233	3.1774795
234	3.1773778
235	3.1773778
236	3.1773981
237	3.1774327
238	3.1774697
239	3.1774694
240	3.1774775
241	3.1774643
242	3.1774897
243	3.1774897
244	3.1774592
245	3.1774571
246	3.1774510
