Seconds	Ch1	Ch2
1	658.120000	520.720000
1	658.030000	520.590000
1	658.130000	520.540000
1	657.990000	520.640000
1	658.140000	520.610000
1	658.060000	520.570000
1	658.180000	520.640000
1	657.980000	520.540000
1	658.020000	520.520000
1	658.110000	520.720000
1	657.930000	520.600000
1	658.080000	520.550000
1	658.020000	520.450000
1	657.980000	520.540000
2	658.050000	520.610000
2	658.110000	520.450000
2	658.060000	520.460000
2	657.980000	520.470000
2	658.120000	520.660000
2	658.110000	520.590000
2	658.070000	520.550000
2	658.040000	520.560000
2	658.080000	520.530000
2	657.960000	520.610000
2	657.920000	520.530000
2	658.070000	520.590000
3	658.170000	520.500000
3	658.100000	520.550000
3	658.130000	520.600000
3	658.040000	520.550000
3	658.200000	520.600000
3	658.050000	520.690000
3	658.010000	520.450000
3	658.010000	520.700000
3	657.950000	520.450000
3	658.090000	520.560000
3	657.930000	520.470000
3	658.060000	520.580000
3	658.070000	520.480000
3	658.170000	520.650000
4	658.090000	520.560000
4	658.110000	520.560000
4	657.940000	520.530000
4	658.050000	520.570000
4	658.090000	520.660000
4	658.050000	520.620000
4	658.100000	520.560000
4	658.000000	520.600000
4	657.980000	520.540000
4	658.120000	520.550000
4	657.840000	520.520000
4	657.970000	520.510000
5	658.130000	520.540000
5	658.040000	520.520000
5	657.980000	520.570000
5	658.080000	520.630000
5	658.030000	520.600000
5	658.030000	520.580000
5	658.170000	520.550000
5	657.970000	520.590000
5	658.050000	520.560000
5	658.110000	520.580000
5	658.160000	520.480000
5	657.930000	520.560000
6	658.020000	520.530000
6	658.010000	520.630000
6	657.940000	520.680000
6	657.830000	520.590000
6	658.090000	520.600000
6	658.210000	520.560000
6	658.170000	520.600000
6	658.080000	520.670000
6	658.170000	520.690000
6	658.190000	520.660000
6	658.200000	520.540000
6	657.910000	520.500000
6	658.070000	520.610000
7	658.090000	520.520000
7	658.030000	520.560000
7	658.090000	520.580000
7	658.110000	520.510000
7	657.990000	520.540000
7	658.150000	520.520000
7	657.980000	520.720000
7	657.990000	520.530000
7	658.080000	520.500000
7	658.150000	520.580000
7	658.070000	520.490000
7	658.170000	520.600000
8	658.070000	520.510000
8	658.040000	520.520000
8	657.990000	520.660000
8	658.140000	520.540000
8	657.950000	520.560000
8	658.060000	520.650000
8	658.090000	520.560000
8	658.080000	520.580000
8	658.020000	520.410000
8	658.170000	520.470000
8	658.090000	520.570000
8	658.090000	520.560000
9	658.100000	520.590000
9	658.080000	520.540000
9	657.980000	520.520000
9	658.110000	520.700000
9	657.990000	520.590000
9	658.010000	520.670000
9	657.960000	520.760000
9	658.090000	520.590000
9	658.100000	520.520000
9	658.110000	520.600000
9	658.110000	520.540000
9	658.030000	520.630000
9	658.030000	520.520000
10	658.040000	520.570000
10	658.030000	520.450000
10	658.050000	520.480000
10	658.130000	520.540000
10	658.060000	520.620000
10	657.990000	520.570000
10	658.290000	520.670000
10	658.010000	520.510000
10	658.170000	520.540000
10	658.160000	520.560000
10	657.960000	520.580000
10	658.110000	520.610000
11	658.130000	520.530000
11	658.000000	520.480000
11	657.900000	520.480000
11	657.860000	520.590000
11	658.050000	520.480000
11	657.930000	520.560000
11	658.140000	520.520000
11	658.170000	520.600000
11	657.940000	520.410000
11	658.150000	520.480000
11	658.130000	520.570000
11	658.170000	520.570000
12	657.970000	520.630000
12	658.130000	520.620000
12	658.080000	520.570000
12	658.070000	520.520000
12	657.940000	520.500000
12	658.080000	520.570000
12	657.960000	520.670000
12	658.020000	520.550000
12	658.040000	520.580000
12	658.140000	520.440000
12	657.920000	520.590000
12	657.930000	520.640000
13	658.070000	520.640000
13	658.100000	520.500000
13	658.160000	520.470000
13	658.100000	520.550000
13	657.960000	520.680000
13	658.010000	520.700000
13	658.130000	520.540000
13	658.190000	520.530000
13	658.120000	520.620000
13	657.980000	520.580000
13	657.960000	520.710000
13	658.070000	520.620000
13	658.040000	520.630000
13	658.070000	520.530000
