x	y
1	-0.8349852
2	-0.8349852
3	-0.8349749
4	-0.8349956
5	-0.8349694
6	-0.8347592
7	-0.8347097
8	-0.8347408
9	-0.8347188
10	-0.8348130
11	-0.8348389
12	-0.8348247
13	-0.8348066
14	-0.8348526
15	-0.8349045
16	-0.8349245
17	-0.8350059
18	-0.8350162
19	-0.8349707
20	-0.8349055
21	-0.8348693
22	-0.8347985
23	-0.8348043
24	-0.8348784
25	-0.8348944
26	-0.8349368
27	-0.8349531
28	-0.8348508
29	-0.8348600
30	-0.8348748
31	-0.8348065
32	-0.8347279
33	-0.8347041
34	-0.8346514
35	-0.8347093
36	-0.8348581
37	-0.8348554
38	-0.8348326
39	-0.8348438
40	-0.8348569
41	-0.8349495
42	-0.8348765
43	-0.8348855
44	-0.8348844
45	-0.8350446
46	-0.8350287
47	-0.8350381
48	-0.8350114
49	-0.8348940
50	-0.8348538
51	-0.8348391
52	-0.8348572
53	-0.8348477
54	-0.8348071
55	-0.8348574
56	-0.8348255
57	-0.8347366
58	-0.8348031
59	-0.8347925
60	-0.8348663
61	-0.8349023
62	-0.8348638
63	-0.8348555
64	-0.8348604
65	-0.8349602
66	-0.8349765
67	-0.8349265
68	-0.8349161
69	-0.8348807
70	-0.8348961
71	-0.8347611
72	-0.8347814
73	-0.8349735
74	-0.8348825
75	-0.8349229
76	-0.8348924
77	-0.8346920
78	-0.8346909
79	-0.8346789
80	-0.8346659
81	-0.8346915
82	-0.8348859
83	-0.8348099
84	-0.8347039
85	-0.8346672
86	-0.8347977
87	-0.8349279
88	-0.8350037
89	-0.8349625
90	-0.8349178
91	-0.8348796
92	-0.8349859
93	-0.8350419
94	-0.8349899
95	-0.8349082
96	-0.8348726
97	-0.8348673
98	-0.8348313
99	-0.8348583
100	-0.8348390
101	-0.8348323
102	-0.8349191
103	-0.8349851
104	-0.8349072
105	-0.8346654
106	-0.8347912
107	-0.8348604
108	-0.8349000
109	-0.8348617
110	-0.8348641
111	-0.8348720
112	-0.8348404
113	-0.8348427
114	-0.8348893
115	-0.8350556
116	-0.8351182
117	-0.8350277
118	-0.8349208
119	-0.8349272
120	-0.8349011
121	-0.8347462
122	-0.8347173
123	-0.8348274
124	-0.8348330
125	-0.8347923
126	-0.8347908
127	-0.8348403
