x	y
1	542.3150000
2	542.3150000
3	542.3109701
4	542.3107143
5	542.3100000
6	542.3095652
7	542.3179527
8	542.3223186
9	542.3166667
10	542.3075000
11	542.3121359
12	542.3148145
13	542.3174932
14	542.3100000
15	542.3075000
16	542.3050000
17	542.2924359
18	542.2914286
19	542.2966667
20	542.3014530
21	542.3014703
22	542.3018630
23	542.3020000
24	542.2985000
25	542.2950000
26	542.2855556
27	542.2859091
28	542.3007576
29	542.3010000
30	542.3016667
31	542.3159402
32	542.3214286
33	542.3233333
34	542.3175000
35	542.3097222
36	542.3101025
37	542.3100000
38	542.2941026
39	542.2952564
40	542.2964103
41	542.2966667
42	542.3070940
43	542.3056250
44	542.3057965
45	542.2791667
46	542.2791667
47	542.2791667
48	542.2825000
49	542.2882692
50	542.2866667
51	542.2857143
52	542.2898257
53	542.2900000
54	542.2900000
55	542.2880000
56	542.2854444
57	542.2933333
58	542.2930000
59	542.2969667
60	542.2880000
61	542.2820000
62	542.2833333
63	542.2862393
64	542.2891453
65	542.2809936
66	542.2790982
67	542.2798139
68	542.2816046
69	542.2833333
70	542.2788889
71	542.2793333
72	542.2769565
73	542.2706034
74	542.2850000
75	542.2822756
76	542.2844828
77	542.2803846
78	542.2850000
79	542.2837500
80	542.2844465
81	542.2850000
82	542.2846154
83	542.2833333
84	542.2869565
85	542.2963768
86	542.2950000
87	542.2716667
88	542.2593364
89	542.2650000
90	542.2683333
91	542.2681392
92	542.2700000
93	542.2700000
94	542.2768269
95	542.2852381
96	542.2850000
97	542.2819358
98	542.2825000
99	542.2777325
100	542.2872756
101	542.2847619
102	542.2805556
103	542.2761111
104	542.2850624
105	542.2837500
106	542.2635714
107	542.2627289
108	542.2632405
109	542.2795238
110	542.2838889
111	542.2808333
112	542.2780000
113	542.2766029
114	542.2700000
115	542.2625000
116	542.2444231
117	542.2487500
118	542.2634295
119	542.2655446
120	542.2678261
121	542.2862500
122	542.2845972
123	542.2666667
124	542.2666667
125	542.2750000
126	542.2760870
127	542.2711111
128	542.2700000
129	542.2575874
130	542.2607143
131	542.2611111
132	542.2590000
133	542.2535714
134	542.2550000
135	542.2604126
136	542.2700000
137	542.2687500
138	542.2680000
139	542.2657143
140	542.2562548
141	542.2562500
142	542.2500000
143	542.2500000
144	542.2473333
145	542.2363333
146	542.2416667
147	542.2456838
148	542.2466667
149	542.2616667
