x	y
1	-0.0076031
2	-0.0076031
3	-0.0076030
4	-0.0076032
5	-0.0076029
6	-0.0076010
7	-0.0076006
8	-0.0076009
9	-0.0076007
10	-0.0076015
11	-0.0076018
12	-0.0076016
13	-0.0076015
14	-0.0076019
15	-0.0076023
16	-0.0076025
17	-0.0076033
18	-0.0076034
19	-0.0076030
20	-0.0076024
21	-0.0076020
22	-0.0076014
23	-0.0076014
24	-0.0076021
25	-0.0076023
26	-0.0076026
27	-0.0076028
28	-0.0076019
29	-0.0076019
30	-0.0076021
31	-0.0076015
32	-0.0076007
33	-0.0076005
34	-0.0076000
35	-0.0076006
36	-0.0076019
37	-0.0076019
38	-0.0076017
39	-0.0076018
40	-0.0076019
41	-0.0076028
42	-0.0076021
43	-0.0076022
44	-0.0076022
45	-0.0076036
46	-0.0076035
47	-0.0076036
48	-0.0076033
49	-0.0076023
50	-0.0076019
51	-0.0076018
52	-0.0076019
53	-0.0076018
54	-0.0076015
55	-0.0076019
56	-0.0076016
57	-0.0076008
58	-0.0076014
59	-0.0076013
60	-0.0076020
61	-0.0076023
62	-0.0076020
63	-0.0076019
64	-0.0076019
65	-0.0076029
66	-0.0076030
67	-0.0076025
68	-0.0076025
69	-0.0076021
70	-0.0076023
71	-0.0076010
72	-0.0076012
73	-0.0076030
74	-0.0076021
75	-0.0076025
76	-0.0076022
77	-0.0076004
78	-0.0076004
79	-0.0076003
80	-0.0076002
81	-0.0076004
82	-0.0076022
83	-0.0076015
84	-0.0076005
85	-0.0076002
86	-0.0076014
87	-0.0076026
88	-0.0076033
89	-0.0076029
90	-0.0076025
91	-0.0076021
92	-0.0076031
93	-0.0076036
94	-0.0076031
95	-0.0076024
96	-0.0076021
97	-0.0076020
98	-0.0076017
99	-0.0076019
100	-0.0076018
101	-0.0076017
102	-0.0076025
103	-0.0076031
104	-0.0076024
105	-0.0076002
106	-0.0076013
107	-0.0076019
108	-0.0076023
109	-0.0076020
110	-0.0076020
111	-0.0076021
112	-0.0076018
113	-0.0076018
114	-0.0076022
115	-0.0076037
116	-0.0076043
117	-0.0076035
118	-0.0076025
119	-0.0076026
120	-0.0076023
121	-0.0076009
122	-0.0076006
123	-0.0076016
124	-0.0076017
125	-0.0076013
126	-0.0076013
127	-0.0076018
128	-0.0076014
129	-0.0076027
130	-0.0076027
131	-0.0076025
132	-0.0076007
133	-0.0076017
134	-0.0076020
135	-0.0076019
136	-0.0076011
137	-0.0076011
138	-0.0076011
139	-0.0076013
140	-0.0076019
141	-0.0076024
142	-0.0076027
143	-0.0076020
144	-0.0076021
145	-0.0076030
146	-0.0076028
147	-0.0076026
148	-0.0076025
149	-0.0076002
150	-0.0076002
151	-0.0076006
152	-0.0076007
153	-0.0076015
154	-0.0076027
155	-0.0076029
156	-0.0076030
157	-0.0076056
158	-0.0076055
159	-0.0076046
160	-0.0076050
161	-0.0076045
162	-0.0076033
163	-0.0076030
164	-0.0076030
165	-0.0076034
166	-0.0076033
167	-0.0076031
168	-0.0076031
169	-0.0076034
170	-0.0076035
171	-0.0076033
172	-0.0076029
173	-0.0076027
174	-0.0076018
175	-0.0076016
176	-0.0076014
177	-0.0076022
178	-0.0076028
179	-0.0076027
180	-0.0076014
181	-0.0076015
182	-0.0076013
183	-0.0076023
184	-0.0076027
185	-0.0076034
186	-0.0076032
187	-0.0076031
188	-0.0076035
189	-0.0076032
190	-0.0076025
191	-0.0076020
192	-0.0076023
193	-0.0076024
194	-0.0076027
195	-0.0076027
196	-0.0076027
197	-0.0076026
198	-0.0076026
199	-0.0076022
200	-0.0076026
201	-0.0076027
202	-0.0076033
203	-0.0076031
204	-0.0076039
205	-0.0076042
206	-0.0076033
207	-0.0076018
208	-0.0076025
209	-0.0076024
210	-0.0076027
211	-0.0076024
212	-0.0076022
213	-0.0076021
214	-0.0076021
215	-0.0076011
216	-0.0076011
217	-0.0076019
218	-0.0076015
219	-0.0076010
220	-0.0076019
221	-0.0076024
222	-0.0076022
223	-0.0076021
224	-0.0076037
225	-0.0076033
226	-0.0076031
227	-0.0076028
228	-0.0076031
229	-0.0076033
230	-0.0076033
231	-0.0076034
232	-0.0076036
233	-0.0076028
234	-0.0076022
235	-0.0076024
236	-0.0076022
237	-0.0076027
238	-0.0076025
239	-0.0076023
240	-0.0076024
241	-0.0076025
242	-0.0076018
243	-0.0076017
244	-0.0076022
245	-0.0076023
246	-0.0076025
247	-0.0076025
248	-0.0076026
249	-0.0076028
250	-0.0076026
251	-0.0076033
252	-0.0076031
253	-0.0076024
254	-0.0076023
255	-0.0076022
256	-0.0076030
257	-0.0076031
258	-0.0076027
259	-0.0076023
260	-0.0076031
261	-0.0076028
262	-0.0076029
263	-0.0076027
264	-0.0076027
265	-0.0076036
266	-0.0076041
267	-0.0076040
268	-0.0076040
269	-0.0076042
270	-0.0076044
271	-0.0076041
272	-0.0076039
273	-0.0076035
274	-0.0076035
