x	y
1	41458.1828571
2	41458.1828571
3	41457.8340000
4	41458.0247812
5	41457.7195312
6	41455.5912604
7	41455.6078072
8	41456.1856500
9	41455.6209375
10	41456.0025000
11	41456.5451667
12	41456.5660385
13	41456.5491746
14	41456.5519500
15	41456.9182500
16	41456.9652115
17	41457.0121731
18	41457.0539167
19	41456.9182500
20	41456.5582115
21	41456.1981731
22	41455.5141000
23	41455.5798462
24	41456.1073655
25	41456.0533750
26	41455.9007500
27	41456.0859745
28	41455.9692356
29	41456.0757600
30	41456.2643367
31	41456.4529133
32	41456.0025000
33	41455.8804000
34	41454.9975231
35	41455.1012857
36	41456.6130000
37	41456.5790833
38	41455.3806944
39	41455.5629400
40	41455.7650833
41	41456.7060534
42	41456.6130000
43	41456.6130000
44	41456.6130000
45	41456.5895192
46	41456.4298500
47	41456.5241288
48	41456.4603750
49	41455.6385481
50	41455.1390504
51	41454.9341250
52	41455.3654565
53	41455.2810000
54	41454.8752983
55	41455.2563333
56	41454.7815000
57	41454.3745000
58	41455.0189167
59	41455.1545833
60	41455.3450385
61	41455.3389130
62	41455.0358750
63	41455.1303571
64	41455.3567788
65	41455.8571429
66	41455.9036813
67	41455.4478103
68	41455.4530500
69	41455.2041538
70	41455.0867500
71	41453.7640000
72	41453.8221429
73	41455.3555940
74	41455.3241667
75	41455.5615833
76	41455.3920000
77	41453.1378462
78	41453.4078750
79	41453.2124136
80	41453.1244286
81	41453.4144645
82	41455.3345355
83	41454.4962298
84	41453.6579241
85	41453.8657500
86	41455.0867500
87	41454.9646500
88	41454.9693462
89	41454.9036000
90	41454.6594000
91	41454.2659667
92	41455.4428750
93	41456.0025000
94	41455.8987933
95	41455.5955000
96	41455.2250511
97	41454.9850000
98	41454.6594000
99	41454.6390500
100	41455.0285574
101	41454.8080435
102	41455.4185435
103	41455.8078478
104	41455.5751500
105	41453.0771875
106	41453.1026250
107	41453.7436500
108	41454.1710000
109	41454.7815000
110	41455.0722143
111	41454.9646500
112	41454.4762500
113	41454.4140577
114	41454.4762500
115	41455.6815962
116	41455.2041538
117	41454.5634643
118	41454.3908489
119	41454.5834496
120	41454.4617143
121	41454.0373682
122	41453.6477143
123	41453.6544231
124	41453.7098326
125	41453.8116063
126	41453.8626840
127	41454.0543542
128	41453.5605000
129	41454.2501305
130	41454.4791461
131	41454.2473125
132	41452.1301298
133	41452.9500000
134	41453.2787308
135	41453.5605000
136	41453.2953996
137	41453.2082885
138	41453.1453600
139	41453.2552500
140	41453.2552500
141	41453.8047000
142	41453.7993913
143	41453.0452843
144	41452.9311195
145	41453.3163000
146	41453.3860714
147	41453.4084341
148	41453.3570000
149	41451.7290000
150	41451.6350769
151	41452.2038333
152	41452.3966154
153	41452.4782500
154	41453.5156731
155	41453.6477143
156	41453.9166250
157	41456.7317083
158	41456.8899861
159	41455.8280714
160	41455.9702253
161	41456.0595751
162	41454.3627596
163	41454.1723045
164	41454.1710000
165	41454.5897404
166	41454.4762500
167	41454.3353654
168	41454.3338000
169	41454.6705000
170	41455.0257000
171	41454.7063615
172	41454.3870231
173	41454.2146071
174	41453.9335833
175	41453.8657500
176	41453.8657500
177	41453.7131250
178	41453.5303558
179	41453.4732857
180	41452.5430000
181	41452.5139286
182	41452.2410439
183	41453.3726538
184	41453.7894375
185	41454.8343317
186	41454.8006972
187	41454.5466923
188	41454.4617143
189	41453.9596731
190	41453.4078750
191	41452.5703942
192	41452.9500000
193	41453.0721000
194	41453.7718269
195	41453.7874808
196	41453.4078750
197	41453.3888365
198	41453.5839808
199	41453.1613269
200	41453.5636731
201	41453.7436500
202	41454.2388333
203	41454.1278461
204	41454.4959231
205	41454.4907857
206	41454.3454286
207	41453.0794729
208	41453.1195833
209	41453.1942000
210	41453.3444769
211	41452.3395000
212	41452.2002112
213	41452.2522857
214	41452.2813571
215	41451.8307500
216	41451.9121500
217	41452.6447500
218	41452.1947176
219	41451.6272500
220	41452.2377500
221	41452.5226500
222	41452.4666875
223	41452.4803846
224	41454.3901538
225	41453.6337600
226	41453.4732857
227	41453.6186429
228	41453.8996667
229	41453.6074615
230	41453.5870435
231	41453.9173314
232	41454.1710000
233	41453.3824375
234	41452.9062997
235	41452.8627857
236	41452.7643901
237	41452.6659945
238	41452.3734167
239	41452.3395000
240	41452.2988000
241	41452.3717281
242	41452.6011429
243	41452.5019087
244	41452.5019087
245	41452.8945593
246	41452.9500000
247	41452.5302812
248	41452.7546400
249	41452.7896501
250	41452.5521654
251	41453.1026250
252	41452.9030385
253	41451.7822029
254	41451.7871429
255	41451.8162143
256	41452.0342500
257	41452.0812115
258	41451.6950833
259	41451.3085073
260	41452.5837000
261	41452.9500000
262	41452.9299939
263	41453.0332500
264	41453.1874167
265	41453.9335833
266	41453.7591346
267	41453.6477143
268	41453.2552500
269	41453.4078750
270	41453.6035481
271	41453.4196154
272	41453.1069960
273	41452.6447500
274	41452.6447500
275	41452.7174286
276	41452.2581000
277	41452.3577769
278	41452.2925385
279	41451.3898333
280	41451.2057143
281	41451.3016500
282	41451.3559167
283	41450.9717452
284	41451.9168462
285	41452.0342500
286	41452.8143333
287	41452.5596174
288	41451.4941923
289	41451.5931923
290	41451.6950833
291	41453.5491944
292	41452.6883571
293	41452.1046923
294	41451.7759615
295	41451.9726923
296	41452.0953000
297	41452.1699167
298	41453.1888913
299	41453.1331500
300	41452.2174000
301	41450.8471667
302	41450.8176924
303	41450.7855000
304	41449.6612692
305	41449.8720625
306	41449.9738125
307	41450.2027500
308	41450.5080000
309	41450.5516071
310	41451.6417857
311	41451.5933333
312	41450.4740833
313	41450.4825625
314	41451.2711250
315	41451.5411538
316	41450.2790625
317	41450.4266000
318	41452.4209000
319	41453.5511077
320	41452.7804167
321	41451.2917500
322	41451.4104783
323	41451.4848000
324	41451.7154333
325	41451.6493696
326	41452.0342500
327	41452.0342500
328	41450.7339368
329	41450.8274513
330	41451.2406000
331	41451.1566563
332	41450.9258333
333	41450.8410000
334	41449.6484615
335	41449.9653333
336	41450.2498760
337	41450.7522000
338	41450.4469500
339	41449.9847143
340	41450.3045000
341	41450.1068702
342	41450.3293245
343	41451.1112930
344	41451.1101140
345	41450.5690500
346	41450.5952143
347	41450.7696429
348	41451.3474375
349	41451.2965625
350	41450.6351875
351	41450.7929000
352	41450.4283696
353	41449.7013732
354	41449.7230714
355	41450.2597747
356	41450.2463571
357	41449.4661196
358	41450.1894783
359	41451.4975953
360	41451.4848000
361	41451.1185000
362	41449.1852500
363	41449.1997857
364	41449.6962363
365	41449.9556429
366	41449.9280250
367	41449.9219852
368	41450.0645589
369	41449.9844940
370	41449.9264980
371	41449.8685020
372	41449.9229375
373	41449.5922500
374	41449.2635192
375	41449.3633125
376	41448.8596500
377	41448.2966333
378	41449.2146010
379	41449.2433929
380	41449.7448750
381	41449.8975000
382	41449.4565833
383	41449.1556816
384	41448.9491730
385	41450.0501250
386	41450.0382609
387	41450.0167777
388	41450.2705833
389	41450.5984444
390	41450.8530652
391	41450.9596626
392	41450.6141739
393	41450.5433913
394	41450.4726087
395	41450.2899643
396	41449.9970137
397	41449.9932866
398	41449.9895595
399	41450.0413518
400	41448.4182115
401	41447.8390192
402	41448.1968214
403	41448.3712500
404	41449.2191667
405	41449.2191667
406	41448.8922692
407	41449.2870000
408	41449.8975000
409	41449.5312000
410	41448.9817500
411	41449.1343750
412	41449.1343750
413	41449.8975000
414	41450.9658750
415	41450.5314808
416	41448.8430000
417	41448.5892857
418	41449.3742143
419	41449.6358571
420	41449.4226667
421	41449.4983269
422	41449.7369423
423	41448.9817500
424	41448.9817500
425	41449.0577271
426	41449.0183800
427	41449.1263668
428	41449.0653304
429	41448.1132411
430	41448.3066779
431	41448.3373333
432	41448.4521282
433	41448.6086667
434	41448.8018889
435	41448.9951111
436	41448.9279611
437	41448.8430000
438	41448.8036875
439	41448.8707500
440	41448.8962800
441	41448.4376087
442	41448.1220362
443	41448.2186250
444	41448.3712500
445	41448.8945357
446	41448.3579783
447	41447.2810714
448	41447.1877845
449	41447.5963846
450	41447.6504615
451	41447.5735324
452	41447.8070830
453	41447.8043571
454	41447.8625000
455	41449.1930769
456	41448.9029217
457	41448.5037486
458	41448.3947308
459	41448.3712500
460	41448.2929808
461	41448.3276429
462	41448.2186250
463	41448.3873158
464	41448.2016667
465	41446.8450000
466	41447.0145833
467	41447.6216047
468	41447.7946667
469	41447.9042626
470	41447.8781538
471	41447.8121651
472	41446.4787000
473	41446.8110833
474	41446.8450000
475	41446.8450000
476	41446.8450000
477	41446.8450000
478	41447.9351786
479	41447.9009093
480	41447.0100907
481	41447.1630562
482	41447.3334000
483	41449.1038500
484	41448.5238750
485	41448.4148571
486	41447.4555000
487	41447.4212487
488	41447.4555000
489	41450.3582308
490	41450.0618654
491	41449.1048653
492	41448.9817500
493	41448.5544000
494	41448.3712500
495	41447.9642500
496	41447.9787857
497	41447.9787857
498	41447.8609742
499	41447.3089800
500	41447.3445000
501	41447.2647187
502	41447.0151728
503	41446.8750625
504	41446.2791502
505	41446.1472857
506	41446.1790000
507	41446.1941212
508	41446.1897327
509	41446.1853442
510	41446.9213125
511	41448.3638712
512	41448.1254643
513	41447.0683214
514	41447.5165500
515	41447.6413043
516	41447.5904944
517	41447.5877124
518	41447.6590000
519	41447.4962000
520	41447.4289565
521	41446.7771667
522	41445.0863320
523	41445.1479554
524	41445.2632500
525	41446.5952500
526	41445.8881437
527	41446.0936154
528	41446.3277391
529	41445.8360109
530	41445.5629500
531	41445.7257500
532	41447.1730647
533	41447.3445000
534	41447.6682500
535	41447.6590000
536	41447.1839243
537	41446.4625165
538	41446.0600440
539	41445.9015000
540	41446.0818750
541	41447.1672083
542	41447.4555000
543	41447.4617109
544	41447.4888780
545	41447.5160451
546	41446.8450000
547	41446.8886071
548	41446.7895000
549	41447.1369783
550	41446.1373750
551	41444.9025000
552	41444.7360000
553	41445.1491667
554	41446.5927991
555	41446.5478679
556	41446.2853750
557	41447.0042609
558	41447.2056607
559	41446.7895893
560	41446.9213125
561	41447.2096042
562	41447.3011217
563	41447.1066429
564	41447.2374643
565	41447.1841667
566	41447.2520000
567	41447.3275717
568	41446.3362500
569	41446.2684167
570	41445.9188141
571	41445.4320848
572	41445.2680338
573	41445.5476875
574	41445.4968125
575	41444.9867580
576	41445.0623400
577	41445.1661250
578	41445.1196739
579	41445.2577000
580	41447.5029833
581	41447.3682857
582	41447.0739375
583	41446.6923750
584	41445.6240000
585	41445.6596786
586	41446.3388929
587	41446.5397500
588	41446.7173545
589	41446.1666667
590	41446.2332308
591	41445.9631667
592	41446.3400121
593	41446.9085535
594	41446.8450000
595	41446.5945385
596	41446.6096223
597	41447.1743008
598	41447.2206923
599	41447.0993750
600	41446.4804289
601	41446.4927885
602	41446.7839500
603	41446.1531000
604	41446.1734500
605	41446.3589709
606	41446.2647114
607	41446.2079565
608	41446.1951875
609	41445.8783750
610	41445.6958165
611	41445.7984286
612	41445.7003125
613	41445.2027316
614	41445.4205000
615	41446.5058333
616	41446.5397500
617	41447.0824167
618	41447.8007543
619	41446.9246304
620	41446.0236268
621	41446.8430433
622	41446.8068438
623	41446.6444351
624	41446.7510769
625	41446.6577150
626	41447.3246786
627	41447.1502500
628	41447.0131730
629	41446.7229000
630	41446.0216077
631	41446.1790000
632	41446.3516667
633	41445.1661250
634	41445.0474167
635	41444.9819808
636	41444.9524500
637	41444.4857490
638	41445.0716429
639	41444.4538750
640	41444.0367000
641	41444.0532961
642	41444.2809000
643	41444.2503750
644	41444.5556250
645	41445.9292500
646	41446.2345000
647	41446.5194000
648	41445.5222500
649	41445.7958586
650	41446.2079565
651	41445.9970833
652	41446.0635600
653	41447.1502500
654	41448.0660000
655	41447.8334286
656	41447.3944500
657	41446.6507500
658	41446.3753846
659	41446.3753846
660	41446.4693077
661	41446.9322143
662	41447.1871484
663	41447.0485000
664	41447.2859167
665	41447.2601400
666	41447.1163333
667	41447.0032778
668	41446.8902222
669	41444.6372279
670	41444.7941529
671	41444.8390714
672	41445.4459375
673	41445.7112143
674	41445.7984286
675	41445.6240000
676	41445.7458461
677	41445.5065962
678	41445.7540961
679	41445.9178269
680	41445.7003125
681	41445.8275000
682	41446.3023333
683	41446.1512500
684	41445.7402857
685	41445.4544167
686	41443.8768568
687	41445.1844400
688	41445.2560654
689	41445.1443214
690	41445.3569062
691	41445.4423576
692	41444.4708333
693	41445.0418188
694	41446.1327500
695	41446.1548696
696	41446.2054286
697	41446.1816683
698	41445.4713750
699	41445.7766250
700	41446.0818750
701	41445.9728571
702	41445.3054783
703	41444.1402876
704	41444.0250714
705	41444.5045986
706	41444.6560201
707	41444.6573750
708	41444.6182404
709	41444.6804758
710	41444.4225366
711	41444.4030000
712	41444.3690833
713	41444.3577778
714	41444.3464722
715	41445.0479807
716	41445.6579167
717	41444.8354375
718	41444.7167292
719	41444.5980208
720	41444.7082500
721	41445.3124038
722	41445.6005192
723	41445.5095313
724	41445.5519271
725	41444.7082500
726	41444.6646429
727	41444.5301875
728	41444.4560870
729	41444.4284375
730	41444.2621154
731	41445.1074231
732	41444.9466411
733	41444.3521250
734	41442.5388878
735	41443.8864231
736	41443.9594744
737	41444.0325256
738	41444.1704286
739	41443.8620033
740	41443.7139178
741	41443.5658322
742	41443.1820000
743	41442.0627500
744	41442.4188750
745	41443.7455385
746	41444.8726154
747	41444.8303500
748	41444.9698929
749	41444.9117500
750	41445.0425714
751	41444.9553571
752	41445.5985625
753	41445.4205000
754	41445.1661250
755	41445.2565146
756	41445.7648846
757	41445.3866539
758	41445.4774800
759	41445.2170000
760	41444.9795833
761	41445.2577000
762	41445.0604615
763	41445.5065962
764	41445.6240000
765	41443.9099038
766	41443.9669286
767	41443.9756500
768	41443.7111000
769	41443.7052857
770	41443.7416250
771	41444.7082500
772	41445.4439808
773	41444.8669800
774	41444.7746087
775	41444.7840452
776	41444.8608750
777	41445.0135000
778	41445.1007143
779	41445.2678750
