Index	Average	Type
1	0	Negative
2	17.5970762215672	Positive
3	3.39748882352747	Target
4	-0.544600782353561	Target
5	0.779201627446181	Target
6	-0.729379784320105	Target
7	5.80576947058523	Target
8	14.9745691254873	Target
9	0	Negative
10	-0.555279441170569	Target
11	-4.63870458431427	Target
12	-2.78627136863118	Target
13	2.85933068431611	Target
14	-6.41005953332976	Target
15	-3.90620595294347	Target
16	-5.33440808627261	Target
17	0	Negative
18	-4.35745288824304	Target
19	9.9086576078363	Target
20	-4.98927225686431	Target
21	-2.85190586079518	Target
22	-0.972414329414189	Target
23	9.76502320587828	Target
24	-0.285482945107694	Target
