x	y
1	3.2263419
2	3.2263419
3	3.2263412
4	3.2263399
5	3.2263331
6	3.2263263
7	3.2263134
8	3.2262919
9	3.2263066
10	3.2263047
11	3.2262201
12	3.2262216
13	3.2262400
14	3.2262654
15	3.2262787
16	3.2263032
17	3.2262816
18	3.2262971
19	3.2262903
20	3.2263281
21	3.2263442
22	3.2263352
23	3.2263187
24	3.2263602
25	3.2263889
26	3.2263551
27	3.2263648
28	3.2263526
29	3.2263610
30	3.2263826
31	3.2263995
32	3.2263760
33	3.2263534
34	3.2263147
35	3.2263325
36	3.2263966
37	3.2264386
38	3.2264467
39	3.2264315
40	3.2264162
41	3.2264162
42	3.2264077
43	3.2264230
44	3.2264315
45	3.2265361
46	3.2265092
47	3.2264663
48	3.2264315
49	3.2264315
50	3.2264315
51	3.2264070
52	3.2264176
53	3.2264707
54	3.2265230
55	3.2265116
56	3.2264009
57	3.2264033
58	3.2264492
59	3.2264951
60	3.2265352
61	3.2264442
62	3.2264586
63	3.2264620
64	3.2264162
65	3.2263975
66	3.2264213
67	3.2264467
68	3.2264772
69	3.2266064
70	3.2265400
71	3.2264378
72	3.2264481
73	3.2265090
74	3.2265037
75	3.2265188
76	3.2265254
77	3.2265911
78	3.2265739
79	3.2265688
80	3.2265612
81	3.2265650
82	3.2265918
83	3.2265688
84	3.2266005
85	3.2265980
86	3.2266310
87	3.2266140
88	3.2266368
89	3.2266508
90	3.2266390
91	3.2266384
92	3.2266378
93	3.2266031
94	3.2266273
95	3.2266604
96	3.2266100
97	3.2266108
98	3.2266375
99	3.2268255
100	3.2268496
101	3.2268016
102	3.2267301
103	3.2266909
104	3.2266807
105	3.2266844
106	3.2266629
107	3.2266650
108	3.2266757
109	3.2266781
110	3.2266718
111	3.2266818
112	3.2266867
113	3.2266604
114	3.2266757
115	3.2266867
116	3.2268130
117	3.2268130
118	3.2268065
119	3.2267977
120	3.2267696
121	3.2267672
122	3.2267596
123	3.2268227
124	3.2268245
125	3.2268306
126	3.2268964
127	3.2269066
128	3.2269273
129	3.2269198
130	3.2269155
131	3.2268303
132	3.2268206
133	3.2268406
134	3.2268351
135	3.2268829
136	3.2268893
137	3.2268779
138	3.2268791
139	3.2269439
140	3.2269427
141	3.2269343
142	3.2269339
143	3.2268651
144	3.2268588
145	3.2268675
146	3.2269118
147	3.2269198
148	3.2268964
149	3.2268855
150	3.2268893
151	3.2269015
152	3.2268642
153	3.2268710
154	3.2268699
155	3.2268908
156	3.2268893
157	3.2268878
158	3.2268872
159	3.2268893
160	3.2269779
161	3.2269948
162	3.2269885
163	3.2269809
164	3.2269214
165	3.2269538
166	3.2270584
167	3.2270114
168	3.2269992
169	3.2269815
170	3.2270114
171	3.2270000
172	3.2271324
173	3.2271234
174	3.2271363
175	3.2270954
176	3.2270924
177	3.2270869
178	3.2270815
179	3.2270819
180	3.2271335
181	3.2271335
182	3.2270349
183	3.2270445
184	3.2270521
185	3.2270542
186	3.2270648
187	3.2270621
188	3.2270594
189	3.2270260
190	3.2270541
191	3.2270821
192	3.2270898
193	3.2270877
194	3.2270854
195	3.2270867
196	3.2270338
197	3.2270419
198	3.2270639
199	3.2270467
200	3.2270521
201	3.2270859
202	3.2270877
203	3.2270979
204	3.2270768
205	3.2270894
206	3.2270496
207	3.2270335
208	3.2271030
209	3.2270883
210	3.2270642
211	3.2270983
212	3.2271002
213	3.2271465
214	3.2271102
215	3.2271030
216	3.2271030
217	3.2270701
218	3.2270566
219	3.2270604
220	3.2270340
221	3.2270393
222	3.2270446
223	3.2270300
224	3.2270244
225	3.2270292
226	3.2270664
227	3.2271064
228	3.2271547
229	3.2271259
230	3.2270613
231	3.2270664
232	3.2270409
233	3.2270420
234	3.2270920
235	3.2271349
236	3.2271363
237	3.2271144
238	3.2271193
239	3.2270639
240	3.2270691
241	3.2271663
242	3.2271722
243	3.2272089
244	3.2272168
245	3.2272090
246	3.2272125
247	3.2271835
248	3.2271641
249	3.2271363
250	3.2271375
251	3.2271218
252	3.2271093
253	3.2271592
254	3.2272164
255	3.2272164
256	3.2271640
257	3.2271705
258	3.2272069
259	3.2270943
260	3.2271292
261	3.2270983
262	3.2270992
263	3.2271518
264	3.2271803
265	3.2271779
266	3.2271787
267	3.2272245
268	3.2272251
269	3.2272301
270	3.2272223
271	3.2272190
272	3.2272207
273	3.2272425
274	3.2273167
275	3.2273000
276	3.2272709
277	3.2272251
278	3.2272140
279	3.2271838
280	3.2272691
281	3.2272640
282	3.2272793
283	3.2272835
284	3.2272918
285	3.2272739
286	3.2272739
287	3.2273296
288	3.2273261
289	3.2272926
290	3.2272556
291	3.2272122
292	3.2272122
293	3.2272124
294	3.2272251
295	3.2272488
296	3.2274082
297	3.2273805
298	3.2273760
299	3.2273331
300	3.2272914
301	3.2272981
302	3.2272955
303	3.2273370
304	3.2273472
305	3.2274388
306	3.2274435
307	3.2273185
308	3.2273127
309	3.2273143
310	3.2273498
311	3.2273655
312	3.2273646
313	3.2273472
314	3.2273472
315	3.2273930
316	3.2274138
317	3.2274266
318	3.2274327
319	3.2274327
320	3.2274021
321	3.2274408
322	3.2274295
323	3.2274082
324	3.2272629
325	3.2272615
326	3.2272617
327	3.2275304
328	3.2274856
329	3.2273839
330	3.2273939
331	3.2273995
332	3.2273845
333	3.2273721
334	3.2273646
335	3.2273472
336	3.2273480
337	3.2273574
338	3.2273655
339	3.2273153
340	3.2272910
341	3.2273215
342	3.2272952
343	3.2272963
344	3.2273240
345	3.2273516
346	3.2273860
347	3.2272771
348	3.2272556
349	3.2272386
350	3.2272522
351	3.2273030
352	3.2273137
353	3.2273244
354	3.2273319
355	3.2273385
356	3.2273306
357	3.2273336
358	3.2273472
359	3.2273523
360	3.2273701
361	3.2274176
362	3.2274317
363	3.2274327
364	3.2274540
365	3.2274722
366	3.2274689
367	3.2274307
368	3.2274307
369	3.2274429
370	3.2274380
371	3.2274617
372	3.2274667
373	3.2274756
374	3.2274617
375	3.2274164
376	3.2274110
377	3.2274063
378	3.2274599
379	3.2274566
380	3.2274576
381	3.2274897
382	3.2274245
383	3.2272984
384	3.2273100
385	3.2273594
386	3.2274266
387	3.2274468
388	3.2274482
389	3.2274332
390	3.2274454
391	3.2274578
392	3.2274674
393	3.2275017
394	3.2275798
395	3.2275764
396	3.2275731
397	3.2275456
398	3.2273228
399	3.2273751
400	3.2273741
401	3.2273734
402	3.2273553
403	3.2272936
404	3.2273210
405	3.2274809
406	3.2273854
407	3.2273726
408	3.2273776
409	3.2273826
410	3.2274612
411	3.2274606
412	3.2274310
413	3.2274304
414	3.2274464
415	3.2274571
416	3.2274507
417	3.2274334
418	3.2274063
419	3.2273831
420	3.2274042
421	3.2273908
422	3.2272973
423	3.2273014
424	3.2274540
425	3.2274480
426	3.2274340
427	3.2274364
428	3.2274360
429	3.2274571
430	3.2274937
431	3.2275268
432	3.2274891
433	3.2274815
434	3.2273732
435	3.2273625
436	3.2273716
437	3.2273570
438	3.2273625
439	3.2273777
440	3.2273949
441	3.2274006
442	3.2273777
443	3.2273636
444	3.2273625
445	3.2273695
446	3.2274700
447	3.2273722
448	3.2273712
449	3.2273702
450	3.2273438
451	3.2273014
452	3.2274155
453	3.2274858
454	3.2274670
455	3.2275186
456	3.2274505
457	3.2274624
458	3.2274311
459	3.2273878
460	3.2273396
461	3.2273947
462	3.2273960
463	3.2274205
464	3.2273549
465	3.2273726
466	3.2273858
467	3.2274043
468	3.2273995
469	3.2274360
470	3.2273908
471	3.2273655
472	3.2273716
473	3.2273723
474	3.2273730
475	3.2273777
476	3.2272838
477	3.2273121
478	3.2272861
479	3.2272861
480	3.2273298
481	3.2273381
482	3.2273445
483	3.2273497
484	3.2273167
485	3.2272744
486	3.2272709
487	3.2272251
488	3.2272418
489	3.2273121
490	3.2273371
491	3.2272887
492	3.2272964
493	3.2272590
494	3.2272404
495	3.2272421
496	3.2272251
497	3.2270284
498	3.2271950
499	3.2272251
500	3.2272319
501	3.2272430
502	3.2272324
503	3.2272292
504	3.2272022
505	3.2271700
506	3.2271378
507	3.2271303
508	3.2271123
509	3.2271488
510	3.2270997
511	3.2271269
512	3.2271152
513	3.2271145
514	3.2271742
515	3.2271980
516	3.2271885
517	3.2271106
518	3.2271187
519	3.2270950
520	3.2270572
521	3.2270589
522	3.2270521
523	3.2270449
524	3.2270725
525	3.2270678
526	3.2270573
527	3.2270791
528	3.2270725
529	3.2270763
530	3.2270700
531	3.2270877
532	3.2271335
533	3.2271335
534	3.2271335
535	3.2271330
536	3.2271396
537	3.2271539
538	3.2271353
539	3.2271263
540	3.2271216
541	3.2271284
542	3.2271091
543	3.2270988
544	3.2270978
545	3.2271159
546	3.2270759
547	3.2270589
548	3.2270469
549	3.2270623
550	3.2270661
551	3.2270382
552	3.2270534
553	3.2270847
554	3.2270860
555	3.2270386
556	3.2270581
557	3.2270725
558	3.2270991
559	3.2270725
560	3.2270810
561	3.2271145
562	3.2271091
563	3.2270768
564	3.2270786
565	3.2270855
566	3.2270267
567	3.2270267
568	3.2270908
569	3.2271379
570	3.2271077
571	3.2271071
572	3.2270877
573	3.2270916
574	3.2270852
575	3.2270842
576	3.2270883
577	3.2271294
