x	y
1	524.3020000
2	524.3020000
3	524.3023077
4	524.3204348
5	524.3227778
6	524.3281481
7	524.3283571
8	524.3285660
9	524.3275514
10	524.3150000
11	524.2975000
12	524.3061111
13	524.3256268
14	524.3269565
15	524.3313333
16	524.3331818
17	524.3225000
18	524.3300959
19	524.3320832
20	524.3340706
21	524.3318697
22	524.3296688
23	524.3250000
24	524.3052564
25	524.3130000
26	524.3131818
27	524.3137469
28	524.3125000
29	524.3121429
30	524.3050000
31	524.2975641
32	524.3273077
33	524.3242857
34	524.3062500
35	524.2959295
36	524.2947543
37	524.2977778
38	524.2975000
39	524.3000000
40	524.3025000
41	524.3037500
42	524.3033809
43	524.3047167
44	524.3013636
45	524.2865271
46	524.2850000
47	524.2869231
48	524.2790909
49	524.2800000
50	524.2950000
51	524.2912500
52	524.2933333
53	524.2941880
54	524.2950427
55	524.2940909
56	524.2918765
57	524.2907143
58	524.2890476
59	524.2881441
60	524.2880000
61	524.2883333
62	524.2900000
63	524.2875000
64	524.2957692
65	524.2955128
66	524.2952564
67	524.2969231
68	524.2923077
69	524.2950000
70	524.2988462
71	524.2980000
72	524.2950000
73	524.2948753
74	524.2930769
75	524.2838889
76	524.2841667
77	524.2773077
78	524.2734615
79	524.2737179
80	524.2739744
81	524.2777778
82	524.2769231
83	524.2765385
84	524.2880000
85	524.2890000
86	524.2800000
87	524.2934304
88	524.2914286
89	524.2875000
90	524.2831419
91	524.2836364
92	524.2790000
93	524.2787500
94	524.2692308
95	524.2796154
96	524.2813825
97	524.2808145
98	524.2757692
99	524.2762500
100	524.2750000
101	524.2620000
102	524.2606667
103	524.2593333
104	524.2626923
105	524.2655128
106	524.2683333
107	524.2671429
108	524.2676190
109	524.2700000
110	524.2700000
111	524.2718182
112	524.2721445
113	524.2724709
114	524.2728571
115	524.2750000
116	524.2750000
117	524.2750000
118	524.2741892
119	524.2824743
120	524.2815385
121	524.2714553
122	524.2718750
123	524.2677273
124	524.2594988
125	524.2595039
126	524.2580769
127	524.2592308
128	524.2700000
129	524.2740956
130	524.2650000
131	524.2691788
132	524.2672639
133	524.2600000
134	524.2583333
135	524.2572727
136	524.2555556
137	524.2550000
138	524.2552244
139	524.2553312
140	524.2554380
141	524.2579238
142	524.2598208
143	524.2582932
144	524.2524760
145	524.2523638
146	524.2533333
147	524.2557265
148	524.2533333
149	524.2519127
150	524.2535714
151	524.2517391
152	524.2377592
153	524.2387500
154	524.2400000
155	524.2382979
156	524.2417021
157	524.2500000
158	524.2445455
159	524.2446154
160	524.2416667
161	524.2420000
162	524.2424615
163	524.2425000
164	524.2525000
165	524.2520833
166	524.2385714
167	524.2292674
168	524.2199634
169	524.2248919
170	524.2412619
171	524.2404167
172	524.2306250
173	524.2305556
174	524.2306250
175	524.2300000
176	524.2294872
177	524.2325000
178	524.2316667
179	524.2259091
180	524.2250000
181	524.2300000
182	524.2478571
183	524.2450000
184	524.2396154
185	524.2353534
186	524.2352107
187	524.2222222
188	524.2319231
189	524.2366147
190	524.2332540
191	524.2320000
192	524.2261830
193	524.2255164
194	524.2227778
195	524.2200000
196	524.2143590
197	524.2087179
198	524.2086388
199	524.2059571
200	524.2086310
201	524.2143275
202	524.2171429
203	524.2228740
204	524.2271429
205	524.2305861
206	524.2340293
207	524.2341818
208	524.2381259
209	524.2332692
210	524.2054186
211	524.2113043
212	524.2050000
213	524.1883333
214	524.1904348
215	524.1950000
216	524.2110606
217	524.2138889
218	524.2143478
219	524.2138889
220	524.2111379
221	524.2138889
222	524.2097578
223	524.2056268
224	524.2050000
225	524.2070530
226	524.1973913
227	524.1994861
228	524.1957692
229	524.1950000
230	524.1738889
231	524.1755556
232	524.1995442
233	524.1998481
234	524.1995455
235	524.1985714
236	524.1906593
237	524.1773993
238	524.1857692
239	524.1850000
240	524.1853333
241	524.1844000
242	524.1753309
243	524.1800000
244	524.1922727
245	524.1900000
246	524.1900000
247	524.1914121
248	524.1923720
249	524.1935714
250	524.1914286
251	524.1866667
252	524.1857692
253	524.1814286
254	524.1815789
255	524.1809091
256	524.1683983
257	524.1700000
258	524.1680000
259	524.1681818
260	524.1685714
261	524.1650000
262	524.1665476
263	524.1673107
264	524.1680739
265	524.1650000
266	524.1657143
267	524.1710000
268	524.1718750
269	524.1725612
270	524.1690909
271	524.1630769
272	524.1643750
273	524.1711111
274	524.1771429
275	524.1645238
276	524.1575000
277	524.1571154
278	524.1567308
279	524.1560000
280	524.1588889
281	524.1600000
282	524.1555556
283	524.1555535
284	524.1650000
285	524.1867949
286	524.1814286
287	524.1650000
288	524.1638483
289	524.1628571
290	524.1615079
291	524.1850000
292	524.1848901
293	524.1770147
294	524.1753333
295	524.1704545
