Seconds	Ch1	Ch2
1	528.520000	524.280000
1	528.550000	524.330000
1	528.520000	524.240000
1	528.420000	524.290000
1	528.460000	524.270000
1	528.400000	524.270000
1	528.430000	524.320000
1	528.430000	524.320000
1	528.490000	524.370000
1	528.490000	524.390000
1	528.520000	524.270000
1	528.510000	524.310000
1	528.480000	524.390000
1	528.540000	524.350000
1	528.370000	524.130000
2	528.460000	524.270000
2	528.490000	524.350000
2	528.470000	524.400000
2	528.410000	524.300000
2	528.520000	524.320000
2	528.520000	524.370000
2	528.410000	524.330000
2	528.560000	524.320000
2	528.520000	524.310000
2	528.460000	524.370000
2	528.460000	524.280000
2	528.470000	524.230000
3	528.430000	524.380000
3	528.470000	524.220000
3	528.550000	524.340000
3	528.480000	524.320000
3	528.540000	524.290000
3	528.560000	524.190000
3	528.360000	524.350000
3	528.490000	524.290000
3	528.550000	524.350000
3	528.360000	524.340000
3	528.380000	524.320000
3	528.470000	524.320000
3	528.430000	524.370000
4	528.530000	524.350000
4	528.470000	524.400000
4	528.400000	524.420000
4	528.500000	524.380000
4	528.500000	524.330000
4	528.450000	524.230000
4	528.410000	524.380000
4	528.400000	524.220000
4	528.480000	524.370000
4	528.510000	524.310000
4	528.420000	524.280000
4	528.430000	524.410000
5	528.440000	524.300000
5	528.420000	524.360000
5	528.620000	524.330000
5	528.390000	524.250000
5	528.410000	524.310000
5	528.550000	524.260000
5	528.490000	524.360000
5	528.550000	524.360000
5	528.430000	524.370000
5	528.450000	524.240000
5	528.430000	524.390000
5	528.500000	524.380000
6	528.420000	524.210000
6	528.380000	524.310000
6	528.460000	524.370000
6	528.430000	524.310000
6	528.490000	524.280000
6	528.490000	524.460000
6	528.380000	524.400000
6	528.470000	524.270000
6	528.490000	524.380000
6	528.440000	524.330000
6	528.550000	524.320000
6	528.560000	524.330000
7	528.510000	524.300000
7	528.520000	524.440000
7	528.370000	524.380000
7	528.340000	524.320000
7	528.440000	524.310000
7	528.480000	524.320000
7	528.540000	524.270000
7	528.480000	524.310000
7	528.440000	524.280000
7	528.530000	524.350000
7	528.390000	524.300000
7	528.400000	524.350000
7	528.350000	524.340000
8	528.440000	524.320000
8	528.500000	524.310000
8	528.490000	524.380000
8	528.350000	524.310000
8	528.450000	524.330000
8	528.300000	524.350000
8	528.520000	524.310000
8	528.550000	524.280000
8	528.510000	524.310000
8	528.500000	524.300000
8	528.410000	524.400000
8	528.540000	524.330000
8	528.490000	524.400000
9	528.330000	524.330000
9	528.500000	524.310000
9	528.470000	524.230000
9	528.440000	524.310000
9	528.530000	524.340000
9	528.490000	524.270000
9	528.440000	524.310000
9	528.600000	524.380000
9	528.460000	524.340000
9	528.520000	524.350000
9	528.440000	524.250000
9	528.520000	524.300000
9	528.450000	524.440000
10	528.490000	524.270000
10	528.570000	524.250000
10	528.480000	524.320000
10	528.400000	524.310000
10	528.370000	524.140000
10	528.410000	524.300000
10	528.450000	524.340000
10	528.590000	524.260000
10	528.470000	524.240000
10	528.500000	524.340000
10	528.440000	524.350000
10	528.360000	524.360000
10	528.480000	524.290000
11	528.390000	524.270000
11	528.390000	524.270000
11	528.440000	524.330000
11	528.470000	524.330000
11	528.420000	524.190000
11	528.450000	524.230000
11	528.490000	524.340000
11	528.450000	524.220000
11	528.490000	524.270000
11	528.530000	524.280000
11	528.420000	524.310000
11	528.390000	524.360000
11	528.360000	524.160000
12	528.520000	524.380000
12	528.410000	524.360000
12	528.380000	524.290000
12	528.450000	524.380000
12	528.390000	524.300000
12	528.440000	524.400000
12	528.560000	524.480000
12	528.560000	524.220000
12	528.540000	524.340000
12	528.500000	524.330000
12	528.460000	524.330000
12	528.610000	524.290000
12	528.450000	524.380000
13	528.530000	524.370000
13	528.440000	524.350000
13	528.510000	524.310000
13	528.420000	524.390000
13	528.480000	524.360000
13	528.470000	524.380000
13	528.500000	524.300000
13	528.380000	524.270000
13	528.450000	524.320000
13	528.420000	524.350000
13	528.500000	524.390000
13	528.380000	524.350000
13	528.390000	524.220000
14	528.580000	524.300000
14	528.450000	524.220000
14	528.530000	524.390000
14	528.450000	524.330000
14	528.300000	524.300000
14	528.400000	524.330000
14	528.430000	524.340000
14	528.450000	524.310000
14	528.570000	524.380000
14	528.550000	524.270000
14	528.470000	524.360000
14	528.520000	524.370000
15	528.410000	524.250000
15	528.600000	524.410000
15	528.540000	524.310000
15	528.560000	524.240000
15	528.410000	524.330000
15	528.510000	524.270000
15	528.430000	524.350000
15	528.490000	524.450000
15	528.480000	524.450000
15	528.380000	524.390000
15	528.470000	524.440000
15	528.360000	524.370000
15	528.440000	524.360000
16	528.500000	524.270000
16	528.500000	524.260000
16	528.500000	524.310000
16	528.340000	524.380000
16	528.400000	524.320000
16	528.390000	524.350000
