x	y
1	254.7820000
2	254.7820000
3	254.7561371
4	253.6362065
5	253.4253333
6	253.0296389
7	252.8880006
8	252.6602661
9	252.8687372
10	253.6157885
11	253.8388558
12	253.3278229
13	252.3207471
14	252.4932443
15	252.3591837
16	252.4909086
17	252.9273750
18	252.6190475
19	252.4288258
20	252.6863355
21	252.9817126
22	253.0255100
23	253.1461731
24	254.7663462
25	254.5805872
26	254.2316250
27	254.2935865
28	254.2478125
29	254.3537555
30	255.0058500
31	255.6288731
32	253.5773654
33	253.5367738
34	254.2499866
35	255.0582164
36	255.7708945
37	256.0067271
38	256.1047500
39	255.7995000
40	255.4942500
41	255.4179375
42	255.3556789
43	255.4274052
44	255.7162500
45	257.6685907
46	257.4927445
47	256.9467033
48	257.0760000
49	257.0205000
50	256.1047500
51	256.0894875
52	256.0677500
53	256.5463782
54	257.0178910
55	256.9615312
56	255.9901923
57	256.0846236
58	256.6455531
59	257.1598938
60	257.5699500
61	256.6389375
62	256.6813333
63	256.8678750
64	255.9051635
65	255.7342756
66	255.9873462
67	256.1399712
68	256.7269904
69	257.8540673
70	256.9552756
71	255.9850615
72	256.2712500
73	256.8879423
74	256.9451538
75	257.6567757
76	257.7059140
77	258.7815577
78	258.8441731
79	258.7776442
80	258.6856779
81	258.4916354
82	258.8118870
83	258.6054519
84	258.2227154
85	258.1360500
86	259.0163654
87	258.0263653
88	258.3762857
89	258.7564342
90	258.9043867
91	258.8679385
92	259.1447269
93	258.8133202
94	259.6366490
95	259.3333558
96	258.7215865
97	258.7641208
98	259.3392260
99	261.1899375
100	261.5068269
101	261.8205563
102	261.1877495
103	260.8768250
104	260.5700096
105	260.4341566
106	260.0475625
107	260.1412547
108	260.2183571
109	260.0971154
110	260.0348438
111	260.0230500
112	260.0530769
113	259.7695288
114	259.8985714
115	259.8787500
116	261.1413750
117	261.1413750
118	261.1254644
119	260.5324444
120	260.3078077
121	260.8999039
122	260.7979688
123	261.6825000
124	262.2021899
125	262.2635192
126	263.0080962
127	263.0404615
128	262.5895073
129	262.2649615
130	262.7766429
131	261.6695110
132	261.6899785
133	262.3330240
134	262.3793333
135	262.9220192
136	263.0915833
137	263.0110312
138	263.0100529
139	263.6505561
140	263.6329455
141	263.3963985
142	263.2773278
143	262.6818157
144	262.9743381
145	263.0684039
146	263.4519945
147	263.3863974
148	263.2976923
149	263.2752692
150	263.2127143
151	263.4466761
152	263.9264373
153	263.9344125
154	263.8467039
155	264.1601546
156	263.9373394
157	263.4150962
158	263.7428782
159	263.7594808
160	264.8254230
161	264.9736500
162	264.8830355
163	264.8043750
164	263.5990288
165	263.9479792
166	265.8197143
167	265.9174753
168	266.3633863
169	265.8852098
170	265.1852089
171	265.1223437
172	267.0442882
173	266.9580833
174	267.0833437
175	266.7121875
176	266.7136683
177	266.4752644
178	266.4716683
179	266.8269231
180	267.3990000
181	267.0937500
182	265.0173791
183	265.2876875
184	265.6923606
185	265.9732730
186	266.0888554
187	266.8543872
188	266.2347346
189	265.6149130
190	266.1006865
191	266.4578441
192	266.8893967
193	266.9095966
194	267.0533109
195	267.2362000
196	267.0514846
197	267.4772692
198	267.7012538
199	267.6933335
200	267.5845368
201	267.5743632
202	267.4208036
203	267.1726683
204	266.7012857
205	266.6170531
206	266.0083235
207	265.8384581
208	266.2924121
209	266.4421587
210	267.9011106
211	267.8831134
212	268.2870048
213	269.7669952
214	269.2762115
215	268.9252500
216	267.9447500
217	267.4433526
218	267.2796167
219	267.3459338
220	267.2499009
221	267.1350399
222	267.4403277
223	267.5467877
224	267.5288509
225	267.4517276
226	268.4129609
227	268.6855795
228	269.3948654
229	269.1539529
230	269.7975343
231	269.7460333
232	268.0269214
233	268.0187764
234	268.5381731
235	269.0257912
236	269.5232473
237	270.1142435
238	269.6521755
239	269.1450300
240	269.1762333
241	270.2054911
242	270.8179486
243	270.9003001
244	270.2295000
245	270.2908421
246	270.3255903
247	269.9490402
248	269.6961897
249	269.3454643
250	269.4883509
251	269.6218462
252	269.5514038
253	270.3154457
254	270.8783910
255	270.9192857
256	271.1597857
257	271.1262632
258	271.6125211
259	270.4752857
260	270.8003571
261	270.7097885
262	270.6241116
263	271.1040790
264	271.3423902
265	271.5060000
266	271.4701629
267	271.6058146
268	271.5580313
269	271.5665221
270	271.7002201
271	272.0341038
272	271.9722991
273	271.7790952
274	272.1521786
275	272.7560714
276	272.8935000
277	272.4591058
278	272.3715865
279	272.1145077
280	272.7903933
281	272.6715000
282	273.0963478
283	273.1384178
284	272.6449952
285	271.1355731
286	271.4631857
287	273.0223833
288	273.0582920
289	272.7833346
290	272.4961905
291	270.6282237
292	270.6349325
293	271.1170680
294	271.3469000
295	271.8821667
296	273.8370000
297	273.7445000
298	273.8845459
299	273.5326987
300	273.2510843
301	272.7629448
302	272.7432231
303	273.4688500
304	273.8814000
305	274.8508000
306	274.8600144
307	273.4808645
308	273.6931223
309	274.0706692
310	274.4022326
311	274.3848643
312	274.2889286
313	273.7850223
314	274.1145000
315	274.9212321
316	275.1467819
317	275.3355000
318	275.3762000
319	274.8630261
320	274.5418500
321	275.1724038
322	275.3336884
323	275.0806273
324	273.9307686
325	274.3564278
326	274.8157923
327	277.9519286
328	277.5129500
329	276.0362705
330	275.8493145
331	275.8587857
332	275.5729167
333	275.3917764
334	275.3156786
335	275.2337500
336	276.9916769
337	276.9542770
338	276.6524357
339	275.1623354
340	274.6964327
341	275.1157871
342	274.7177644
343	274.7471196
344	275.4793742
345	275.5593127
346	275.9421073
347	274.8846297
348	274.7527500
349	274.6218497
350	274.6975959
351	275.2294887
352	275.6108917
353	275.9033741
354	276.0550179
355	275.9808857
356	275.7575846
357	275.7572464
358	276.4344000
359	276.5370596
360	276.7243875
361	277.1388231
362	277.3000577
363	277.7600571
364	278.0065010
365	278.4170714
366	278.2311240
367	277.7770994
368	277.7044389
369	277.6853130
370	278.3365659
371	278.7768304
372	278.6236799
373	277.8403018
374	277.7011875
375	277.3840667
376	276.8895000
377	276.8419286
378	277.6514453
379	279.0933125
380	278.9901140
381	278.7950000
382	277.5717976
383	276.3456000
384	276.5830435
385	277.7609841
386	278.2744831
387	279.4248515
388	279.2370152
389	279.0738214
390	278.5261488
391	278.9101907
392	279.2169305
393	279.6279861
394	280.8359252
395	281.8309751
396	281.0352249
397	280.8396058
398	278.6987253
399	279.2515769
400	279.2902346
401	279.0936429
402	278.8450923
403	277.2410949
404	277.3593187
405	278.8017088
406	278.6932500
407	278.6423750
408	278.6919455
409	278.9195785
410	279.7154462
411	280.7759251
412	280.8280851
413	280.6635000
414	278.8019856
415	279.1694400
416	279.5758207
417	279.5754824
418	279.3184551
419	279.0959748
420	279.4055000
421	279.5055355
422	278.6156213
423	278.6627250
424	280.6773750
425	280.7522880
426	280.1562007
427	280.3134231
428	280.1640000
429	280.4669770
430	280.8393923
431	281.8432446
432	281.6381298
433	281.5613308
434	280.5903538
435	280.3721250
436	280.4637000
437	280.2263408
438	280.2576563
439	280.3212500
440	280.5137923
441	280.5339836
442	280.4811429
443	280.9180529
444	280.7947788
445	280.7914245
446	280.7832248
447	280.0331786
448	282.0984698
449	282.1420769
450	281.9905399
451	280.9317500
452	281.9751941
453	282.6045176
454	282.3938192
455	282.9510962
456	282.9824038
457	283.0860577
458	282.7886875
459	283.0492323
460	282.8522812
461	283.2635208
462	281.7415298
463	281.9441625
464	281.6636297
465	281.7452561
466	282.2541049
467	283.8765987
468	283.8187665
469	283.2281511
470	282.8017887
471	282.6439418
472	282.3388071
473	281.4472833
474	281.4392195
475	281.9108741
476	281.4877145
477	281.7004039
478	281.4960000
479	281.5015500
480	283.4309984
481	284.0011367
482	284.2336799
483	283.2970005
484	282.2153654
485	280.9742390
486	280.7958970
487	280.1949011
488	280.5525000
489	281.3010385
490	281.5973461
491	281.1606875
492	281.0545022
493	280.6807667
494	280.8344454
495	280.7960833
496	280.4484375
497	278.8828376
498	280.5286635
499	280.2576562
500	280.1122059
501	280.9752329
502	280.9502815
503	280.7689088
504	280.2283705
505	279.9737346
506	280.1091404
507	280.0350227
508	279.8039059
509	280.2077596
510	279.6539520
511	280.4583913
512	280.4091322
513	280.3530894
514	281.2370000
515	281.5233159
516	281.2777000
517	280.7654279
518	280.9529920
519	280.8085124
520	280.0814107
521	280.0404076
522	280.2942335
523	280.8590714
524	281.1352500
525	281.0882885
526	281.0778526
527	281.2694420
528	281.1745962
529	281.5125729
530	281.5991532
531	281.4099750
532	281.8731539
533	281.9940384
534	282.7677436
535	281.8111154
536	281.9521571
537	282.0800714
538	282.4036340
539	283.0055985
540	282.8961443
541	282.7632500
542	282.9841929
543	283.0141467
544	282.7502419
545	283.0348969
546	282.8792493
547	282.6615000
548	282.1802180
549	282.4403043
550	283.0083914
551	282.1147628
552	281.5548078
553	282.9010038
554	283.3201038
555	282.8456190
556	283.1513182
557	283.4258789
558	283.7823154
559	284.6526692
560	284.3709000
561	284.2587290
562	283.7176874
