x	y
1	32263.4191000
2	32263.4191000
3	32263.4120217
4	32263.3987500
5	32263.3309167
6	32263.2630833
7	32263.1342000
8	32262.9192205
9	32263.0657500
10	32263.0465385
11	32262.2012308
12	32262.2159063
13	32262.4002621
14	32262.6539400
15	32262.7870837
16	32263.0316586
17	32262.8160000
18	32262.9714000
19	32262.9025074
20	32263.2813462
21	32263.4423571
22	32263.3517885
23	32263.1874231
24	32263.6022500
25	32263.8892372
26	32263.5513750
27	32263.6478365
28	32263.5259375
29	32263.6100769
30	32263.8261000
31	32263.9951615
32	32263.7595000
33	32263.5344167
34	32263.1465491
35	32263.3247116
36	32263.9656429
37	32264.3860604
38	32264.4671250
39	32264.3145000
40	32264.1618750
41	32264.1618750
42	32264.0770833
43	32264.2303606
44	32264.3145000
45	32265.3610714
46	32265.0919945
47	32264.6633571
48	32264.3145000
49	32264.3145000
50	32264.3145000
51	32264.0703000
52	32264.1757500
53	32264.7065577
54	32265.2302500
55	32265.1157812
56	32264.0092500
57	32264.0327308
58	32264.4919103
59	32264.9510897
60	32265.3523500
61	32264.4416875
62	32264.5858333
63	32264.6197500
64	32264.1618750
65	32263.9753333
66	32264.2127500
67	32264.4671250
68	32264.7723750
69	32266.0638173
70	32265.3998333
71	32264.3779615
72	32264.4810000
73	32265.0900769
74	32265.0375000
75	32265.1881923
76	32265.2542890
77	32265.9111923
78	32265.7390000
79	32265.6881250
80	32265.6118125
81	32265.6499688
82	32265.9180409
83	32265.6881250
84	32266.0051154
85	32265.9795000
86	32266.3103654
87	32266.1402884
88	32266.3680000
89	32266.5083092
90	32266.3902000
91	32266.3839385
92	32266.3776769
93	32266.0310077
94	32266.2731875
95	32266.6038750
96	32266.0999904
97	32266.1078438
98	32266.3749375
99	32268.2550000
100	32268.4955769
101	32268.0156562
102	32267.3014495
103	32266.9091250
104	32266.8073750
105	32266.8437143
106	32266.6293125
107	32266.6503261
108	32266.7565000
109	32266.7806154
110	32266.7183438
111	32266.8175500
112	32266.8675000
113	32266.6038750
114	32266.7565000
115	32266.8675000
116	32268.1301250
117	32268.1301250
118	32268.0647143
119	32267.9775000
120	32267.6957308
121	32267.6722500
122	32267.5959375
123	32268.2272500
124	32268.2445937
125	32268.3062308
126	32268.9636923
127	32269.0665000
128	32269.2730073
129	32269.1985000
130	32269.1548929
131	32268.3028764
132	32268.2064375
133	32268.4060240
134	32268.3505833
135	32268.8285192
136	32268.8932500
137	32268.7787812
138	32268.7915000
139	32269.4385256
140	32269.4274375
141	32269.3426458
142	32269.3393846
143	32268.6506154
144	32268.5880000
145	32268.6752143
146	32269.1179945
147	32269.1985000
148	32268.9636923
149	32268.8545385
150	32268.8932500
151	32269.0153500
152	32268.6416363
153	32268.7101000
154	32268.6987039
155	32268.9082439
156	32268.8932500
157	32268.8775962
158	32268.8723782
159	32268.8932500
160	32269.7791730
161	32269.9477500
162	32269.8853125
163	32269.8090000
164	32269.2141538
165	32269.5376667
166	32270.5845000
167	32270.1142500
168	32269.9921500
169	32269.8148610
170	32270.1142500
171	32269.9997812
172	32271.3239444
173	32271.2335000
174	32271.3630000
175	32270.9536875
176	32270.9238606
177	32270.8693894
178	32270.8149183
179	32270.8186731
180	32271.3352500
181	32271.3352500
182	32270.3490577
183	32270.4449375
184	32270.5208798
185	32270.5416000
186	32270.6484692
187	32270.6210538
188	32270.5936385
189	32270.2602391
190	32270.5408416
191	32270.8214441
192	32270.8978660
193	32270.8773750
194	32270.8538942
195	32270.8672000
196	32270.3381000
197	32270.4195000
198	32270.6386538
199	32270.4670135
200	32270.5214564
201	32270.8590600
202	32270.8773750
203	32270.9791250
204	32270.7683571
205	32270.8943333
206	32270.4958125
207	32270.3352548
208	32271.0300000
209	32270.8832452
210	32270.6419151
211	32270.9832438
212	32271.0022548
213	32271.4647452
214	32271.1022550
215	32271.0300000
216	32271.0300000
217	32270.7012692
218	32270.5655514
219	32270.6038505
220	32270.3398696
221	32270.3929565
222	32270.4460435
223	32270.3003027
224	32270.2441009
225	32270.2923125
226	32270.6637000
227	32271.0642038
228	32271.5465769
229	32271.2587029
230	32270.6134509
231	32270.6637000
232	32270.4090923
233	32270.4195000
234	32270.9204231
235	32271.3485769
236	32271.3630000
237	32271.1444688
238	32271.1933870
239	32270.6392800
240	32270.6908333
241	32271.6631111
242	32271.7219000
243	32272.0893001
244	32272.1677500
245	32272.0903421
246	32272.1250903
247	32271.8347500
248	32271.6405000
249	32271.3630000
250	32271.3750652
251	32271.2178462
252	32271.0926154
253	32271.5916600
254	32272.1637857
255	32272.1637857
256	32271.6405000
257	32271.7047632
258	32272.0689211
259	32270.9427857
260	32271.2916429
261	32270.9830385
262	32270.9918437
263	32271.5184000
264	32271.8033000
265	32271.7792500
266	32271.7870200
267	32272.2453646
268	32272.2510000
269	32272.3013818
270	32272.2232201
271	32272.1899500
272	32272.2073929
273	32272.4254286
274	32273.1667500
275	32273.0002500
276	32272.7088750
277	32272.2510000
278	32272.1400000
279	32271.8383077
280	32272.6905600
281	32272.6395000
282	32272.7930144
283	32272.8349565
284	32272.9182452
285	32272.7394000
286	32272.7394000
287	32273.2956333
288	32273.2612321
289	32272.9257632
290	32272.5562500
291	32272.1224737
292	32272.1224737
293	32272.1238125
294	32272.2510000
295	32272.4884167
296	32274.0825000
297	32273.8050000
298	32273.7600459
299	32273.3311154
300	32272.9138343
301	32272.9806948
302	32272.9554231
303	32273.3702500
304	32273.4720000
305	32274.3877500
306	32274.4347115
307	32273.1847059
308	32273.1269348
309	32273.1432692
310	32273.4980897
311	32273.6551500
312	32273.6464286
313	32273.4720000
314	32273.4720000
315	32273.9298750
316	32274.1379819
317	32274.2656500
318	32274.3267000
319	32274.3267000
320	32274.0214500
321	32274.4078038
322	32274.2948478
323	32274.0825000
324	32272.6289286
325	32272.6150278
326	32272.6173000
327	32275.3035000
328	32274.8558000
329	32273.8393436
330	32273.9388529
331	32273.9952857
332	32273.8450833
333	32273.7210658
334	32273.6464286
335	32273.4720000
336	32273.4798269
337	32273.5741731
338	32273.6551500
339	32273.1534783
340	32272.9097111
341	32273.2153887
342	32272.9519444
343	32272.9632500
344	32273.2398013
345	32273.5163526
346	32273.8598675
347	32272.7706518
348	32272.5562500
349	32272.3857068
350	32272.5223333
351	32273.0302137
352	32273.1368917
353	32273.2435698
354	32273.3193750
355	32273.3847857
356	32273.3055000
357	32273.3363333
358	32273.4720000
359	32273.5228750
360	32273.7009375
361	32274.1764231
362	32274.3173077
363	32274.3267000
364	32274.5404385
365	32274.7220714
366	32274.6887490
367	32274.3074030
368	32274.3074211
369	32274.4288070
370	32274.3799231
371	32274.6166875
372	32274.6670371
373	32274.7558018
374	32274.6166875
375	32274.1639000
376	32274.1102500
377	32274.0626786
378	32274.5990769
379	32274.5658125
380	32274.5755962
381	32274.8965000
382	32274.2450357
383	32272.9836000
384	32273.1003913
385	32273.5941000
386	32274.2656500
387	32274.4681515
388	32274.4816731
389	32274.3322500
390	32274.4542788
391	32274.5781472
392	32274.6740139
393	32275.0172361
394	32275.7978252
395	32275.7642751
396	32275.7307249
397	32275.4561250
398	32273.2275390
399	32273.7505144
400	32273.7408276
401	32273.7336429
402	32273.5534000
403	32272.9355949
404	32273.2103571
405	32274.8092857
406	32273.8535625
407	32273.7263750
408	32273.7759455
409	32273.8255160
410	32274.6116000
411	32274.6057857
412	32274.3103205
413	32274.3045000
414	32274.4640625
415	32274.5709000
416	32274.5071957
417	32274.3338824
418	32274.0632885
419	32273.8311176
420	32274.0418000
421	32273.9080714
422	32272.9729405
423	32273.0141250
424	32274.5403750
425	32274.4796214
426	32274.3401046
427	32274.3642692
428	32274.3600000
429	32274.5709000
430	32274.9372000
431	32275.2679369
432	32274.8906298
433	32274.8151000
434	32273.7318538
435	32273.6246250
436	32273.7162000
437	32273.5698365
438	32273.6246250
439	32273.7772500
440	32273.9494423
441	32274.0061875
442	32273.7772500
443	32273.6363654
444	32273.6246250
445	32273.6950673
446	32274.6995224
447	32273.7217500
448	32273.7117885
449	32273.7018269
450	32273.4380833
451	32273.0141250
452	32274.1548990
453	32274.8580176
454	32274.6695192
455	32275.1860962
456	32274.5051538
457	32274.6244615
458	32274.3114375
459	32273.8779951
460	32273.3956875
461	32273.9468333
462	32273.9604000
463	32274.2046000
464	32273.5486097
465	32273.7263750
466	32273.8582549
467	32274.0426820
468	32273.9952857
469	32274.3595549
470	32273.9080714
471	32273.6551500
472	32273.7162000
473	32273.7229833
474	32273.7297667
475	32273.7772500
476	32272.8380192
477	32273.1214039
478	32272.8615000
479	32272.8615000
480	32273.2975714
481	32273.3813406
482	32273.4452514
483	32273.4970005
484	32273.1667500
485	32272.7440962
486	32272.7088750
487	32272.2510000
488	32272.4175000
489	32273.1205000
490	32273.3712692
491	32272.8869375
492	32272.9639022
493	32272.5901667
494	32272.4036250
495	32272.4205833
496	32272.2510000
497	32270.2838333
498	32271.9496635
499	32272.2510000
500	32272.3188333
501	32272.4301496
502	32272.3242600
503	32272.2917000
504	32272.0224538
505	32271.6999846
506	32271.3775154
507	32271.3033977
508	32271.1231559
509	32271.4878750
510	32270.9966827
511	32271.2688913
512	32271.1521000
513	32271.1448936
514	32271.7422500
515	32271.9796667
516	32271.8847000
517	32271.1063125
518	32271.1869086
519	32270.9503696
520	32270.5721250
521	32270.5890833
522	32270.5212500
523	32270.4485714
524	32270.7247500
525	32270.6777885
526	32270.5734295
527	32270.7911087
528	32270.7247500
529	32270.7629063
530	32270.7004592
531	32270.8773750
532	32271.3352500
533	32271.3352500
534	32271.3352500
535	32271.3301731
536	32271.3963000
537	32271.5387500
538	32271.3529628
539	32271.2628850
540	32271.2158043
541	32271.2843750
542	32271.0910500
543	32270.9877346
544	32270.9778572
545	32271.1591969
546	32270.7593493
547	32270.5890833
548	32270.4690875
549	32270.6230000
550	32270.6609872
551	32270.3815128
552	32270.5338078
553	32270.8468500
554	32270.8597961
555	32270.3855833
556	32270.5805874
557	32270.7247500
558	32270.9908654
559	32270.7247500
560	32270.8102200
561	32271.1445862
562	32271.0910500
563	32270.7683571
564	32270.7858000
565	32270.8546769
566	32270.2668750
567	32270.2668750
568	32270.9079000
569	32271.3788571
570	32271.0769615
571	32271.0706154
572	32270.8773750
573	32270.9155313
574	32270.8519375
575	32270.8421538
576	32270.8834800
577	32271.2942369
578	32271.5550046
579	32270.4899423
580	32270.3381000
581	32270.2915716
582	32270.2421784
583	32270.2551346
584	32270.5445192
585	32270.3706600
586	32270.5890833
587	32270.1612115
588	32269.8090000
589	32269.9498846
590	32270.0706429
591	32269.4567885
592	32269.7563269
593	32269.6857646
594	32269.6390585
595	32269.7217857
596	32269.9446667
597	32269.7328463
598	32269.1603438
599	32269.8962143
600	32269.9633022
601	32269.2421071
602	32268.7545000
603	32268.7207174
604	32268.7887776
605	32268.7915000
606	32268.6622110
607	32268.9210000
608	32269.3511250
609	32269.8598750
610	32269.8598750
611	32269.8598750
612	32269.9066800
613	32269.9667908
614	32269.8645000
615	32269.4601429
616	32269.4427000
617	32269.3299923
618	32268.5443929
619	32268.2827500
620	32268.2827500
621	32268.3246346
622	32268.5602500
623	32268.3438000
624	32268.1686517
625	32268.1770865
626	32268.2217000
627	32268.1810000
628	32268.5007857
629	32268.1519286
630	32267.8791044
