1:1 (Langmuir) binding 1_X	1:1 (Langmuir) binding 1_Y	1:1 (Langmuir) binding 2_X	1:1 (Langmuir) binding 2_Y	1:1 (Langmuir) binding 3_X	1:1 (Langmuir) binding 3_Y	1:1 (Langmuir) binding 4_X	1:1 (Langmuir) binding 4_Y	1:1 (Langmuir) binding 5_X	1:1 (Langmuir) binding 5_Y
0	0	0	0	0	0	0	0	0	0
1	0	1	0	1	0	1	0	1	0
2	0	2	0	2	0	2	0	2	0
3	0	3	0	3	0	3	0	3	0
4	0	4	0	4	0	4	0	4	0
5	0	5	0	5	0	5	0	5	0
6	0	6	0	6	0	6	0	6	0
7	0	7	0	7	0	7	0	7	0
8	0	8	0	8	0	8	0	8	0
9	0	9	0	9	0	9	0	9	0
10	0	10	0	10	0	10	0	10	0
11	0	11	0	11	0	11	0	11	0
12	0	12	0	12	0	12	0	12	0
13	0	13	0	13	0	13	0	13	0
14	0	14	0	14	0	14	0	14	0
15	1.04115e-4	15	2.08229e-4	15	4.16458e-4	15	8.32917e-4	15	-3.47049e-5
16	0.04008	16	0.080152	16	0.160272	16	0.320415	16	0.638623
17	0.0800079	17	0.159984	17	0.31984	17	0.639167	17	1.2746
18	0.119888	18	0.239704	18	0.479121	18	0.957092	18	1.90792
19	0.15972	19	0.319313	19	0.638115	19	1.27419	19	2.53858
20	0.199505	20	0.39881	20	0.796824	20	1.59047	20	3.1666
21	0.239241	21	0.478196	21	0.955247	21	1.90592	21	3.79199
22	0.278931	22	0.557471	22	1.11338	22	2.22056	22	4.41475
23	0.318572	23	0.636635	23	1.27124	23	2.53438	23	5.03491
24	0.358166	24	0.715689	24	1.42881	24	2.84738	24	5.65246
25	0.397712	25	0.794631	25	1.5861	25	3.15957	25	6.26743
26	0.437211	26	0.873464	26	1.7431	26	3.47095	26	6.87982
27	0.476663	27	0.952186	27	1.89982	27	3.78152	27	7.48964
28	0.516068	28	1.0308	28	2.05626	28	4.09129	28	8.09691
29	0.555425	29	1.1093	29	2.21242	29	4.40025	29	8.70163
30	0.594734	30	1.18769	30	2.36829	30	4.70841	30	9.30382
31	0.633997	31	1.26597	31	2.52389	31	5.01576	31	9.90348
32	0.673213	32	1.34415	32	2.67921	32	5.32232	32	10.5006
33	0.712382	33	1.42221	33	2.83425	33	5.62809	33	11.0953
34	0.751503	34	1.50016	34	2.98901	34	5.93306	34	11.6874
35	0.790578	35	1.57801	35	3.14349	35	6.23724	35	12.2771
36	0.829606	36	1.65575	36	3.29769	36	6.54063	36	12.8643
37	0.868587	37	1.73337	37	3.45162	37	6.84323	37	13.4491
38	0.907521	38	1.81089	38	3.60526	38	7.14504	38	14.0313
39	0.946409	39	1.8883	39	3.75864	39	7.44607	39	14.6112
40	0.98525	40	1.96561	40	3.91173	40	7.74632	40	15.1886
41	1.02404	41	2.0428	41	4.06455	41	8.04579	41	15.7636
42	1.06279	42	2.11989	42	4.2171	42	8.34449	42	16.3362
43	1.10149	43	2.19686	43	4.36937	43	8.6424	43	16.9064
44	1.14015	44	2.27373	44	4.52137	44	8.93955	44	17.4742
45	1.17876	45	2.3505	45	4.6731	45	9.23592	45	18.0396
46	1.21732	46	2.42715	46	4.82455	46	9.53152	46	18.6027
47	1.25584	47	2.5037	47	4.97573	47	9.82635	47	19.1634
48	1.29431	48	2.58014	48	5.12664	48	10.1204	48	19.7217
49	1.33273	49	2.65648	49	5.27727	49	10.4137	49	20.2777
50	1.37111	50	2.73271	50	5.42764	50	10.7063	50	20.8314
51	1.40944	51	2.80883	51	5.57773	51	10.9981	51	21.3827
52	1.44772	52	2.88484	52	5.72756	52	11.2891	52	21.9318
53	1.48596	53	2.96075	53	5.87711	53	11.5794	53	22.4785
54	1.52416	54	3.03655	54	6.0264	54	11.8689	54	23.0229
55	1.56231	55	3.11225	55	6.17542	55	12.1576	55	23.5651
56	1.60041	56	3.18784	56	6.32417	56	12.4457	56	24.105
57	1.63847	57	3.26332	57	6.47265	57	12.7329	57	24.6426
58	1.67648	58	3.3387	58	6.62087	58	13.0194	58	25.178
