Sensorgram Fc=1_X	Sensorgram Fc=1_Y	Sensorgram Fc=2_X	Sensorgram Fc=2_Y	 Fc2 - Fc1_X	 Fc2 - Fc1_Y
0.5	17624.4	0.6	19075.9	1.6	1451.77
1.5	17624	1.6	19076	2.6	1452.04
2.5	17623.9	2.6	19076	3.6	1451.97
3.5	17623.8	3.6	19075.8	4.6	1452.21
4.5	17623.9	4.6	19076	5.6	1452.06
5.5	17623.6	5.6	19075.8	6.6	1452.22
6.5	17623.6	6.6	19075.8	7.6	1451.98
7.5	17624	7.6	19075.8	8.6	1451.75
8.5	17623.9	8.6	19075.7	9.6	1452.29
9.5	17623.8	9.6	19076.1	10.6	1452.18
10.5	17623.8	10.6	19076	11.6	1452.42
11.5	17623.5	11.6	19076.1	12.6	1452.26
12.5	17623.7	12.6	19075.8	13.6	1451.83
13.5	17624.1	13.6	19075.7	14.6	1451.63
14.5	17623.9	14.6	19075.6	15.6	1452.11
15.5	17623.7	15.6	19075.9	16.6	1452.12
16.5	17623.8	16.6	19075.9	17.6	1452.32
17.5	17623.7	17.6	19076.1	18.6	1452.15
18.5	17624	18.6	19076	19.6	1452.03
19.5	17623.9	19.6	19076	20.6	1451.74
20.5	17624.1	20.6	19075.7	21.6	1451.81
21.5	17623.9	21.6	19075.8	22.6	1451.81
22.5	17623.8	22.6	19075.7	23.6	1451.62
23.5	17623.8	23.6	19075.4	24.6	1451.59
24.5	17623.8	24.6	19075.4	25.6	1451.58
25.5	17623.7	25.6	19075.3	26.6	1451.85
26.5	17623.3	26.6	19075.3	27.6	1452.17
27.5	17623.6	27.6	19075.6	28.6	1452
28.5	17623.6	28.6	19075.6	29.6	1452.01
29.5	17623.7	29.6	19075.7	30.6	1451.46
30.5	17622.6	30.6	19074.6	31.6	1451.94
31.5	17622.1	31.6	19074.3	32.6	1452.33
32.5	17622.2	32.6	19074.5	33.6	1452.14
33.5	17622	33.6	19074.2	34.6	1452.58
34.5	17623.4	34.6	19075.3	35.6	1451.85
35.5	17623.9	35.6	19075.5	36.6	1451.61
36.5	17624	36.6	19075.6	37.6	1451.59
37.5	17624.1	37.6	19075.7	38.6	1451.43
38.5	17624.2	38.6	19075.6	39.6	1451.53
39.5	17624.3	39.6	19075.8	40.6	1451.46
40.5	17624.2	40.6	19075.7	41.6	1451.51
41.5	17624.1	41.6	19075.7	42.6	1451.83
42.5	17623.9	42.6	19075.9	43.6	1451.43
43.5	17624	43.6	19075.4	44.6	1451.66
44.5	17623.8	44.6	19075.5	45.6	1451.83
45.5	17623.8	45.6	19075.6	46.6	1451.63
46.5	17623.7	46.6	19075.3	47.6	1451.87
47.5	17623.9	47.6	19075.7	48.6	1451.46
48.5	17623.9	48.6	19075.4	49.6	1451.85
49.5	17623.5	49.6	19075.6	50.6	1451.99
50.5	17623.8	50.6	19075.6	51.6	1451.81
51.5	17623.7	51.6	19075.5	52.6	1451.69
52.5	17623.6	52.6	19075.3	53.6	1451.56
53.5	17623.9	53.6	19075.3	54.6	1451.72
54.5	17623.5	54.6	19075.4	55.6	1451.79
55.5	17623.7	55.6	19075.4	56.6	1451.7
56.5	17623.7	56.6	19075.4	57.6	1451.77
57.5	17623.6	57.6	19075.4	58.6	1451.8
58.5	17623.6	58.6	19075.4	59.6	1451.56
59.5	17623.7	59.6	19075.2	60.6	1451.62
60.5	17623.8	60.6	19075.4	61.6	1451.43
61.5	17623.9	61.6	19075.3	62.6	1451.53
62.5	17623.6	62.6	19075.3	63.6	1451.36
63.5	17623.8	63.6	19075.1	64.6	1451.73
64.5	17623.6	64.6	19075.4	65.6	1451.99
65.5	17623.6	65.6	19075.6	66.6	1451.87
66.5	17623.6	66.6	19075.5	67.6	1451.54
67.5	17623.6	67.6	19075.1	68.6	1451.8
68.5	17623.9	68.6	19075.5	69.6	1451.56
69.5	17623.9	69.6	19075.5	70.6	1451.43
70.5	17623.7	70.6	19075.2	71.6	1451.64
71.5	17623.9	71.6	19075.4	72.6	1451.59
72.5	17623.6	72.6	19075.3	73.6	1451.93
73.5	17623.5	73.6	19075.5	74.6	1451.59
74.5	17623.7	74.6	19075.2	75.6	1451.64
75.5	17623.8	75.6	19075.4	76.6	1451.51
76.5	17623.7	76.6	19075.3	77.6	1451.29
77.5	17623.7	77.6	19075	78.6	1451.74
78.5	17623.6	78.6	19075.4	79.6	1451.68
79.5	17623.6	79.6	19075.2	80.6	1451.81
80.5	17623.4	80.6	19075.3	81.6	1451.8
81.5	17623.5	81.6	19075.3	82.6	1451.81
82.5	17623.5	82.6	19075.3	83.6	1451.65
83.5	17623.8	83.6	19075.3	84.6	1451.56
84.5	17623.6	84.6	19075.3	85.6	1451.53
85.5	17623.5	85.6	19075.1	86.6	1451.84
86.5	17623.6	86.6	19075.3	87.6	1451.87
87.5	17623.5	87.6	19075.4	88.6	1451.78
88.5	17623.6	88.6	19075.3	89.6	1451.75
89.5	17623.7	89.6	19075.4	90.6	1451.49
90.5	17623.5	90.6	19075	91.6	1451.68
91.5	17623.6	91.6	19075.2	92.6	1451.36
92.5	17623.6	92.6	19075	93.6	1451.7
93.5	17623.6	93.6	19075.3	94.6	1451.63
94.5	17623.8	94.6	19075.3	95.6	1451.3
95.5	17623.7	95.6	19075	96.6	1451.58
96.5	17623.6	96.6	19075.2	97.6	1451.63
97.5	17623.7	97.6	19075.3	98.6	1451.55
98.5	17623.6	98.6	19075.2	99.6	1451.49
99.5	17623.6	99.6	19075.1	100.6	1451.66
100.5	17623.5	100.6	19075.2	101.6	1452.01
101.5	17623.5	101.6	19075.5	102.6	1451.69
102.5	17623.4	102.6	19075.2	103.6	1451.85
103.5	17623.3	103.6	19075.2	104.6	1451.84
104.5	17623.3	104.6	19075.1	105.6	1452
105.5	17623.3	105.6	19075.3	106.6	1451.81
106.5	17623.2	106.6	19075.1	107.6	1451.78
107.5	17623.3	107.6	19075	108.6	1451.93
108.5	17623.4	108.6	19075.3	109.6	1451.87
109.5	17623.4	109.6	19075.3	110.6	1451.7
110.5	17623.3	110.6	19075.1	111.6	1452.14
111.5	17623.2	111.6	19075.4	112.6	1451.91
112.5	17623.4	112.6	19075.2	113.6	1451.65
113.5	17623.5	113.6	19075.1	114.6	1452.08
114.5	17623.3	114.6	19075.4	115.6	1452.09
115.5	17623.3	115.6	19075.4	116.6	1451.85
116.5	17623.2	116.6	19075.1	117.6	1451.97
117.5	17623.5	117.6	19075.3	118.6	1452.07
118.5	17623.2	118.6	19075.4	119.6	1452.21
119.5	17623.5	119.6	19075.5	120.6	1451.91
120.5	17623.4	120.6	19075.3	121.6	1452.16
