Sensorgram Fc=1_X	Sensorgram Fc=1_Y	Sensorgram Fc=2_X	Sensorgram Fc=2_Y	 Fc2 - Fc1_X	 Fc2 - Fc1_Y
0.5	17615.4	0.6	19190.3	1.6	1575.01
1.5	17615.2	1.6	19190.3	2.6	1575.17
2.5	17615.1	2.6	19190.3	3.6	1575.21
3.5	17615.2	3.6	19190.4	4.6	1575.22
4.5	17615.3	4.6	19190.4	5.6	1575.37
5.5	17615	5.6	19190.5	6.6	1575.47
6.5	17615	6.6	19190.4	7.6	1575.17
7.5	17615.5	7.6	19190.4	8.6	1574.86
8.5	17615.4	8.6	19190.3	9.6	1574.77
9.5	17615.3	9.6	19190.1	10.6	1575.39
10.5	17615.1	10.6	19190.6	11.6	1575.51
11.5	17615.1	11.6	19190.6	12.6	1575.69
12.5	17615	12.6	19190.7	13.6	1575.33
13.5	17615.4	13.6	19190.5	14.6	1575.34
14.5	17615.2	14.6	19190.6	15.6	1575.04
15.5	17615.4	15.6	19190.3	16.6	1575.06
16.5	17615.4	16.6	19190.4	17.6	1575.13
17.5	17615.4	17.6	19190.5	18.6	1574.92
18.5	17615.5	18.6	19190.4	19.6	1575.15
19.5	17615.3	19.6	19190.6	20.6	1575.42
20.5	17615.4	20.6	19190.8	21.6	1575.13
21.5	17615.4	21.6	19190.5	22.6	1575.28
22.5	17615.3	22.6	19190.7	23.6	1575.42
23.5	17615.1	23.6	19190.6	24.6	1575.16
24.5	17615.1	24.6	19190.3	25.6	1575.02
25.5	17615.3	25.6	19190.2	26.6	1575.2
26.5	17614.7	26.6	19190.2	27.6	1575.75
27.5	17615.2	27.6	19190.7	28.6	1575.17
28.5	17615.3	28.6	19190.4	29.6	1575.09
29.5	17615.5	29.6	19190.5	30.6	1574.86
30.5	17614.4	30.6	19189.8	31.6	1575.28
31.5	17613.7	31.6	19189.4	32.6	1575.78
32.5	17613.6	32.6	19189.4	33.6	1575.62
33.5	17613.9	33.6	19189.3	34.6	1576.45
34.5	17615.2	34.6	19191	35.6	1575.51
35.5	17615.5	35.6	19190.9	36.6	1575.37
36.5	17615.5	36.6	19190.8	37.6	1575.35
37.5	17615.3	37.6	19190.7	38.6	1575.43
38.5	17615.5	38.6	19190.8	39.6	1575.58
39.5	17615.5	39.6	19191.1	40.6	1575.31
40.5	17615.6	40.6	19190.8	41.6	1575.14
41.5	17615.7	41.6	19190.8	42.6	1574.96
42.5	17615.7	42.6	19190.6	43.6	1575.26
43.5	17615.3	43.6	19190.7	44.6	1575.39
44.5	17615.2	44.6	19190.7	45.6	1575.11
45.5	17615.3	45.6	19190.4	46.6	1575.38
46.5	17615.3	46.6	19190.7	47.6	1575.33
47.5	17615.4	47.6	19190.7	48.6	1575.55
48.5	17615.4	48.6	19191	49.6	1575.31
49.5	17615.2	49.6	19190.6	50.6	1575.49
50.5	17615.1	50.6	19190.7	51.6	1575.59
51.5	17615.2	51.6	19190.7	52.6	1575.57
52.5	17615.4	52.6	19190.9	53.6	1575.27
53.5	17615.2	53.6	19190.6	54.6	1575.3
54.5	17615.3	54.6	19190.6	55.6	1575.62
55.5	17615.6	55.6	19191.1	56.6	1575.15
56.5	17615.5	56.6	19190.7	57.6	1575.5
57.5	17615.5	57.6	19191	58.6	1575.54
58.5	17615.4	58.6	19191	59.6	1575.42
59.5	17615.4	59.6	19190.8	60.6	1575.59
60.5	17615.3	60.6	19191	61.6	1575.5
61.5	17615.2	61.6	19190.8	62.6	1575.46
62.5	17615.3	62.6	19190.7	63.6	1575.46
63.5	17615.5	63.6	19190.9	64.6	1575.45
64.5	17615.3	64.6	19190.8	65.6	1575.64
65.5	17615.3	65.6	19190.9	66.6	1575.52
66.5	17615.5	66.6	19190.9	67.6	1575.23
67.5	17615.5	67.6	19190.7	68.6	1575.38
68.5	17615.4	68.6	19190.8	69.6	1575.48
69.5	17615.7	69.6	19191	70.6	1575.24
70.5	17615.5	70.6	19190.8	71.6	1575.43
71.5	17615.6	71.6	19191	72.6	1575.38
72.5	17615.5	72.6	19191	73.6	1575.44
73.5	17615.7	73.6	19191	74.6	1575.27
74.5	17615.8	74.6	19191	75.6	1575.31
75.5	17615.6	75.6	19191	76.6	1575.51
76.5	17615.7	76.6	19191.1	77.6	1575.6
77.5	17615.6	77.6	19191.3	78.6	1575.42
78.5	17615.6	78.6	19191	79.6	1575.29
79.5	17615.6	79.6	19190.9	80.6	1575.76
80.5	17615.4	80.6	19191.2	81.6	1575.21
81.5	17615.8	81.6	19190.8	82.6	1575.17
82.5	17615.6	82.6	19190.9	83.6	1575.04
83.5	17615.8	83.6	19190.7	84.6	1575.14
84.5	17615.6	84.6	19190.8	85.6	1575.5
85.5	17615.7	85.6	19191.2	86.6	1575.4
86.5	17615.5	86.6	19191	87.6	1575.46
87.5	17615.6	87.6	19191	88.6	1575.5
88.5	17615.8	88.6	19191.2	89.6	1575.47
89.5	17615.7	89.6	19191.2	90.6	1575.73
90.5	17615.6	90.6	19191.4	91.6	1575.46
91.5	17615.7	91.6	19191.1	92.6	1575.46
92.5	17615.6	92.6	19191.2	93.6	1575.23
93.5	17615.9	93.6	19191	94.6	1575.56
94.5	17615.5	94.6	19191.3	95.6	1575.65
95.5	17615.7	95.6	19191.3	96.6	1575.57
96.5	17615.6	96.6	19191.2	97.6	1575.46
