Index	Average	Type
1	-2.94026684510212	Target
2	10.0032338176494	Target
3	-7.14439927843512	Target
4	-2.00318728627634	Target
5	-2.87597674117605	Target
6	4.63908000588237	Target
NaN	-5.90949711960546	Positive
7	-0.176604084311525	Target
8	0.983202227450937	Target
9	13.0590521431341	Target
10	12.7392377509764	Target
11	1.13123443921508	Target
12	0.129219719606957	Target
13	1.60401091960554	Target
14	6.70834034509665	Target
15	-0.336843499999839	Target
16	4.40705435294384	Target
17	-5.08875228627785	Target
18	-9.88584135685939	Target
19	2.53742927451058	Target
20	-4.72005392745054	Target
21	-5.48916838235171	Target
22	-1.33966478627639	Target
23	0.208306196079445	Target
24	-1.82224769215378	Target
25	0.80909502548956	Target
26	-0.44672392156887	Target
27	-3.46448016862618	Target
28	-2.41226423136893	Target
29	-4.33297019803963	Target
30	-5.75476720392351	Target
31	-2.95884077647091	Target
32	2.22702664705959	Target
33	-3.85676476470782	Target
34	2.43957109803894	Target
35	-1.83674903333375	Target
36	-3.73583460392426	Target
37	-3.37837072352569	Target
38	5.18538421764485	Target
39	0.524513968625423	Target
40	-1.98336407058962	Target
41	-3.89994966862929	Target
42	3.87469233725193	Target
43	6.37698449999951	Target
44	0.498530366662653	Target
45	8.42411843529243	Target
46	5.0144973980413	Target
47	2.72347780784078	Target
