x	y
1	0.000000
2	-0.087214
3	-0.130821
4	0.457875
5	0.752223
6	0.899397
7	0.667734
8	0.551903
9	0.799237
10	0.617654
11	0.526863
12	0.481467
13	0.153519
14	-0.010455
15	0.212808
16	0.324440
17	0.990756
18	1.323914
19	1.185242
20	1.115907
21	1.081239
22	1.063905
23	1.360488
24	1.203530
25	1.430301
26	1.238436
27	0.837254
28	0.941913
29	0.994242
30	1.020407
31	1.033489
32	1.040030
33	1.348551
34	1.502811
35	1.274691
36	1.465881
37	0.950976
38	0.693524
39	0.564798
40	0.500435
41	0.468253
42	0.452162
43	0.444117
44	0.440094
45	0.743333
46	0.284452
47	0.360262
48	0.398167
49	0.417119
50	0.121345
51	-0.026542
52	0.204765
53	0.320418
54	0.072995
55	0.254533
56	0.040052
57	-0.067188
58	-0.120808
59	-0.758118
60	-0.771524
61	-0.778226
62	-0.781577
63	-1.088503
64	-1.241966
65	-1.318697
66	-1.357063
67	-1.376246
68	-1.691087
69	-1.848508
70	-1.927218
71	-1.661323
72	-1.833626
73	-1.919777
74	-1.962853
75	-1.984391
76	-1.995160
77	-2.000544
78	-1.697986
79	-1.546707
80	-1.471068
81	-1.433248
82	-1.414338
83	-2.015384
84	-2.010656
85	-1.703042
86	-1.549235
87	-1.777582
88	-2.197005
89	-2.101467
90	-1.748448
91	-1.877188
92	-1.941558
93	-1.973743
94	-1.684586
95	-1.234757
96	-1.925593
97	-2.271011
98	-2.443720
99	-2.835324
100	-3.336376
101	-2.976402
102	-2.185916
103	-1.790672
104	-1.898300
105	-1.952114
106	-1.979022
107	-1.687225
108	-0.930827
109	-0.857878
110	-0.821403
111	-0.497916
112	-0.336172
113	-0.560550
114	-0.672739
115	-0.728834
116	-0.756881
117	-0.465655
118	-0.320042
119	-0.552485
120	-0.973957
121	-0.574193
122	-0.679561
123	-1.037495
124	0.615038
125	1.136055
126	2.312313
127	2.595192
128	3.652382
129	6.317727
130	6.429399
131	7.400985
132	8.802528
133	10.113800
134	13.211436
135	12.318254
136	13.092662
137	15.921867
138	18.557469
139	18.654270
140	22.060421
141	22.847746
142	25.378159
143	27.559115
144	30.175843
145	33.010457
146	35.954014
147	38.646793
148	40.603682
149	43.413627
150	46.955349
151	49.641960
152	51.901016
153	55.472544
154	59.395058
155	61.966814
156	66.915693
157	69.084882
158	72.916727
159	76.358899
160	78.995735
161	81.840403
162	84.483737
163	87.942154
164	90.281863
165	94.198967
166	96.768019
167	99.884045
168	103.884058
169	106.799815
170	109.783943
171	112.802257
172	115.532414
173	119.339493
174	120.327282
175	126.620927
176	130.378249
177	135.004160
178	137.317116
179	140.610344
180	144.393708
181	147.811639
182	153.183605
183	156.785338
184	161.333455
185	166.660013
186	168.712792
187	175.233682
188	177.578377
189	181.497974
190	184.984023
191	188.253297
192	192.940434
193	197.726003
194	201.645037
195	206.046554
196	209.773563
197	214.384317
198	216.079194
199	220.894883
200	225.744727
201	229.695899
202	234.418735
203	238.916903
204	242.081737
205	246.411404
206	251.323488
207	255.916280
208	259.128426
209	263.176498
210	267.642535
211	271.707053
212	276.181312
213	279.334192
214	283.047382
215	287.345977
216	291.021524
217	294.690798
218	300.493685
219	303.395128
220	307.287850
221	310.455211
222	311.733641
223	316.646356
224	322.765714
225	327.351643
226	331.476107
227	333.843589
228	338.995580
229	342.792576
230	345.301574
231	350.219073
232	353.898822
233	356.349197
234	359.711134
235	365.360353
236	368.795462
237	370.513017
238	375.340044
239	378.058808
240	380.639190
241	383.455631
242	386.084851
243	386.178461
244	390.804016
245	393.727294
246	397.325683
247	400.956377
248	402.161224
249	403.679398
250	405.048985
251	407.870528
252	410.502300
253	414.260186
254	415.528629
255	418.604850
256	419.532461
257	420.301516
258	421.601794
259	422.251933
260	424.103252
261	427.470912
262	427.933742
263	430.607157
264	431.943864
265	433.527968
266	433.709520
267	435.021295
268	435.066683
269	437.531377
270	438.458474
271	438.616773
272	439.611672
273	439.803872
274	441.731472
275	442.084772
276	442.871921
277	443.570746
278	443.920159
279	443.789615
280	446.166343
281	446.438957
282	446.575264
283	447.253918
284	448.508995
285	448.526033
286	448.534552
287	448.844062
288	448.998817
289	449.991944
290	449.878008
291	451.042040
292	451.013556
293	450.694063
294	450.839567
295	451.522819
296	451.253945
297	452.035258
298	451.510165
299	451.552868
300	452.489970
301	452.653271
302	453.040171
303	453.233621
304	454.246096
305	453.836584
306	453.937078
307	453.682075
308	453.859823
309	454.253947
310	454.145759
311	454.396915
312	454.827743
313	455.958907
314	455.913989
315	456.502030
316	456.796051
317	456.027311
318	456.253441
319	456.366506
320	456.117789
321	455.993430
322	455.931251
323	455.900161
324	456.495116
325	456.182094
326	456.330833
327	456.405202
328	456.442387
329	456.155729
330	456.012400
331	456.551236
332	457.125904
333	457.107988
334	456.793779
335	457.247175
336	457.473873
337	457.892472
338	458.101772
339	458.206422
340	458.258747
341	457.979659
342	457.840115
343	458.075593
344	458.193332
345	458.557452
346	458.434262
347	458.372667
348	458.647119
349	459.089595
350	459.310833
351	459.116202
352	459.629387
353	459.580729
354	459.556400
355	459.238986
356	459.080279
357	459.306175
358	459.419123
359	459.475597
360	459.198584
361	459.060078
362	459.296075
363	459.108823
364	459.015197
365	458.663134
366	458.792353
367	459.162212
368	459.041892
369	459.592232
370	459.867402
371	460.004986
372	460.073779
373	460.108175
374	460.125373
375	460.133972
376	460.138272
377	459.835172
378	459.683622
379	459.302596
380	459.417334
381	459.474703
382	459.503387
383	460.433479
384	460.288025
385	460.520548
386	460.942060
387	460.847566
388	460.800319
389	460.776695
390	460.154383
391	460.453727
392	460.603399
393	460.678235
394	460.410403
395	459.665987
396	459.904279
397	460.328675
398	460.235623
399	459.883847
400	460.013209
401	460.077890
402	459.499731
403	459.515901
404	459.523986
405	460.138529
406	460.140550
407	459.836311
408	459.073691
409	459.302881
410	459.112226
411	458.711649
412	459.121860
413	459.326966
414	459.734769
415	459.633420
416	459.277496
417	459.404784
418	460.384178
419	459.958124
420	459.745098
421	459.028085
422	459.280078
423	459.711325
424	459.621698
425	459.271635
426	459.096603
427	459.619587
428	459.575829
429	458.638200
430	459.085136
431	459.003354
432	458.657213
433	458.789392
434	459.160732
435	458.125402
436	457.912986
437	457.806779
438	458.058925
439	458.184998
440	457.942785
441	457.211178
442	457.455875
443	456.967723
444	457.334147
445	457.212109
446	456.845840
447	456.662706
448	456.571139
449	456.220105
450	456.349838
451	456.719955
452	456.905013
453	456.997542
454	457.043807
455	457.372189
456	457.231130
457	457.160601
458	457.430586
459	457.565579
460	457.633075
461	457.666823
462	457.378447
463	456.929009
464	456.704290
465	456.591931
466	456.841001
