"211202_kinetic_519, 00 Fc=4 - 1_X"	"211202_kinetic_519, 00 Fc=4 - 1_Y"	"211202_kinetic_519, 00 Fc=4 - 2_X"	"211202_kinetic_519, 00 Fc=4 - 2_Y"	"211202_kinetic_519, 00 Fc=4 - 3_X"	"211202_kinetic_519, 00 Fc=4 - 3_Y"	"211202_kinetic_519, 00 Fc=4 - 4_X"	"211202_kinetic_519, 00 Fc=4 - 4_Y"	"211202_kinetic_519, 00 Fc=4 - 5_X"	"211202_kinetic_519, 00 Fc=4 - 5_Y"	"211202_kinetic_519, 00 Fc=4 - 6_X"	"211202_kinetic_519, 00 Fc=4 - 6_Y"
0.8	-1.86328	0.8	2.61719	0.8	3.91E-03	0.8	1.65625	0.8	-0.605469	0.8	1.24219
1.8	-1.86719	1.8	2.26563	1.8	-0.703125	1.8	-0.4375	1.8	-1.96094	1.8	-0.269531
2.8	-0.671875	2.8	0.660156	2.8	1.52344	2.8	-0.539063	2.8	-2.01172	2.8	0.527344
3.8	-1.48047	3.8	3.10938	3.8	0.0898438	3.8	0.863281	3.8	-0.84375	3.8	-0.75
4.8	-0.390625	4.8	1.75781	4.8	2.03125	4.8	0.417969	4.8	-1.30469	4.8	0.800781
5.8	-1.46875	5.8	0.890625	5.8	-1.17578	5.8	0.867188	5.8	-0.796875	5.8	1.11719
6.8	-0.902344	6.8	-0.132813	6.8	-0.152344	6.8	1.49609	6.8	-1.16016	6.8	0.691406
7.8	-1.61719	7.8	1.06641	7.8	0.644531	7.8	0.273438	7.8	-2.72656	7.8	-0.109375
8.8	-2.00391	8.8	0.792969	8.8	0.453125	8.8	0.394531	8.8	-0.476563	8.8	0.644531
9.8	-1.07422	9.8	1.24219	9.8	-0.734375	9.8	0.0429688	9.8	-0.269531	9.8	0.195313
10.8	-0.320313	10.8	-0.148438	10.8	-0.984375	10.8	1.57813	10.8	-1.31641	10.8	-0.121094
11.8	-1.39453	11.8	1.43359	11.8	-1.44922	11.8	0.214844	11.8	0.503906	11.8	0.0820313
12.8	-0.414063	12.8	0.972656	12.8	1.61719	12.8	-0.316406	12.8	-0.511719	12.8	1.14453
13.8	-3.78906	13.8	2.10938	13.8	-0.421875	13.8	7.81E-03	13.8	-2.60938	13.8	-0.902344
14.8	-0.777344	14.8	0.25	14.8	0.746094	14.8	0.640625	14.8	-1.50781	14.8	-0.101563
15.8	-0.40625	15.8	1.01953	15.8	1.12109	15.8	-0.546875	15.8	-1.12109	15.8	-0.480469
16.8	-0.261719	16.8	1.47656	16.8	0.078125	16.8	0.152344	16.8	-2.23047	16.8	-0.335938
17.8	-0.929688	17.8	0.476563	17.8	-0.617188	17.8	0.71875	17.8	-0.460938	17.8	-0.480469
18.8	-0.972656	18.8	0.351563	18.8	0.152344	18.8	0.875	18.8	-1.92969	18.8	-0.105469
19.8	-0.0351563	19.8	0.355469	19.8	-0.710938	19.8	0.75	19.8	-0.78125	19.8	-2.69531
20.8	1.02344	20.8	1.59766	20.8	-0.527344	20.8	-0.0859375	20.8	-1.87109	20.8	-0.71875
21.8	-0.398438	21.8	0.453125	21.8	-1.19531	21.8	0.292969	21.8	-1.33594	21.8	-0.511719
22.8	-0.996094	22.8	1.07422	22.8	-0.0742188	22.8	1.25	22.8	-1.69922	22.8	-1.00781
23.8	-0.296875	23.8	-0.324219	23.8	-2.70703	23.8	0.757813	23.8	-1.82031	23.8	-1.13672
24.8	-0.351563	24.8	1.64063	24.8	-1.49609	24.8	-0.0507813	24.8	-1.40625	24.8	0.0507813
25.8	-1.98438	25.8	-0.332031	25.8	-0.539063	25.8	-0.695313	25.8	-1.61719	25.8	-0.839844
26.8	-2.15625	26.8	0.457031	26.8	-1.68359	26.8	-0.761719	26.8	-1.58594	26.8	-2.36328
27.8	-0.554688	27.8	-0.621094	27.8	-1.82031	27.8	0.179688	27.8	0.707031	27.8	-1.64063
28.8	-0.324219	28.8	-0.726563	28.8	-1.70313	28.8	-0.75	28.8	-1.95703	28.8	-2.08203
29.8	-0.753906	29.8	-0.945313	29.8	-1.61719	29.8	0.167969	29.8	-1.44141	29.8	-1.30859
30.8	-0.5625	30.8	0.535156	30.8	-0.878906	30.8	1.39844	30.8	-0.574219	30.8	-0.214844
31.8	-0.0546875	31.8	-0.644531	31.8	-3.46875	31.8	0.101563	31.8	-1.32422	31.8	-1.19531
32.8	-0.628906	32.8	-1.50781	32.8	-1.47266	32.8	-0.0859375	32.8	-0.734375	32.8	-1.10938
33.8	-2.28516	33.8	-0.0898438	33.8	-2.5	33.8	-0.0546875	33.8	-2.63672	33.8	-1.78906
34.8	-2.6875	34.8	-1.78906	34.8	-1.05469	34.8	-1.38672	34.8	-2.08984	34.8	-0.699219
35.8	-0.988281	35.8	-1.83203	35.8	-1.49609	35.8	0.257813	35.8	-2.80469	35.8	0.214844
36.8	-0.8125	36.8	-0.292969	36.8	-1.91016	36.8	-0.484375	36.8	-2.48828	36.8	-2.23047
37.8	0.0429688	37.8	-0.628906	37.8	-0.824219	37.8	-0.894531	37.8	-1.36719	37.8	-1.52344
38.8	-0.609375	38.8	-0.769531	38.8	-1.80078	38.8	-2.39063	38.8	-1.44141	38.8	-1.16797
39.8	-2.35156	39.8	-1.17188	39.8	-0.886719	39.8	-0.363281	39.8	-2.00391	39.8	-0.613281
40.8	-1.21875	40.8	-0.4375	40.8	-0.550781	40.8	-0.597656	40.8	-2.52734	40.8	0.703125
41.8	-2.96875	41.8	-0.8125	41.8	-3.10156	41.8	0.167969	41.8	-1.91406	41.8	-1.99609
42.8	-0.582031	42.8	-0.375	42.8	0.164063	42.8	-0.773438	42.8	-0.375	42.8	-1.53125
43.8	-1.00391	43.8	-0.285156	43.8	0.398438	43.8	2.10156	43.8	0.375	43.8	0.0195313
44.8	0.394531	44.8	0.390625	44.8	0.429688	44.8	0.671875	44.8	-0.414063	44.8	0.453125
45.8	1.17969	45.8	-0.65625	45.8	-1.10547	45.8	1.08203	45.8	-0.917969	45.8	0.304688
46.8	0.617188	46.8	0.0507813	46.8	-0.679688	46.8	-0.03125	46.8	0.128906	46.8	0.425781
47.8	-0.433594	47.8	0.765625	47.8	0.535156	47.8	-0.179688	47.8	0.0351563	47.8	-0.867188
48.8	-0.078125	48.8	1.62109	48.8	-0.488281	48.8	0.382813	48.8	0.257813	48.8	0.464844
49.8	0.390625	49.8	0.894531	49.8	0.65625	49.8	0.394531	49.8	-1.16797	49.8	1.77344
50.8	-0.800781	50.8	1.17578	50.8	0.199219	50.8	-0.113281	50.8	-0.460938	50.8	0.96875
51.8	1.01953	51.8	-0.078125	51.8	0.210938	51.8	1.92578	51.8	-0.78125	51.8	-0.28125
52.8	0.292969	52.8	0.320313	52.8	-0.386719	52.8	-0.953125	52.8	-0.988281	52.8	0.199219
53.8	-0.113281	53.8	0.609375	53.8	0.03125	53.8	-1.08594	53.8	-1.16406	53.8	-0.191406
54.8	-0.117188	54.8	-1.29688	54.8	-0.285156	54.8	0.542969	54.8	0.417969	54.8	1.73828
55.8	0.808594	55.8	-0.300781	55.8	0.078125	55.8	0.757813	55.8	-0.277344	55.8	-0.847656
56.8	-0.203125	56.8	0.765625	56.8	1.46094	56.8	-0.507813	56.8	-0.015625	56.8	-0.046875
57.8	0.464844	57.8	0.140625	57.8	0.980469	57.8	-0.773438	57.8	0.445313	57.8	-0.738281
58.8	0.898438	58.8	0.972656	58.8	-0.28125	58.8	0.234375	58.8	-0.71875	58.8	-1.37109
59.8	-1.03516	59.8	-0.417969	59.8	0.355469	59.8	-0.0117188	59.8	1.58594	59.8	0.273438
60.8	-1.09766	60.8	1.61719	60.8	-0.0625	60.8	-0.582031	60.8	0.144531	60.8	-0.152344
61.8	0.277344	61.8	-1.49219	61.8	-2.25391	61.8	0.34375	61.8	-1.57031	61.8	1.14063
62.8	2.26563	62.8	-0.222656	62.8	0.847656	62.8	0.296875	62.8	-0.742188	62.8	0.242188
63.8	-569.715	63.8	-533.906	63.8	-774.172	63.8	-112	63.8	-1.22656	63.8	6.73828
64.8	-2000.06	64.8	-1901.52	64.8	-1841.94	64.8	-1241.94	64.8	-292.539	64.8	305.52
65.8	-2334.41	65.8	-2219.55	65.8	-2039.24	65.8	-1639.05	65.8	-889.172	65.8	386.598
66.8	-2374.29	66.8	-2254.89	66.8	-2064.32	66.8	-1689.46	66.8	-1008.23	66.8	400.063
67.8	-2379.17	67.8	-2260.36	67.8	-2069.06	67.8	-1697.37	67.8	-1022.2	67.8	403.68
68.8	-2379.56	68.8	-2262.71	68.8	-2071.28	68.8	-1700	68.8	-1024.59	68.8	405.84
69.8	-2378.25	69.8	-2261.59	69.8	-2071.38	69.8	-1699.05	69.8	-1025.42	69.8	410.266
70.8	-2376.17	70.8	-2260.77	70.8	-2071.38	70.8	-1698.93	70.8	-1024.42	70.8	411.773
71.8	-2374.49	71.8	-2259.7	71.8	-2070.96	71.8	-1698.5	71.8	-1024.35	71.8	411.672
72.8	-2371.87	72.8	-2259.46	72.8	-2071.2	72.8	-1698.16	72.8	-1023.68	72.8	412.52
73.8	-2370.22	73.8	-2259.06	73.8	-2071.09	73.8	-1697.43	73.8	-1022.99	73.8	415.133
74.8	-2367.22	74.8	-2257.74	74.8	-2069.73	74.8	-1696.71	74.8	-1022.31	74.8	416.805
75.8	-2366.22	75.8	-2257.01	75.8	-2069.77	75.8	-1696.89	75.8	-1022.19	75.8	416.488
76.8	-2364.34	76.8	-2256.5	76.8	-2069.36	76.8	-1696.06	76.8	-1021.64	76.8	416.559
77.8	-2362.69	77.8	-2255.34	77.8	-2068.77	77.8	-1695.21	77.8	-1020.27	77.8	416.625
78.8	-2361.07	78.8	-2255.05	78.8	-2068.86	78.8	-1694.79	78.8	-1020.23	78.8	416.824
79.8	-2359.52	79.8	-2254.09	79.8	-2067.34	79.8	-1694	79.8	-1019.11	79.8	418.219
80.8	-2357.82	80.8	-2253.95	80.8	-2067.08	80.8	-1693.66	80.8	-1018.36	80.8	419.301
81.8	-2356.65	81.8	-2253.8	81.8	-2066.81	81.8	-1693.64	81.8	-1017.23	81.8	421.039
82.8	-2355.45	82.8	-2252.88	82.8	-2066.11	82.8	-1692.76	82.8	-1017.28	82.8	418.387
83.8	-2354.36	83.8	-2251.4	83.8	-2065.72	83.8	-1692.77	83.8	-1015.59	83.8	419.977
84.8	-2353.31	84.8	-2251.38	84.8	-2065.63	84.8	-1691.49	84.8	-1016.58	84.8	419.941
85.8	-2352.14	85.8	-2250.68	85.8	-2064.55	85.8	-1691.01	85.8	-1016.7	85.8	420.395
86.8	-2350.66	86.8	-2249.59	86.8	-2063.96	86.8	-1690.59	86.8	-1014.21	86.8	422.336
87.8	-2349.72	87.8	-2250.03	87.8	-2063.7	87.8	-1690.76	87.8	-1015.42	87.8	422.305
88.8	-2348.89	88.8	-2248.69	88.8	-2063.49	88.8	-1690.05	88.8	-1015.39	88.8	422.527
89.8	-2347.99	89.8	-2248.69	89.8	-2062.8	89.8	-1689.26	89.8	-1014.19	89.8	422.34
90.8	-2346.74	90.8	-2247.53	90.8	-2063.28	90.8	-1688.91	90.8	-1013.62	90.8	422.598
91.8	-2346.09	91.8	-2247.89	91.8	-2062.28	91.8	-1689.5	91.8	-1013.72	91.8	422.156
92.8	-2345.08	92.8	-2247.48	92.8	-2061.21	92.8	-1688.45	92.8	-1013.14	92.8	423.941
93.8	-2344.15	93.8	-2246.23	93.8	-2061.07	93.8	-1687.93	93.8	-1012.61	93.8	423.914
94.8	-2343.9	94.8	-2246.48	94.8	-2061.15	94.8	-1687.96	94.8	-1012.82	94.8	423.555
95.8	-2342.57	95.8	-2245.77	95.8	-2060.34	95.8	-1687.34	95.8	-1011.86	95.8	424.078
96.8	-2342.3	96.8	-2244.71	96.8	-2059.47	96.8	-1686.59	96.8	-1012.36	96.8	425.016
97.8	-2341.04	97.8	-2244.48	97.8	-2059.19	97.8	-1685.46	97.8	-1011.98	97.8	423.531
98.8	-2340.7	98.8	-2243.83	98.8	-2058.5	98.8	-1685.62	98.8	-1012.15	98.8	423.898
99.8	-2339.68	99.8	-2243.57	99.8	-2058.84	99.8	-1685.35	99.8	-1011.16	99.8	422.566
100.8	-2338.78	100.8	-2243.04	100.8	-2057.41	100.8	-1685.46	100.8	-1011.95	100.8	424.051
101.8	-2337.95	101.8	-2242.75	101.8	-2057.11	101.8	-1684.81	101.8	-1010.74	101.8	421.844
102.8	-2337.67	102.8	-2242.07	102.8	-2057.5	102.8	-1684.42	102.8	-1011.2	102.8	423.691
103.8	-2336.97	103.8	-2241.05	103.8	-2057.06	103.8	-1683.95	103.8	-1009.66	103.8	424.223
104.8	-2336.05	104.8	-2240.34	104.8	-2055.88	104.8	-1682.96	104.8	-1010.59	104.8	425.496
105.8	-2335.21	105.8	-2240.15	105.8	-2055.55	105.8	-1682.67	105.8	-1009.79	105.8	424.258
106.8	-2334.77	106.8	-2238.98	106.8	-2056	106.8	-1682.41	106.8	-1008.41	106.8	425.563
107.8	-2333.52	107.8	-2239.04	107.8	-2055.21	107.8	-1681.87	107.8	-1008.4	107.8	424.754
108.8	-2333.06	108.8	-2239.06	108.8	-2053.86	108.8	-1681.34	108.8	-1009.04	108.8	424.648
109.8	-2332.41	109.8	-2238.14	109.8	-2054.54	109.8	-1681.1	109.8	-1008.83	109.8	425.102
110.8	-2331.71	110.8	-2237.48	110.8	-2053.99	110.8	-1680.88	110.8	-1007.98	110.8	423.52
111.8	-2330.8	111.8	-2236.29	111.8	-2052.78	111.8	-1680.22	111.8	-1008.42	111.8	425.145
112.8	-2330.3	112.8	-2236.63	112.8	-2052.45	112.8	-1680.7	112.8	-1008.2	112.8	424.633
113.8	-2329.42	113.8	-2235.48	113.8	-2052.16	113.8	-1680.09	113.8	-1007.88	113.8	424.023
114.8	-2329.19	114.8	-2234.98	114.8	-2051.95	114.8	-1679.31	114.8	-1007.36	114.8	423.984
115.8	-2328.38	115.8	-2235.1	115.8	-2051.2	115.8	-1678.56	115.8	-1007.36	115.8	425.094
116.8	-2328.2	116.8	-2234.69	116.8	-2050.84	116.8	-1677.88	116.8	-1006.64	116.8	425.805
117.8	-2327.46	117.8	-2234.03	117.8	-2050.3	117.8	-1678.21	117.8	-1006.82	117.8	425.773
118.8	-2326.86	118.8	-2233.45	118.8	-2050.33	118.8	-1677.46	118.8	-1006.08	118.8	426.73
119.8	-2326.66	119.8	-2233.06	119.8	-2049.77	119.8	-1677.69	119.8	-1006	119.8	425.027
120.8	-2325.95	120.8	-2233	120.8	-2049.45	120.8	-1677.49	120.8	-1005.52	120.8	425.469
121.8	-2325.89	121.8	-2233.09	121.8	-2049.2	121.8	-1677.71	121.8	-1004.85	121.8	424.754
122.8	-1701.66	122.8	-1717.51	122.8	-1376.47	122.8	-1636.48	122.8	-1005.62	122.8	424.273
123.8	-263.625	123.8	-329.57	123.8	-190.836	123.8	-409.523	123.8	-528.145	123.8	174.207
124.8	21.1445	124.8	-11.3164	124.8	-4.93359	124.8	-25.7852	124.8	-52.4063	124.8	61.4844
125.8	53.0977	125.8	23.6602	125.8	14.0391	125.8	14.5313	125.8	17.3984	125.8	41.5938
126.8	56.1094	126.8	30.8047	126.8	18.5859	126.8	20.8711	126.8	21.9648	126.8	36.168
127.8	57.5195	127.8	32.3398	127.8	19.8008	127.8	22.4297	127.8	23.332	127.8	31.7734
128.8	60.0547	128.8	33.0469	128.8	21.9141	128.8	22.4688	128.8	22.0586	128.8	28.4766
129.8	57.5586	129.8	33.5078	129.8	19.8711	129.8	24.207	129.8	22.2305	129.8	28.3086
130.8	56.9961	130.8	32.9336	130.8	19.5117	130.8	19.8359	130.8	20.9453	130.8	24.4648
131.8	56.5742	131.8	31.793	131.8	21.4844	131.8	20.5234	131.8	18.8867	131.8	21.7227
132.8	58.2461	132.8	32.375	132.8	19.3672	132.8	20.3711	132.8	18.1563	132.8	23.0586
133.8	58.3477	133.8	31.6953	133.8	19.4258	133.8	20.6641	133.8	16.8789	133.8	21.1797
134.8	57.8203	134.8	32.3594	134.8	19.1406	134.8	18.7227	134.8	17.4297	134.8	21.1797
135.8	57.0742	135.8	32.8594	135.8	20.168	135.8	19.7109	135.8	14.8672	135.8	21.4492
136.8	57.4414	136.8	33.3164	136.8	20.6758	136.8	20.168	136.8	14.7461	136.8	21.1211
137.8	56.6602	137.8	31.3047	137.8	21.2148	137.8	20.2852	137.8	16.4102	137.8	19.3281
138.8	57.625	138.8	32.0078	138.8	20.4883	138.8	20.9063	138.8	15.3398	138.8	19.1172
139.8	58.7266	139.8	32.9844	139.8	19.5703	139.8	20.4258	139.8	16.9414	139.8	18.1328
140.8	56.1211	140.8	32.5547	140.8	18.2891	140.8	20.4883	140.8	15.7305	140.8	17.2227
141.8	55.3867	141.8	31.9258	141.8	19.9492	141.8	19.543	141.8	16.4531	141.8	16.207
142.8	55.5078	142.8	30.7188	142.8	20.2109	142.8	20.5273	142.8	15.2852	142.8	17.5352
143.8	55.707	143.8	30.7422	143.8	20.0547	143.8	19.6133	143.8	14.8164	143.8	15.9414
144.8	57.043	144.8	32.7578	144.8	19.8164	144.8	18.1563	144.8	14.9219	144.8	16.5625
145.8	57.0859	145.8	31.9258	145.8	20.5039	145.8	18.9063	145.8	16.3789	145.8	17.6719
146.8	57.5469	146.8	32.668	146.8	20.4688	146.8	20.5391	146.8	17.4102	146.8	17.6289
147.8	55.668	147.8	33.1289	147.8	19.1172	147.8	19.3398	147.8	16	147.8	17.9961
148.8	55.7109	148.8	29.6094	148.8	18.9648	148.8	20.9375	148.8	15.6641	148.8	16.3164
149.8	52.9375	149.8	31.8203	149.8	19.3086	149.8	19.9453	149.8	16.3164	149.8	17.4492
150.8	55.0898	150.8	29.7734	150.8	20.3828	150.8	19.9414	150.8	18.9336	150.8	18.8125
151.8	52.1758	151.8	29.168	151.8	18.1133	151.8	17.7969	151.8	15.8203	151.8	14.7813
152.8	52.1758	152.8	29.9219	152.8	17.082	152.8	18.1484	152.8	13.2031	152.8	12.7148
153.8	52.5195	153.8	28.6172	153.8	17.7383	153.8	16.8008	153.8	15.6172	153.8	14.8164
154.8	51.3203	154.8	28.9961	154.8	18.6016	154.8	18.1055	154.8	14.0039	154.8	15.2383
155.8	52.3242	155.8	29.1797	155.8	19.9961	155.8	16.9297	155.8	15.5078	155.8	14.0977
