x	y
1	0.0000756
2	0.0000760
3	0.0000763
4	0.0000765
5	0.0000771
6	0.0000769
7	0.0000768
8	0.0000768
9	0.0000768
10	0.0000772
11	0.0000776
12	0.0000764
13	0.0000757
14	0.0000765
15	0.0000769
16	0.0000772
17	0.0000776
18	0.0000776
19	0.0000774
20	0.0000775
21	0.0000789
22	0.0000789
23	0.0000780
24	0.0000786
25	0.0000797
26	0.0000800
27	0.0000794
28	0.0000792
29	0.0000788
30	0.0000784
31	0.0000789
32	0.0000790
33	0.0000789
34	0.0000794
35	0.0000794
36	0.0000798
37	0.0000803
38	0.0000798
39	0.0000800
40	0.0000801
41	0.0000804
42	0.0000807
43	0.0000808
44	0.0000813
45	0.0000815
46	0.0000816
47	0.0000813
48	0.0000799
49	0.0000803
50	0.0000803
51	0.0000801
52	0.0000804
53	0.0000809
54	0.0000812
55	0.0000814
56	0.0000812
57	0.0000804
58	0.0000801
59	0.0000801
60	0.0000816
61	0.0000817
62	0.0000819
63	0.0000818
64	0.0000817
65	0.0000814
66	0.0000812
67	0.0000813
68	0.0000816
69	0.0000821
70	0.0000829
71	0.0000829
72	0.0000830
73	0.0000829
74	0.0000831
75	0.0000830
76	0.0000829
77	0.0000833
78	0.0000840
79	0.0000836
80	0.0000853
81	0.0000861
82	0.0000886
83	0.0000904
84	0.0000924
85	0.0000934
86	0.0000995
87	0.0001038
88	0.0001071
89	0.0001108
90	0.0001171
91	0.0001259
92	0.0001350
93	0.0001439
94	0.0001583
95	0.0001700
96	0.0001851
97	0.0002028
98	0.0002206
99	0.0002382
100	0.0002650
101	0.0002855
102	0.0003136
103	0.0003393
104	0.0003670
105	0.0003954
106	0.0004250
107	0.0004483
108	0.0004843
109	0.0005179
110	0.0005405
111	0.0005782
112	0.0005941
113	0.0006125
114	0.0006290
115	0.0006366
116	0.0006404
117	0.0006512
118	0.0006525
119	0.0006449
120	0.0006417
121	0.0006309
122	0.0006112
123	0.0005776
124	0.0005624
125	0.0005230
126	0.0004900
127	0.0004342
128	0.0003992
129	0.0003605
130	0.0003053
131	0.0002418
132	0.0001993
133	0.0001257
134	0.0000705
135	0.0000089
136	-0.0000489
137	-0.0001003
138	-0.0001396
139	-0.0002190
140	-0.0002463
141	-0.0002875
142	-0.0003180
143	-0.0003542
144	-0.0003827
145	-0.0003872
146	-0.0004119
147	-0.0004399
148	-0.0004348
149	-0.0004329
150	-0.0004348
151	-0.0004284
152	-0.0004259
153	-0.0004196
154	-0.0004126
155	-0.0004024
156	-0.0003929
157	-0.0003808
158	-0.0003643
159	-0.0003532
160	-0.0003397
161	-0.0003263
162	-0.0003161
163	-0.0002983
164	-0.0002850
165	-0.0002723
166	-0.0002653
167	-0.0002475
168	-0.0002377
169	-0.0002279
170	-0.0002162
171	-0.0002052
172	-0.0001968
173	-0.0001871
174	-0.0001771
175	-0.0001625
176	-0.0001561
177	-0.0001477
178	-0.0001397
179	-0.0001320
180	-0.0001252
181	-0.0001177
182	-0.0001104
183	-0.0001029
184	-0.0000965
185	-0.0000887
186	-0.0000817
187	-0.0000766
188	-0.0000698
189	-0.0000646
190	-0.0000596
191	-0.0000567
192	-0.0000512
193	-0.0000459
194	-0.0000417
195	-0.0000380
196	-0.0000325
197	-0.0000308
198	-0.0000266
199	-0.0000236
200	-0.0000199
201	-0.0000151
202	-0.0000113
203	-0.0000079
204	-0.0000063
205	-0.0000023
206	0.0000012
207	0.0000034
208	0.0000064
209	0.0000092
210	0.0000108
211	0.0000165
212	0.0000180
213	0.0000196
214	0.0000221
215	0.0000258
216	0.0000286
217	0.0000301
218	0.0000308
219	0.0000341
220	0.0000356
221	0.0000365
222	0.0000408
223	0.0000420
224	0.0000441
225	0.0000455
226	0.0000465
227	0.0000468
228	0.0000488
229	0.0000498
230	0.0000503
231	0.0000527
232	0.0000530
233	0.0000543
234	0.0000542
235	0.0000554
236	0.0000560
237	0.0000587
238	0.0000590
239	0.0000616
240	0.0000634
241	0.0000633
242	0.0000651
243	0.0000672
244	0.0000666
245	0.0000653
246	0.0000673
247	0.0000683
248	0.0000686
249	0.0000686
250	0.0000705
251	0.0000714
252	0.0000722
253	0.0000720
254	0.0000751
255	0.0000757
256	0.0000759
257	0.0000751
258	0.0000767
259	0.0000769
260	0.0000767
261	0.0000764
262	0.0000762
263	0.0000749
264	0.0000767
265	0.0000775
266	0.0000782
267	0.0000777
268	0.0000783
269	0.0000764
270	0.0000789
271	0.0000776
272	0.0000794
273	0.0000794
274	0.0000793
275	0.0000793
276	0.0000803
277	0.0000816
278	0.0000806
279	0.0000815
280	0.0000811
281	0.0000798
282	0.0000797
283	0.0000800
284	0.0000802
285	0.0000800
286	0.0000814
287	0.0000831
288	0.0000831
289	0.0000810
290	0.0000835
291	0.0000822
292	0.0000838
293	0.0000841
294	0.0000852
295	0.0000836
296	0.0000821
297	0.0000820
298	0.0000831
299	0.0000835
300	0.0000840
301	0.0000844
302	0.0000821
303	0.0000842
304	0.0000852
305	0.0000856
306	0.0000869
307	0.0000866
308	0.0000854
309	0.0000851
310	0.0000866
311	0.0000868
312	0.0000871
313	0.0000855
314	0.0000853
315	0.0000855
316	0.0000876
317	0.0000877
318	0.0000887
319	0.0000884
320	0.0000886
321	0.0000894
322	0.0000900
323	0.0000907
324	0.0000909
325	0.0000909
326	0.0000923
327	0.0000911
328	0.0000902
329	0.0000887
330	0.0000899
331	0.0000880
332	0.0000888
333	0.0000848
334	0.0000812
335	0.0000774
336	0.0000734
337	0.0000686
338	0.0000595
339	0.0000517
340	0.0000402
341	0.0000240
342	0.0000070
343	-0.0000122
344	-0.0000414
345	-0.0000717
346	-0.0001043
347	-0.0001422
348	-0.0001825
349	-0.0002364
350	-0.0002898
351	-0.0003481
352	-0.0004171
353	-0.0004854
354	-0.0005567
355	-0.0006355
356	-0.0007187
357	-0.0007979
358	-0.0008855
359	-0.0009760
360	-0.0010765
361	-0.0011759
362	-0.0012657
363	-0.0012968
364	-0.0011203
365	-0.0008391
366	-0.0005313
367	-0.0002501
368	-0.0000057
369	0.0001504
370	0.0002469
371	0.0003053
372	0.0003580
373	0.0003669
374	0.0003834
375	0.0003942
376	0.0003967
377	0.0004012
378	0.0003986
379	0.0004056
380	0.0004094
381	0.0004145
382	0.0004227
383	0.0004246
384	0.0004234
385	0.0004221
386	0.0004246
387	0.0004303
388	0.0004278
389	0.0004234
390	0.0004323
391	0.0004310
392	0.0004392
393	0.0004319
394	0.0004216
395	0.0004282
396	0.0004265
397	0.0004189
398	0.0004240
399	0.0004215
400	0.0004177
401	0.0004121
402	0.0004120
403	0.0004056
404	0.0004078
405	0.0004050
406	0.0003980
407	0.0003954
408	0.0003939
409	0.0003902
410	0.0003866
411	0.0003837
412	0.0003829
413	0.0003801
414	0.0003793
415	0.0003794
416	0.0003777
417	0.0003761
418	0.0003736
419	0.0003713
420	0.0003720
421	0.0003678
422	0.0003732
423	0.0003688
424	0.0003729
425	0.0003700
426	0.0003653
427	0.0003686
428	0.0003675
429	0.0003688
430	0.0003690
431	0.0003730
432	0.0003722
433	0.0003713
434	0.0003709
435	0.0003700
436	0.0003728
437	0.0003729
438	0.0003685
439	0.0003688
440	0.0003754
441	0.0003731
442	0.0003715
443	0.0003722
444	0.0003752
445	0.0003752
446	0.0003760
447	0.0003728
448	0.0003720
449	0.0003761
450	0.0003745
451	0.0003726
452	0.0003720
453	0.0003708
454	0.0003714
455	0.0003698
456	0.0003743
457	0.0003675
458	0.0003670
459	0.0003699
460	0.0003664
461	0.0003632
462	0.0003623
463	0.0003631
464	0.0003609
465	0.0003624
466	0.0003615
467	0.0003577
468	0.0003555
469	0.0003527
470	0.0003498
471	0.0003484
472	0.0003492
473	0.0003476
474	0.0003418
475	0.0003386
476	0.0003366
477	0.0003366
478	0.0003316
479	0.0003252
480	0.0003273
481	0.0003237
482	0.0003213
483	0.0003205
484	0.0003166
485	0.0003146
486	0.0003135
487	0.0003099
488	0.0003072
489	0.0003019
490	0.0003004
491	0.0002990
492	0.0002926
493	0.0002925
494	0.0002902
495	0.0002862
496	0.0002823
497	0.0002851
498	0.0002795
499	0.0002756
500	0.0002723
501	0.0002708
502	0.0002711
503	0.0002650
504	0.0002645
505	0.0002608
506	0.0002566
507	0.0002525
508	0.0002498
509	0.0002510
510	0.0002453
511	0.0002431
512	0.0002412
513	0.0002382
514	0.0002328
515	0.0002307
516	0.0002292
517	0.0002291
518	0.0002247
519	0.0002227
520	0.0002188
521	0.0002182
522	0.0002146
523	0.0002148
524	0.0002141
525	0.0002091
526	0.0002074
527	0.0002070
528	0.0002015
529	0.0001988
530	0.0001988
531	0.0001961
532	0.0001961
533	0.0001927
534	0.0001899
535	0.0001887
536	0.0001876
537	0.0001853
538	0.0001842
539	0.0001841
540	0.0001817
541	0.0001813
542	0.0001782
543	0.0001771
544	0.0001739
545	0.0001715
546	0.0001705
547	0.0001678
548	0.0001672
549	0.0001668
550	0.0001635
551	0.0001640
552	0.0001643
553	0.0001624
554	0.0001621
555	0.0001597
556	0.0001576
557	0.0001566
558	0.0001560
559	0.0001543
560	0.0001547
561	0.0001534
562	0.0001521
563	0.0001519
564	0.0001508
565	0.0001510
566	0.0001495
567	0.0001493
568	0.0001476
569	0.0001478
570	0.0001480
571	0.0001486
572	0.0001486
573	0.0001484
574	0.0001487
575	0.0001490
576	0.0001491
577	0.0001491
578	0.0001502
579	0.0001507
580	0.0001522
581	0.0001521
582	0.0001517
583	0.0001519
584	0.0001520
585	0.0001521
586	0.0001529
587	0.0001528
588	0.0001529
589	0.0001551
590	0.0001551
591	0.0001553
592	0.0001555
593	0.0001554
594	0.0001557
595	0.0001560
596	0.0001561
597	0.0001565
598	0.0001570
599	0.0001574
600	0.0001574
601	0.0001577
602	0.0001580
603	0.0001583
604	0.0001583
605	0.0001586
606	0.0001587
607	0.0001588
608	0.0001589
609	0.0001592
610	0.0001600
611	0.0001618
612	0.0001616
613	0.0001616
614	0.0001616
615	0.0001621
616	0.0001620
617	0.0001613
618	0.0001610
619	0.0001609
620	0.0001608
621	0.0001607
622	0.0001608
623	0.0001610
624	0.0001618
625	0.0001626
626	0.0001630
627	0.0001631
628	0.0001631
629	0.0001631
630	0.0001635
631	0.0001635
632	0.0001638
633	0.0001638
634	0.0001638
635	0.0001641
636	0.0001643
637	0.0001651
638	0.0001655
639	0.0001655
640	0.0001658
641	0.0001660
642	0.0001660
643	0.0001659
644	0.0001658
645	0.0001657
646	0.0001663
647	0.0001665
648	0.0001665
649	0.0001675
650	0.0001674
651	0.0001674
652	0.0001681
653	0.0001679
654	0.0001678
655	0.0001681
656	0.0001681
657	0.0001680
658	0.0001684
659	0.0001685
660	0.0001692
661	0.0001697
662	0.0001697
663	0.0001697
664	0.0001698
665	0.0001698
666	0.0001697
667	0.0001696
668	0.0001697
669	0.0001699
670	0.0001705
671	0.0001703
672	0.0001705
673	0.0001706
674	0.0001712
675	0.0001712
676	0.0001713
677	0.0001713
678	0.0001717
679	0.0001715
680	0.0001702
681	0.0001683
682	0.0001666
683	0.0001652
684	0.0001641
685	0.0001638
686	0.0001626
687	0.0001615
688	0.0001613
689	0.0001612
690	0.0001609
691	0.0001603
692	0.0001594
693	0.0001582
694	0.0001583
695	0.0001591
696	0.0001590
697	0.0001583
698	0.0001569
699	0.0001572
700	0.0001580
701	0.0001578
702	0.0001558
703	0.0001554
704	0.0001557
705	0.0001551
706	0.0001549
707	0.0001544
708	0.0001544
709	0.0001545
710	0.0001537
711	0.0001540
712	0.0001538
713	0.0001527
714	0.0001526
715	0.0001525
716	0.0001524
717	0.0001518
718	0.0001514
719	0.0001509
720	0.0001507
721	0.0001505
722	0.0001513
723	0.0001512
724	0.0001512
725	0.0001511
726	0.0001508
727	0.0001505
728	0.0001500
729	0.0001492
730	0.0001489
731	0.0001495
732	0.0001488
733	0.0001488
734	0.0001490
735	0.0001495
736	0.0001503
737	0.0001504
738	0.0001502
739	0.0001499
740	0.0001499
741	0.0001502
742	0.0001493
743	0.0001495
744	0.0001494
745	0.0001493
746	0.0001493
