x	y
1	-89.4411941
2	-89.4407508
3	-89.4362250
4	-89.4525000
5	-89.4574074
6	-89.4541898
7	-89.4451025
8	-89.4421261
9	-89.4425000
10	-89.4393182
11	-89.4371402
12	-89.4311633
13	-89.4318056
14	-89.4353247
15	-89.4368750
16	-89.4361693
17	-89.4472222
18	-89.4438889
19	-89.4446429
20	-89.4441667
21	-89.4382143
22	-89.4441802
23	-89.4431104
24	-89.4358333
25	-89.4251023
26	-89.4227778
27	-89.4145556
28	-89.3962037
29	-89.3890926
30	-89.3926852
31	-89.3468519
32	-89.3666667
33	-89.3548148
34	-89.3533333
35	-89.3488889
36	-89.3975000
37	-89.4284259
38	-89.4750000
39	-89.5223704
40	-89.5578333
41	-89.5950000
42	-89.6325000
43	-89.6433333
44	-89.7053333
45	-89.7416667
46	-89.8058333
47	-89.8164959
48	-89.8203333
49	-89.8254815
50	-89.8125527
51	-89.8504167
52	-89.8375000
53	-89.8465464
54	-89.8532593
55	-89.8525000
56	-89.8605000
57	-89.8430000
58	-89.8545017
59	-89.8625000
60	-89.8737500
61	-89.8732870
62	-89.8629401
63	-89.8756818
64	-89.8739286
65	-89.8726984
66	-89.8863636
67	-89.9012963
68	-89.8969366
69	-89.8886250
70	-89.8899815
71	-89.8923810
72	-89.8985714
73	-89.8986973
74	-89.9008802
75	-89.9114683
76	-89.9181818
77	-89.9128186
78	-89.9034444
79	-89.9070000
80	-89.9206250
81	-89.9366250
82	-89.9372685
83	-89.9275926
84	-89.9256713
85	-89.9315457
86	-89.9344444
87	-89.9328833
88	-89.9366667
89	-89.9548889
90	-89.9775556
91	-90.0050038
92	-90.0142025
93	-90.0406250
94	-90.0433333
95	-89.9983333
96	-90.0359223
97	-90.0325000
98	-90.0316667
99	-89.9182701
100	-89.8991350
101	-89.8714815
102	-89.8650000
103	-89.8461111
104	-89.7658889
105	-89.7127963
106	-89.6588889
107	-89.6611574
108	-89.6500000
109	-89.6550000
110	-89.6787500
111	-89.6742130
112	-89.6444444
113	-89.6596667
114	-89.6695185
115	-89.6460000
116	-89.6515152
117	-89.6384848
118	-89.6260000
119	-89.6345926
120	-89.6387500
121	-89.6371190
122	-89.6381667
123	-89.6387500
124	-89.6237037
125	-89.6274074
126	-89.6350000
127	-89.6400000
128	-89.6230907
129	-89.6008636
130	-89.5878031
131	-89.6001969
132	-89.6052508
133	-89.6047222
134	-89.6016667
135	-89.5924286
136	-89.5642595
137	-89.5551667
138	-89.5687500
139	-89.5863889
140	-89.5858333
141	-89.5792037
142	-89.5747500
143	-89.5685833
144	-89.5639286
145	-89.5516799
146	-89.5427273
147	-89.5419683
148	-89.5622857
149	-89.5562857
150	-89.5550000
151	-89.5421296
152	-89.5351620
153	-89.5350000
154	-89.5329801
155	-89.5293750
156	-89.5267748
157	-89.5168571
158	-89.5149167
159	-89.5205538
160	-89.5163333
161	-89.4980370
162	-89.4923214
163	-89.4873187
164	-89.4831151
165	-89.4812222
166	-89.4888724
167	-89.4978627
168	-89.5044643
