x	y
1	-4673.5438817
2	-4673.5207178
3	-4673.2842322
4	-4674.1346467
5	-4674.3910720
6	-4674.2229441
7	-4673.7481051
8	-4673.5925811
9	-4673.6121197
10	-4673.4458612
11	-4673.3320546
12	-4673.0197474
13	-4673.0533062
14	-4673.2371897
15	-4673.3181983
16	-4673.2813216
17	-4673.8588686
18	-4673.6846929
19	-4673.7240898
20	-4673.6992076
21	-4673.3881796
22	-4673.6999162
23	-4673.6440141
24	-4673.2637684
25	-4672.7030450
26	-4672.5815804
27	-4672.1519471
28	-4671.1930133
29	-4670.8214385
30	-4671.0091612
31	-4668.6142458
32	-4669.6496233
33	-4669.0303321
34	-4668.9529207
35	-4668.7206864
36	-4671.2607483
37	-4672.8767114
38	-4675.3103325
39	-4677.7855623
40	-4679.6385978
41	-4681.5806565
42	-4683.5401327
43	-4684.1062037
44	-4687.3458711
45	-4689.2443858
46	-4692.5972674
47	-4693.1544152
48	-4693.3549316
49	-4693.6239362
50	-4692.9483747
51	-4694.9268670
52	-4694.2519362
53	-4694.7246358
54	-4695.0754001
55	-4695.0357267
56	-4695.4537483
57	-4694.5393261
58	-4695.1403201
59	-4695.5582537
60	-4696.1460966
61	-4696.1219056
62	-4695.5812506
63	-4696.2470393
64	-4696.1554275
65	-4696.0911483
66	-4696.8051932
67	-4697.5854650
68	-4697.3576595
69	-4696.9233555
70	-4696.9942354
71	-4697.1196142
72	-4697.4430833
73	-4697.4496627
74	-4697.5637244
75	-4698.1169772
76	-4698.4677791
77	-4698.1875379
78	-4697.6977115
79	-4697.8834989
80	-4698.5954419
81	-4699.4314851
82	-4699.4651107
83	-4698.9595175
84	-4698.8591245
85	-4699.1660765
86	-4699.3175452
87	-4699.2359693
88	-4699.4336623
89	-4700.3858226
90	-4701.5702172
91	-4703.0044631
92	-4703.4851205
93	-4704.8657659
94	-4705.0072837
95	-4702.6559122
96	-4704.6200391
97	-4704.4412128
98	-4704.3976688
99	-4698.4723896
100	-4697.4725328
101	-4696.0275604
102	-4695.6888855
103	-4694.7018901
104	-4690.5100623
105	-4687.7358310
106	-4684.9190234
107	-4685.0375597
108	-4684.4545550
109	-4684.7158185
110	-4685.9568201
111	-4685.7197477
112	-4684.1642622
113	-4684.9596644
114	-4685.4744503
115	-4684.2455442
116	-4684.5337258
117	-4683.8528572
118	-4683.2004902
119	-4683.6494764
120	-4683.8667121
121	-4683.7814905
122	-4683.8362314
123	-4683.8667121
124	-4683.0805025
125	-4683.2740310
126	-4683.6707645
127	-4683.9320280
128	-4683.0484723
129	-4681.8870440
130	-4681.2045987
131	-4681.8522089
132	-4682.1162895
133	-4682.0886689
134	-4681.9290078
135	-4681.4462924
136	-4679.9743821
137	-4679.4992573
138	-4680.2090231
139	-4681.1307027
140	-4681.1016734
141	-4680.7552574
142	-4680.5225393
143	-4680.2003143
144	-4679.9570905
145	-4679.3170640
146	-4678.8492654
147	-4678.8096052
148	-4679.8712467
149	-4679.5577305
150	-4679.4905485
151	-4678.8180369
152	-4678.4539614
153	-4678.4454945
154	-4678.3399493
155	-4678.1515731
156	-4678.0157050
157	-4677.4974812
158	-4677.3960861
159	-4677.6906418
160	-4677.4701108
161	-4676.5140799
