x	y
1	0.0057386
2	0.0057385
3	0.0057384
4	0.0057385
5	0.0057399
6	0.0057400
7	0.0057393
8	0.0057393
9	0.0057396
10	0.0057396
11	0.0057389
12	0.0057392
13	0.0057390
14	0.0057385
15	0.0057385
16	0.0057391
17	0.0057382
18	0.0057385
19	0.0057393
20	0.0057389
21	0.0057378
22	0.0057379
23	0.0057385
24	0.0057384
25	0.0057384
26	0.0057383
27	0.0057376
28	0.0057378
29	0.0057364
30	0.0057357
31	0.0057345
32	0.0057338
33	0.0057338
34	0.0057324
35	0.0057319
36	0.0057351
37	0.0057353
38	0.0057354
39	0.0057370
40	0.0057422
41	0.0057415
42	0.0057472
43	0.0057458
44	0.0057510
45	0.0057503
46	0.0057488
47	0.0057521
48	0.0057494
49	0.0057477
50	0.0057498
51	0.0057495
52	0.0057505
53	0.0057495
54	0.0057493
55	0.0057497
56	0.0057507
57	0.0057501
58	0.0057502
59	0.0057502
60	0.0057501
61	0.0057494
62	0.0057493
63	0.0057495
64	0.0057488
65	0.0057490
66	0.0057499
67	0.0057504
68	0.0057507
69	0.0057504
70	0.0057507
71	0.0057505
72	0.0057503
73	0.0057500
74	0.0057492
75	0.0057487
76	0.0057490
77	0.0057486
78	0.0057487
79	0.0057492
80	0.0057503
81	0.0057504
82	0.0057503
83	0.0057503
84	0.0057500
85	0.0057506
86	0.0057513
87	0.0057510
88	0.0057512
89	0.0057519
90	0.0057518
91	0.0057525
92	0.0057537
93	0.0057524
94	0.0057548
95	0.0057560
96	0.0057576
97	0.0057554
98	0.0057551
99	0.0057492
100	0.0057496
101	0.0057485
102	0.0057453
103	0.0057482
104	0.0057503
105	0.0057434
106	0.0057464
107	0.0057430
108	0.0057440
109	0.0057419
110	0.0057435
111	0.0057438
112	0.0057426
113	0.0057430
114	0.0057422
115	0.0057415
116	0.0057416
117	0.0057436
118	0.0057434
119	0.0057442
120	0.0057452
121	0.0057449
122	0.0057443
123	0.0057452
124	0.0057461
125	0.0057452
126	0.0057454
127	0.0057452
128	0.0057449
129	0.0057448
130	0.0057459
131	0.0057461
132	0.0057465
133	0.0057472
134	0.0057460
135	0.0057460
136	0.0057460
137	0.0057461
138	0.0057448
139	0.0057441
140	0.0057441
141	0.0057441
142	0.0057449
143	0.0057446
144	0.0057447
145	0.0057450
146	0.0057446
147	0.0057442
148	0.0057442
149	0.0057441
150	0.0057440
151	0.0057433
152	0.0057434
153	0.0057437
154	0.0057442
155	0.0057449
