x	y
1	3.5174092
2	3.5174082
3	3.5173970
4	3.5173385
5	3.5173208
6	3.5173208
7	3.5173208
8	3.5173711
9	3.5173295
10	3.5172599
11	3.5172795
12	3.5173419
13	3.5173472
14	3.5173435
15	3.5173365
16	3.5173317
17	3.5172947
18	3.5173106
19	3.5173047
20	3.5172808
21	3.5172841
22	3.5172860
23	3.5173150
24	3.5173510
25	3.5173557
26	3.5173905
27	3.5174855
28	3.5174996
29	3.5175137
30	3.5177040
31	3.5178705
32	3.5179653
33	3.5182135
34	3.5184430
35	3.5187425
36	3.5188797
37	3.5191148
38	3.5195542
39	3.5198203
40	3.5201860
41	3.5204628
42	3.5207395
43	3.5208392
44	3.5210743
45	3.5213433
46	3.5215903
47	3.5216752
48	3.5219626
49	3.5220967
50	3.5221259
51	3.5221645
52	3.5223260
53	3.5223319
54	3.5223358
55	3.5223450
56	3.5223545
57	3.5223545
58	3.5223545
59	3.5224105
60	3.5224180
61	3.5224893
62	3.5224819
63	3.5225136
64	3.5225200
65	3.5225180
66	3.5225374
67	3.5225229
68	3.5224534
69	3.5224842
70	3.5225061
71	3.5225055
72	3.5225208
73	3.5225142
74	3.5224503
75	3.5224174
76	3.5224195
77	3.5224198
78	3.5224242
79	3.5224861
80	3.5224879
81	3.5224926
82	3.5224828
83	3.5224166
84	3.5224441
85	3.5224398
86	3.5223872
87	3.5223102
88	3.5222369
89	3.5222147
90	3.5221924
91	3.5221847
92	3.5219887
93	3.5218146
94	3.5218059
95	3.5214633
96	3.5212572
97	3.5209855
98	3.5209306
99	3.5205097
100	3.5201207
101	3.5197946
102	3.5196374
103	3.5193064
104	3.5191299
105	3.5190626
106	3.5187568
107	3.5187491
108	3.5184843
109	3.5183049
110	3.5182788
111	3.5182788
112	3.5180106
113	3.5178974
114	3.5177563
115	3.5176595
116	3.5176583
117	3.5176343
118	3.5175675
119	3.5174921
120	3.5174793
121	3.5174428
122	3.5174079
123	3.5174199
124	3.5174108
125	3.5173670
126	3.5173644
127	3.5173578
128	3.5173644
129	3.5173382
130	3.5173382
131	3.5173382
132	3.5173382
133	3.5173382
134	3.5172918
135	3.5172454
136	3.5172105
137	3.5171757
138	3.5171162
139	3.5171292
140	3.5171815
141	3.5171670
142	3.5171554
143	3.5171625
144	3.5172410
145	3.5172366
146	3.5171728
147	3.5171844
148	3.5171926
149	3.5171554
150	3.5171470
151	3.5171688
152	3.5171728
153	3.5171651
154	3.5171574
155	3.5171482
156	3.5171482
157	3.5171488
158	3.5171288
159	3.5171292
160	3.5171292
161	3.5171292
162	3.5171778
163	3.5171740
164	3.5171750
165	3.5171625
166	3.5171292
167	3.5171227
168	3.5171227
169	3.5171514
170	3.5171485
171	3.5171684
172	3.5171586
173	3.5171236
174	3.5171358
175	3.5171423
176	3.5171554
177	3.5171525
178	3.5171281
179	3.5171110
180	3.5171176
181	3.5171106
182	3.5171292
183	3.5171563
184	3.5171815
185	3.5171815
186	3.5171684
187	3.5171728
188	3.5171703
189	3.5171423
190	3.5171057
191	3.5171068
192	3.5171197
193	3.5171296
194	3.5171356
195	3.5171347
196	3.5171501
197	3.5171684
198	3.5171591
199	3.5170966
200	3.5170835
201	3.5170704
202	3.5169749
203	3.5169882
204	3.5171292
205	3.5171447
206	3.5171255
207	3.5171210
208	3.5171641
209	3.5171554
210	3.5171379
211	3.5171205
212	3.5171263
213	3.5171321
214	3.5171433
215	3.5171323
216	3.5170392
217	3.5170607
218	3.5170832
219	3.5170900
220	3.5170927
221	3.5171031
222	3.5171031
223	3.5171060
224	3.5170983
225	3.5170973
226	3.5170944
227	3.5171072
228	3.5170868
229	3.5170770
230	3.5170763
231	3.5170770
232	3.5170807
233	3.5170770
234	3.5170770
235	3.5170735
236	3.5170803
237	3.5170803
238	3.5170665
239	3.5170718
240	3.5170688
241	3.5170742
242	3.5170705
243	3.5170860
244	3.5170877
245	3.5170894
246	3.5170900
247	3.5170966
248	3.5170935
249	3.5170912
250	3.5170701
251	3.5170770
252	3.5170378
253	3.5170091
254	3.5170143
255	3.5170196
256	3.5170247
257	3.5170561
258	3.5170623
259	3.5170541
260	3.5170509
261	3.5170596
262	3.5170789
263	3.5170705
264	3.5169432
265	3.5169522
266	3.5170247
267	3.5170247
268	3.5170247
269	3.5169202
270	3.5169202
271	3.5169464
272	3.5169921
273	3.5170038
274	3.5169829
275	3.5169867
276	3.5169575
277	3.5169355
278	3.5169333
279	3.5169285
280	3.5169347
281	3.5169398
282	3.5169529
283	3.5169638
284	3.5169800
285	3.5169594
286	3.5169449
287	3.5169333
288	3.5169516
289	3.5169638
290	3.5169790
291	3.5169787
292	3.5169855
293	3.5170039
294	3.5169725
295	3.5169802
296	3.5169855
297	3.5169807
298	3.5169620
299	3.5169812
300	3.5170381
301	3.5170247
302	3.5170209
303	3.5168974
304	3.5169022
305	3.5168585
306	3.5168300
307	3.5168471
308	3.5169202
309	3.5169202
310	3.5168815
311	3.5169128
312	3.5169874
313	3.5169659
314	3.5169623
315	3.5169620
316	3.5169561
317	3.5169673
318	3.5169684
319	3.5169417
320	3.5169135
321	3.5169137
322	3.5169109
323	3.5168300
324	3.5168344
325	3.5168439
326	3.5168686
327	3.5168745
328	3.5168732
329	3.5168913
330	3.5168900
331	3.5168941
332	3.5170160
333	3.5169696
334	3.5168754
335	3.5168754
336	3.5168809
337	3.5168778
338	3.5168796
339	3.5169144
340	3.5169162
341	3.5169202
342	3.5169216
343	3.5169392
344	3.5169288
345	3.5169161
346	3.5169121
347	3.5169359
348	3.5169333
349	3.5168786
350	3.5168754
351	3.5167896
352	3.5167896
353	3.5168418
354	3.5168418
355	3.5168523
356	3.5168563
357	3.5168680
358	3.5168642
359	3.5168651
360	3.5168712
361	3.5168484
362	3.5168568
363	3.5169068
364	3.5169072
365	3.5169260
366	3.5169202
367	3.5169028
368	3.5168733
369	3.5168732
370	3.5168732
371	3.5168627
372	3.5167863
373	3.5168070
374	3.5168288
375	3.5168549
376	3.5168483
377	3.5168180
378	3.5168223
379	3.5168614
380	3.5168593
381	3.5167831
382	3.5167831
383	3.5168157
384	3.5168575
385	3.5168278
386	3.5167919
387	3.5168157
388	3.5168186
