Seconds	Ch1	Ch2
1	676.030000	677.260000
1	676.050000	677.280000
1	675.960000	677.220000
1	676.060000	677.330000
1	676.010000	677.290000
1	676.080000	677.330000
1	676.060000	677.220000
1	676.120000	677.260000
1	676.060000	677.310000
1	676.120000	677.310000
2	676.070000	677.280000
2	675.990000	677.290000
2	675.960000	677.340000
2	676.070000	677.310000
2	676.030000	677.260000
2	676.070000	677.270000
2	676.120000	677.270000
2	676.040000	677.260000
2	676.060000	677.280000
2	676.070000	677.230000
3	676.060000	677.280000
3	676.090000	677.310000
3	676.100000	677.390000
3	676.020000	677.250000
3	676.020000	677.340000
3	676.000000	677.290000
3	676.020000	677.290000
3	676.090000	677.220000
3	676.070000	677.320000
4	676.000000	677.230000
4	676.080000	677.290000
4	676.130000	677.290000
4	676.040000	677.180000
4	676.120000	677.260000
4	676.080000	677.210000
4	676.060000	677.300000
4	676.100000	677.210000
4	676.120000	677.300000
5	676.060000	677.250000
5	676.100000	677.320000
5	676.030000	677.280000
5	676.000000	677.280000
5	676.080000	677.280000
5	676.010000	677.310000
5	676.030000	677.200000
5	676.090000	677.370000
5	676.110000	677.270000
6	676.090000	677.210000
6	676.060000	677.370000
6	675.960000	677.210000
6	676.100000	677.180000
6	676.100000	677.280000
6	676.080000	677.220000
6	676.040000	677.290000
6	676.120000	677.270000
6	675.990000	677.330000
6	676.100000	677.280000
7	676.070000	677.260000
7	676.050000	677.330000
7	676.120000	677.260000
7	675.980000	677.220000
7	676.040000	677.320000
7	676.020000	677.290000
7	676.110000	677.270000
7	676.010000	677.300000
7	676.070000	677.280000
8	676.120000	677.240000
8	675.980000	677.270000
8	676.060000	677.250000
8	676.130000	677.280000
8	675.970000	677.240000
8	676.050000	677.270000
8	676.030000	677.290000
8	675.960000	677.310000
8	676.090000	677.300000
9	676.060000	677.250000
9	675.970000	677.330000
9	675.990000	677.200000
9	676.070000	677.370000
9	676.040000	677.300000
9	676.100000	677.190000
9	676.110000	677.180000
9	676.020000	677.300000
9	676.080000	677.330000
10	676.080000	677.220000
10	676.090000	677.190000
10	676.080000	677.290000
10	676.040000	677.240000
10	676.000000	677.310000
10	676.020000	677.240000
10	676.040000	677.260000
10	676.080000	677.300000
10	676.070000	677.290000
10	676.070000	677.330000
11	676.020000	677.290000
11	675.930000	677.310000
11	676.070000	677.300000
11	676.030000	677.300000
11	676.050000	677.290000
11	676.070000	677.270000
11	676.080000	677.350000
11	676.130000	677.270000
11	676.020000	677.260000
12	676.110000	677.270000
12	676.010000	677.300000
12	676.050000	677.330000
12	676.030000	677.270000
12	676.070000	677.270000
12	676.060000	677.300000
12	676.100000	677.240000
12	676.010000	677.260000
12	676.030000	677.310000
13	676.030000	677.220000
13	676.100000	677.340000
13	675.990000	677.260000
13	676.020000	677.250000
13	676.100000	677.270000
13	676.050000	677.270000
13	676.080000	677.240000
13	676.060000	677.340000
13	675.990000	677.220000
14	676.050000	677.360000
14	675.980000	677.240000
14	676.010000	677.200000
14	676.010000	677.250000
14	676.070000	677.300000
14	676.030000	677.280000
14	676.040000	677.320000
14	676.010000	677.260000
14	676.020000	677.280000
14	675.950000	677.210000
15	676.000000	677.250000
15	676.060000	677.240000
15	676.060000	677.290000
15	675.990000	677.310000
15	676.080000	677.220000
15	676.060000	677.310000
15	676.070000	677.310000
15	676.060000	677.260000
15	676.000000	677.260000
16	676.030000	677.200000
16	676.080000	677.220000
16	676.080000	677.340000
16	676.110000	677.290000
16	676.030000	677.240000
16	676.070000	677.280000
16	676.090000	677.290000
16	676.090000	677.180000
16	676.020000	677.260000
