x	y
1	-0.0004136
2	-0.0004142
3	-0.0004145
4	-0.0004128
5	-0.0004127
6	-0.0004125
7	-0.0004124
8	-0.0004129
9	-0.0004126
10	-0.0004126
11	-0.0004132
12	-0.0004135
13	-0.0004138
14	-0.0004136
15	-0.0004135
16	-0.0004136
17	-0.0004135
18	-0.0004129
19	-0.0004132
20	-0.0004135
21	-0.0004139
22	-0.0004139
23	-0.0004139
24	-0.0004133
25	-0.0004132
26	-0.0004135
27	-0.0004136
28	-0.0004141
29	-0.0004141
30	-0.0004136
31	-0.0004137
32	-0.0004136
33	-0.0004136
34	-0.0004140
35	-0.0004144
36	-0.0004143
37	-0.0004135
38	-0.0004135
39	-0.0004135
40	-0.0004132
41	-0.0004122
42	-0.0004124
43	-0.0004125
44	-0.0004133
45	-0.0004134
46	-0.0004135
47	-0.0004132
48	-0.0004134
49	-0.0004138
50	-0.0004132
51	-0.0004132
52	-0.0004135
53	-0.0004135
54	-0.0004133
55	-0.0004128
56	-0.0004130
57	-0.0004133
58	-0.0004140
59	-0.0004143
60	-0.0004142
61	-0.0004144
62	-0.0004146
63	-0.0004152
64	-0.0004145
65	-0.0004147
66	-0.0004160
67	-0.0004157
68	-0.0004171
69	-0.0004163
70	-0.0004164
71	-0.0004153
72	-0.0004163
73	-0.0004157
74	-0.0004153
75	-0.0004151
76	-0.0004146
77	-0.0004140
78	-0.0004139
79	-0.0004120
80	-0.0004125
81	-0.0004123
82	-0.0004096
83	-0.0004085
84	-0.0004088
85	-0.0004085
86	-0.0004083
87	-0.0004086
88	-0.0004086
89	-0.0004074
90	-0.0004069
91	-0.0004070
92	-0.0004074
93	-0.0004075
94	-0.0004076
95	-0.0004066
96	-0.0004069
97	-0.0004074
98	-0.0004077
99	-0.0004077
100	-0.0004081
101	-0.0004085
102	-0.0004085
103	-0.0004090
104	-0.0004088
105	-0.0004079
106	-0.0004081
107	-0.0004082
108	-0.0004084
109	-0.0004085
110	-0.0004084
111	-0.0004084
112	-0.0004075
113	-0.0004087
114	-0.0004093
115	-0.0004096
116	-0.0004095
117	-0.0004095
118	-0.0004087
119	-0.0004089
120	-0.0004089
121	-0.0004082
122	-0.0004084
123	-0.0004083
124	-0.0004082
125	-0.0004083
126	-0.0004082
127	-0.0004082
128	-0.0004080
129	-0.0004073
130	-0.0004074
131	-0.0004075
132	-0.0004075
133	-0.0004071
134	-0.0004080
135	-0.0004080
136	-0.0004073
137	-0.0004072
138	-0.0004068
139	-0.0004064
140	-0.0004061
141	-0.0004064
142	-0.0004065
143	-0.0004069
144	-0.0004066
145	-0.0004062
146	-0.0004063
147	-0.0004063
148	-0.0004067
149	-0.0004061
150	-0.0004063
151	-0.0004060
152	-0.0004064
153	-0.0004064
154	-0.0004059
155	-0.0004057
156	-0.0004058
157	-0.0004056
158	-0.0004057
159	-0.0004052
160	-0.0004052
161	-0.0004051
162	-0.0004051
163	-0.0004048
164	-0.0004055
165	-0.0004046
166	-0.0004037
167	-0.0004037
168	-0.0004037
169	-0.0004033
170	-0.0004024
171	-0.0004025
172	-0.0004024
173	-0.0004026
174	-0.0004027
175	-0.0004031
176	-0.0004032
177	-0.0004031
178	-0.0004030
179	-0.0004028
180	-0.0004026
181	-0.0004019
182	-0.0004017
183	-0.0004012
184	-0.0004005
185	-0.0003999
186	-0.0004004
187	-0.0004002
188	-0.0003993
189	-0.0003993
190	-0.0003988
191	-0.0003985
192	-0.0003984
193	-0.0003980
194	-0.0003990
195	-0.0003981
196	-0.0003985
197	-0.0003992
198	-0.0003991
199	-0.0003990
200	-0.0003999
201	-0.0003992
202	-0.0004009
203	-0.0004008
204	-0.0004004
205	-0.0004001
206	-0.0004000
207	-0.0003994
208	-0.0003986
209	-0.0004002
210	-0.0004010
211	-0.0004027
212	-0.0004025
213	-0.0004023
214	-0.0004015
215	-0.0004017
216	-0.0004016
217	-0.0004015
218	-0.0003995
219	-0.0003985
220	-0.0003991
221	-0.0003997
222	-0.0004003
223	-0.0004002
224	-0.0003998
225	-0.0003999
226	-0.0003998
227	-0.0004000
228	-0.0004008
229	-0.0004004
230	-0.0004001
231	-0.0004004
232	-0.0003987
233	-0.0003989
234	-0.0003989
235	-0.0003986
236	-0.0003986
237	-0.0003985
238	-0.0003988
239	-0.0003987
240	-0.0003983
241	-0.0003986
242	-0.0003987
243	-0.0003979
244	-0.0003979
245	-0.0003976
246	-0.0003976
247	-0.0003976
248	-0.0003977
249	-0.0003974
250	-0.0003974
251	-0.0003975
252	-0.0003977
253	-0.0003980
254	-0.0003979
255	-0.0003968
256	-0.0003971
257	-0.0003978
258	-0.0003978
259	-0.0003978
260	-0.0003980
261	-0.0003978
262	-0.0003974
263	-0.0003976
264	-0.0003979
265	-0.0003983
266	-0.0003982
267	-0.0003987
268	-0.0003984
269	-0.0003982
270	-0.0003982
271	-0.0003979
272	-0.0003984
273	-0.0003984
274	-0.0003983
275	-0.0003982
276	-0.0003981
277	-0.0003983
278	-0.0003983
279	-0.0003982
280	-0.0003986
281	-0.0003983
282	-0.0003982
283	-0.0003983
284	-0.0003984
285	-0.0003982
286	-0.0003979
287	-0.0003977
288	-0.0003978
289	-0.0003973
290	-0.0003974
291	-0.0003979
292	-0.0003979
293	-0.0003973
294	-0.0003968
295	-0.0003972
296	-0.0003974
297	-0.0003968
298	-0.0003972
299	-0.0003976
300	-0.0003975
301	-0.0003969
302	-0.0003973
303	-0.0003976
304	-0.0003981
305	-0.0003980
306	-0.0003980
307	-0.0003974
308	-0.0003975
309	-0.0003978
310	-0.0003977
311	-0.0003977
312	-0.0003985
313	-0.0003985
314	-0.0003984
315	-0.0003988
316	-0.0003988
317	-0.0003989
318	-0.0003990
319	-0.0003982
320	-0.0003970
321	-0.0003970
322	-0.0003972
323	-0.0003982
324	-0.0003981
325	-0.0003987
326	-0.0003985
327	-0.0003985
328	-0.0003981
329	-0.0003982
330	-0.0003985
331	-0.0003979
332	-0.0003982
333	-0.0003984
334	-0.0003979
335	-0.0003981
336	-0.0003982
337	-0.0003987
338	-0.0003991
339	-0.0003994
340	-0.0003982
341	-0.0003971
342	-0.0003979
343	-0.0003978
344	-0.0003983
345	-0.0003984
346	-0.0003982
347	-0.0003982
348	-0.0003982
349	-0.0003984
350	-0.0003985
351	-0.0003984
352	-0.0003987
353	-0.0003989
354	-0.0003984
355	-0.0003981
356	-0.0003979
357	-0.0003975
358	-0.0003988
359	-0.0003989
360	-0.0003989
361	-0.0003990
362	-0.0003998
363	-0.0003995
364	-0.0003987
365	-0.0003988
366	-0.0003993
367	-0.0003992
368	-0.0003993
369	-0.0003992
370	-0.0003988
371	-0.0003989
372	-0.0003989
373	-0.0003988
374	-0.0003989
375	-0.0003985
376	-0.0003986
377	-0.0003988
378	-0.0003988
379	-0.0003977
380	-0.0003985
381	-0.0003987
382	-0.0003987
383	-0.0003987
384	-0.0003988
385	-0.0003987
386	-0.0003975
387	-0.0003977
388	-0.0003990
389	-0.0003992
390	-0.0003988
391	-0.0003983
392	-0.0003979
393	-0.0003980
394	-0.0003983
395	-0.0003998
396	-0.0004001
397	-0.0004000
398	-0.0004000
399	-0.0003998
400	-0.0004001
401	-0.0004001
402	-0.0003994
403	-0.0003995
404	-0.0003988
405	-0.0003986
406	-0.0003985
407	-0.0003986
408	-0.0003987
409	-0.0003997
410	-0.0003987
411	-0.0003980
412	-0.0003981
413	-0.0003982
414	-0.0003981
415	-0.0003977
416	-0.0003978
417	-0.0003984
418	-0.0003993
419	-0.0003992
420	-0.0003991
421	-0.0003991
422	-0.0003989
423	-0.0003990
424	-0.0003984
425	-0.0003984
426	-0.0003983
427	-0.0003983
428	-0.0003982
429	-0.0003985
430	-0.0003985
431	-0.0003982
432	-0.0003981
433	-0.0003979
434	-0.0003982
435	-0.0003985
436	-0.0003984
437	-0.0003990
438	-0.0003987
439	-0.0003986
440	-0.0003985
441	-0.0003988
442	-0.0003973
443	-0.0003977
444	-0.0003978
445	-0.0003979
446	-0.0003983
447	-0.0003981
448	-0.0003980
449	-0.0003984
450	-0.0004000
451	-0.0004001
452	-0.0004003
453	-0.0004005
454	-0.0004004
455	-0.0003989
456	-0.0003992
457	-0.0003995
458	-0.0003992
459	-0.0003988
460	-0.0003987
461	-0.0003983
462	-0.0003983
463	-0.0003987
464	-0.0003990
465	-0.0003981
466	-0.0003986
467	-0.0003988
468	-0.0003989
469	-0.0003990
470	-0.0003990
471	-0.0003991
472	-0.0003993
473	-0.0003992
474	-0.0003992
475	-0.0003991
476	-0.0004001
