x	y
1	0.0216097
2	0.0216408
3	0.0216599
4	0.0215707
5	0.0215656
6	0.0215523
7	0.0215489
8	0.0215735
9	0.0215582
10	0.0215597
11	0.0215914
12	0.0216080
13	0.0216207
14	0.0216139
15	0.0216067
16	0.0216134
17	0.0216070
18	0.0215775
19	0.0215900
20	0.0216087
21	0.0216250
22	0.0216282
23	0.0216279
24	0.0215983
25	0.0215886
26	0.0216071
27	0.0216130
28	0.0216360
29	0.0216369
30	0.0216137
31	0.0216155
32	0.0216132
33	0.0216117
34	0.0216312
35	0.0216546
36	0.0216494
37	0.0216080
38	0.0216080
39	0.0216042
40	0.0215926
41	0.0215386
42	0.0215501
43	0.0215549
44	0.0215938
45	0.0216015
46	0.0216080
47	0.0215885
48	0.0216001
49	0.0216225
50	0.0215893
51	0.0215932
52	0.0216063
53	0.0216050
54	0.0215963
55	0.0215712
56	0.0215803
57	0.0215969
58	0.0216344
59	0.0216506
60	0.0216441
61	0.0216554
62	0.0216664
63	0.0216956
64	0.0216608
65	0.0216678
66	0.0217347
67	0.0217221
68	0.0217959
69	0.0217539
70	0.0217572
71	0.0216979
72	0.0217551
73	0.0217191
74	0.0216992
75	0.0216881
76	0.0216660
77	0.0216333
78	0.0216250
79	0.0215306
80	0.0215541
81	0.0215416
82	0.0214040
83	0.0213459
84	0.0213592
85	0.0213468
86	0.0213371
87	0.0213488
88	0.0213528
89	0.0212890
90	0.0212593
91	0.0212694
92	0.0212855
93	0.0212945
94	0.0212968
95	0.0212467
96	0.0212626
97	0.0212874
98	0.0213039
99	0.0213053
100	0.0213260
101	0.0213431
102	0.0213464
103	0.0213721
104	0.0213592
105	0.0213140
106	0.0213248
107	0.0213278
108	0.0213410
109	0.0213446
110	0.0213394
111	0.0213382
112	0.0212955
113	0.0213563
114	0.0213850
115	0.0214001
116	0.0213975
117	0.0213983
118	0.0213570
119	0.0213647
120	0.0213647
121	0.0213318
122	0.0213424
123	0.0213344
124	0.0213312
125	0.0213356
126	0.0213302
127	0.0213303
128	0.0213180
129	0.0212843
130	0.0212877
131	0.0212910
132	0.0212908
133	0.0212704
134	0.0213174
135	0.0213173
136	0.0212815
137	0.0212785
138	0.0212539
139	0.0212348
140	0.0212220
141	0.0212345
142	0.0212422
143	0.0212623
144	0.0212463
145	0.0212265
146	0.0212290
147	0.0212315
148	0.0212492
149	0.0212216
150	0.0212307
151	0.0212171
152	0.0212333
153	0.0212331
154	0.0212108
155	0.0211992
156	0.0212019
157	0.0211926
158	0.0211964
159	0.0211732
160	0.0211712
161	0.0211691
162	0.0211657
163	0.0211540
164	0.0211867
165	0.0211410
166	0.0210939
167	0.0210940
168	0.0210946
169	0.0210718
170	0.0210282
171	0.0210312
172	0.0210269
173	0.0210351
174	0.0210445
175	0.0210635
176	0.0210667
177	0.0210651
178	0.0210601
179	0.0210487
180	0.0210354
181	0.0210027
182	0.0209886
183	0.0209661
184	0.0209290
185	0.0208952
186	0.0209220
187	0.0209115
188	0.0208662
189	0.0208625
190	0.0208396
191	0.0208236
192	0.0208187
193	0.0207969
194	0.0208482
195	0.0208009
196	0.0208210
197	0.0208617
198	0.0208543
199	0.0208485
200	0.0208982
201	0.0208617
202	0.0209491
203	0.0209405
204	0.0209236
205	0.0209067
206	0.0209035
207	0.0208700
208	0.0208285
209	0.0209115
210	0.0209507
211	0.0210400
212	0.0210317
213	0.0210207
214	0.0209785
215	0.0209891
216	0.0209840
217	0.0209778
218	0.0208772
219	0.0208221
220	0.0208562
221	0.0208838
222	0.0209170
223	0.0209120
224	0.0208932
225	0.0208968
226	0.0208932
227	0.0209014
228	0.0209426
229	0.0209221
230	0.0209081
231	0.0209225
232	0.0208357
233	0.0208445
234	0.0208424
235	0.0208285
236	0.0208294
237	0.0208230
238	0.0208403
239	0.0208341
240	0.0208119
241	0.0208262
242	0.0208324
243	0.0207906
244	0.0207933
245	0.0207765
246	0.0207743
247	0.0207764
248	0.0207816
249	0.0207664
250	0.0207654
251	0.0207705
252	0.0207810
253	0.0207945
254	0.0207935
255	0.0207343
256	0.0207493
257	0.0207849
