x	y
1	225.7258581
2	225.7117477
3	225.6973127
4	225.9929275
5	225.2613897
6	223.8940348
7	223.7294236
8	223.5980121
9	222.7561630
10	222.7152581
11	222.7532601
12	222.6804796
13	221.7909395
14	221.9863779
15	221.7981969
16	222.2529889
17	221.8627064
18	221.8997993
19	222.2588457
20	221.8871269
21	221.5775744
22	221.4208163
23	221.4823935
24	221.5993903
25	221.1856791
26	220.1508545
27	219.8355657
28	219.6093893
29	218.4840210
30	218.4775700
31	218.2727523
32	217.7195833
33	214.4683042
34	212.7338049
35	211.1792871
36	208.9038755
37	206.3454407
38	201.5231221
39	197.7077159
40	191.4111406
41	181.5128166
42	171.7372073
43	163.3941929
44	150.3310179
45	137.9471280
46	125.1452165
47	119.6586830
48	109.7306700
49	99.8026570
50	103.4603460
51	110.2531970
52	119.1361560
53	135.8570200
54	160.4157890
55	215.2811240
56	239.8398930
57	262.3085540
58	278.5068910
59	317.1738890
60	339.1200230
61	358.4535220
62	380.9221830
63	399.7331550
64	418.5441270
65	423.7693970
66	431.6073020
67	435.7875180
68	441.0127880
69	431.6073020
70	428.9946670
71	428.4721400
72	416.9765460
73	411.4900125
74	404.4358980
75	402.8683170
76	392.4177770
77	386.6699800
78	382.0978687
79	377.0685464
80	370.6022747
81	365.2463730
82	361.7318951
83	357.0794695
84	354.4039377
85	351.6606710
86	348.2061869
87	342.2551850
88	339.8360785
89	338.0749690
90	339.0155176
91	337.7159736
92	337.0027355
93	336.3143657
94	334.6166144
95	335.9526062
96	336.9750819
97	338.3410707
98	340.1650770
99	342.4511326
100	347.9376661
101	353.6226282
102	364.7939382
103	374.4279189
104	385.2406337
105	401.3007360
106	420.6342350
107	433.6974100
108	453.5534360
109	466.0940840
110	481.2473670
111	484.3825290
112	481.2473670
113	476.0220970
114	465.5715570
115	453.5534360
116	428.4721400
117	417.4990730
118	397.6430470
119	381.9672370
120	348.5255090
121	325.5343210
122	302.0206060
123	273.8041480
124	253.9481220
125	234.6146230
126	225.7316640
127	219.2000765
128	211.1009080
129	204.8305840
130	207.9657460
131	207.4432190
132	202.7404760
133	205.3531110
134	202.7404760
135	206.9206920
136	203.2630030
137	206.4531678
138	208.0963778
139	208.3576412
140	210.3993671
141	211.1009080
142	213.0603842
143	215.0827573
144	215.9850840
145	218.4162860
146	220.4584957
147	221.9520520
148	222.8548626
149	222.7706777
150	226.2541910
151	228.3394608
152	230.1183104
153	231.1133696
154	231.4794610
155	232.3890450
156	234.0582285
157	234.6799389
158	236.1822040
159	237.4362688
160	237.8020469
161	238.5335755
162	239.5851611
163	240.4930518
164	241.9300010
165	241.9512891
166	243.0606241
167	245.0978209
168	245.6493772
169	246.0722309
170	245.2928009
171	246.4041384
172	246.7840018
173	248.9512157
174	248.7228520
175	249.1362435
176	249.1546625
177	249.9756231
178	251.6153151
179	251.4334608
180	253.1981990
181	253.3898844
182	253.5774227
183	253.7216936
184	252.8101743
185	253.1236905
186	255.5471514
187	255.9078738
188	256.2433702
189	256.3343286
190	256.7015490
191	257.1355367
192	257.6493549
193	258.8237966
194	259.2809835
195	259.8265507
196	260.2837619
197	260.7831251
198	260.6756571
199	261.1933459
200	261.6009654
201	262.7787640
202	262.7916473
203	263.4486129
204	263.3511983
205	263.7057549
206	264.2027144
207	265.2719594
208	266.3823293
209	266.4887700
210	265.9614048
211	266.1155364
212	266.5855343
213	266.8022862
214	267.8168595
215	268.7205057
216	268.5652600
217	268.3176145
218	268.4482463
219	268.6514512
220	268.7385390
221	268.9338669
222	269.4497563
223	270.0428357
224	270.1036063
225	270.4469120
226	270.8213831
227	271.0383360
228	270.9856312
229	270.9329264
230	271.5398643
231	273.2484447
232	273.0022142
233	273.0062678
234	273.0234913
235	272.9197180
236	273.0141920
237	273.3465913
238	273.7460894
239	273.6793028
240	273.7279461
241	274.1705508
242	274.4610273
243	274.7185702
244	274.7185702
245	274.4386451
246	274.2043373
247	274.2395872
248	274.2976457
249	274.8201727
250	274.8492020
251	274.5879385
252	275.2890508
253	275.9737168
254	275.9073192
255	276.0237944
256	276.1979736
257	276.2591955
258	275.9399771
259	275.8253115
260	275.9025501
261	276.2509014
262	276.1679606
263	276.3197423
264	276.6456996
265	276.6757141
266	276.4992873
267	276.5474148
268	276.5297767
269	276.8928632
270	276.5287531
271	276.2904650
272	276.2933160
273	276.3861215
274	276.9990007
275	277.3586024
276	277.3797345
277	277.4568517
278	277.2332314
279	277.1583615
280	277.1352576
281	277.5364837
282	277.4618370
283	277.4270019
284	277.3921667
285	278.2060421
286	278.1656650
287	278.2109221
288	278.1173709
289	278.2083041
290	278.5970200
291	279.5248510
292	279.6773908
293	279.4048042
294	279.7340034
295	280.0598481
296	280.2051038
297	280.1905891
298	279.7968200
299	279.2809437
300	279.1303607
301	279.0669361
302	279.3239332
303	280.8020513
304	281.0004235
305	280.9039836
306	279.9325178
307	279.6828927
308	279.7478926
309	279.5846029
310	279.4870426
311	279.2471376
312	279.1600497
313	279.0294180
314	279.1189941
315	279.4850394
316	279.8239405
317	280.0846838
318	280.4778262
319	280.7363395
320	280.6018372
321	280.7494027
322	281.0058280
323	280.7929466
324	280.7015044
325	280.6086107
326	280.4663672
327	280.3979411
328	280.5550616
329	280.6716457
330	280.5969990
331	280.4924936
332	279.1600497
333	279.1600498
334	279.1339234
335	279.4094376
336	280.7159311
337	280.7101839
338	280.3759911
339	280.6649522
340	280.7089691
341	280.7462924
342	280.5978975
343	281.4305540
344	280.8524566
345	279.8132085
346	279.7065259
347	280.2237654
348	280.3357355
349	280.4324998
350	280.5824844
351	280.3465178
352	280.2076183
353	280.2198697
354	279.9718025
355	279.5712878
356	279.9114707
357	279.6172609
358	279.6840282
359	279.8567524
360	280.0214936
361	279.8686280
362	280.7722303
363	280.5973509
364	280.6623149
365	280.6791104
366	280.9262740
367	280.9235784
368	280.9018064
369	280.3198385
370	281.0625231
371	280.9976030
372	280.9371115
373	280.4228233
374	279.8906199
375	280.0551191
376	280.1835870
377	280.0091561
378	280.2196184
379	280.9795634
380	281.3154736
381	281.2743488
382	281.1546430
383	280.8800345
384	280.5147494
385	280.7276308
386	281.2008080
387	280.7857155
388	280.3585285
389	280.6840868
390	280.3647648
391	280.5470364
392	280.7662704
393	280.7215267
394	280.7929466
395	280.8445118
396	280.8730318
397	280.9015518
398	281.5148771
399	281.6972463
400	281.1613734
