x	y
1	0.0396034
2	0.0396033
3	0.0396033
4	0.0396038
5	0.0396038
6	0.0396038
7	0.0396036
8	0.0396030
9	0.0396036
10	0.0396036
11	0.0396037
12	0.0396037
13	0.0396043
14	0.0396046
15	0.0396044
16	0.0396041
17	0.0396041
18	0.0396038
19	0.0396037
20	0.0396036
21	0.0396033
22	0.0396034
23	0.0396033
24	0.0396029
25	0.0396025
26	0.0396022
27	0.0396023
28	0.0396021
29	0.0396006
30	0.0395995
31	0.0395986
32	0.0395962
33	0.0395933
34	0.0395917
35	0.0395889
36	0.0395833
37	0.0395764
38	0.0395694
39	0.0395593
40	0.0395483
41	0.0395327
42	0.0395172
43	0.0394918
44	0.0394632
45	0.0394340
46	0.0393978
47	0.0393578
48	0.0393115
49	0.0392601
50	0.0391992
51	0.0391439
52	0.0390894
53	0.0390278
54	0.0389815
55	0.0389307
56	0.0388755
57	0.0388113
58	0.0387612
59	0.0387034
60	0.0386482
61	0.0385828
62	0.0385251
63	0.0384775
64	0.0384254
65	0.0383829
66	0.0383296
67	0.0382947
68	0.0382528
69	0.0382229
70	0.0381855
71	0.0381582
72	0.0381334
73	0.0381081
74	0.0380827
75	0.0380668
76	0.0380500
77	0.0380332
78	0.0380176
79	0.0380031
80	0.0379887
81	0.0379741
82	0.0379576
83	0.0379475
84	0.0379341
85	0.0379177
86	0.0378922
87	0.0378326
88	0.0378180
89	0.0378180
90	0.0378152
91	0.0378052
92	0.0377997
93	0.0377951
94	0.0377918
95	0.0377894
96	0.0377894
97	0.0377896
98	0.0377931
99	0.0378001
100	0.0378078
101	0.0378213
102	0.0378370
103	0.0378573
104	0.0378789
105	0.0379088
106	0.0379456
107	0.0379862
108	0.0380332
109	0.0380858
110	0.0381474
111	0.0382014
112	0.0382629
113	0.0383251
114	0.0383842
115	0.0384527
116	0.0385143
117	0.0385803
118	0.0386508
119	0.0387117
120	0.0387726
121	0.0388317
122	0.0388920
123	0.0389453
124	0.0389935
125	0.0390341
126	0.0390748
127	0.0391090
128	0.0391376
129	0.0391655
130	0.0391941
131	0.0392157
132	0.0392366
133	0.0392520
134	0.0392656
135	0.0392791
136	0.0392944
137	0.0393014
138	0.0393125
139	0.0393236
140	0.0393300
141	0.0393375
142	0.0393442
143	0.0393496
144	0.0393563
145	0.0393612
146	0.0393651
147	0.0393707
148	0.0393751
149	0.0393775
150	0.0393807
151	0.0393851
152	0.0393887
153	0.0393905
154	0.0393920
155	0.0393961
156	0.0393978
157	0.0393985
158	0.0394019
159	0.0394034
160	0.0394073
161	0.0394095
162	0.0394105
163	0.0394132
164	0.0394155
165	0.0394173
166	0.0394181
167	0.0394194
168	0.0394204
169	0.0394227
170	0.0394243
171	0.0394258
172	0.0394264
173	0.0394277
174	0.0394294
175	0.0394310
176	0.0394317
177	0.0394329
178	0.0394346
179	0.0394348
180	0.0394358
181	0.0394361
182	0.0394381
183	0.0394395
184	0.0394399
185	0.0394408
186	0.0394416
187	0.0394424
188	0.0394443
189	0.0394446
190	0.0394447
191	0.0394461
192	0.0394468
193	0.0394472
194	0.0394478
195	0.0394484
196	0.0394489
197	0.0394503
