x	y
1	622.0742857
2	622.0770000
3	622.0812222
4	622.0854444
5	622.0866667
6	622.0888889
7	622.0889914
8	622.0883333
9	622.0872222
10	622.0900000
11	622.0933333
12	622.0900000
13	622.0948333
14	622.1000000
15	622.1000000
16	622.1000000
17	622.0800000
18	622.0805263
19	622.0850000
20	622.0856751
21	622.0925000
22	622.0981667
23	622.0971667
24	622.0961667
25	622.0963636
26	622.1000000
27	622.0991667
28	622.0989815
29	622.1081250
30	622.1092857
31	622.1087500
32	622.1073215
33	622.1100000
34	622.1090000
35	622.0911481
36	622.0912466
37	622.0940000
38	622.1000000
39	622.1000000
40	622.0977778
41	622.0970000
42	622.0992857
43	622.1205026
44	622.1200000
45	622.1181818
46	622.1157143
47	622.1150000
48	622.1162500
49	622.1167352
50	622.1171895
51	622.1205883
52	622.1240000
53	622.1268270
54	622.1279289
55	622.1250000
56	622.1209259
57	622.1300000
58	622.1443882
59	622.1437272
60	622.1437500
61	622.1646150
62	622.1675000
63	622.1671667
64	622.1750000
65	622.1800000
66	622.2051852
67	622.2143131
68	622.2168750
69	622.2297917
70	622.2425000
71	622.2752778
72	622.3176852
73	622.3200000
74	622.3444304
75	622.3475000
76	622.3850000
77	622.4038889
78	622.4100000
79	622.4200000
80	622.4408333
81	622.4662037
82	622.4843750
83	622.4933333
84	622.5133333
85	622.5225000
86	622.5355000
87	622.5400000
88	622.5555556
89	622.5600000
90	622.5866667
91	622.5850000
92	622.5989474
93	622.6100000
94	622.6137037
95	622.6174074
96	622.6150000
97	622.6079630
98	622.6211111
99	622.6270370
100	622.6275000
101	622.6284259
102	622.6293519
103	622.6416667
104	622.6561111
105	622.6512500
106	622.6460000
107	622.6493750
108	622.6500000
109	622.6566667
110	622.6650000
111	622.6636364
112	622.6625000
113	622.6615741
114	622.6606481
115	622.6613333
116	622.6650000
117	622.6631250
118	622.6637500
119	622.6637500
120	622.6650000
121	622.6690741
122	622.6681818
123	622.6656902
124	622.6658420
125	622.6673684
126	622.6691228
127	622.6708772
128	622.6695517
129	622.6682261
130	622.6699953
131	622.6678721
132	622.6641055
133	622.6633333
134	622.6540000
135	622.6526667
136	622.6514574
137	622.6492857
138	622.6537500
139	622.6520000
140	622.6518254
141	622.6500000
142	622.6535714
143	622.6716667
144	622.6715789
145	622.6461988
146	622.6465542
147	622.6512236
148	622.6545455
149	622.6650000
150	622.6644444
151	622.6644444
152	622.6600000
153	622.6570000
154	622.6587500
155	622.6551389
156	622.6571429
157	622.6549391
158	622.6612500
159	622.6618618
160	622.6562500
161	622.6550463
162	622.6553858
163	622.6557253
164	622.6560000
165	622.6560000
166	622.6561667
167	622.6587222
168	622.6588889
169	622.6566667
170	622.6530000
171	622.6509747
172	622.6480000
173	622.6481818
174	622.6600000
175	622.6594515
176	622.6562500
177	622.6516667
178	622.6552632
179	622.6550000
180	622.6550000
181	622.6543750
182	622.6240509
183	622.6250000
184	622.6312963
185	622.6250000
186	622.6250000
187	622.6194444
188	622.6166667
189	622.6025000
190	622.5900000
191	622.5750000
192	622.5550000
193	622.5479630
194	622.5409259
195	622.5316667
196	622.5083333
197	622.4857407
198	622.4675000
199	622.4625000
200	622.4575000
201	622.4450000
202	622.4300000
203	622.3988889
204	622.3751852
205	622.3761667
206	622.3783535
207	622.3687500
208	622.3510648
209	622.3412500
210	622.3400000
211	622.3400000
212	622.3300000
213	622.3300000
214	622.3175000
215	622.3125000
216	622.3000000
217	622.2975000
218	622.2825000
219	622.2750000
220	622.2712500
221	622.2764286
222	622.2783333
223	622.2793882
224	622.2605556
225	622.2594444
226	622.2604444
227	622.2635556
228	622.2708148
229	622.2675000
230	622.2675000
231	622.2706250
232	622.2681672
233	622.2685714
234	622.2627222
235	622.2578273
236	622.2530000
237	622.2354009
238	622.2394737
239	622.2412500
240	622.2400000
241	622.2333333
242	622.2335714
243	622.2330556
244	622.2281818
245	622.2255556
246	622.2263636
247	622.2416364
248	622.2421429
249	622.2467460
250	622.2475000
251	622.2462500
252	622.2450000
253	622.2437500
254	622.2344444
255	622.2352632
256	622.2380169
257	622.2363585
258	622.2335714
259	622.2338889
260	622.2335000
261	622.2350000
262	622.2383333
263	622.2385714
264	622.2434539
265	622.2425184
266	622.2421429
267	622.2375000
268	622.2362037
269	622.2366667
270	622.2370464
271	622.2372222
272	622.2398148
273	622.2393226
274	622.2395925
275	622.2400000
276	622.2410000
277	622.2456667
278	622.2462500
279	622.2500000
280	622.2500000
281	622.2551852
282	622.2557143
283	622.2570982
284	622.2543992
285	622.2583333
286	622.2637500
287	622.2575000
288	622.2433436
289	622.2566667
290	622.2550000
291	622.2509259
292	622.2577778
293	622.2554993
294	622.2562775
295	622.2550000
296	622.2457407
297	622.2419136
298	622.2420000
299	622.2442979
300	622.2500000
301	622.2602110
302	622.2594444
303	622.2550000
304	622.2427778
305	622.2427778
306	622.2436364
307	622.2478788
308	622.2475000
309	622.2479219
310	622.2498558
311	622.2487222
312	622.2478571
313	622.2500000
314	622.2500844
315	622.2507143
316	622.2692857
317	622.2647227
318	622.2584776
319	622.2594444
320	622.2568750
321	622.2582176
322	622.2581789
323	622.2551544
324	622.2561609
325	622.2564981
326	622.2568352
327	622.2650000
328	622.2630000
329	622.2572963
330	622.2561111
331	622.2549297
332	622.2672925
333	622.2721761
334	622.2611572
335	622.2583333
336	622.2670000
337	622.2698466
338	622.2616667
339	622.2612963
340	622.2609259
341	622.2592857
342	622.2609091
343	622.2650000
344	622.2710000
345	622.2694444
346	622.2646296
347	622.2650000
348	622.2633333
349	622.2618519
350	622.2603704
351	622.2571605
352	622.2633333
353	622.2756250
354	622.2810937
355	622.2812500
356	622.2777778
357	622.2791667
358	622.2775000
359	622.2710000
360	622.2618182
361	622.2627034
362	622.2650000
363	622.2787037
364	622.2772727
365	622.2731650
366	622.2735714
367	622.2812500
368	622.2810000
369	622.2796667
370	622.2783333
371	622.2680000
372	622.2666667
373	622.2775000
374	622.2793987
375	622.2700000
376	622.2700000
377	622.2700000
378	622.2740000
379	622.2792743
380	622.2777778
381	622.2725000
382	622.2748047
383	622.2747843
384	622.2737500
385	622.2705833
386	622.2710526
387	622.2718182
388	622.2722722
389	622.2733333
390	622.2750000
391	622.2800000
392	622.2777778
393	622.2800000
394	622.2800000
395	622.2862500
396	622.2950000
397	622.2888889
398	622.2833333
399	622.2766667
400	622.2721429
401	622.2721429
402	622.2703044
403	622.2709091
404	622.2836364
405	622.2838889
406	622.2838889
407	622.2833333
408	622.2825926
409	622.2832802
410	622.2862500
411	622.2900000
412	622.2883333
413	622.2754444
414	622.2755556
415	622.2777778
416	622.2775000
417	622.2709529
418	622.2766667
419	622.2822785
420	622.2755743
421	622.2762500
422	622.2850000
423	622.2838889
424	622.2802602
425	622.2850000
426	622.2849444
427	622.2800000
428	622.2800000
429	622.2781250
430	622.2784211
431	622.2816959
432	622.2849708
433	622.2868907
434	622.2905263
435	622.2900000
436	622.2887500
437	622.2875000
438	622.2877778
439	622.2914815
440	622.2916667
441	622.2937500
442	622.2950000
443	622.2950000
444	622.2952954
445	622.3000000
446	622.3000000
447	622.3050000
448	622.3075926
449	622.3056250
450	622.3056250
451	622.3014286
452	622.3017360
453	622.2990000
454	622.2990000
455	622.2990000
456	622.3000000
457	622.3000000
458	622.3013333
459	622.3026667
460	622.3010000
461	622.3000000
462	622.2966667
463	622.2973684
464	622.3028265
465	622.3010000
466	622.2910000
467	622.2933333
468	622.2948148
469	622.2950000
470	622.3076667
471	622.3073684
472	622.3067511
473	622.3055556
474	622.3097328
475	622.3092443
476	622.3087557
