x	y
1	32505.0610291
2	32505.2028579
3	32505.4234804
4	32505.6441029
5	32505.7079673
6	32505.8240844
7	32505.8294433
8	32505.7950552
9	32505.7369966
10	32505.8821430
11	32506.0563187
12	32505.8821432
13	32506.1346977
14	32506.4046700
15	32506.4046700
16	32506.4046700
17	32505.3596160
18	32505.3871174
19	32505.6208795
20	32505.6561557
21	32506.0127748
22	32506.3088734
23	32506.2566207
24	32506.2043680
25	32506.2146602
26	32506.4046700
27	32506.3611261
28	32506.3514497
29	32506.8292232
30	32506.8898736
31	32506.8618811
32	32506.7872380
33	32506.9271970
34	32506.8749443
35	32505.9421368
36	32505.9472813
37	32506.0911538
38	32506.4046700
39	32506.4046700
40	32506.2885529
41	32506.2479119
42	32506.3673466
43	32507.4759886
44	32507.4497240
45	32507.3547191
46	32507.2257839
47	32507.1884605
48	32507.2537764
49	32507.2791311
50	32507.3028671
51	32507.4804638
52	32507.6587348
53	32507.8064534
54	32507.8640281
55	32507.7109875
56	32507.4981061
57	32507.9722510
58	32508.7240726
59	32508.6895356
60	32508.6907256
61	32509.7809771
62	32509.9317272
63	32509.9143097
64	32510.3236225
65	32510.5848860
66	32511.9008799
67	32512.3778380
68	32512.5117043
69	32513.1866350
70	32513.8506798
71	32515.5634071
72	32517.7793087
73	32517.9002640
74	32519.1768173
75	32519.3372132
76	32521.2966895
77	32522.2836849
78	32522.6030070
79	32523.1255340
80	32524.2141319
81	32525.5398023
82	32526.4893016
83	32526.9573987
84	32528.0024527
85	32528.4814357
86	32529.1607209
87	32529.3958580
88	32530.2086778
89	32530.4409120
90	32531.8343173
91	32531.7472295
92	32532.4760172
93	32533.0535470
94	32533.2470755
95	32533.4406040
96	32533.3148105
97	32532.9471063
98	32533.6341326
99	32533.9437782
100	32533.9679692
101	32534.0163514
102	32534.0647335
103	32534.7082158
104	32535.4629771
105	32535.2089709
106	32534.9346442
107	32535.1109971
108	32535.1436550
109	32535.4920063
110	32535.9274455
111	32535.8561918
112	32535.7968137
113	32535.7484316
114	32535.7000495
115	32535.7358523
116	32535.9274455
117	32535.8294717
118	32535.8621296
119	32535.8621296
120	32535.9274455
121	32536.1403269
122	32536.0937041
123	32535.9635122
124	32535.9714399
125	32536.0512019
126	32536.1428733
127	32536.2345447
128	32536.1652819
129	32536.0960190
130	32536.1884640
131	32536.0775182
132	32535.8807055
133	32535.8403577
134	32535.3526658
135	32535.2829955
136	32535.2198087
137	32535.1063316
138	32535.3396026
139	32535.2481604
140	32535.2390365
141	32535.1436550
142	32535.3302718
143	32536.2757968
144	32536.2712133
145	32534.9450336
146	32534.9636000
147	32535.2075928
148	32535.3811673
149	32535.9274455
150	32535.8984162
151	32535.8984162
152	32535.6661820
153	32535.5094239
154	32535.6008661
155	32535.4121758
156	32535.5168886
157	32535.4017347
158	32535.7314979
159	32535.7634668
160	32535.4702344
161	32535.4073376
162	32535.4250777
163	32535.4428178
164	32535.4571712
165	32535.4571712
166	32535.4658800
167	32535.5994147
168	32535.6081234
169	32535.4920063
170	32535.3004131
171	32535.1945849
172	32535.0391496
173	32535.0486501
174	32535.6661820
175	32535.6375204
176	32535.4702344
177	32535.2307428
178	32535.4186692
179	32535.4049185
180	32535.4049185
181	32535.3722606
182	32533.7877458
183	32533.8373375
184	32534.1663360
185	32533.8373375
186	32533.8373375
187	32533.5470447
188	32533.4018983
189	32532.6616517
190	32532.0084930
191	32531.2247025
192	32530.1796485
193	32529.8119443
