x	y
1	0.0254313
2	0.0254254
3	0.0253635
4	0.0253635
5	0.0253426
6	0.0252772
7	0.0252965
8	0.0253278
9	0.0252962
10	0.0253077
11	0.0253309
12	0.0253420
13	0.0252327
14	0.0252336
15	0.0252647
16	0.0252715
17	0.0252390
18	0.0252720
19	0.0252904
20	0.0252602
21	0.0252413
22	0.0252411
23	0.0252670
24	0.0252598
25	0.0252677
26	0.0252079
27	0.0250886
28	0.0250315
29	0.0250134
30	0.0249964
31	0.0249320
32	0.0248223
33	0.0245457
34	0.0244029
35	0.0242042
36	0.0237937
37	0.0232916
38	0.0226515
39	0.0220683
40	0.0212512
41	0.0202740
42	0.0187587
43	0.0179575
44	0.0161383
45	0.0144217
46	0.0130632
47	0.0114433
48	0.0106073
49	0.0093010
50	0.0083604
51	0.0093532
52	0.0106073
53	0.0125929
54	0.0148398
55	0.0172956
56	0.0199083
57	0.0218416
58	0.0239840
59	0.0270146
60	0.0295228
61	0.0311949
62	0.0331282
63	0.0356886
64	0.0372039
65	0.0374129
66	0.0387193
67	0.0387715
68	0.0397121
69	0.0391373
70	0.0389283
71	0.0390850
72	0.0387976
73	0.0385233
74	0.0373150
75	0.0365769
76	0.0364985
77	0.0361066
78	0.0355318
79	0.0350616
80	0.0348613
81	0.0344519
82	0.0341036
83	0.0336986
84	0.0335840
85	0.0332666
86	0.0328539
87	0.0327624
88	0.0324509
89	0.0323344
90	0.0321872
91	0.0320919
92	0.0321683
93	0.0321075
94	0.0321094
95	0.0322440
96	0.0322980
97	0.0324538
98	0.0330856
99	0.0336412
100	0.0343039
101	0.0354273
102	0.0366923
103	0.0378832
104	0.0393463
105	0.0414886
106	0.0430562
107	0.0446630
108	0.0461940
109	0.0473932
110	0.0488563
111	0.0486473
112	0.0470274
113	0.0467139
114	0.0455121
115	0.0444148
116	0.0420634
117	0.0404958
118	0.0380922
119	0.0357408
120	0.0333895
121	0.0300453
122	0.0280597
123	0.0260741
124	0.0238795
125	0.0227299
126	0.0217894
127	0.0216326
128	0.0204569
129	0.0199605
130	0.0202740
131	0.0200128
132	0.0198110
133	0.0199184
134	0.0199083
135	0.0200128
136	0.0198822
137	0.0199611
138	0.0201723
139	0.0201932
140	0.0203002
141	0.0204758
142	0.0204623
143	0.0207731
144	0.0208488
145	0.0208962
146	0.0211817
147	0.0214980
148	0.0213868
149	0.0214801
150	0.0217208
151	0.0217705
152	0.0220481
153	0.0221555
154	0.0222506
155	0.0222644
156	0.0223604
157	0.0224519
158	0.0225963
159	0.0226809
160	0.0227822
161	0.0227449
162	0.0228127
163	0.0227822
164	0.0229810
165	0.0231143
166	0.0231708
167	0.0232818
168	0.0234065
169	0.0233810
170	0.0235174
171	0.0235623
172	0.0236247
173	0.0238147
174	0.0238694
175	0.0238897
176	0.0239582
177	0.0239769
178	0.0240127
179	0.0241271
180	0.0241712
181	0.0241799
182	0.0242061
183	0.0242639
184	0.0242714
185	0.0244452
186	0.0245466
187	0.0246409
188	0.0246890
189	0.0246827
190	0.0246633
191	0.0247364
192	0.0247934
193	0.0249566
194	0.0250636
195	0.0250746
196	0.0250807
197	0.0251161
198	0.0252400
199	0.0252381
200	0.0252342
201	0.0253087
202	0.0253661
203	0.0254373
204	0.0254527
205	0.0255260
206	0.0255389
207	0.0254967
208	0.0255134
209	0.0255741
210	0.0256517
211	0.0256697
212	0.0256815
213	0.0256953
214	0.0257127
215	0.0257613
216	0.0258719
217	0.0259122
218	0.0259436
219	0.0259783
220	0.0259841
221	0.0260052
222	0.0260286
223	0.0259957
224	0.0260146
225	0.0260839
226	0.0261322
227	0.0261264
228	0.0260753
229	0.0260689
230	0.0261450
231	0.0261549
232	0.0262400
233	0.0262867
234	0.0262857
235	0.0262462
236	0.0262560
237	0.0263265
238	0.0263303
239	0.0263859
240	0.0264718
241	0.0264608
242	0.0264295
243	0.0264018
244	0.0264001
245	0.0264173
246	0.0264399
247	0.0264549
248	0.0264791
249	0.0265874
250	0.0266418
251	0.0265874
252	0.0265649
253	0.0265444
254	0.0265780
255	0.0266017
256	0.0265888
257	0.0265827
258	0.0266497
259	0.0266035
260	0.0266161
261	0.0266526
262	0.0267021
263	0.0267074
264	0.0266821
265	0.0266759
266	0.0266713
267	0.0266968
268	0.0267200
269	0.0267098
270	0.0266953
271	0.0266728
272	0.0267011
273	0.0267146
274	0.0266886
275	0.0266901
276	0.0267116
277	0.0267273
278	0.0267350
279	0.0267427
280	0.0268598
281	0.0268579
282	0.0268409
283	0.0268318
284	0.0267640
285	0.0267421
286	0.0267403
287	0.0268113
288	0.0268118
289	0.0267984
290	0.0268178
291	0.0268278
292	0.0268443
293	0.0268481
294	0.0268976
295	0.0268668
296	0.0268773
297	0.0268808
298	0.0269270
299	0.0269474
300	0.0269180
301	0.0269160
302	0.0269333
303	0.0269298
304	0.0269427
305	0.0269075
306	0.0268611
307	0.0268566
308	0.0268774
309	0.0268864
310	0.0268888
311	0.0269106
312	0.0269462
313	0.0269347
314	0.0269440
315	0.0269798
316	0.0269781
317	0.0269624
318	0.0269104
319	0.0269420
320	0.0270782
321	0.0270350
322	0.0270070
323	0.0270396
324	0.0271254
325	0.0271278
326	0.0271349
327	0.0270963
328	0.0270369
329	0.0270454
330	0.0270588
331	0.0270686
332	0.0270946
333	0.0270815
334	0.0270451
335	0.0270309
336	0.0270561
337	0.0270393
338	0.0270353
339	0.0270522
340	0.0270553
341	0.0270526
342	0.0271385
343	0.0271138
344	0.0271065
345	0.0270594
346	0.0270727
347	0.0270708
348	0.0270792
349	0.0270758
350	0.0271017
351	0.0271148
352	0.0270889
353	0.0271170
354	0.0271221
355	0.0271279
356	0.0271207
357	0.0271507
358	0.0271488
359	0.0271453
360	0.0271230
361	0.0271211
362	0.0271322
363	0.0271064
364	0.0270723
365	0.0270642
366	0.0270798
367	0.0270669
368	0.0270734
369	0.0271000
370	0.0271079
371	0.0271429
372	0.0271822
