x	y
1	4.8669745
2	4.8658456
3	4.8540087
4	4.8540000
5	4.8500000
6	4.8375000
7	4.8411905
8	4.8471730
9	4.8411364
10	4.8433333
11	4.8477778
12	4.8498889
13	4.8289789
14	4.8291388
15	4.8350905
16	4.8363957
17	4.8301844
18	4.8365000
19	4.8400152
20	4.8342439
21	4.8306250
22	4.8305787
23	4.8355324
24	4.8341536
25	4.8356808
26	4.8242308
27	4.8013889
28	4.7904630
29	4.7870062
30	4.7837500
31	4.7714286
32	4.7504280
33	4.6975000
34	4.6701702
35	4.6321429
36	4.5535847
37	4.4575000
38	4.3350000
39	4.2233826
40	4.0670000
41	3.8800000
42	3.5900000
43	3.4366667
44	3.0885185
45	2.7600000
46	2.5000000
47	2.1900000
48	2.0300000
49	1.7800000
50	1.6000000
51	1.7900000
52	2.0300000
53	2.4100000
54	2.8400000
55	3.3100000
56	3.8100000
57	4.1800000
58	4.5900000
59	5.1700000
60	5.6500000
61	5.9700000
62	6.3400000
63	6.8300000
64	7.1200000
65	7.1600000
66	7.4100000
67	7.4200000
68	7.6000000
69	7.4900000
70	7.4500000
71	7.4800000
72	7.4250000
73	7.3725000
74	7.1412500
75	7.0000000
76	6.9850000
77	6.9100000
78	6.8000000
79	6.7100000
80	6.6716667
81	6.5933333
82	6.5266667
83	6.4491667
84	6.4272222
85	6.3664815
86	6.2875000
87	6.2700000
88	6.2103704
89	6.1880741
90	6.1599037
91	6.1416667
92	6.1562963
93	6.1446667
94	6.1450192
95	6.1707778
96	6.1811111
97	6.2109259
98	6.3318519
99	6.4381818
100	6.5650000
101	6.7800000
102	7.0220833
103	7.2500000
104	7.5300000
105	7.9400000
106	8.2400000
107	8.5475000
108	8.8405000
109	9.0700000
110	9.3500000
111	9.3100000
112	9.0000000
113	8.9400000
114	8.7100000
115	8.5000000
116	8.0500000
117	7.7500000
118	7.2900000
119	6.8400000
120	6.3900000
121	5.7500000
122	5.3700000
123	4.9900000
124	4.5700000
125	4.3500000
126	4.1700000
127	4.1400000
128	3.9150000
129	3.8200000
130	3.8800000
131	3.8300000
132	3.7913889
133	3.8119444
134	3.8100000
135	3.8300000
136	3.8050000
137	3.8201058
138	3.8605291
139	3.8645238
140	3.8850000
141	3.9186111
142	3.9160185
143	3.9755093
144	3.9900000
145	3.9990741
146	4.0536970
147	4.1142415
148	4.0929630
149	4.1108025
150	4.1568750
151	4.1663810
152	4.2195046
153	4.2400694
154	4.2582639
155	4.2609028
156	4.2792857
157	4.2967989
158	4.3244286
159	4.3406250
160	4.3600000
161	4.3528571
162	4.3658413
163	4.3600000
164	4.3980556
165	4.4235648
166	4.4343750
167	4.4556250
168	4.4794868
169	4.4746053
170	4.5007018
171	4.5092982
172	4.5212476
173	4.5575979
174	4.5680783
175	4.5719620
176	4.5850673
177	4.5886364
178	4.5955000
179	4.6173889
180	4.6258333
181	4.6275000
182	4.6325000
183	4.6435741
184	4.6450000
185	4.6782749
186	4.6976669
187	4.7157100
188	4.7249213
189	4.7237145
190	4.7200000
191	4.7340000
192	4.7449072
193	4.7761429
194	4.7966083
195	4.7987215
196	4.7998789
197	4.8066667
198	4.8303704
199	4.8300000
200	4.8292593
201	4.8435185
202	4.8545000
203	4.8681221
204	4.8710714
205	4.8851136
206	4.8875833
207	4.8795000
208	4.8826905
209	4.8943095
210	4.9091667
211	4.9126055
212	4.9148682
213	4.9175061
214	4.9208333
215	4.9301389
216	4.9512963
217	4.9590154
218	4.9650248
219	4.9716667
220	4.9727778
221	4.9768112
222	4.9812963
223	4.9749927
224	4.9786111
225	4.9918750
226	5.0011250
227	5.0000000
228	4.9902222
229	4.9890000
230	5.0035741
231	5.0054630
232	5.0217593
233	5.0306944
234	5.0304934
235	5.0229423
236	5.0248115
237	5.0383122
238	5.0390278
239	5.0496759
240	5.0661111
241	5.0640000
242	5.0580169
243	5.0527222
244	5.0523889
245	5.0556878
246	5.0600000
247	5.0628704
248	5.0675000
249	5.0882407
250	5.0986521
251	5.0882407
252	5.0839191
253	5.0800000
254	5.0864369
255	5.0909740
256	5.0884945
257	5.0873316
258	5.1001667
259	5.0913241
260	5.0937222
261	5.1007143
262	5.1101852
263	5.1111905
264	5.1063636
265	5.1051684
266	5.1042857
267	5.1091667
268	5.1136111
269	5.1116667
270	5.1088889
271	5.1045833
272	5.1100000
273	5.1125809
274	5.1076018
275	5.1078857
276	5.1120000
277	5.1150000
278	5.1164815
279	5.1179630
280	5.1403627
281	5.1400000
282	5.1367468
283	5.1350000
284	5.1220370
285	5.1178370
286	5.1175039
287	5.1310859
288	5.1311806
289	5.1286111
290	5.1323214
291	5.1342500
292	5.1373960
293	5.1381250
294	5.1475926
295	5.1417049
296	5.1437142
297	5.1443868
298	5.1532348
299	5.1571303
300	5.1515000
301	5.1511270
302	5.1544270
303	5.1537673
304	5.1562371
305	5.1495000
306	5.1406129
307	5.1397500
308	5.1437302
309	5.1454545
310	5.1459091
311	5.1500963
312	5.1569079
313	5.1547091
314	5.1564768
315	5.1633361
316	5.1630000
317	5.1600000
318	5.1500463
319	5.1560909
320	5.1821591
321	5.1738936
322	5.1685435
323	5.1747727
324	5.1911905
325	5.1916561
326	5.1930131
327	5.1856250
328	5.1742593
329	5.1758929
330	5.1784488
331	5.1803333
332	5.1852963
333	5.1827932
334	5.1758333
335	5.1731188
336	5.1779266
337	5.1747152
338	5.1739474
339	5.1771941
