x	y
1	-0.0003089
2	-0.0003089
3	-0.0003081
4	-0.0003081
5	-0.0003078
6	-0.0003071
7	-0.0003073
8	-0.0003077
9	-0.0003073
10	-0.0003074
11	-0.0003077
12	-0.0003078
13	-0.0003065
14	-0.0003065
15	-0.0003069
16	-0.0003070
17	-0.0003066
18	-0.0003070
19	-0.0003072
20	-0.0003068
21	-0.0003066
22	-0.0003066
23	-0.0003069
24	-0.0003068
25	-0.0003069
26	-0.0003062
27	-0.0003048
28	-0.0003041
29	-0.0003038
30	-0.0003036
31	-0.0003029
32	-0.0003015
33	-0.0002982
34	-0.0002964
35	-0.0002940
36	-0.0002890
37	-0.0002829
38	-0.0002752
39	-0.0002681
40	-0.0002581
41	-0.0002463
42	-0.0002279
43	-0.0002181
44	-0.0001960
45	-0.0001752
46	-0.0001587
47	-0.0001390
48	-0.0001289
49	-0.0001130
50	-0.0001016
51	-0.0001136
52	-0.0001289
53	-0.0001530
54	-0.0001803
55	-0.0002101
56	-0.0002418
57	-0.0002653
58	-0.0002913
59	-0.0003282
60	-0.0003586
61	-0.0003789
62	-0.0004024
63	-0.0004335
64	-0.0004519
65	-0.0004545
66	-0.0004703
67	-0.0004710
68	-0.0004824
69	-0.0004754
70	-0.0004729
71	-0.0004748
72	-0.0004713
73	-0.0004680
74	-0.0004533
75	-0.0004443
76	-0.0004434
77	-0.0004386
78	-0.0004316
79	-0.0004259
80	-0.0004235
81	-0.0004185
82	-0.0004143
83	-0.0004093
84	-0.0004080
85	-0.0004041
86	-0.0003991
87	-0.0003980
88	-0.0003942
89	-0.0003928
90	-0.0003910
91	-0.0003898
92	-0.0003908
93	-0.0003900
94	-0.0003900
95	-0.0003917
96	-0.0003923
97	-0.0003942
98	-0.0004019
99	-0.0004087
100	-0.0004167
101	-0.0004303
102	-0.0004457
103	-0.0004602
104	-0.0004780
105	-0.0005040
106	-0.0005230
107	-0.0005425
108	-0.0005611
109	-0.0005757
110	-0.0005935
111	-0.0005909
112	-0.0005713
113	-0.0005675
114	-0.0005529
115	-0.0005395
116	-0.0005110
117	-0.0004919
118	-0.0004627
119	-0.0004342
120	-0.0004056
121	-0.0003650
122	-0.0003409
123	-0.0003167
124	-0.0002901
125	-0.0002761
126	-0.0002647
127	-0.0002628
128	-0.0002485
129	-0.0002425
130	-0.0002463
131	-0.0002431
132	-0.0002407
133	-0.0002420
134	-0.0002418
135	-0.0002431
136	-0.0002415
137	-0.0002425
138	-0.0002450
139	-0.0002453
140	-0.0002466
141	-0.0002487
142	-0.0002486
143	-0.0002523
144	-0.0002533
145	-0.0002538
146	-0.0002573
147	-0.0002611
148	-0.0002598
149	-0.0002609
150	-0.0002639
151	-0.0002645
152	-0.0002678
153	-0.0002691
154	-0.0002703
155	-0.0002705
156	-0.0002716
157	-0.0002727
158	-0.0002745
159	-0.0002755
160	-0.0002767
161	-0.0002763
162	-0.0002771
163	-0.0002767
164	-0.0002792
165	-0.0002808
166	-0.0002815
167	-0.0002828
168	-0.0002843
169	-0.0002840
170	-0.0002857
171	-0.0002862
172	-0.0002870
173	-0.0002893
174	-0.0002900
175	-0.0002902
176	-0.0002910
177	-0.0002913
178	-0.0002917
179	-0.0002931
180	-0.0002936
181	-0.0002937
182	-0.0002940
183	-0.0002947
184	-0.0002948
185	-0.0002969
186	-0.0002982
187	-0.0002993
188	-0.0002999
189	-0.0002998
190	-0.0002996
191	-0.0003005
192	-0.0003012
193	-0.0003032
194	-0.0003045
195	-0.0003046
196	-0.0003047
197	-0.0003051
198	-0.0003066
199	-0.0003066
200	-0.0003065
201	-0.0003074
202	-0.0003081
203	-0.0003090
204	-0.0003092
205	-0.0003101
206	-0.0003102
207	-0.0003097
208	-0.0003099
209	-0.0003107
210	-0.0003116
211	-0.0003118
212	-0.0003120
213	-0.0003121
214	-0.0003123
215	-0.0003129
216	-0.0003143
217	-0.0003148
218	-0.0003151
219	-0.0003156
220	-0.0003156
221	-0.0003159
222	-0.0003162
223	-0.0003158
224	-0.0003160
225	-0.0003169
226	-0.0003174
227	-0.0003174
228	-0.0003167
229	-0.0003167
230	-0.0003176
231	-0.0003177
232	-0.0003187
233	-0.0003193
234	-0.0003193
235	-0.0003188
236	-0.0003189
237	-0.0003198
238	-0.0003198
239	-0.0003205
240	-0.0003216
241	-0.0003214
242	-0.0003210
243	-0.0003207
244	-0.0003207
245	-0.0003209
246	-0.0003212
247	-0.0003214
248	-0.0003217
249	-0.0003230
250	-0.0003236
251	-0.0003230
252	-0.0003227
253	-0.0003224
254	-0.0003229
255	-0.0003231
256	-0.0003230
257	-0.0003229
258	-0.0003237
259	-0.0003232
260	-0.0003233
261	-0.0003238
262	-0.0003244
263	-0.0003244
264	-0.0003241
265	-0.0003240
266	-0.0003240
267	-0.0003243
268	-0.0003246
269	-0.0003245
270	-0.0003243
271	-0.0003240
272	-0.0003243
273	-0.0003245
274	-0.0003242
275	-0.0003242
276	-0.0003245
277	-0.0003247
278	-0.0003248
279	-0.0003249
280	-0.0003263
281	-0.0003263
282	-0.0003260
283	-0.0003259
284	-0.0003251
285	-0.0003248
286	-0.0003248
287	-0.0003257
288	-0.0003257
289	-0.0003255
290	-0.0003258
291	-0.0003259
292	-0.0003261
293	-0.0003261
294	-0.0003267
295	-0.0003264
296	-0.0003265
297	-0.0003265
298	-0.0003271
299	-0.0003273
300	-0.0003270
301	-0.0003270
302	-0.0003272
303	-0.0003271
304	-0.0003273
305	-0.0003269
306	-0.0003263
307	-0.0003262
308	-0.0003265
309	-0.0003266
310	-0.0003266
311	-0.0003269
312	-0.0003273
313	-0.0003272
314	-0.0003273
315	-0.0003277
316	-0.0003277
317	-0.0003275
318	-0.0003269
319	-0.0003273
320	-0.0003289
321	-0.0003284
322	-0.0003281
323	-0.0003285
324	-0.0003295
325	-0.0003295
326	-0.0003296
327	-0.0003291
328	-0.0003284
329	-0.0003285
330	-0.0003287
331	-0.0003288
332	-0.0003291
333	-0.0003290
334	-0.0003285
335	-0.0003284
336	-0.0003287
337	-0.0003285
338	-0.0003284
339	-0.0003286
340	-0.0003287
341	-0.0003286
342	-0.0003297
343	-0.0003294
344	-0.0003293
345	-0.0003287
346	-0.0003289
347	-0.0003288
348	-0.0003289
349	-0.0003289
350	-0.0003292
351	-0.0003294
352	-0.0003291
353	-0.0003294
354	-0.0003295
355	-0.0003295
356	-0.0003294
357	-0.0003298
358	-0.0003298
359	-0.0003297
360	-0.0003295
361	-0.0003294
362	-0.0003296
363	-0.0003293
364	-0.0003289
365	-0.0003288
366	-0.0003289
367	-0.0003288
368	-0.0003289
369	-0.0003292
370	-0.0003293
371	-0.0003297
372	-0.0003302
373	-0.0003301
374	-0.0003300
375	-0.0003291
376	-0.0003297
377	-0.0003296
378	-0.0003292
379	-0.0003290
380	-0.0003296
381	-0.0003301
382	-0.0003300
383	-0.0003306
384	-0.0003302
385	-0.0003296
386	-0.0003297
387	-0.0003306
388	-0.0003305
389	-0.0003304
390	-0.0003297
391	-0.0003300
392	-0.0003298
393	-0.0003302
394	-0.0003303
395	-0.0003305
396	-0.0003308
397	-0.0003307
398	-0.0003306
399	-0.0003304
400	-0.0003305
