x	y
1	-0.0252453
2	-0.0252395
3	-0.0251368
4	-0.0250447
5	-0.0250412
6	-0.0250188
7	-0.0250248
8	-0.0250029
9	-0.0249855
10	-0.0249782
11	-0.0249601
12	-0.0249301
13	-0.0249032
14	-0.0248781
15	-0.0249010
16	-0.0249138
17	-0.0249008
18	-0.0248573
19	-0.0248306
20	-0.0248592
21	-0.0249180
22	-0.0248934
23	-0.0248993
24	-0.0248791
25	-0.0248683
26	-0.0248613
27	-0.0248601
28	-0.0248048
29	-0.0246633
30	-0.0245032
31	-0.0243475
32	-0.0243133
33	-0.0242748
34	-0.0240537
35	-0.0237140
36	-0.0236114
37	-0.0228818
38	-0.0223119
39	-0.0216152
40	-0.0207826
41	-0.0198299
42	-0.0187979
43	-0.0177137
44	-0.0155191
45	-0.0144217
46	-0.0127497
47	-0.0114224
48	-0.0098758
49	-0.0090920
50	-0.0083604
51	-0.0091442
52	-0.0103460
53	-0.0125929
54	-0.0154668
55	-0.0186020
56	-0.0201695
57	-0.0221551
58	-0.0247155
59	-0.0278507
60	-0.0301498
61	-0.0316129
62	-0.0337552
63	-0.0363679
64	-0.0380400
65	-0.0387715
66	-0.0392940
67	-0.0398688
68	-0.0398166
69	-0.0399211
70	-0.0400778
71	-0.0401823
72	-0.0395292
73	-0.0389936
74	-0.0384580
75	-0.0380138
76	-0.0375223
77	-0.0368667
78	-0.0364071
79	-0.0359237
80	-0.0358323
81	-0.0353359
82	-0.0348003
83	-0.0346174
84	-0.0346387
85	-0.0341457
86	-0.0338472
87	-0.0336962
88	-0.0334717
89	-0.0331466
90	-0.0333066
91	-0.0332244
92	-0.0330481
93	-0.0331274
94	-0.0331151
95	-0.0332467
96	-0.0333380
97	-0.0335338
98	-0.0338597
99	-0.0346087
100	-0.0353620
101	-0.0364724
102	-0.0375697
103	-0.0388760
104	-0.0403913
105	-0.0419589
106	-0.0441013
107	-0.0458779
108	-0.0471581
109	-0.0486473
110	-0.0503194
111	-0.0495878
112	-0.0492220
113	-0.0484905
114	-0.0472887
115	-0.0447806
116	-0.0428995
117	-0.0415931
118	-0.0392940
119	-0.0374129
120	-0.0335985
121	-0.0308813
122	-0.0292615
123	-0.0267534
124	-0.0244543
125	-0.0234092
126	-0.0224687
127	-0.0221029
128	-0.0214236
129	-0.0207443
130	-0.0210056
131	-0.0204569
132	-0.0208802
133	-0.0205510
134	-0.0204308
135	-0.0206435
136	-0.0206156
137	-0.0206799
138	-0.0208466
139	-0.0209689
140	-0.0208521
141	-0.0211412
142	-0.0213519
143	-0.0216979
144	-0.0218170
145	-0.0218216
146	-0.0219453
147	-0.0220376
148	-0.0222779
149	-0.0224443
150	-0.0225302
151	-0.0225732
152	-0.0226359
153	-0.0227691
154	-0.0229907
155	-0.0232176
156	-0.0232629
157	-0.0234156
158	-0.0235007
159	-0.0234467
160	-0.0236268
161	-0.0237502
162	-0.0238468
163	-0.0237144
164	-0.0237489
165	-0.0238199
166	-0.0239175
167	-0.0241469
168	-0.0240606
169	-0.0241599
170	-0.0242322
171	-0.0243304
172	-0.0242969
173	-0.0244281
174	-0.0245570
175	-0.0246145
176	-0.0246393
177	-0.0246768
178	-0.0248980
179	-0.0249926
180	-0.0250014
181	-0.0250323
182	-0.0249554
183	-0.0251373
184	-0.0251706
185	-0.0252460
186	-0.0252648
187	-0.0253643
188	-0.0253439
189	-0.0253090
190	-0.0253472
191	-0.0254784
192	-0.0256034
193	-0.0256226
194	-0.0256281
195	-0.0257862
196	-0.0257648
197	-0.0257636
198	-0.0257713
199	-0.0258640
200	-0.0259549
201	-0.0260035
202	-0.0260272
203	-0.0260672
204	-0.0260557
205	-0.0261266
206	-0.0262026
207	-0.0262665
208	-0.0262991
209	-0.0263676
210	-0.0264289
211	-0.0264455
212	-0.0264689
213	-0.0264834
214	-0.0264755
215	-0.0264243
216	-0.0264292
217	-0.0264700
218	-0.0265677
219	-0.0265966
220	-0.0266496
221	-0.0267029
222	-0.0266966
223	-0.0266835
224	-0.0267622
225	-0.0267995
226	-0.0267923
227	-0.0267706
228	-0.0267636
229	-0.0267841
230	-0.0268783
231	-0.0268535
232	-0.0268455
233	-0.0268622
234	-0.0269445
235	-0.0269493
236	-0.0270117
237	-0.0270218
238	-0.0270207
239	-0.0270161
240	-0.0271709
241	-0.0272085
242	-0.0271592
243	-0.0270843
244	-0.0271201
245	-0.0271174
246	-0.0271675
247	-0.0272302
248	-0.0272887
249	-0.0273324
250	-0.0272623
251	-0.0272649
252	-0.0272866
253	-0.0272983
254	-0.0273270
255	-0.0273282
256	-0.0273472
257	-0.0273460
258	-0.0273378
259	-0.0273412
260	-0.0274690
261	-0.0273849
262	-0.0273859
263	-0.0274562
264	-0.0274694
265	-0.0274283
266	-0.0273918
267	-0.0273796
268	-0.0273746
269	-0.0273405
270	-0.0274086
271	-0.0274061
272	-0.0274280
273	-0.0275692
274	-0.0276293
275	-0.0275470
276	-0.0275424
277	-0.0275080
278	-0.0275113
279	-0.0275300
280	-0.0275624
281	-0.0275651
282	-0.0275234
283	-0.0274631
284	-0.0274577
285	-0.0274479
286	-0.0276190
287	-0.0276183
288	-0.0275512
289	-0.0274940
290	-0.0274925
291	-0.0274721
292	-0.0274999
293	-0.0274604
294	-0.0274639
295	-0.0274903
296	-0.0275509
297	-0.0275331
298	-0.0275297
299	-0.0275995
300	-0.0276002
301	-0.0275910
302	-0.0276118
303	-0.0276156
304	-0.0276197
305	-0.0276068
306	-0.0276219
307	-0.0276330
308	-0.0276330
309	-0.0276974
310	-0.0276963
311	-0.0276921
312	-0.0277192
313	-0.0276857
314	-0.0276887
315	-0.0276767
316	-0.0276639
317	-0.0276601
318	-0.0276164
319	-0.0275923
320	-0.0275932
321	-0.0276007
322	-0.0276884
323	-0.0276821
324	-0.0276867
325	-0.0276915
326	-0.0276670
327	-0.0276034
328	-0.0276407
329	-0.0275778
330	-0.0275382
331	-0.0275615
332	-0.0275603
333	-0.0275659
334	-0.0276286
335	-0.0276620
336	-0.0276813
337	-0.0276754
338	-0.0276798
339	-0.0277241
340	-0.0277052
341	-0.0277182
342	-0.0277554
343	-0.0277470
344	-0.0277531
345	-0.0277388
346	-0.0277717
347	-0.0278046
348	-0.0277928
349	-0.0277855
350	-0.0277266
351	-0.0277201
352	-0.0277328
353	-0.0277462
354	-0.0277817
355	-0.0278080
356	-0.0278162
357	-0.0277944
358	-0.0277719
359	-0.0277458
360	-0.0276949
361	-0.0277081
362	-0.0276976
363	-0.0277563
364	-0.0277747
365	-0.0278064
366	-0.0277919
367	-0.0277576
368	-0.0278095
369	-0.0278071
370	-0.0278057
371	-0.0277891
372	-0.0277528
373	-0.0277730
374	-0.0277873
375	-0.0277872
376	-0.0277901
377	-0.0277919
378	-0.0277991
379	-0.0277915
380	-0.0277740
381	-0.0277815
382	-0.0277765
383	-0.0277872
384	-0.0277750
385	-0.0277854
386	-0.0278246
387	-0.0277984
388	-0.0277992
389	-0.0277520
390	-0.0277516
391	-0.0277770
392	-0.0278121
393	-0.0278315
394	-0.0278260
395	-0.0278159
396	-0.0278063
397	-0.0278362
398	-0.0278225
399	-0.0278183
400	-0.0278309
