x	y
1	3.2532662
2	3.2532662
3	3.2532564
4	3.2532393
5	3.2532400
6	3.2532368
7	3.2532662
8	3.2532677
9	3.2532618
10	3.2532662
11	3.2532596
12	3.2532586
13	3.2532666
14	3.2532531
15	3.2532662
16	3.2532662
17	3.2532779
18	3.2532747
19	3.2532450
20	3.2532270
21	3.2532531
22	3.2532285
23	3.2532270
24	3.2532018
25	3.2531911
26	3.2531898
27	3.2531886
28	3.2531399
29	3.2530441
30	3.2529344
31	3.2527754
32	3.2527416
33	3.2527079
34	3.2524693
35	3.2521035
36	3.2519990
37	3.2512675
38	3.2505882
39	3.2498915
40	3.2489022
41	3.2477404
42	3.2464080
43	3.2449449
44	3.2422800
45	3.2400854
46	3.2372638
47	3.2339196
48	3.2303142
49	3.2260294
50	3.2214312
51	3.2167807
52	3.2120257
53	3.2075842
54	3.2033518
55	3.1990671
56	3.1939463
57	3.1893480
58	3.1845408
59	3.1799948
60	3.1755011
61	3.1700668
62	3.1656253
63	3.1616019
64	3.1573171
65	3.1532414
66	3.1495837
67	3.1457693
68	3.1427909
69	3.1400215
70	3.1376179
71	3.1351097
72	3.1328890
73	3.1309165
74	3.1289439
75	3.1274286
76	3.1259133
77	3.1244763
78	3.1232353
79	3.1219943
80	3.1212628
81	3.1203484
82	3.1194339
83	3.1187547
84	3.1183366
85	3.1175277
86	3.1169132
87	3.1165339
88	3.1160811
89	3.1156379
90	3.1154627
91	3.1152015
92	3.1149472
93	3.1148252
94	3.1147704
95	3.1147312
96	3.1147312
97	3.1148357
98	3.1151492
99	3.1158808
100	3.1166123
101	3.1177619
102	3.1191204
103	3.1206880
104	3.1227259
105	3.1249205
106	3.1282124
107	3.1316088
108	3.1353710
109	3.1393422
110	3.1447242
111	3.1493747
112	3.1546000
113	3.1598775
114	3.1652596
115	3.1699623
116	3.1747173
117	3.1802561
118	3.1860039
119	3.1914904
120	3.1961932
121	3.2010527
122	3.2065914
123	3.2103014
124	3.2141681
125	3.2179825
126	3.2210132
127	3.2242006
128	3.2266042
129	3.2289556
130	3.2313070
131	3.2330052
132	3.2347034
133	3.2359052
134	3.2373160
135	3.2383088
136	3.2392494
137	3.2401899
138	3.2410298
139	3.2418122
140	3.2422800
141	3.2429854
142	3.2436125
143	3.2441089
144	3.2446314
145	3.2449902
146	3.2453490
147	3.2456765
148	3.2460997
149	3.2464097
150	3.2466679
151	3.2467738
152	3.2471395
153	3.2472832
154	3.2476055
155	3.2478362
156	3.2480383
157	3.2482171
158	3.2483283
159	3.2485112
160	3.2487386
161	3.2489092
162	3.2490729
163	3.2491426
164	3.2491774
165	3.2492993
166	3.2493864
167	3.2496225
168	3.2496477
169	3.2497975
170	3.2498697
171	3.2500115
172	3.2500396
173	3.2501702
174	3.2502991
175	3.2503618
176	3.2504005
177	3.2504392
178	3.2506617
179	3.2507653
180	3.2508129
181	3.2508528
182	3.2508756
183	3.2510552
184	3.2510794
185	3.2510925
186	3.2511107
187	3.2512501
188	3.2512627
189	3.2512610
190	3.2512982
191	3.2514034
192	3.2515141
193	3.2515316
194	3.2515418
195	3.2517112
196	3.2517158
197	3.2517205
198	3.2517247
199	3.2518214
200	3.2519282
201	3.2519794
