x	y
1	32298.0712198
2	32298.4389240
3	32298.7872753
4	32299.2553724
5	32299.4077761
6	32299.3968902
7	32299.4839780
8	32299.5016160
9	32299.4839780
10	32299.5051456
11	32299.7452415
12	32300.0065050
13	32300.0065050
14	32300.6161198
15	32300.6596638
16	32300.6451491
17	32300.6596638
18	32300.7902955
19	32300.9209272
20	32300.6783254
21	32300.7612662
22	32300.8615492
23	32300.9499053
24	32300.7467345
25	32300.7490434
26	32300.9360530
27	32301.0766896
28	32301.0986416
29	32301.1205935
30	32301.2147587
31	32301.5568005
32	32301.2605698
33	32300.6567608
34	32301.1262057
35	32301.2909172
36	32300.4638495
37	32300.4419442
38	32299.4028208
39	32299.3533462
40	32298.8743632
41	32297.9163970
42	32295.3037620
43	32288.6463810
44	32285.8982760
45	32275.9702630
46	32261.8620340
47	32244.7928187
48	32219.5373470
49	32190.7983620
50	32145.8610400
51	32094.6533940
52	32035.0853160
53	31967.6793330
54	31894.0030260
55	31814.5789220
56	31745.0828310
57	31678.7219020
58	31608.1807570
59	31531.3692880
60	31459.7830890
61	31389.2419440
62	31326.5387040
63	31253.3849240
64	31197.4745350
65	31150.4471050
66	31105.5097830
67	31064.7526770
68	31031.8334760
69	31004.1395450
70	30981.6708840
71	30959.2022230
72	30942.4813590
73	30923.6703870
74	30911.6522660
75	30899.3728815
76	30889.5755003
77	30880.2353301
78	30875.0753760
79	30866.9762075
80	30859.0076707
81	30854.1742960
82	30849.4522001
83	30845.8138640
84	30840.9369453
85	30838.6291177
86	30835.6391021
87	30832.6490865
88	30830.9218445
89	30827.4576840
90	30824.9869699
91	30824.2596253
92	30821.8429379
93	30821.2550950
94	30819.4359269
95	30817.6167589
96	30817.2942113
97	30816.9716638
98	30816.7568227
99	30816.6394398
100	30816.4047787
101	30816.8716741
102	30818.0546171
103	30821.5163585
104	30826.7416285
105	30834.2311822
106	30844.2462830
107	30856.7869310
108	30882.9132810
109	30914.2649010
110	30949.7967370
111	30996.3016400
112	31053.2570830
113	31117.5279040
114	31177.6185090
115	31247.1146000
116	31317.6557450
117	31385.5842550
118	31456.6479270
119	31536.0720310
120	31617.0637160
121	31699.1004550
122	31769.1190730
123	31828.1646240
124	31894.0030260
125	31941.0304560
126	31984.9227240
127	32021.4996140
128	32054.9413420
129	32078.4550570
130	32105.1039340
131	32123.3923790
132	32139.8519795
133	32154.8746307
134	32169.8972820
135	32179.5640315
136	32188.8388857
137	32198.1137400
138	32206.1258207
139	32211.7865298
140	32215.3571310
141	32221.7822778
142	32227.7277679
143	32229.4653600
144	32233.5759057
145	32236.9766856
146	32239.5167474
147	32241.4834810
148	32243.4168309
149	32244.8799065
150	32246.1862240
151	32247.7538050
152	32248.1021563
153	32249.8439130
154	32251.5747837
155	32252.9588188
156	32253.5016020
157	32254.5853617
158	32255.2433587
159	32256.1142370
160	32256.1142370
161	32257.1592910
162	32257.8451077
163	32257.9430815
164	32258.2043450
165	32258.7268720
166	32260.0331895
167	32260.4250848
168	32261.1043699
169	32261.6007705
170	32261.6514798
171	32261.9740041
172	32262.1627520
173	32261.9622733
174	32262.3323083
175	32262.3845610
176	32262.3845610
177	32262.3845610
178	32262.5780895
179	32262.7716180
180	32263.2989832
181	32263.3773623
182	32263.7953839
183	32263.8476366
184	32263.8998893
185	32264.0827738
186	32264.5375658
187	32264.9318801
188	32264.9449433
189	32265.1423424
190	32265.1423424
191	32264.8133439
192	32264.8105792
193	32264.7359325
194	32264.7359325
195	32265.8625625
196	32265.8463024
197	32265.6634179
198	32265.5197230
199	32265.7519572
200	32265.7572353
201	32265.5951991
202	32265.6503548
203	32265.9116183
204	32265.9600004
205	32265.9799983
206	32265.8680743
207	32265.7097328
208	32265.2734140
209	32265.6764811
210	32266.4235012
211	32266.3361714
212	32266.1915434
213	32266.2322598
214	32266.8633639
215	32266.8260405
216	32266.1293378
217	32266.1583671
218	32266.1496583
219	32266.1474536
220	32266.0432998
221	32265.9551622
222	32266.0422500
223	32266.3035135
224	32266.3806798
225	32266.4080189
226	32266.3035135
227	32266.0132207
228	32265.9899973
229	32266.0795734
230	32266.2503341
231	32266.2664342
232	32266.2825343
233	32266.6767471
234	32266.6300929
235	32266.1728818
236	32266.1728817
237	32266.1542201
238	32266.1728818
239	32266.4728510
240	32266.4486599
241	32266.2347986
242	32265.7335843
243	32265.8063467
244	32266.0459191
245	32266.1728818
246	32266.2019110
247	32265.9551622
248	32265.8583979
249	32265.9385039
250	32266.3782303
251	32266.8509461
252	32266.6954088
253	32266.3035135
254	32266.6767471
255	32266.6743612
256	32266.6597819
257	32266.5858892
258	32266.4341453
259	32266.3516696
260	32265.8789603
261	32265.9116182
262	32265.5928752
263	32265.4790820
264	32266.0248324
265	32265.9947475
266	32266.1322408
267	32266.7099234
268	32267.4646846
269	32267.2614797
270	32266.5647770
271	32266.5339414
272	32266.5647770
273	32266.8260405
274	32267.0698864
275	32267.0292454
276	32266.9131283
277	32266.9566723
278	32267.6098310
279	32267.7491715
280	32267.3623182
281	32267.2440621
282	32266.7912054
283	32267.0350513
284	32267.1743918
285	32267.0873040
286	32267.0873040
287	32267.0873040
288	32266.5067184
289	32267.1992741
290	32266.9400582
291	32266.9337167
292	32267.2713580
293	32267.4791992
294	32267.7404628
295	32267.6620837
296	32267.8473433
297	32267.9423482
298	32267.7404628
299	32267.5140344
300	32267.2876060
301	32267.6098310
302	32267.6471544
303	32268.1650159
304	32267.6373324
305	32267.6120358
306	32267.6751469
307	32267.6098310
308	32267.6098310
309	32267.6098310
310	32267.7840067
311	32267.7840067
312	32267.8349383
313	32267.8227132
314	32268.0452702
315	32267.3369558
316	32267.3485675
317	32267.4453318
318	32267.4232142
319	32267.3858909
320	32267.6098310
321	32267.5774140
322	32267.5603196
323	32267.7731207
324	32267.7523384
325	32267.7549774
326	32268.5484443
327	32268.6194048
328	32268.5677972
329	32268.6548850
330	32268.6258557
331	32268.2271870
332	32267.9581823
333	32268.0373531
334	32268.0670421
335	32267.6969188
336	32268.1873608
337	32268.2194458
338	32268.1323580
339	32268.6222271
340	32268.4648752
341	32268.5242532
342	32268.4589374
343	32268.4807093
344	32268.5619913
345	32268.3233659
346	32268.4262794
347	32268.6173888
348	32268.6258557
349	32268.6845731
350	32268.7281678
351	32268.6793126
352	32268.6304574
353	32268.6951203
354	32268.6548850
355	32268.6548850
356	32268.6548850
357	32268.5895691
358	32268.5557016
359	32268.8290607
360	32268.3645922
361	32268.3562981
362	32268.3936215
363	32268.6548850
364	32268.6548850
365	32268.6548850
366	32268.8638958
367	32269.0467802
368	32268.9453615
369	32268.8290607
370	32268.9379082
371	32268.8290607
372	32268.9306631
373	32269.1338681
374	32269.3036342
375	32269.3806169
376	32269.3407017
377	32269.3092533
378	32269.2778049
379	32269.2935291
380	32269.3640288
381	32269.6999390
382	32269.7474415
383	32269.7544789
384	32269.7521917
385	32269.6999390
386	32269.6563951
387	32269.6999390
388	32269.6999390
389	32269.7564711
390	32269.7708590
391	32269.7897526
392	32269.6346231
393	32269.5388265
394	32269.6999390
395	32269.6778917
396	32269.4386755
397	32269.5039914
398	32269.5039914
399	32270.0603859
400	32270.0799586
