x	y
1	-0.0003416
2	-0.0003419
3	-0.0003422
4	-0.0003427
5	-0.0003431
6	-0.0003431
7	-0.0003429
8	-0.0003432
9	-0.0003430
10	-0.0003431
11	-0.0003428
12	-0.0003431
13	-0.0003432
14	-0.0003431
15	-0.0003433
16	-0.0003435
17	-0.0003445
18	-0.0003446
19	-0.0003452
20	-0.0003449
21	-0.0003446
22	-0.0003441
23	-0.0003439
24	-0.0003438
25	-0.0003439
26	-0.0003446
27	-0.0003444
28	-0.0003445
29	-0.0003445
30	-0.0003441
31	-0.0003443
32	-0.0003449
33	-0.0003451
34	-0.0003453
35	-0.0003457
36	-0.0003458
37	-0.0003455
38	-0.0003450
39	-0.0003446
40	-0.0003448
41	-0.0003451
42	-0.0003444
43	-0.0003445
44	-0.0003449
45	-0.0003445
46	-0.0003449
47	-0.0003451
48	-0.0003451
49	-0.0003451
50	-0.0003456
51	-0.0003456
52	-0.0003463
53	-0.0003467
54	-0.0003469
55	-0.0003469
56	-0.0003468
57	-0.0003469
58	-0.0003477
59	-0.0003477
60	-0.0003478
61	-0.0003481
62	-0.0003484
63	-0.0003488
64	-0.0003495
65	-0.0003481
66	-0.0003490
67	-0.0003489
68	-0.0003504
69	-0.0003483
70	-0.0003485
71	-0.0003488
72	-0.0003462
73	-0.0003457
74	-0.0003474
75	-0.0003469
76	-0.0003429
77	-0.0003395
78	-0.0003388
79	-0.0003385
80	-0.0003339
81	-0.0003315
82	-0.0003298
83	-0.0003282
84	-0.0003272
85	-0.0003264
86	-0.0003249
87	-0.0003232
88	-0.0003218
89	-0.0003195
90	-0.0003192
91	-0.0003200
92	-0.0003174
93	-0.0003179
94	-0.0003164
95	-0.0003156
96	-0.0003149
97	-0.0003146
98	-0.0003150
99	-0.0003148
100	-0.0003144
101	-0.0003129
102	-0.0003133
103	-0.0003141
104	-0.0003138
105	-0.0003136
106	-0.0003111
107	-0.0003108
108	-0.0003086
109	-0.0003088
110	-0.0003076
111	-0.0003059
112	-0.0003060
113	-0.0003053
114	-0.0003038
