x	y
1	3.2606540
2	3.2606540
3	3.2606550
4	3.2606561
5	3.2606469
6	3.2606469
7	3.2606411
8	3.2606236
9	3.2605718
10	3.2605750
11	3.2605909
12	3.2605922
13	3.2605857
14	3.2605815
15	3.2605859
16	3.2606556
17	3.2606594
18	3.2606469
19	3.2606469
20	3.2606469
21	3.2606643
22	3.2606730
23	3.2607187
24	3.2607340
25	3.2607335
26	3.2607383
27	3.2608820
28	3.2608885
29	3.2609016
30	3.2609321
31	3.2610039
32	3.2610078
33	3.2610117
34	3.2610340
35	3.2610388
36	3.2610388
37	3.2610475
38	3.2610475
39	3.2610475
40	3.2610388
41	3.2610388
42	3.2610388
43	3.2610402
44	3.2610357
45	3.2610355
46	3.2610242
47	3.2610126
48	3.2609788
49	3.2609702
50	3.2609342
51	3.2608951
52	3.2608488
53	3.2608297
54	3.2608026
55	3.2607823
56	3.2607775
57	3.2606923
58	3.2606945
59	3.2606933
60	3.2607066
61	3.2607020
62	3.2607028
63	3.2606868
64	3.2606708
65	3.2606573
66	3.2606599
67	3.2606764
68	3.2606926
69	3.2606925
70	3.2606904
71	3.2606130
72	3.2605946
73	3.2605685
74	3.2605723
75	3.2605759
76	3.2605826
77	3.2605424
78	3.2605336
79	3.2604988
80	3.2604901
81	3.2604901
82	3.2604938
83	3.2605242
84	3.2605249
85	3.2605355
86	3.2605278
87	3.2605319
88	3.2605193
89	3.2605173
90	3.2605619
91	3.2605528
92	3.2605400
93	3.2605489
94	3.2604640
95	3.2604378
96	3.2604509
97	3.2604569
98	3.2604574
99	3.2604653
100	3.2604731
101	3.2604416
102	3.2604274
103	3.2604320
104	3.2604640
105	3.2604640
106	3.2604640
107	3.2604640
108	3.2604640
109	3.2603827
110	3.2603333
111	3.2603520
112	3.2603595
113	3.2604408
114	3.2604509
115	3.2604282
116	3.2604056
117	3.2603987
118	3.2603879
119	3.2603908
120	3.2604048
121	3.2604030
122	3.2604052
123	3.2604019
124	3.2604059
125	3.2603943
126	3.2602782
127	3.2602418
128	3.2602419
129	3.2603009
130	3.2603020
131	3.2602811
132	3.2602768
133	3.2602811
134	3.2603072
135	3.2603142
136	3.2603035
137	3.2603008
138	3.2603090
139	3.2603025
140	3.2602592
141	3.2602615
142	3.2602561
143	3.2602645
144	3.2602608
145	3.2602602
146	3.2602528
147	3.2602602
148	3.2602993
149	3.2603035
150	3.2603253
151	3.2603364
152	3.2603127
153	3.2603072
154	3.2603043
155	3.2603043
156	3.2603246
157	3.2603595
158	3.2603595
159	3.2603595
160	3.2603595
161	3.2603536
162	3.2603422
163	3.2602531
164	3.2602683
165	3.2602759
166	3.2602890
167	3.2603022
168	3.2603195
169	3.2602962
170	3.2603014
171	3.2603595
172	3.2603399
173	3.2603297
174	3.2603333
175	3.2603353
176	3.2603268
177	3.2602828
178	3.2602898
179	3.2603159
180	3.2603987
181	3.2603931
182	3.2603834
183	3.2604146
184	3.2604640
185	3.2605237
186	3.2605424
187	3.2605511
188	3.2606637
189	3.2606699
190	3.2607862
191	3.2608230
192	3.2608297
193	3.2608951
194	3.2610876
195	3.2611433
196	3.2611433
197	3.2613465
198	3.2613653
199	3.2614764
200	3.2616259
201	3.2617006
202	3.2617638
203	3.2618487
204	3.2618617
205	3.2618879
206	3.2619793
207	3.2619793
208	3.2620490
209	3.2621457
210	3.2622275
211	3.2622672
212	3.2622891
213	3.2623015
214	3.2623364
215	3.2623451
216	3.2623722
217	3.2623843
218	3.2624060
219	3.2624409
220	3.2624757
221	3.2624757
222	3.2625018
223	3.2625113
224	3.2625149
225	3.2625541
226	3.2625280
227	3.2624496
228	3.2624705
229	3.2624983
230	3.2625123
231	3.2625113
232	3.2625163
233	3.2625123
234	3.2624492
235	3.2624525
236	3.2624966
237	3.2625245
238	3.2625211
239	3.2625149
240	3.2623843
241	3.2623712
242	3.2623799
243	3.2623248
244	3.2623480
245	3.2623495
246	3.2623511
247	3.2623451
248	3.2623255
249	3.2623160
250	3.2622928
251	3.2622667
252	3.2622614
253	3.2622712
254	3.2622708
255	3.2622312
256	3.2622377
257	3.2622373
258	3.2621885
259	3.2622057
260	3.2621987
261	3.2621753
262	3.2621551
263	3.2621419
264	3.2621503
265	3.2621477
266	3.2621186
267	3.2620838
268	3.2620877
269	3.2620915
270	3.2620934
271	3.2620707
272	3.2620886
273	3.2620689
274	3.2620684
275	3.2620680
276	3.2620416
277	3.2620465
278	3.2620740
279	3.2620635
280	3.2620577
281	3.2620185
282	3.2620098
283	3.2620011
284	3.2619967
285	3.2619753
286	3.2620316
287	3.2620054
288	3.2619271
289	3.2619077
290	3.2619140
291	3.2619107
292	3.2618748
293	3.2618748
294	3.2618748
295	3.2618721
296	3.2618777
297	3.2618972
298	3.2619038
299	3.2619038
300	3.2618913
301	3.2618890
302	3.2618748
303	3.2618356
304	3.2618291
305	3.2618320
306	3.2617932
307	3.2617237
308	3.2617234
309	3.2617024
310	3.2616315
311	3.2615755
312	3.2615352
313	3.2615100
314	3.2614848
315	3.2614069
316	3.2613290
317	3.2612478
318	3.2612098
319	3.2611824
320	3.2610983
321	3.2610800
322	3.2610701
323	3.2609865
324	3.2609156
325	3.2608297
326	3.2607775
327	3.2607252
328	3.2606865
329	3.2606338
330	3.2605685
331	3.2605424
332	3.2605520
333	3.2605489
334	3.2605155
335	3.2605115
336	3.2604291
337	3.2604291
338	3.2604280
339	3.2604052
340	3.2602475
341	3.2601402
342	3.2601940
343	3.2602375
344	3.2602317
345	3.2602259
346	3.2601988
347	3.2602071
348	3.2601998
349	3.2602064
350	3.2602620
351	3.2602615
352	3.2602397
353	3.2602332
354	3.2601094
355	3.2601234
356	3.2601742
357	3.2601505
358	3.2601518
359	3.2601417
360	3.2600683
361	3.2600660
362	3.2600583
363	3.2600721
364	3.2600819
365	3.2600851
366	3.2600854
367	3.2600489
368	3.2600156
369	3.2600161
370	3.2600242
371	3.2600002
372	3.2600024
373	3.2600590
374	3.2600669
375	3.2600629
376	3.2600431
377	3.2599937
378	3.2600256
379	3.2600585
380	3.2600590
381	3.2600625
382	3.2600558
383	3.2600460
384	3.2600198
385	3.2600329
386	3.2600552
387	3.2600929
388	3.2600907
389	3.2600773
390	3.2600564
391	3.2600588
392	3.2600679
393	3.2600649
394	3.2600743
395	3.2600692
396	3.2600492
397	3.2600460
398	3.2600360
399	3.2600460
400	3.2600460
401	3.2600323
402	3.2600330
403	3.2600198
404	3.2600227
405	3.2600385
406	3.2600439
407	3.2600492
408	3.2600344
409	3.2600351
410	3.2600292
411	3.2599937
412	3.2599959
413	3.2600263
414	3.2600231
415	3.2599806
416	3.2599390
417	3.2599331
418	3.2599327
419	3.2599283
420	3.2599184
421	3.2599414
422	3.2599350
423	3.2599265
424	3.2599383
425	3.2599559
426	3.2599623
427	3.2599720
428	3.2599755
429	3.2599258
430	3.2599246
431	3.2599240
432	3.2599219
433	3.2599222
434	3.2599892
435	3.2599850
436	3.2599792
437	3.2599841
438	3.2599763
439	3.2599871
440	3.2599850
441	3.2599211
442	3.2599153
443	3.2599153
444	3.2599327
445	3.2600132
446	3.2600075
447	3.2600558
448	3.2600460
449	3.2600460
450	3.2600390
451	3.2600320
452	3.2600317
453	3.2599715
454	3.2599799
455	3.2599937
456	3.2599832
457	3.2599794
458	3.2599799
459	3.2599772
460	3.2599792
461	3.2600314
