x	y
1	6.5038636
2	6.5070118
3	6.5117971
4	6.5134595
5	6.5332435
6	6.5185185
7	6.5216667
8	6.5166667
9	6.5184479
10	6.5170404
11	6.5190142
12	6.5112025
13	6.5104762
14	6.5038095
15	6.5050000
16	6.5021429
17	6.5090476
18	6.5207937
19	6.5166667
20	6.5189551
21	6.5160619
22	6.5180000
23	6.5159653
24	6.5137697
25	6.5237500
26	6.5253333
27	6.5262222
28	6.5252500
29	6.5107300
30	6.5112433
31	6.5141667
32	6.5147504
33	6.5142045
34	6.5196944
35	6.5153214
36	6.5046825
37	6.5057778
38	6.5088889
39	6.5148203
40	6.5194444
41	6.5371660
42	6.5345455
43	6.5181818
44	6.5031944
45	6.4945833
46	6.4989881
47	6.5010474
48	6.5166082
49	6.5175000
50	6.5130566
51	6.5138304
52	6.5135000
53	6.5091540
54	6.5078182
55	6.5111667
56	6.5105556
57	6.5143056
58	6.5155188
59	6.5248889
60	6.5306667
61	6.5037778
62	6.5022183
63	6.4982143
64	6.4971825
65	6.5046250
66	6.5000000
67	6.5004426
68	6.5100000
69	6.5150000
70	6.5188333
71	6.5167857
72	6.5146067
73	6.5166293
74	6.5147159
75	6.5058177
76	6.5095856
77	6.5152162
78	6.5201515
79	6.5211111
80	6.5210000
81	6.5120926
82	6.5091667
83	6.5147315
84	6.5165079
85	6.5234656
86	6.5237126
87	6.5167239
88	6.5172727
89	6.5165873
90	6.5161412
91	6.5219981
92	6.5290609
93	6.5275000
94	6.5150000
95	6.5150000
96	6.5138689
97	6.5103786
98	6.4940807
99	6.4975556
100	6.4990000
101	6.5107168
102	6.5130425
103	6.5150068
104	6.5091447
105	6.5126389
106	6.5193750
107	6.5093750
108	6.5105556
109	6.5144907
110	6.5141204
111	6.5114772
112	6.5039271
113	6.5066667
114	6.5116667
115	6.5229606
116	6.5278571
117	6.5258981
118	6.5293056
119	6.5326181
120	6.5414286
121	6.5309259
122	6.5330286
123	6.5532222
124	6.5494074
125	6.5716667
126	6.5589991
127	6.5600000
128	6.5421296
129	6.5593519
130	6.5485185
131	6.5425000
132	6.5391693
133	6.5325000
134	6.5226389
135	6.5201389
136	6.4916667
137	6.4987500
138	6.4950000
139	6.4535000
140	6.4359815
141	6.4400000
142	6.4362500
143	6.4333333
144	6.4368519
145	6.4380556
146	6.4188426
147	6.4098672
148	6.4129167
149	6.4177778
150	6.4204993
151	6.4211852
152	6.4060714
153	6.4108590
154	6.4183333
155	6.4233333
156	6.4237500
157	6.4300000
158	6.4351515
159	6.4361364
160	6.4438889
161	6.4400000
162	6.4263636
163	6.4296334
164	6.4305332
165	6.4344972
166	6.4355840
167	6.4340278
168	6.4336667
169	6.4207816
170	6.4391270
171	6.4477831
172	6.4523333
173	6.4515361
174	6.4517857
175	6.4393254
176	6.4416667
177	6.4416667
178	6.4317361
179	6.4349306
180	6.4325185
181	6.4315545
182	6.4328825
183	6.4312500
184	6.4312963
185	6.4275772
186	6.4174228
187	6.4184318
188	6.4194249
189	6.4193609
190	6.4132105
191	6.4274074
192	6.4273750
193	6.4165771
194	6.4156786
195	6.4082434
196	6.4025000
197	6.3986364
198	6.4024074
199	6.4047273
200	6.4107937
201	6.4059524
202	6.4000000
203	6.4007407
204	6.4014815
205	6.4068272
206	6.3985000
207	6.4012424
208	6.3971429
209	6.4020476
210	6.4019712
211	6.3952510
212	6.3917460
213	6.3925694
214	6.3897670
215	6.3909004
216	6.3839286
217	6.3833095
218	6.3826905
219	6.3816667
220	6.3781294
221	6.3879814
222	6.3742192
223	6.3600000
224	6.3600463
225	6.3602273
226	6.3533396
227	6.3402020
228	6.3411034
229	6.3398019
230	6.3422671
231	6.3451010
232	6.3508514
233	6.3517988
234	6.3513123
235	6.3498246
236	6.3463636
237	6.3423722
238	6.3325000
239	6.3282500
240	6.3214848
241	6.3102963
242	6.3000880
243	6.3081640
244	6.3050000
245	6.2913392
246	6.2902273
247	6.2833333
248	6.2785185
249	6.2770370
250	6.2704568
251	6.2859136
252	6.2716667
253	6.2777273
254	6.2900000
255	6.2877778
256	6.2860118
257	6.3010000
258	6.2900000
259	6.3163416
