x	y
1	0.0391956
2	0.0391956
3	0.0391955
4	0.0391954
5	0.0391941
6	0.0391941
7	0.0391937
8	0.0391937
9	0.0391936
10	0.0391937
11	0.0391937
12	0.0391937
13	0.0391936
14	0.0391936
15	0.0391935
16	0.0391936
17	0.0391932
18	0.0391929
19	0.0391931
20	0.0391931
21	0.0391932
22	0.0391931
23	0.0391931
24	0.0391932
25	0.0391931
26	0.0391929
27	0.0391927
28	0.0391929
29	0.0391928
30	0.0391924
31	0.0391924
32	0.0391924
33	0.0391925
34	0.0391922
35	0.0391926
36	0.0391929
37	0.0391926
38	0.0391925
39	0.0391925
40	0.0391922
41	0.0391911
42	0.0391913
43	0.0391923
44	0.0391923
45	0.0391922
46	0.0391922
47	0.0391921
48	0.0391921
49	0.0391922
50	0.0391922
51	0.0391919
52	0.0391918
53	0.0391919
54	0.0391921
55	0.0391920
56	0.0391920
57	0.0391918
58	0.0391917
59	0.0391912
60	0.0391907
61	0.0391910
62	0.0391906
63	0.0391909
64	0.0391916
65	0.0391912
66	0.0391912
67	0.0391911
68	0.0391906
69	0.0391906
70	0.0391904
71	0.0391904
72	0.0391905
73	0.0391905
74	0.0391906
75	0.0391906
76	0.0391904
77	0.0391900
78	0.0391897
79	0.0391896
80	0.0391896
81	0.0391901
82	0.0391904
83	0.0391905
84	0.0391905
85	0.0391903
86	0.0391904
87	0.0391906
88	0.0391905
89	0.0391905
90	0.0391905
91	0.0391904
92	0.0391903
93	0.0391904
94	0.0391912
95	0.0391912
96	0.0391912
97	0.0391913
98	0.0391913
99	0.0391912
100	0.0391912
101	0.0391906
102	0.0391907
103	0.0391907
104	0.0391908
105	0.0391907
106	0.0391910
107	0.0391913
108	0.0391912
109	0.0391909
110	0.0391910
111	0.0391911
112	0.0391910
113	0.0391909
114	0.0391909
115	0.0391912
116	0.0391908
117	0.0391908
118	0.0391910
119	0.0391914
120	0.0391915
121	0.0391924
122	0.0391924
123	0.0391925
124	0.0391928
125	0.0391928
126	0.0391941
127	0.0391941
128	0.0391960
129	0.0391973
130	0.0391986
131	0.0391990
132	0.0392017
133	0.0392023
134	0.0392043
135	0.0392063
136	0.0392090
137	0.0392093
138	0.0392106
139	0.0392134
140	0.0392148
141	0.0392157
142	0.0392159
143	0.0392169
144	0.0392179
145	0.0392188
146	0.0392205
147	0.0392213
148	0.0392213
149	0.0392214
150	0.0392213
151	0.0392216
152	0.0392227
153	0.0392227
154	0.0392226
155	0.0392228
156	0.0392227
157	0.0392226
158	0.0392224
159	0.0392224
160	0.0392224
161	0.0392223
162	0.0392222
163	0.0392223
164	0.0392226
165	0.0392225
166	0.0392224
167	0.0392226
168	0.0392225
169	0.0392226
170	0.0392215
171	0.0392215
172	0.0392215
173	0.0392215
174	0.0392214
175	0.0392206
176	0.0392203
177	0.0392204
178	0.0392204
179	0.0392205
180	0.0392206
181	0.0392207
182	0.0392206
183	0.0392204
184	0.0392203
185	0.0392203
186	0.0392206
187	0.0392205
188	0.0392205
189	0.0392205
190	0.0392204
191	0.0392196
192	0.0392196
193	0.0392197
194	0.0392200
195	0.0392203
196	0.0392204
197	0.0392204
198	0.0392200
199	0.0392200
200	0.0392196
201	0.0392195
202	0.0392195
203	0.0392195
204	0.0392195
205	0.0392192
206	0.0392194
207	0.0392195
208	0.0392195
209	0.0392192
210	0.0392192
211	0.0392193
212	0.0392195
213	0.0392198
214	0.0392199
215	0.0392197
216	0.0392197
217	0.0392196
218	0.0392196
219	0.0392196
220	0.0392195
221	0.0392196
222	0.0392202
223	0.0392201
224	0.0392199
225	0.0392199
226	0.0392203
227	0.0392207
228	0.0392207
229	0.0392208
230	0.0392206
231	0.0392205
232	0.0392203
233	0.0392203
234	0.0392204
235	0.0392203
236	0.0392205
237	0.0392206
238	0.0392207
239	0.0392209
240	0.0392214
241	0.0392216
242	0.0392214
243	0.0392209
244	0.0392209
245	0.0392209
246	0.0392203
247	0.0392202
248	0.0392202
249	0.0392200
250	0.0392195
251	0.0392175
252	0.0392175
253	0.0392166
254	0.0392155
255	0.0392146
256	0.0392145
257	0.0392134
258	0.0392131
259	0.0392106
260	0.0392097
261	0.0392094
262	0.0392091
263	0.0392087
264	0.0392087
265	0.0392087
266	0.0392068
267	0.0392061
268	0.0392044
269	0.0392042
270	0.0392043
271	0.0392041
272	0.0392039
273	0.0392040
274	0.0392038
275	0.0392039
276	0.0392036
277	0.0392036
278	0.0392036
279	0.0392029
280	0.0392029
281	0.0392030
282	0.0392030
283	0.0392030
284	0.0392029
285	0.0392028
286	0.0392032
287	0.0392032
288	0.0392028
289	0.0392030
290	0.0392030
291	0.0392036
292	0.0392036
293	0.0392036
294	0.0392036
295	0.0392024
296	0.0392025
297	0.0392028
298	0.0392027
299	0.0392027
300	0.0392035
301	0.0392035
302	0.0392034
303	0.0392030
304	0.0392030
305	0.0392030
306	0.0392030
307	0.0392030
308	0.0392036
309	0.0392035
310	0.0392032
311	0.0392030
312	0.0392035
313	0.0392036
314	0.0392033
315	0.0392033
316	0.0392033
317	0.0392031
318	0.0392031
319	0.0392032
320	0.0392032
321	0.0392032
322	0.0392032
323	0.0392033
324	0.0392027
325	0.0392027
326	0.0392029
327	0.0392030
328	0.0392033
329	0.0392029
330	0.0392029
331	0.0392027
332	0.0392028
333	0.0392027
334	0.0392027
335	0.0392026
336	0.0392026
337	0.0392022
338	0.0392023
339	0.0392025
340	0.0392025
341	0.0392026
342	0.0392028
343	0.0392029
344	0.0392031
345	0.0392030
346	0.0392030
347	0.0392030
348	0.0392028
349	0.0392028
350	0.0392029
351	0.0392028
352	0.0392024
353	0.0392021
354	0.0392027
355	0.0392022
356	0.0392021
357	0.0392021
358	0.0392026
359	0.0392024
360	0.0392023
361	0.0392019
362	0.0392021
363	0.0392021
364	0.0392021
365	0.0392020
366	0.0392017
367	0.0392017
368	0.0392017
369	0.0392018
370	0.0392018
371	0.0392018
372	0.0392014
373	0.0392013
374	0.0392013
375	0.0392012
376	0.0392012
377	0.0392023
378	0.0392023
379	0.0392024
380	0.0392023
381	0.0392023
382	0.0392023
383	0.0392025
384	0.0392025
385	0.0392027
386	0.0392026
387	0.0392023
388	0.0392022
389	0.0392020
390	0.0392020
391	0.0392022
392	0.0392020
393	0.0392019
394	0.0392014
395	0.0392011
396	0.0392014
397	0.0392025
398	0.0392028
399	0.0392020
400	0.0392016
401	0.0392015
402	0.0392017
403	0.0392018
404	0.0392018
405	0.0392019
406	0.0392015
407	0.0392012
408	0.0392013
409	0.0392012
410	0.0392014
411	0.0392017
412	0.0392018
413	0.0392015
414	0.0392015
415	0.0392015
416	0.0392015
417	0.0392014
418	0.0392015
419	0.0392015
420	0.0392017
421	0.0392017
422	0.0392016
423	0.0392010
424	0.0392011
425	0.0392011
426	0.0392010
427	0.0392011
428	0.0392011
429	0.0392010
430	0.0392010
431	0.0392008
432	0.0392008
433	0.0392008
434	0.0392009
435	0.0392006
436	0.0392015
437	0.0392009
438	0.0392006
439	0.0392006
440	0.0392006
441	0.0392007
442	0.0392008
443	0.0392021
444	0.0392020
445	0.0392006
446	0.0392006
447	0.0392010
448	0.0392015
449	0.0392016
450	0.0392017
451	0.0392017
452	0.0392001
453	0.0391997
454	0.0391998
455	0.0391998
456	0.0391998
457	0.0391999
458	0.0392000
459	0.0392007
460	0.0392009
461	0.0392011
462	0.0392011
463	0.0392010
464	0.0392010
465	0.0392009
466	0.0392000
467	0.0392002
468	0.0392008
469	0.0392009
470	0.0392008
471	0.0392007
472	0.0392007
473	0.0392008
474	0.0392007
