x	y
1	0.0004128
2	0.0004130
3	0.0004133
4	0.0004134
5	0.0004147
6	0.0004138
7	0.0004140
8	0.0004136
9	0.0004137
10	0.0004137
11	0.0004138
12	0.0004133
13	0.0004132
14	0.0004128
15	0.0004129
16	0.0004127
17	0.0004132
18	0.0004139
19	0.0004136
20	0.0004138
21	0.0004136
22	0.0004137
23	0.0004136
24	0.0004135
25	0.0004141
26	0.0004142
27	0.0004142
28	0.0004142
29	0.0004133
30	0.0004133
31	0.0004135
32	0.0004135
33	0.0004135
34	0.0004138
35	0.0004135
36	0.0004129
37	0.0004129
38	0.0004131
39	0.0004135
40	0.0004138
41	0.0004149
42	0.0004148
43	0.0004137
44	0.0004128
45	0.0004122
46	0.0004125
47	0.0004126
48	0.0004136
49	0.0004137
50	0.0004134
51	0.0004135
52	0.0004134
53	0.0004132
54	0.0004131
55	0.0004133
56	0.0004132
57	0.0004135
58	0.0004136
59	0.0004142
60	0.0004145
61	0.0004128
62	0.0004127
63	0.0004125
64	0.0004124
65	0.0004129
66	0.0004126
67	0.0004126
68	0.0004132
69	0.0004135
70	0.0004138
71	0.0004136
72	0.0004135
73	0.0004136
74	0.0004135
75	0.0004129
76	0.0004132
77	0.0004135
78	0.0004139
79	0.0004139
80	0.0004139
81	0.0004133
82	0.0004132
83	0.0004135
84	0.0004136
85	0.0004141
86	0.0004141
87	0.0004136
88	0.0004137
89	0.0004136
90	0.0004136
91	0.0004140
92	0.0004144
93	0.0004143
94	0.0004135
95	0.0004135
96	0.0004135
97	0.0004132
98	0.0004122
99	0.0004124
100	0.0004125
101	0.0004133
102	0.0004134
103	0.0004135
104	0.0004132
105	0.0004134
106	0.0004138
107	0.0004132
108	0.0004132
109	0.0004135
110	0.0004135
111	0.0004133
112	0.0004128
113	0.0004130
114	0.0004133
115	0.0004140
116	0.0004143
117	0.0004142
118	0.0004144
119	0.0004146
120	0.0004152
121	0.0004145
122	0.0004147
123	0.0004160
124	0.0004157
125	0.0004171
126	0.0004163
127	0.0004164
128	0.0004153
129	0.0004163
130	0.0004157
131	0.0004153
132	0.0004151
133	0.0004146
134	0.0004140
135	0.0004139
136	0.0004120
137	0.0004125
138	0.0004123
139	0.0004096
140	0.0004085
141	0.0004088
142	0.0004085
143	0.0004083
144	0.0004086
145	0.0004086
146	0.0004074
147	0.0004069
148	0.0004070
149	0.0004074
150	0.0004075
151	0.0004076
152	0.0004066
153	0.0004069
154	0.0004074
155	0.0004077
156	0.0004077
157	0.0004081
158	0.0004085
159	0.0004085
160	0.0004090
161	0.0004088
162	0.0004079
163	0.0004081
164	0.0004082
165	0.0004084
166	0.0004085
167	0.0004084
168	0.0004084
169	0.0004075
170	0.0004087
