x	y
1	32606.5398442
2	32606.5398442
3	32606.5504003
4	32606.5609564
5	32606.4685905
6	32606.4685905
7	32606.4105319
8	32606.2363563
9	32605.7182387
10	32605.7501159
11	32605.9087401
12	32605.9223123
13	32605.8565704
14	32605.8154318
15	32605.8589757
16	32606.5556783
17	32606.5943840
18	32606.4685905
19	32606.4685905
20	32606.4685905
21	32606.6427662
22	32606.7298540
23	32607.1870651
24	32607.3402955
25	32607.3352581
26	32607.3830128
27	32608.8199620
28	32608.8852779
29	32609.0159096
30	32609.3207170
31	32610.0391917
32	32610.0778974
33	32610.1166031
34	32610.3400405
35	32610.3875430
36	32610.3875430
37	32610.4746308
38	32610.4746308
39	32610.4746308
40	32610.3875430
41	32610.3875430
42	32610.3875430
43	32610.4020576
44	32610.3568857
45	32610.3548851
46	32610.2423966
47	32610.1262795
48	32609.7879760
49	32609.7017263
50	32609.3424890
51	32608.9505937
52	32608.4875952
53	32608.2974350
54	32608.0264951
55	32607.8232546
56	32607.7749080
57	32606.9233825
58	32606.9453095
59	32606.9330589
60	32607.0657642
61	32607.0201468
62	32607.0284409
63	32606.8680887
64	32606.7077365
65	32606.5730959
66	32606.5992222
67	32606.7637215
68	32606.9258016
69	32606.9246993
70	32606.9040297
71	32606.1299156
72	32605.9460635
73	32605.6848000
74	32605.7227555
75	32605.7594467
76	32605.8257993
77	32605.4235365
78	32605.3364487
79	32604.9880973
80	32604.9010095
81	32604.9010095
82	32604.9383329
83	32605.2424491
84	32605.2493608
85	32605.3551890
86	32605.2783901
87	32605.3190311
88	32605.1933601
89	32605.1726354
90	32605.6194841
91	32605.5280419
92	32605.4003131
93	32605.4888524
94	32604.6397460
95	32604.3784825
96	32604.5091143
97	32604.5686427
98	32604.5744301
99	32604.6528092
100	32604.7311882
101	32604.4158059
102	32604.2739771
103	32604.3204239
104	32604.6397460
105	32604.6397460
106	32604.6397460
107	32604.6397460
108	32604.6397460
109	32603.8269262
110	32603.3334285
111	32603.5200453
112	32603.5946920
113	32604.4075118
114	32604.5091142
115	32604.2822275
116	32604.0561047
117	32603.9865872
118	32603.8785543
119	32603.9082082
120	32604.0475487
121	32604.0301312
122	32604.0519031
123	32604.0185323
124	32604.0591604
125	32603.9430433
126	32602.7818722
127	32602.4180386
128	32602.4190062
129	32603.0092682
130	32603.0199123
131	32602.8109015
132	32602.7683051
133	32602.8109015
134	32603.0721650
135	32603.1418353
136	32603.0348416
137	32603.0080695
138	32603.0895055
139	32603.0246625
140	32602.5918624
141	32602.6149539
142	32602.5609374
143	32602.6446429
144	32602.6076966
145	32602.6018907
146	32602.5283499
147	32602.6018907
148	32602.9928183
149	32603.0348416
150	32603.2532524
151	32603.3641313
152	32603.1271678
153	32603.0721650
154	32603.0431357
155	32603.0431357
156	32603.2463407
157	32603.5946920
158	32603.5946920
159	32603.5946920
160	32603.5946920
161	32603.5355902
162	32603.4215596
163	32602.5306329
164	32602.6831727
165	32602.7586488
166	32602.8902482
167	32603.0218476
168	32603.1947331
169	32602.9621593
170	32603.0141064
171	32603.5946920
172	32603.3987444
173	32603.2971419
174	32603.3334285
175	32603.3527814
176	32603.2681126
177	32602.8278352
178	32602.8979893
179	32603.1592528
180	32603.9865872
181	32603.9306022
182	32603.8342229
183	32604.1462483
184	32604.6397460
185	32605.2369197
186	32605.4235365
187	32605.5106243
188	32606.6369603
189	32606.6988894
190	32607.8619958
191	32608.2297000
192	32608.2974350
193	32608.9505938
194	32610.8762025
195	32611.4325970
196	32611.4325970
197	32613.4650418
198	32613.6533368
199	32614.7637066
200	32616.2587144
201	32617.0062183
202	32617.6376051
203	32618.4867115
204	32618.6173432
205	32618.8786068
206	32619.7930290
207	32619.7930290
208	32620.4897317
209	32621.4573743
210	32622.2750322
211	32622.6717657
212	32622.8907714
213	32623.0152788
214	32623.3636302
215	32623.4507180
216	32623.7216579
217	32623.8426132
218	32624.0603328
219	32624.4086842
220	32624.7570355
221	32624.7570355
222	32625.0182990
223	32625.1133039
224	32625.1489308
225	32625.5408260
226	32625.2795625
227	32624.4957720
228	32624.7052237
229	32624.9830230
230	32625.1226574
231	32625.1133039
232	32625.1634454
233	32625.1228044
234	32624.4916604
235	32624.5248013
236	32624.9660463
237	32625.2447274
238	32625.2108089
239	32625.1489308
240	32623.8426132
241	32623.7119815
242	32623.7990693
243	32623.2475131
244	32623.4797473
245	32623.4952296
246	32623.5107118
247	32623.4507180
248	32623.2547704
249	32623.1604252
250	32622.9281910
251	32622.6669275
252	32622.6140134
253	32622.7115249
254	32622.7081796
255	32622.3121592
256	32622.3766347
257	32622.3730061
258	32621.8848877
259	32622.0573127
260	32621.9867606
261	32621.7525052
262	32621.5506198
263	32621.4186686
264	32621.5031174
265	32621.4767271
266	32621.1864343
267	32620.8380831
268	32620.8767887
269	32620.9154944
270	32620.9335571
271	32620.7074513
272	32620.8855855
273	32620.6887896
274	32620.6838131
275	32620.6798223
276	32620.4157582
277	32620.4648494
278	32620.7401092
279	32620.6348781
280	32620.5768195
281	32620.1849242
282	32620.0978364
283	32620.0107486
284	32619.9672047
285	32619.7533435
286	32620.3155560
287	32620.0542925
288	32619.2705020
289	32619.0769735
290	32619.1398702
291	32619.1072123
292	32618.7479750
293	32618.7479750
294	32618.7479750
295	32618.7212902
296	32618.7770043
297	32618.9719151
298	32619.0382678
299	32619.0382678
300	32618.9129835
301	32618.8904824
302	32618.7479750
303	32618.3560798
304	32618.2907639
305	32618.3204529
306	32617.9315266
307	32617.2372430
308	32617.2337521
309	32617.0236359
310	32616.3153215
311	32615.7553204
312	32615.3515495
313	32615.0999624
