x	y
1	0.4652988
2	0.4652767
3	0.4652264
4	0.4652268
5	0.4654219
6	0.4654061
7	0.4654053
8	0.4654086
9	0.4654576
10	0.4655480
11	0.4655160
12	0.4654205
13	0.4654215
14	0.4654213
15	0.4654490
16	0.4655047
17	0.4653988
18	0.4653741
19	0.4653660
20	0.4653738
21	0.4653463
22	0.4652551
23	0.4652461
24	0.4652910
25	0.4652711
26	0.4651801
27	0.4651478
28	0.4651797
29	0.4651313
30	0.4649447
31	0.4649247
32	0.4647139
33	0.4647928
34	0.4650892
35	0.4649479
36	0.4651013
37	0.4657438
38	0.4655977
39	0.4660554
40	0.4665513
41	0.4670542
42	0.4673996
43	0.4677749
44	0.4680879
45	0.4682364
46	0.4685064
47	0.4688321
48	0.4691431
49	0.4694010
50	0.4694736
51	0.4695428
52	0.4698911
53	0.4701722
54	0.4699945
55	0.4699651
56	0.4698998
57	0.4699547
58	0.4698168
59	0.4698173
60	0.4699053
61	0.4700031
62	0.4699287
63	0.4698901
64	0.4699229
65	0.4699521
66	0.4699856
67	0.4699081
68	0.4698986
69	0.4698941
70	0.4698866
71	0.4698747
72	0.4698574
73	0.4698145
74	0.4697495
75	0.4697518
76	0.4698841
77	0.4698946
78	0.4699065
79	0.4698302
80	0.4697920
81	0.4698357
82	0.4698346
83	0.4698857
84	0.4698693
85	0.4698656
86	0.4698188
87	0.4698157
88	0.4698182
89	0.4700004
90	0.4701728
91	0.4701794
92	0.4702273
93	0.4705534
94	0.4703788
95	0.4704049
96	0.4702203
97	0.4700411
98	0.4699190
99	0.4700498
100	0.4696995
101	0.4695312
102	0.4691102
103	0.4686336
104	0.4682887
105	0.4686438
106	0.4683410
107	0.4680013
108	0.4680605
109	0.4680359
110	0.4679147
111	0.4680347
112	0.4680405
113	0.4678811
114	0.4678968
115	0.4677070
116	0.4676434
117	0.4675397
118	0.4675180
119	0.4675688
120	0.4676556
121	0.4676541
122	0.4676530
123	0.4675039
124	0.4675846
125	0.4675740
126	0.4675127
127	0.4674579
128	0.4674579
129	0.4674304
130	0.4674276
131	0.4672590
132	0.4672339
133	0.4672598
134	0.4671097
135	0.4669265
136	0.4669838
137	0.4670397
138	0.4669661
139	0.4669418
140	0.4669206
141	0.4668816
142	0.4668398
143	0.4668271
144	0.4667603
145	0.4666145
146	0.4666308
147	0.4666086
148	0.4665931
149	0.4666241
150	0.4666152
151	0.4665871
152	0.4666023
153	0.4665596
154	0.4665183
155	0.4664149
156	0.4664533
157	0.4664241
158	0.4664174
159	0.4662543
160	0.4662437
161	0.4662428
162	0.4662484
163	0.4662615
164	0.4662550
165	0.4662108
166	0.4661868
167	0.4662421
168	0.4660849
169	0.4660493
170	0.4659852
171	0.4660471
172	0.4660720
173	0.4660748
174	0.4660397
175	0.4659569
176	0.4659151
177	0.4658760
178	0.4659504
179	0.4659719
180	0.4659435
181	0.4658940
182	0.4658649
183	0.4658658
184	0.4658017
185	0.4657980
186	0.4658840
187	0.4658749
188	0.4657969
189	0.4658102
190	0.4657996
191	0.4657431
192	0.4657238
193	0.4657124
194	0.4657121
195	0.4657363
196	0.4657537
197	0.4657316
198	0.4657357
