x	y
1	-90.4410852
2	-90.4501282
3	-90.4676190
4	-90.5105397
5	-90.5250000
6	-90.5698336
7	-90.5700000
8	-90.5735238
9	-90.5754167
10	-90.5922222
11	-90.5882222
12	-90.5876096
13	-90.6092308
14	-90.6103797
15	-90.6026389
16	-90.6006667
17	-90.5795556
18	-90.5834444
19	-90.5888579
20	-90.5788636
21	-90.6133249
22	-90.6283036
23	-90.6535714
24	-90.6637646
25	-90.6643148
26	-90.6707564
27	-90.6691873
28	-90.6733333
29	-90.6676515
30	-90.6231250
31	-90.6080556
32	-90.6092440
33	-90.6012859
34	-90.5950000
35	-90.5548214
36	-90.6100000
37	-90.5986667
38	-90.5956667
39	-90.6431250
40	-90.6987500
41	-90.7575357
42	-90.7905975
43	-90.7650000
44	-90.7870833
45	-90.7727315
46	-90.8300000
47	-90.8076667
48	-90.8275000
49	-90.8718333
50	-90.8473728
51	-90.8298650
52	-90.8183333
53	-90.8139698
54	-90.8285819
55	-90.8265647
56	-90.8236667
57	-90.8107980
58	-90.8015509
59	-90.8051409
60	-90.8044444
61	-90.7840000
62	-90.7780000
63	-90.7540518
64	-90.7496825
65	-90.7579028
66	-90.7550725
67	-90.7586111
68	-90.7498197
69	-90.7228828
70	-90.7258351
71	-90.7426683
72	-90.7487299
73	-90.7550000
74	-90.7616667
75	-90.7632778
76	-90.7507937
77	-90.7606349
78	-90.7616964
79	-90.7614919
80	-90.7637500
81	-90.7581389
82	-90.7566667
83	-90.7566970
84	-90.7562500
85	-90.7572096
86	-90.7666667
87	-90.7533333
88	-90.7544318
89	-90.7679756
90	-90.7668628
91	-90.7611542
92	-90.7825000
93	-90.8105556
94	-90.8442593
95	-90.8234722
96	-90.8300000
97	-90.8833333
98	-90.8025926
99	-90.7588889
100	-90.7530000
101	-90.7125000
102	-90.6599762
103	-90.6353889
104	-90.6433730
105	-90.6383333
106	-90.6525000
107	-90.6350000
108	-90.6309259
109	-90.6274545
110	-90.6245000
111	-90.6101091
112	-90.6241667
113	-90.6165741
114	-90.6158333
115	-90.6193519
116	-90.6001010
117	-90.6110185
118	-90.6434815
119	-90.6445453
120	-90.6430000
121	-90.6322222
122	-90.6183333
123	-90.6236196
124	-90.6466582
125	-90.6558333
126	-90.6473750
127	-90.6483610
128	-90.6379815
129	-90.6392593
130	-90.6519861
131	-90.6518360
132	-90.6451587
133	-90.6394974
134	-90.6388636
135	-90.6419048
136	-90.6540319
137	-90.6505000
138	-90.6583333
139	-90.6533333
140	-90.6416667
141	-90.6323493
142	-90.6359824
143	-90.6411607
144	-90.6603472
145	-90.6841898
146	-90.6733333
147	-90.6575000
148	-90.6413977
149	-90.6540000
150	-90.6726296
151	-90.6737069
152	-90.6700000
153	-90.6662963
154	-90.6625926
155	-90.6593043
156	-90.6595000
157	-90.6524611
158	-90.6497440
159	-90.6540294
160	-90.6515677
161	-90.6602505
162	-90.6587500
163	-90.6550000
164	-90.6557143
165	-90.6525000
166	-90.6521296
167	-90.6525447
168	-90.6539196
169	-90.6503062
170	-90.6498611
171	-90.6422903
172	-90.6436264
173	-90.6419495
174	-90.6472222
175	-90.6497407
176	-90.6499630
177	-90.6448214
178	-90.6577460
179	-90.6557143
180	-90.6524603
181	-90.6509722
182	-90.6402546
183	-90.6413841
184	-90.6427371
185	-90.6423030
186	-90.6392881
187	-90.6375556
188	-90.6367018
189	-90.6359156
190	-90.6333333
191	-90.6260714
192	-90.6364614
193	-90.6480571
194	-90.6517151
195	-90.6531790
196	-90.6483333
197	-90.6488889
198	-90.6483704
199	-90.6482407
200	-90.6325000
201	-90.6376667
202	-90.6521852
203	-90.6463483
204	-90.6376970
205	-90.6338389
206	-90.6335663
207	-90.6278824
208	-90.6358081
209	-90.6337778
210	-90.6301852
211	-90.6323864
212	-90.6306579
213	-90.6302273
214	-90.6279766
215	-90.6260000
216	-90.6237658
217	-90.6123333
218	-90.6108070
219	-90.6148228
220	-90.6064218
221	-90.6127778
222	-90.6095833
223	-90.5970728
224	-90.5972244
225	-90.5980067
226	-90.5994156
227	-90.6046667
228	-90.6052047
229	-90.6162171
230	-90.6209045
231	-90.6150000
232	-90.6024603
233	-90.6005714
234	-90.6056867
235	-90.5975397
236	-90.5741569
237	-90.5786667
238	-90.5841898
239	-90.6002222
240	-90.6097778
241	-90.6079048
242	-90.6006349
243	-90.6112500
244	-90.6034549
245	-90.6048399
246	-90.5840970
247	-90.5883333
248	-90.5797751
249	-90.5790939
250	-90.5850000
251	-90.6077778
252	-90.6152809
253	-90.5985714
254	-90.5920000
255	-90.5960458
256	-90.5950742
257	-90.6079762
258	-90.6045238
259	-90.5985185
260	-90.6025000
261	-90.5962500
262	-90.5794707
263	-90.5775556
264	-90.5611842
265	-90.5614054
266	-90.5663095
267	-90.5631680
268	-90.5595000
269	-90.5582906
270	-90.5571590
271	-90.5572070
272	-90.5637500
273	-90.5646667
274	-90.5677778
275	-90.5856259
276	-90.5860759
277	-90.5816667
278	-90.5675858
279	-90.5672221
280	-90.5680960
281	-90.5678333
282	-90.5584107
283	-90.5686124
284	-90.5784091
285	-90.5772778
286	-90.5732870
287	-90.5690741
288	-90.5706423
289	-90.5775485
290	-90.5715000
291	-90.5532407
292	-90.5545455
293	-90.5847348
294	-90.5780357
295	-90.5804545
296	-90.5784637
297	-90.5694974
298	-90.5689710
299	-90.5671385
300	-90.5650000
301	-90.5600000
302	-90.5608333
303	-90.5647037
304	-90.5704630
305	-90.5625000
306	-90.5557143
307	-90.5560526
