x	y
1	0.0427564
2	0.0427573
3	0.0427573
4	0.0427574
5	0.0427574
6	0.0427571
7	0.0427571
8	0.0427571
9	0.0427572
10	0.0427571
11	0.0427565
12	0.0427551
13	0.0427553
14	0.0427559
15	0.0427556
16	0.0427559
17	0.0427559
18	0.0427559
19	0.0427559
20	0.0427560
21	0.0427555
22	0.0427556
23	0.0427558
24	0.0427556
25	0.0427562
26	0.0427564
27	0.0427564
28	0.0427566
29	0.0427572
30	0.0427594
31	0.0427626
32	0.0427641
33	0.0427645
34	0.0427679
35	0.0427706
36	0.0427734
37	0.0427769
38	0.0427808
39	0.0427837
40	0.0427867
41	0.0427881
42	0.0427916
43	0.0427943
44	0.0427965
45	0.0427983
46	0.0428012
47	0.0428039
48	0.0428041
49	0.0428067
50	0.0428070
51	0.0428071
52	0.0428073
53	0.0428075
54	0.0428076
55	0.0428087
56	0.0428094
57	0.0428094
58	0.0428117
59	0.0428117
60	0.0428117
61	0.0428113
62	0.0428109
63	0.0428109
64	0.0428111
65	0.0428115
66	0.0428117
67	0.0428117
68	0.0428117
69	0.0428109
70	0.0428108
71	0.0428109
72	0.0428106
73	0.0428101
74	0.0428097
75	0.0428095
76	0.0428094
77	0.0428094
78	0.0428096
79	0.0428096
80	0.0428099
81	0.0428100
82	0.0428098
83	0.0428087
84	0.0428085
85	0.0428085
86	0.0428084
87	0.0428082
88	0.0428062
89	0.0428066
90	0.0428063
91	0.0428052
92	0.0428038
93	0.0428036
94	0.0428009
95	0.0427988
96	0.0427962
97	0.0427951
98	0.0427893
99	0.0427862
100	0.0427839
101	0.0427818
102	0.0427778
103	0.0427756
104	0.0427743
105	0.0427714
106	0.0427685
107	0.0427679
108	0.0427659
109	0.0427651
110	0.0427632
111	0.0427624
112	0.0427606
113	0.0427587
114	0.0427585
115	0.0427585
116	0.0427572
117	0.0427571
118	0.0427568
119	0.0427561
120	0.0427561
121	0.0427561
122	0.0427555
123	0.0427553
124	0.0427553
125	0.0427546
126	0.0427531
127	0.0427532
128	0.0427531
129	0.0427533
130	0.0427533
131	0.0427533
132	0.0427533
133	0.0427531
134	0.0427532
135	0.0427531
136	0.0427528
137	0.0427529
138	0.0427529
139	0.0427521
140	0.0427520
141	0.0427519
142	0.0427518
143	0.0427519
144	0.0427519
145	0.0427525
146	0.0427526
147	0.0427526
148	0.0427527
149	0.0427527
150	0.0427528
151	0.0427523
152	0.0427520
153	0.0427506
154	0.0427507
155	0.0427510
156	0.0427518
157	0.0427513
158	0.0427513
159	0.0427515
160	0.0427515
161	0.0427513
162	0.0427505
163	0.0427505
164	0.0427509
165	0.0427512
166	0.0427510
167	0.0427506
168	0.0427509
169	0.0427513
170	0.0427516
171	0.0427517
172	0.0427511
173	0.0427511
174	0.0427508
175	0.0427509
176	0.0427509
177	0.0427511
178	0.0427511
179	0.0427507
180	0.0427508
181	0.0427510
182	0.0427510
183	0.0427509
184	0.0427510
185	0.0427510
186	0.0427510
187	0.0427510
188	0.0427509
189	0.0427509
190	0.0427507
191	0.0427496
192	0.0427499
193	0.0427499
194	0.0427502
195	0.0427507
196	0.0427509
197	0.0427508
198	0.0427505
199	0.0427505
200	0.0427505
201	0.0427505
202	0.0427499
203	0.0427499
204	0.0427500
205	0.0427499
206	0.0427500
207	0.0427501
208	0.0427499
209	0.0427496
210	0.0427497
211	0.0427497
212	0.0427497
213	0.0427496
214	0.0427496
215	0.0427495
216	0.0427495
217	0.0427495
218	0.0427494
219	0.0427499
220	0.0427499
221	0.0427499
222	0.0427499
223	0.0427500
224	0.0427499
225	0.0427498
226	0.0427493
227	0.0427494
228	0.0427492
229	0.0427492
230	0.0427492
231	0.0427491
232	0.0427487
233	0.0427487
234	0.0427488
235	0.0427487
236	0.0427488
237	0.0427490
238	0.0427489
239	0.0427489
240	0.0427490
241	0.0427495
242	0.0427493
243	0.0427496
244	0.0427499
245	0.0427495
246	0.0427496
247	0.0427495
248	0.0427489
249	0.0427489
250	0.0427491
251	0.0427490
252	0.0427489
253	0.0427490
254	0.0427497
255	0.0427496
256	0.0427499
257	0.0427494
258	0.0427485
259	0.0427486
260	0.0427486
261	0.0427487
262	0.0427493
263	0.0427492
264	0.0427490
265	0.0427490
266	0.0427491
267	0.0427492
268	0.0427492
269	0.0427492
270	0.0427492
271	0.0427492
272	0.0427490
273	0.0427487
274	0.0427483
275	0.0427483
276	0.0427483
277	0.0427478
278	0.0427479
279	0.0427485
280	0.0427487
281	0.0427487
282	0.0427487
283	0.0427483
284	0.0427477
285	0.0427480
286	0.0427480
287	0.0427480
288	0.0427480
289	0.0427482
290	0.0427481
291	0.0427481
292	0.0427481
293	0.0427480
294	0.0427478
295	0.0427479
296	0.0427483
297	0.0427486
298	0.0427482
299	0.0427477
300	0.0427478
301	0.0427479
302	0.0427478
303	0.0427470
304	0.0427471
305	0.0427473
306	0.0427470
307	0.0427471
308	0.0427477
309	0.0427478
310	0.0427477
311	0.0427481
312	0.0427482
313	0.0427483
314	0.0427480
315	0.0427480
316	0.0427480
317	0.0427480
318	0.0427470
319	0.0427471
320	0.0427470
321	0.0427471
322	0.0427471
323	0.0427470
324	0.0427473
325	0.0427475
326	0.0427476
327	0.0427476
328	0.0427484
329	0.0427479
330	0.0427473
331	0.0427474
332	0.0427473
333	0.0427466
334	0.0427466
335	0.0427466
336	0.0427468
337	0.0427470
338	0.0427470
339	0.0427470
340	0.0427466
341	0.0427467
342	0.0427467
