x	y
1	4713.5029586
2	4712.6467132
3	4712.5839252
4	4712.5163175
5	4712.9432625
6	4713.0635994
7	4713.3367176
8	4713.3537349
9	4713.7612088
10	4713.7392904
11	4714.1147357
12	4715.3804123
13	4715.2546187
14	4714.6701626
15	4714.9091703
16	4714.5579161
17	4714.4476048
18	4714.6526470
19	4714.7227718
20	4714.1474955
21	4714.4632034
22	4714.3972183
23	4715.1187847
24	4715.2057757
25	4714.6958051
26	4714.4635709
27	4713.9773305
28	4712.8016447
29	4712.1721872
30	4710.5228464
31	4708.1424457
32	4707.6392715
33	4709.4835983
34	4707.7940943
35	4709.7651823
36	4707.9537554
37	4711.2934418
38	4713.1151610
39	4716.6337299
40	4718.4101012
41	4721.2685174
42	4722.1548780
43	4723.4524868
44	4723.9053435
45	4726.6486102
46	4727.5049739
47	4725.4206718
48	4725.4729245
49	4726.4657258
50	4727.9195414
51	4728.3090849
52	4728.4952161
53	4729.5616983
54	4730.7040004
55	4730.2435281
56	4729.8148750
57	4729.5733100
58	4727.6526924
59	4728.0158342
60	4728.0129863
61	4728.7872386
62	4729.2799069
63	4729.2343689
64	4728.9617627
65	4729.1306135
66	4729.1526610
67	4729.6456555
68	4729.7243942
69	4730.4369310
70	4730.4859867
71	4730.4846220
72	4731.5136533
73	4731.9570095
74	4732.3664983
75	4732.4386770
76	4732.5923549
77	4732.6790971
78	4732.5257488
79	4732.5521418
80	4732.2450403
81	4732.1926752
82	4733.0567314
83	4734.0227725
84	4734.4175707
85	4734.7168613
86	4734.7840653
87	4735.0308142
88	4736.1404934
89	4735.8990188
90	4736.2718158
91	4738.4495628
92	4739.0086502
93	4738.4707836
94	4740.4302599
95	4741.0616467
96	4740.8874710
97	4738.0135725
98	4739.2328022
99	4738.8655378
100	4737.3604138
101	4732.9842501
102	4731.2086260
103	4729.6293893
104	4726.8314947
105	4726.6650602
106	4728.2119981
107	4726.7792420
108	4726.1347920
109	4726.5832944
110	4727.1783946
111	4726.8977782
112	4727.0816303
113	4726.5179785
114	4726.8557219
115	4726.8538887
116	4727.3437578
117	4725.9997713
118	4725.4076086
119	4726.5276549
120	4726.5185824
121	4725.7037667
122	4726.3504688
123	4726.1260833
124	4726.4110540
125	4727.3191866
126	4728.3147380
127	4728.3528861
128	4728.3569807
129	4727.4805064
130	4727.5096362
131	4727.4923946
132	4727.5281974
133	4727.5514208
134	4727.4842387
135	4726.9948881
136	4726.9733235
137	4726.8663298
138	4726.4792728
139	4727.1512944
140	4727.6652598
141	4727.2208231
142	4726.5843311
143	4726.5448306
144	4726.6860176
145	4726.1522096
146	4725.9840562
147	4725.8561662
148	4725.8180868
149	4725.7117940
150	4724.9006418
151	4725.3678573
152	4725.6277473
153	4726.7821449
154	4727.3104778
155	4726.9488936
156	4726.2024455
157	4726.5760371
158	4726.1347920
159	4725.8357905
160	4725.8013700
161	4724.4465322
162	4725.1016553
163	4725.2655113
164	4724.6180934
165	4724.3581450
166	4725.1455709
167	4725.4013145
168	4725.1720857
169	4724.4278705
170	4723.6266624
171	4723.9380014
172	4724.4798813
173	4724.3899108
174	4724.2711124
175	4723.8981068
176	4723.8703940
177	4723.7443453
178	4723.6636748
179	4723.9154805
180	4723.7834457
181	4723.7000650
182	4723.6440800
183	4722.7925545
184	4721.7495740
185	4721.7063757
186	4721.4438759
187	4722.0398304
188	4722.0184404
189	4722.1435340
190	4722.3781416
191	4724.1368138
