x	y
1	676.0550000
2	676.0550000
3	676.0534433
4	676.0537500
5	676.0556944
6	676.0557143
7	676.0556250
8	676.0510000
9	676.0495926
10	676.0506250
11	676.0507222
12	676.0512500
13	676.0510000
14	676.0500000
15	676.0448148
16	676.0533333
17	676.0516667
18	676.0543750
19	676.0481259
20	676.0488889
21	676.0500000
22	676.0500000
23	676.0506250
24	676.0509942
25	676.0444444
26	676.0434815
27	676.0425185
28	676.0425000
29	676.0422468
30	676.0426316
31	676.0362819
32	676.0364286
33	676.0262500
34	676.0264286
35	676.0361429
36	676.0350000
37	676.0300000
38	676.0300000
39	676.0300000
40	676.0250000
41	676.0233333
42	676.0218182
43	676.0200000
44	676.0250000
45	676.0240717
46	676.0275000
47	676.0308779
48	676.0200000
49	676.0227273
50	676.0216667
51	676.0215043
52	676.0284302
53	676.0256250
54	676.0357143
55	676.0379048
56	676.0283333
57	676.0294444
58	676.0331153
59	676.0224402
60	676.0193319
61	676.0162236
62	676.0135560
63	676.0117413
64	676.0137500
65	676.0143750
66	676.0174304
67	676.0155556
68	676.0129817
69	676.0150000
70	676.0343333
71	676.0366667
72	676.0230000
73	676.0170000
74	676.0125000
75	676.0050000
76	676.0060000
77	676.0138519
78	676.0205142
79	676.0050000
80	676.0046667
81	676.0092857
82	676.0105026
83	676.0087500
84	676.0042141
85	676.0037500
86	676.0070000
87	676.0135714
88	676.0200794
89	676.0222132
90	676.0208889
91	676.0225185
92	676.0150000
93	676.0150000
94	676.0100000
95	676.0105000
96	676.0170000
97	676.0100000
98	676.0086667
99	676.0073333
100	676.0067848
101	676.0067060
102	676.0066273
103	676.0044313
104	676.0033442
105	676.0083333
106	676.0174444
107	676.0161852
108	676.0172727
109	676.0276985
110	676.0285460
111	676.0255556
112	676.0250000
113	676.0175000
114	676.0175000
115	676.0338889
116	676.0412500
117	676.0435714
118	676.0412500
119	676.0412500
120	676.0383333
121	676.0390909
122	676.0425000
123	676.0424444
124	676.0437500
125	676.0523611
126	676.0510000
127	676.0430000
128	676.0400000
129	676.0471429
130	676.0483069
131	676.0494709
132	676.0500000
133	676.0600000
134	676.0693333
135	676.0700000
136	676.0700000
137	676.0784388
138	676.0862500
139	676.0836426
140	676.0841667
141	676.0870000
142	676.0900000
143	676.0886667
144	676.0890000
145	676.0861730
146	676.0831250
147	676.0944444
148	676.1107407
149	676.1143750
150	676.1136806
151	676.1129861
152	676.1130138
153	676.1400000
154	676.1642857
155	676.1647619
156	676.1652381
157	676.2276720
158	676.2450000
159	676.3325000
160	676.3800000
161	676.5340741
162	676.6881481
163	676.8300000
164	677.0750000
165	677.3771429
166	677.7006349
167	678.0400000
168	678.5650000
169	679.0900000
170	679.7800000
171	680.4700000
172	681.3700000
173	682.4200000
174	683.4900000
175	684.6500000
176	686.0100000
177	687.5900000
178	689.0700000
179	690.5800000
180	692.3300000
181	694.3700000
182	696.2400000
183	698.4500000
184	700.6100000
185	703.1200000
186	705.4700000
187	707.6900000
188	710.2400000
189	712.8800000
190	715.4200000
191	718.1800000
192	720.7200000
193	723.4800000
194	725.9800000
195	728.4100000
196	730.5700000
197	733.2800000
198	735.4100000
199	737.5400000
200	739.6200000
201	741.5900000
