x	y
1	-0.2966449
2	-0.2966435
3	-0.2966285
4	-0.2966824
5	-0.2966987
6	-0.2966880
7	-0.2966579
8	-0.2966480
9	-0.2966493
10	-0.2966387
11	-0.2966315
12	-0.2966117
13	-0.2966138
14	-0.2966255
15	-0.2966306
16	-0.2966283
17	-0.2966649
18	-0.2966539
19	-0.2966564
20	-0.2966548
21	-0.2966350
22	-0.2966548
23	-0.2966513
24	-0.2966272
25	-0.2965916
26	-0.2965839
27	-0.2965566
28	-0.2964957
29	-0.2964721
30	-0.2964840
31	-0.2963320
32	-0.2963978
33	-0.2963584
34	-0.2963535
35	-0.2963388
36	-0.2965000
37	-0.2966026
38	-0.2967571
39	-0.2969142
40	-0.2970318
41	-0.2971551
42	-0.2972794
43	-0.2973154
44	-0.2975210
45	-0.2976415
46	-0.2978543
47	-0.2978897
48	-0.2979024
49	-0.2979195
50	-0.2978766
51	-0.2980022
52	-0.2979593
53	-0.2979893
54	-0.2980116
55	-0.2980091
56	-0.2980356
57	-0.2979776
58	-0.2980157
59	-0.2980423
60	-0.2980796
61	-0.2980780
62	-0.2980437
63	-0.2980860
64	-0.2980802
65	-0.2980761
66	-0.2981214
67	-0.2981709
68	-0.2981565
69	-0.2981289
70	-0.2981334
71	-0.2981414
72	-0.2981619
73	-0.2981623
74	-0.2981695
75	-0.2982047
76	-0.2982269
77	-0.2982091
78	-0.2981781
79	-0.2981898
80	-0.2982350
81	-0.2982881
82	-0.2982902
83	-0.2982581
84	-0.2982518
85	-0.2982713
86	-0.2982809
87	-0.2982757
88	-0.2982882
89	-0.2983487
90	-0.2984239
91	-0.2985149
92	-0.2985454
93	-0.2986330
94	-0.2986420
95	-0.2984928
96	-0.2986174
97	-0.2986061
98	-0.2986033
99	-0.2982272
100	-0.2981638
101	-0.2980720
102	-0.2980505
103	-0.2979879
104	-0.2977218
105	-0.2975457
106	-0.2973669
107	-0.2973745
108	-0.2973375
109	-0.2973541
110	-0.2974328
111	-0.2974178
112	-0.2973190
113	-0.2973695
114	-0.2974022
115	-0.2973242
116	-0.2973425
117	-0.2972993
118	-0.2972579
119	-0.2972864
120	-0.2973002
121	-0.2972947
122	-0.2972982
123	-0.2973002
124	-0.2972503
125	-0.2972625
126	-0.2972877
127	-0.2973043
128	-0.2972482
129	-0.2971745
130	-0.2971312
131	-0.2971723
132	-0.2971891
133	-0.2971873
134	-0.2971772
135	-0.2971465
136	-0.2970531
137	-0.2970229
138	-0.2970680
139	-0.2971265
140	-0.2971247
141	-0.2971027
142	-0.2970879
143	-0.2970674
144	-0.2970520
145	-0.2970114
146	-0.2969817
147	-0.2969792
148	-0.2970466
149	-0.2970267
150	-0.2970224
151	-0.2969797
152	-0.2969566
153	-0.2969561
