x	y
1	-0.0057406
2	-0.0057412
3	-0.0057423
4	-0.0057450
5	-0.0057459
6	-0.0057488
7	-0.0057488
8	-0.0057490
9	-0.0057491
10	-0.0057502
11	-0.0057499
12	-0.0057499
13	-0.0057513
14	-0.0057513
15	-0.0057508
16	-0.0057507
17	-0.0057494
18	-0.0057496
19	-0.0057500
20	-0.0057493
21	-0.0057515
22	-0.0057525
23	-0.0057541
24	-0.0057547
25	-0.0057548
26	-0.0057552
27	-0.0057551
28	-0.0057553
29	-0.0057550
30	-0.0057521
31	-0.0057512
32	-0.0057513
33	-0.0057508
34	-0.0057504
35	-0.0057478
36	-0.0057513
37	-0.0057506
38	-0.0057504
39	-0.0057534
40	-0.0057569
41	-0.0057607
42	-0.0057628
43	-0.0057611
44	-0.0057625
45	-0.0057616
46	-0.0057653
47	-0.0057639
48	-0.0057651
49	-0.0057679
50	-0.0057664
51	-0.0057653
52	-0.0057645
53	-0.0057643
54	-0.0057652
55	-0.0057651
56	-0.0057649
57	-0.0057641
58	-0.0057635
59	-0.0057637
60	-0.0057637
61	-0.0057624
62	-0.0057620
63	-0.0057605
64	-0.0057602
65	-0.0057607
66	-0.0057605
67	-0.0057607
68	-0.0057602
69	-0.0057585
70	-0.0057587
71	-0.0057597
72	-0.0057601
73	-0.0057605
74	-0.0057609
75	-0.0057610
76	-0.0057602
77	-0.0057609
78	-0.0057609
79	-0.0057609
80	-0.0057611
81	-0.0057607
82	-0.0057606
83	-0.0057606
84	-0.0057606
85	-0.0057607
86	-0.0057613
87	-0.0057604
88	-0.0057605
89	-0.0057613
90	-0.0057613
91	-0.0057609
92	-0.0057623
93	-0.0057640
94	-0.0057662
95	-0.0057649
96	-0.0057653
97	-0.0057687
98	-0.0057635
99	-0.0057608
100	-0.0057604
101	-0.0057578
102	-0.0057545
103	-0.0057529
104	-0.0057534
105	-0.0057531
106	-0.0057540
107	-0.0057529
108	-0.0057526
109	-0.0057524
110	-0.0057522
111	-0.0057513
112	-0.0057522
113	-0.0057517
114	-0.0057517
115	-0.0057519
116	-0.0057507
117	-0.0057514
118	-0.0057534
119	-0.0057535
120	-0.0057534
121	-0.0057527
122	-0.0057518
123	-0.0057522
124	-0.0057536
125	-0.0057542
126	-0.0057537
127	-0.0057537
128	-0.0057531
129	-0.0057532
130	-0.0057540
131	-0.0057540
132	-0.0057535
133	-0.0057532
134	-0.0057531
135	-0.0057533
136	-0.0057541
137	-0.0057539
138	-0.0057544
139	-0.0057541
140	-0.0057533
141	-0.0057527
142	-0.0057530
143	-0.0057533
144	-0.0057545
145	-0.0057560
146	-0.0057553
147	-0.0057543
148	-0.0057533
149	-0.0057541
150	-0.0057553
151	-0.0057554
152	-0.0057551
