x	y
1	-127.3340000
2	-127.3340000
3	-127.3096675
4	-127.3077273
5	-127.2600000
6	-127.2624444
7	-127.1935000
8	-127.1661667
9	-127.1713889
10	-127.1645000
11	-127.1071678
12	-127.0922987
13	-127.0859451
14	-127.0733512
15	-127.0560000
16	-127.0520000
17	-127.0147619
18	-127.0080159
19	-127.0008303
20	-126.9493995
21	-126.9347787
22	-126.9310989
23	-126.9352381
24	-126.9617857
25	-126.9839746
26	-126.9788760
27	-126.9818333
28	-126.9916587
29	-126.9585952
30	-126.9409524
31	-126.9435924
32	-126.9374790
33	-126.9396684
34	-126.9358333
35	-126.9331746
36	-126.9196825
37	-126.8832773
38	-126.8800000
39	-126.8842857
40	-126.8723770
41	-126.8694668
42	-126.8672253
43	-126.8608333
44	-126.8505952
45	-126.8556151
46	-126.8490860
47	-126.8376997
48	-126.8321429
49	-126.8237500
50	-126.8190522
51	-126.8139744
52	-126.8136747
53	-126.8198260
54	-126.8016667
55	-126.8057937
56	-126.8096429
57	-126.7943132
58	-126.7807143
59	-126.7676080
60	-126.7637088
61	-126.7571661
62	-126.7499636
63	-126.7535981
64	-126.7570189
65	-126.7584048
66	-126.7452381
67	-126.7423039
68	-126.7255000
69	-126.7106593
70	-126.7153948
71	-126.7070833
72	-126.6995700
73	-126.6944246
74	-126.6757857
75	-126.6680000
76	-126.6637500
77	-126.6644048
78	-126.6661310
79	-126.6529762
80	-126.6428968
81	-126.6442460
82	-126.6411765
83	-126.6453242
84	-126.6350000
85	-126.6097619
86	-126.5976190
87	-126.5825992
88	-126.5799008
89	-126.5726889
90	-126.5530067
91	-126.5285714
92	-126.5153571
93	-126.5229365
94	-126.5095833
95	-126.4805952
96	-126.5075595
97	-126.5169228
98	-126.5111765
99	-126.5180112
100	-126.5143357
101	-126.5294643
102	-126.5193953
103	-126.5100000
104	-126.5119325
105	-126.5073956
106	-126.4840476
107	-126.4809524
108	-126.4616667
109	-126.4813630
110	-126.4850000
111	-126.4788095
112	-126.4785714
113	-126.4697659
114	-126.4750000
115	-126.4816667
116	-126.4777591
117	-126.4758545
118	-126.4770027
119	-126.4719048
120	-126.4728571
121	-126.4959584
122	-126.4895433
123	-126.4835835
124	-126.4816667
125	-126.4836425
126	-126.4728295
127	-126.4758333
128	-126.4693007
129	-126.4685808
130	-126.4737302
131	-126.4657692
132	-126.4671429
133	-126.4585714
134	-126.4633333
135	-126.4710784
136	-126.4698780
137	-126.4630732
138	-126.4550000
139	-126.4745833
140	-126.4686520
141	-126.4526190
142	-126.4507692
143	-126.4421667
144	-126.4365476
145	-126.4384977
146	-126.4399296
147	-126.4407381
148	-126.4442143
149	-126.4414560
150	-126.4348077
151	-126.4393797
152	-126.4423397
153	-126.4366516
154	-126.4376471
155	-126.4404167
156	-126.4490278
157	-126.4502356
158	-126.4408333
159	-126.4461094
160	-126.4303571
161	-126.4228571
162	-126.4238535
163	-126.4179167
164	-126.4037540
165	-126.4016527
166	-126.4238095
167	-126.4231190
168	-126.4254029
169	-126.4283944
170	-126.4186264
171	-126.4142857
172	-126.4175770
173	-126.4325000
174	-126.4221569
175	-126.4230602
176	-126.4210826
177	-126.4197281
178	-126.3900000
179	-126.3819088
180	-126.3834123
181	-126.3852059
