x	y
1	514.6206667
2	514.6206667
3	514.6222008
4	514.6222727
5	514.6200000
6	514.6020000
7	514.5925000
8	514.5625000
9	514.5575000
10	514.5575000
11	514.5577273
12	514.5637013
13	514.5720000
14	514.5741488
15	514.6040000
16	514.6280000
17	514.6271429
18	514.6264286
19	514.6261538
20	514.6315000
21	514.6313751
22	514.6300000
23	514.6304762
24	514.6158333
25	514.5941667
26	514.5930000
27	514.5916667
28	514.5748413
29	514.5783333
30	514.5873810
31	514.5846429
32	514.5842857
33	514.5790816
34	514.5758333
35	514.5650000
36	514.5650000
37	514.5767227
38	514.5750000
39	514.5650000
40	514.5626230
41	514.5593427
42	514.5589286
43	514.5577381
44	514.5565476
45	514.5431349
46	514.5459140
47	514.5498003
48	514.5500000
49	514.5550000
50	514.5507692
51	514.5476923
52	514.5408791
53	514.5360073
54	514.5350000
55	514.5264286
56	514.5289286
57	514.5410714
58	514.5450000
59	514.5475000
60	514.5510294
61	514.5532143
62	514.5600570
63	514.5590000
64	514.5520476
65	514.5450952
66	514.5445000
67	514.5441667
68	514.5450000
69	514.5407692
70	514.5431767
71	514.5450000
72	514.5477911
73	514.5482143
74	514.5632143
75	514.5683333
76	514.5700000
77	514.5687500
78	514.5664286
79	514.5691667
80	514.5821032
81	514.5950397
82	514.6000000
83	514.6037500
84	514.6150000
85	514.6402381
86	514.6566667
87	514.6703175
88	514.6725000
89	514.6903571
90	514.7137500
91	514.7375000
92	514.7563095
93	514.7600000
94	514.7737500
95	514.8031548
96	514.8008333
97	514.8054167
98	514.8123529
99	514.8426891
100	514.8481643
101	514.8487500
102	514.8538190
103	514.8654167
104	514.8665675
105	514.8800000
106	514.9076190
107	514.9157143
108	514.9466667
109	514.9473870
110	514.9500000
111	514.9561905
112	514.9564286
113	514.9652341
114	514.9666667
115	514.9666667
116	514.9704762
117	514.9735714
118	514.9835714
119	514.9873810
120	514.9878571
121	514.9871369
122	514.9871234
123	514.9872101
124	514.9900000
125	514.9908333
126	515.0010434
127	515.0050000
128	515.0133333
129	515.0173016
130	515.0212698
131	515.0250000
132	515.0250000
133	515.0388095
134	515.0392857
135	515.0405882
136	515.0392857
137	515.0369268
138	515.0475000
139	515.0487500
140	515.0517647
141	515.0507143
142	515.0542308
143	515.0633333
144	515.0667857
145	515.0680769
146	515.0675000
147	515.0672619
148	515.0670238
149	515.0689286
150	515.0625000
151	515.0578181
152	515.0580769
153	515.0592308
154	515.0600000
155	515.0604167
156	515.0612500
157	515.0597644
158	515.0591667
159	515.0581763
160	515.0721429
161	515.0800000
162	515.0804322
163	515.0800000
164	515.0828992
165	515.0876331
166	515.0828571
167	515.0823810
168	515.0819048
169	515.0796825
170	515.0861538
171	515.0907143
172	515.0959524
173	515.0800000
174	515.0811765
175	515.0822969
176	515.0834174
177	515.0842857
178	515.0825000
179	515.0860714
180	515.0896429
181	515.0895000
182	515.0891667
183	515.0865476
184	515.0870698
185	515.0850000
186	515.0875000
187	515.1028571
188	515.1000840
189	515.1015385
190	515.0988462
191	515.1023077
192	515.1025000
193	515.1107143
194	515.1161525
195	515.1158603
196	515.1155682
197	515.0987175
198	515.1000000
199	515.1023810
200	515.0967857
201	515.0908333
202	515.0928571
203	515.0934874
204	515.0942857
205	515.0957143
206	515.0946339
207	515.0975000
208	515.1006152
209	515.1017647
210	515.0940555
211	515.0949139
212	515.0949713
213	515.0950000
214	515.1000000
215	515.1023529
216	515.0947899
217	515.0940000
218	515.0919231
219	515.1045833
220	515.1130197
221	515.0935000
222	515.0934640
223	515.0905200
224	515.0935714
225	515.1000000
226	515.0941176
227	515.0904202
228	515.0867227
229	515.0746218
230	515.0758824
231	515.0762465
232	515.0766106
233	515.0756250
234	515.0700972
235	515.0683333
236	515.0700000
237	515.0880952
238	515.0787500
239	515.0719643
240	515.0685714
241	515.0676190
242	515.0666667
243	515.0576190
244	515.0558730
245	515.0558970
246	515.0553571
247	515.0475000
248	515.0300000
249	515.0300000
250	515.0371429
251	515.0347158
252	515.0358824
253	515.0332143
254	515.0289286
255	515.0292857
256	515.0275000
257	515.0101923
258	515.0118066
259	515.0096296
260	515.0072962
261	515.0073333
262	515.0132137
263	515.0120000
264	515.0106667
265	515.0083333
266	515.0050000
267	515.0040476
268	515.0050000
269	515.0050000
270	514.9815385
271	514.9705128
272	514.9746429
273	514.9739286
274	514.9737338
275	514.9735390
276	514.9707035
277	514.9700000
278	514.9671429
279	514.9591667
280	514.9585714
281	514.9492674
282	514.9491611
283	514.9536961
284	514.9535714
285	514.9486264
286	514.9462500
287	514.9488235
288	514.9466667
289	514.9355556
290	514.9360000
291	514.9333333
292	514.9100000
293	514.8858974
294	514.8860000
295	514.8860000
296	514.9020990
297	514.8997381
298	514.9050000
299	514.9017767
300	514.9012500
301	514.8821944
302	514.8830767
303	514.8850000
304	514.8790927
