x	y
1	0.0356863
2	0.0356863
3	0.0356850
4	0.0356849
5	0.0356821
6	0.0356812
7	0.0356769
8	0.0356737
9	0.0356737
10	0.0356733
11	0.0356702
12	0.0356697
13	0.0356698
14	0.0356692
15	0.0356699
16	0.0356710
17	0.0356689
18	0.0356685
19	0.0356680
20	0.0356655
21	0.0356647
22	0.0356644
23	0.0356646
24	0.0356653
25	0.0356653
26	0.0356650
27	0.0356651
28	0.0356647
29	0.0356630
30	0.0356626
31	0.0356626
32	0.0356622
33	0.0356620
34	0.0356616
35	0.0356609
36	0.0356601
37	0.0356588
38	0.0356585
39	0.0356582
40	0.0356574
41	0.0356570
42	0.0356569
43	0.0356565
44	0.0356558
45	0.0356554
46	0.0356551
47	0.0356547
48	0.0356544
49	0.0356542
50	0.0356537
51	0.0356533
52	0.0356529
53	0.0356530
54	0.0356519
55	0.0356517
56	0.0356520
57	0.0356518
58	0.0356513
59	0.0356507
60	0.0356507
61	0.0356504
62	0.0356504
63	0.0356506
64	0.0356504
65	0.0356501
66	0.0356493
67	0.0356491
68	0.0356482
69	0.0356472
70	0.0356476
71	0.0356472
72	0.0356469
73	0.0356467
74	0.0356465
75	0.0356463
76	0.0356462
77	0.0356462
78	0.0356461
79	0.0356455
80	0.0356457
81	0.0356465
82	0.0356466
83	0.0356470
84	0.0356471
85	0.0356471
86	0.0356473
87	0.0356472
88	0.0356472
89	0.0356478
90	0.0356480
91	0.0356480
92	0.0356483
93	0.0356489
94	0.0356489
95	0.0356490
96	0.0356503
97	0.0356511
98	0.0356512
99	0.0356532
100	0.0356533
101	0.0356542
102	0.0356539
103	0.0356541
104	0.0356542
105	0.0356547
106	0.0356550
107	0.0356552
108	0.0356559
109	0.0356570
110	0.0356574
111	0.0356574
112	0.0356574
113	0.0356574
114	0.0356577
115	0.0356581
116	0.0356581
117	0.0356582
118	0.0356588
119	0.0356587
120	0.0356588
121	0.0356600
122	0.0356597
123	0.0356594
124	0.0356594
125	0.0356596
126	0.0356595
127	0.0356599
128	0.0356600
129	0.0356602
130	0.0356607
131	0.0356605
132	0.0356605
133	0.0356608
134	0.0356611
135	0.0356616
136	0.0356615
137	0.0356610
138	0.0356611
139	0.0356623
140	0.0356621
141	0.0356612
142	0.0356613
143	0.0356613
144	0.0356612
145	0.0356614
146	0.0356614
147	0.0356614
148	0.0356616
149	0.0356616
150	0.0356608
151	0.0356608
152	0.0356610
153	0.0356608
154	0.0356609
155	0.0356610
156	0.0356616
157	0.0356615
158	0.0356610
159	0.0356612
160	0.0356611
161	0.0356611
162	0.0356612
163	0.0356609
164	0.0356602
165	0.0356604
166	0.0356614
167	0.0356613
168	0.0356614
169	0.0356614
170	0.0356613
171	0.0356613
172	0.0356617
173	0.0356617
174	0.0356612
175	0.0356613
176	0.0356612
177	0.0356612
178	0.0356595
179	0.0356592
180	0.0356595
181	0.0356596
182	0.0356597
183	0.0356598
184	0.0356597
185	0.0356598
186	0.0356599
187	0.0356609
188	0.0356611
189	0.0356605
190	0.0356597
191	0.0356596
192	0.0356599
193	0.0356607
194	0.0356606
195	0.0356600
196	0.0356597
197	0.0356596
198	0.0356597
199	0.0356597
200	0.0356601
201	0.0356598
202	0.0356593
203	0.0356593
204	0.0356595
205	0.0356596
206	0.0356596
207	0.0356596
208	0.0356595
209	0.0356600
210	0.0356595
211	0.0356590
212	0.0356589
213	0.0356586
214	0.0356601
215	0.0356600
216	0.0356600
217	0.0356600
218	0.0356592
219	0.0356584
220	0.0356587
221	0.0356587
222	0.0356586
223	0.0356586
224	0.0356581
225	0.0356578
226	0.0356574
227	0.0356574
228	0.0356573
229	0.0356565
230	0.0356565
231	0.0356564
232	0.0356564
233	0.0356563
234	0.0356568
235	0.0356572
236	0.0356571
237	0.0356568
238	0.0356569
239	0.0356575
240	0.0356574
241	0.0356573
242	0.0356572
243	0.0356574
244	0.0356571
245	0.0356556
246	0.0356550
247	0.0356550
248	0.0356550
249	0.0356551
250	0.0356551
251	0.0356550
252	0.0356543
253	0.0356545
254	0.0356561
255	0.0356560
256	0.0356559
257	0.0356554
258	0.0356546
259	0.0356546
260	0.0356543
261	0.0356532
262	0.0356533
263	0.0356535
264	0.0356534
265	0.0356533
266	0.0356530
267	0.0356527
268	0.0356524
269	0.0356525
270	0.0356524
271	0.0356527
272	0.0356521
273	0.0356522
274	0.0356522
275	0.0356521
276	0.0356519
277	0.0356506
278	0.0356498
279	0.0356497
280	0.0356494
281	0.0356494
282	0.0356495
283	0.0356496
284	0.0356495
285	0.0356490
286	0.0356487
287	0.0356487
288	0.0356485
289	0.0356484
290	0.0356484
291	0.0356484
292	0.0356484
293	0.0356484
294	0.0356482
295	0.0356480
296	0.0356478
297	0.0356468
298	0.0356468
299	0.0356468
300	0.0356468
301	0.0356466
302	0.0356464
303	0.0356463
304	0.0356462
305	0.0356460
306	0.0356461
307	0.0356460
308	0.0356452
309	0.0356451
310	0.0356449
311	0.0356432
312	0.0356432
313	0.0356432
314	0.0356433
315	0.0356436
316	0.0356434
317	0.0356432
318	0.0356426
319	0.0356425
320	0.0356423
321	0.0356422
322	0.0356421
323	0.0356417
324	0.0356413
325	0.0356409
326	0.0356425
327	0.0356421
328	0.0356419
329	0.0356417
330	0.0356415
331	0.0356404
332	0.0356396
333	0.0356396
334	0.0356396
335	0.0356396
336	0.0356398
337	0.0356404
338	0.0356404
339	0.0356401
340	0.0356401
341	0.0356400
342	0.0356402
343	0.0356409
344	0.0356394
345	0.0356392
346	0.0356407
347	0.0356407
348	0.0356404
349	0.0356408
350	0.0356407
351	0.0356405
352	0.0356406
353	0.0356407
354	0.0356401
355	0.0356400
356	0.0356389
357	0.0356387
358	0.0356384
359	0.0356384
360	0.0356384
361	0.0356376
362	0.0356375
363	0.0356379
364	0.0356379
365	0.0356376
366	0.0356374
367	0.0356372
368	0.0356373
369	0.0356375
370	0.0356374
371	0.0356376
372	0.0356394
373	0.0356430
374	0.0356468
375	0.0356563
376	0.0356677
377	0.0356727
378	0.0356888
379	0.0357001
380	0.0357078
381	0.0357180
382	0.0357273
383	0.0357339
384	0.0357410
385	0.0357469
386	0.0357521
387	0.0357554
388	0.0357587
389	0.0357629
390	0.0357652
391	0.0357688
392	0.0357729
393	0.0357761
394	0.0357763
395	0.0357789
396	0.0357829
397	0.0357841
398	0.0357854
399	0.0357870
400	0.0357880
401	0.0357894
402	0.0357908
403	0.0357934
404	0.0357937
405	0.0357960
406	0.0357961
407	0.0357962
408	0.0357973
409	0.0357984
410	0.0357995
411	0.0358016
412	0.0358020
413	0.0358020
414	0.0358020
415	0.0358033
416	0.0358037
417	0.0358039
418	0.0358048
419	0.0358048
420	0.0358055
421	0.0358061
422	0.0358064
423	0.0358063
424	0.0358065
425	0.0358068
426	0.0358068
427	0.0358068
428	0.0358069
429	0.0358069
430	0.0358070
431	0.0358073
432	0.0358073
433	0.0358077
434	0.0358077
435	0.0358076
436	0.0358078
437	0.0358083
438	0.0358082
439	0.0358081
440	0.0358087
441	0.0358093
442	0.0358093
443	0.0358094
444	0.0358098
445	0.0358098
446	0.0358098
447	0.0358098
448	0.0358096
449	0.0358097
450	0.0358098
451	0.0358096
452	0.0358098
453	0.0358091
454	0.0358094
455	0.0358094
456	0.0358091
457	0.0358091
458	0.0358091
459	0.0358090
460	0.0358094
461	0.0358091
462	0.0358097
463	0.0358101
464	0.0358099
465	0.0358102
466	0.0358102
467	0.0358103
468	0.0358103
469	0.0358103
470	0.0358099
471	0.0358101
472	0.0358102
473	0.0358102
474	0.0358102
475	0.0358101
476	0.0358107
477	0.0358106
478	0.0358105
479	0.0358105
480	0.0358106
481	0.0358103
482	0.0358106
483	0.0358106
484	0.0358105
485	0.0358095
486	0.0358100
487	0.0358104
488	0.0358111
489	0.0358113
490	0.0358111
491	0.0358108
492	0.0358108
493	0.0358109
494	0.0358108
495	0.0358105
496	0.0358101
497	0.0358101
498	0.0358116
499	0.0358116
500	0.0358107
501	0.0358108
502	0.0358114
503	0.0358114
504	0.0358113
505	0.0358110
506	0.0358115
507	0.0358114
508	0.0358114
509	0.0358114
510	0.0358115
511	0.0358116
512	0.0358111
513	0.0358111
514	0.0358110
515	0.0358105
516	0.0358115
517	0.0358118
518	0.0358118
519	0.0358117
520	0.0358117
521	0.0358123
522	0.0358121
523	0.0358119
524	0.0358120
525	0.0358119
526	0.0358117
527	0.0358115
528	0.0358114
529	0.0358120
530	0.0358122
531	0.0358122
532	0.0358121
533	0.0358123
534	0.0358123
535	0.0358125
536	0.0358125
537	0.0358130
538	0.0358130
539	0.0358106
540	0.0358102
541	0.0358043
542	0.0357983
543	0.0357859
544	0.0357747
545	0.0357619
546	0.0357499
547	0.0357386
548	0.0357283
549	0.0357186
550	0.0357135
551	0.0357043
552	0.0356993
553	0.0356949
554	0.0356909
555	0.0356865
556	0.0356822
557	0.0356772
558	0.0356763
559	0.0356717
560	0.0356688
561	0.0356645
562	0.0356629
563	0.0356610
564	0.0356602
565	0.0356563
566	0.0356553
567	0.0356544
568	0.0356528
569	0.0356515
570	0.0356472
571	0.0356468
572	0.0356457
573	0.0356437
574	0.0356429
575	0.0356424
576	0.0356417
577	0.0356408
578	0.0356405
579	0.0356404
580	0.0356399
581	0.0356384
582	0.0356383
583	0.0356382
584	0.0356369
585	0.0356355
586	0.0356353
587	0.0356340
588	0.0356340
589	0.0356339
590	0.0356335
591	0.0356337
592	0.0356335
593	0.0356324
594	0.0356324
595	0.0356324
596	0.0356322
597	0.0356317
598	0.0356313
599	0.0356312
600	0.0356309
601	0.0356309
602	0.0356312
603	0.0356311
604	0.0356308
605	0.0356309
606	0.0356308
607	0.0356308
608	0.0356308
609	0.0356302
610	0.0356299
611	0.0356287
612	0.0356288
613	0.0356289
614	0.0356285
615	0.0356286
616	0.0356287
617	0.0356287
618	0.0356279
619	0.0356279
620	0.0356280
621	0.0356282
622	0.0356284
623	0.0356280
624	0.0356284
625	0.0356285
626	0.0356286
627	0.0356285
628	0.0356284
629	0.0356284
630	0.0356285
631	0.0356282
632	0.0356281
633	0.0356275
634	0.0356273
635	0.0356271
636	0.0356262
637	0.0356263
638	0.0356263
639	0.0356263
640	0.0356262
641	0.0356262
642	0.0356266
643	0.0356283
644	0.0356293
645	0.0356297
646	0.0356293
647	0.0356290
648	0.0356278
649	0.0356271
650	0.0356271
651	0.0356270
652	0.0356268
653	0.0356268
654	0.0356268
655	0.0356261
656	0.0356270
657	0.0356270
658	0.0356270
659	0.0356270
660	0.0356270
661	0.0356271
662	0.0356268
663	0.0356268
664	0.0356271
665	0.0356270
666	0.0356270
667	0.0356273
668	0.0356268
669	0.0356255
670	0.0356259
671	0.0356265
672	0.0356267
673	0.0356279
674	0.0356285
675	0.0356274
676	0.0356272
677	0.0356266
678	0.0356262
679	0.0356263
680	0.0356268
681	0.0356282
682	0.0356279
683	0.0356277
684	0.0356275
685	0.0356274
686	0.0356270
687	0.0356269
688	0.0356263
689	0.0356260
690	0.0356261
691	0.0356261
692	0.0356258
693	0.0356260
694	0.0356260
695	0.0356261
696	0.0356265
697	0.0356267
698	0.0356267
699	0.0356267
700	0.0356270
701	0.0356271
702	0.0356269
703	0.0356269
704	0.0356269
705	0.0356268
706	0.0356267
707	0.0356267
708	0.0356266
709	0.0356269
710	0.0356270
711	0.0356267
712	0.0356267
713	0.0356267
714	0.0356264
715	0.0356270
716	0.0356269
717	0.0356265
718	0.0356261
719	0.0356262
720	0.0356264
721	0.0356264
722	0.0356260
723	0.0356257
724	0.0356258
725	0.0356271
726	0.0356265
727	0.0356254
728	0.0356254
729	0.0356258
730	0.0356261
731	0.0356261
732	0.0356261
733	0.0356258
734	0.0356251
735	0.0356251
736	0.0356252
737	0.0356252
738	0.0356250
739	0.0356255
