Start Running : 0 sec
Injection Finished : 0 sec
Injection Start : 14 sec
Injection Finished : 194 sec
Stabilization Start : 239 sec
Stabilization End : 719 sec
Injection Finished : 719 sec
Injection Start : 731 sec
Injection Finished : 912 sec
Stabilization Start : 957 sec
Stabilization End : 1437 sec
Injection Finished : 1437 sec
Injection Start : 1450 sec
Injection Finished : 1630 sec
Stabilization Start : 1675 sec
Stabilization End : 2155 sec
Injection Finished : 2155 sec
Injection Start : 2168 sec
Injection Finished : 2348 sec
Stabilization Start : 2393 sec
Stabilization End : 2873 sec
Injection Finished : 2873 sec
Injection Start : 2886 sec
Injection Finished : 3066 sec
Stabilization Start : 3111 sec
Stabilization End : 3591 sec
Injection Finished : 3591 sec
Injection Start : 3604 sec
Injection Finished : 3784 sec
Stabilization Start : 3829 sec
Stabilization End : 4309 sec
Injection Finished : 4309 sec
Injection Start : 4322 sec
Injection Finished : 4502 sec
Stabilization Start : 4547 sec
Stabilization End : 5027 sec
Injection Finished : 5027 sec
Injection Start : 5039 sec
Injection Finished : 5220 sec
Stabilization Start : 5265 sec
Stabilization End : 5745 sec
Injection Finished : 5745 sec
Injection Start : 5758 sec
Injection Finished : 5939 sec
Stabilization Start : 5984 sec
Stabilization End : 6464 sec
Injection Finished : 6464 sec
Injection Start : 6476 sec
Injection Finished : 6657 sec
Stabilization Start : 6702 sec
Stabilization End : 7182 sec
Injection Finished : 7182 sec
Injection Start : 7194 sec
Injection Finished : 7375 sec
Stabilization Start : 7420 sec
Stabilization End : 7900 sec
Injection Finished : 7900 sec
Injection Start : 7912 sec
Injection Finished : 8093 sec
Stabilization Start : 8138 sec
Stabilization End : 8618 sec
Injection Finished : 8618 sec
Injection Start : 8630 sec
Injection Finished : 8811 sec
Stabilization Start : 8856 sec
Stabilization End : 9336 sec
Injection Finished : 9336 sec
Injection Start : 9349 sec
Injection Finished : 9529 sec
Stabilization Start : 9574 sec
Stabilization End : 10054 sec
Injection Finished : 10054 sec
Injection Start : 10067 sec
Injection Finished : 10247 sec
Stabilization Start : 10292 sec
Stabilization End : 10772 sec
Injection Finished : 10773 sec
Injection Start : 10785 sec
Injection Finished : 10965 sec
Stabilization Start : 11011 sec
Stabilization End : 11491 sec
Injection Finished : 11491 sec
Injection Start : 11504 sec
Injection Finished : 11684 sec
Stabilization Start : 11729 sec
Stabilization End : 12209 sec
Injection Finished : 12209 sec
Injection Start : 12222 sec
Injection Finished : 12402 sec
Stabilization Start : 12448 sec
Stabilization End : 12928 sec
Injection Finished : 12928 sec
Injection Start : 12940 sec
Injection Finished : 13121 sec
Stabilization Start : 13166 sec
Stabilization End : 13646 sec
Injection Finished : 13646 sec
Injection Start : 13658 sec
Injection Finished : 13839 sec
Stabilization Start : 13884 sec
Stabilization End : 14364 sec
Injection Finished : 14365 sec
Injection Start : 14377 sec
Injection Finished : 14558 sec
Stabilization Start : 14603 sec
Stabilization End : 15083 sec
Injection Finished : 15083 sec
Injection Start : 15095 sec
Injection Finished : 15276 sec
Stabilization Start : 15321 sec
Stabilization End : 15801 sec
Injection Finished : 15801 sec
Injection Start : 15813 sec
Injection Finished : 15994 sec
Stabilization Start : 16039 sec
Stabilization End : 16519 sec
Injection Finished : 16519 sec
Injection Start : 16532 sec
Injection Finished : 16712 sec
Stabilization Start : 16758 sec
Stabilization End : 17238 sec
Injection Finished : 17238 sec
Injection Start : 17251 sec
Injection Finished : 17431 sec
Stabilization Start : 17477 sec
Stabilization End : 17957 sec
Injection Finished : 17957 sec
Injection Start : 17969 sec
Injection Finished : 18150 sec
Stabilization Start : 18195 sec
Stabilization End : 18675 sec
Injection Finished : 18675 sec
Injection Start : 18688 sec
Injection Finished : 18868 sec
Stabilization Start : 18914 sec
Stabilization End : 19394 sec
Injection Finished : 19394 sec
Injection Start : 19406 sec
Injection Finished : 19587 sec
Stabilization Start : 19632 sec
Stabilization End : 20112 sec
Injection Finished : 20112 sec
Injection Start : 20125 sec
Injection Finished : 20305 sec
Stabilization Start : 20351 sec
Stabilization End : 20831 sec
Injection Finished : 20831 sec
Injection Start : 20843 sec
Injection Finished : 21024 sec
Stabilization Start : 21069 sec
Stabilization End : 21549 sec
Injection Finished : 21549 sec
Injection Start : 21561 sec
Injection Finished : 21742 sec
Stabilization Start : 21787 sec
Stabilization End : 22267 sec
Injection Finished : 22268 sec
Injection Start : 22280 sec
Injection Finished : 22461 sec
Stabilization Start : 22506 sec
Stabilization End : 22986 sec
Injection Finished : 22986 sec
Injection Start : 22999 sec
Injection Finished : 23180 sec
Stabilization Start : 23225 sec
Stabilization End : 23705 sec
Injection Finished : 23705 sec
Injection Start : 23718 sec
Injection Finished : 23898 sec
Stabilization Start : 23944 sec
Stabilization End : 24424 sec
Injection Finished : 24424 sec
Injection Start : 24436 sec
Injection Finished : 24617 sec
Stabilization Start : 24662 sec
Stabilization End : 25142 sec
Injection Finished : 25142 sec
Injection Start : 25155 sec
Injection Finished : 25336 sec
Stabilization Start : 25381 sec
Stabilization End : 25861 sec
Injection Finished : 25861 sec
Injection Start : 25874 sec
Injection Finished : 26054 sec
Stabilization Start : 26099 sec
Stabilization End : 26579 sec
Injection Finished : 26580 sec
Injection Start : 26592 sec
Injection Finished : 26773 sec
Stabilization Start : 26818 sec
Stabilization End : 27298 sec
Injection Finished : 27298 sec
Injection Start : 27311 sec
Injection Finished : 27491 sec
Stabilization Start : 27537 sec
Stabilization End : 28017 sec
Injection Finished : 28017 sec
Injection Start : 28029 sec
Injection Finished : 28210 sec
Stabilization Start : 28255 sec
Stabilization End : 28735 sec
Injection Finished : 28735 sec
Injection Start : 28749 sec
Injection Finished : 28929 sec
Stabilization Start : 28974 sec
Stabilization End : 29454 sec
Injection Finished : 29455 sec
Injection Start : 29467 sec
Injection Finished : 29648 sec
Stabilization Start : 29693 sec
Stabilization End : 30173 sec
Injection Finished : 30173 sec
Injection Start : 30186 sec
Injection Finished : 30367 sec
Stabilization Start : 30412 sec
Stabilization End : 30892 sec
Injection Finished : 30892 sec
Injection Start : 30905 sec
Injection Finished : 31085 sec
Stabilization Start : 31130 sec
Stabilization End : 31610 sec
Injection Finished : 31611 sec
Injection Start : 31623 sec
Injection Finished : 31804 sec
Stabilization Start : 31849 sec
Stabilization End : 32329 sec
Injection Finished : 32329 sec
Injection Start : 32342 sec
Injection Finished : 32522 sec
Stabilization Start : 32568 sec
Stabilization End : 33048 sec
Injection Finished : 33048 sec
Injection Start : 33060 sec
Injection Finished : 33241 sec
Stabilization Start : 33287 sec
Stabilization End : 33767 sec
Injection Finished : 33767 sec
Injection Start : 33779 sec
Injection Finished : 33960 sec
Stabilization Start : 34005 sec
Stabilization End : 34485 sec
Injection Finished : 34485 sec
Injection Start : 34499 sec
Injection Finished : 34679 sec
Stabilization Start : 34725 sec
Stabilization End : 35205 sec
Injection Finished : 35205 sec
Injection Start : 35218 sec
Injection Finished : 35398 sec
Stabilization Start : 35444 sec
Stabilization End : 35924 sec
Injection Finished : 35924 sec
Injection Start : 35936 sec
Injection Finished : 36117 sec
Stabilization Start : 36162 sec
Stabilization End : 36642 sec
Injection Finished : 36643 sec
Injection Start : 36655 sec
Injection Finished : 36836 sec
Stabilization Start : 36882 sec
Stabilization End : 37362 sec
Injection Finished : 37362 sec
Injection Start : 37374 sec
Injection Finished : 37555 sec
Stabilization Start : 37601 sec
Stabilization End : 38081 sec
Injection Finished : 38081 sec
Injection Start : 38093 sec
Injection Finished : 38274 sec
Stabilization Start : 38319 sec
Stabilization End : 38799 sec
Injection Finished : 38800 sec
Injection Start : 38812 sec
Injection Finished : 38993 sec
Stabilization Start : 39038 sec
Stabilization End : 39518 sec
Injection Finished : 39518 sec
Injection Start : 39531 sec
Injection Finished : 39712 sec
Stabilization Start : 39757 sec
Stabilization End : 40237 sec
Injection Finished : 40238 sec
Injection Start : 40251 sec
Injection Finished : 40432 sec
Stabilization Start : 40477 sec
Stabilization End : 40957 sec
Injection Finished : 40957 sec
Injection Start : 40970 sec
Injection Finished : 41151 sec
Stabilization Start : 41196 sec
Stabilization End : 41676 sec
Injection Finished : 41676 sec
Injection Start : 41689 sec
Injection Finished : 41870 sec
Stabilization Start : 41915 sec
Stabilization End : 42395 sec
Injection Finished : 42395 sec
Injection Start : 42408 sec
Injection Finished : 42589 sec
Stabilization Start : 42634 sec
Stabilization End : 43114 sec
Injection Finished : 43114 sec
Injection Start : 43127 sec
Injection Finished : 43308 sec
Stabilization Start : 43354 sec
Stabilization End : 43834 sec
Injection Finished : 43834 sec
Injection Start : 43846 sec
Injection Finished : 44027 sec
Stabilization Start : 44073 sec
Stabilization End : 44553 sec
Injection Finished : 44553 sec
Injection Start : 44565 sec
Injection Finished : 44746 sec
Stabilization Start : 44792 sec
Stabilization End : 45272 sec
Injection Finished : 45272 sec
Injection Start : 45285 sec
Injection Finished : 45465 sec
Stabilization Start : 45511 sec
Stabilization End : 45991 sec
Injection Finished : 45991 sec
Injection Start : 46004 sec
Injection Finished : 46185 sec
Stabilization Start : 46231 sec
Stabilization End : 46711 sec
Injection Finished : 46711 sec
Injection Start : 46724 sec
Injection Finished : 46904 sec
Stabilization Start : 46950 sec
Stabilization End : 47430 sec
Injection Finished : 47430 sec
Injection Start : 47443 sec
Injection Finished : 47624 sec
Stabilization Start : 47669 sec
Stabilization End : 48149 sec
Injection Finished : 48150 sec
Injection Start : 48162 sec
Injection Finished : 48343 sec
Stabilization Start : 48389 sec
Stabilization End : 48869 sec
Injection Finished : 48869 sec
Injection Start : 48882 sec
Injection Finished : 49062 sec
Stabilization Start : 49108 sec
Stabilization End : 49588 sec
Injection Finished : 49588 sec
Injection Start : 49601 sec
Injection Finished : 49781 sec
Stabilization Start : 49827 sec
Stabilization End : 50307 sec
Injection Finished : 50307 sec
Injection Start : 50320 sec
Injection Finished : 50501 sec
Stabilization Start : 50546 sec
Stabilization End : 51026 sec
Injection Finished : 51026 sec
Injection Start : 51039 sec
Injection Finished : 51220 sec
Stabilization Start : 51266 sec
Stabilization End : 51746 sec
Injection Finished : 51746 sec
Injection Start : 51759 sec
Injection Finished : 51940 sec
Stabilization Start : 51986 sec
