x	y
1	34278.1359643
2	34278.1359643
3	34277.9877000
4	34278.0186692
5	34277.9470000
6	34277.9724375
7	34277.8656000
8	34277.4382500
9	34277.5400000
10	34277.8113333
11	34278.0826667
12	34278.9305833
13	34280.1855000
14	34280.6783364
15	34280.7960000
16	34281.0673333
17	34281.0308077
18	34280.9995000
19	34280.9681923
20	34281.3701297
21	34281.2677500
22	34281.3047500
23	34282.0170000
24	34281.9437400
25	34281.9152500
26	34281.6507000
27	34281.6608750
28	34281.6608750
29	34281.6608750
30	34282.6105417
31	34283.0452105
32	34283.1094737
33	34283.2888750
34	34283.3277428
35	34283.4089400
36	34283.4822000
37	34283.5127250
38	34283.3944748
39	34283.9436768
40	34283.9248125
41	34284.1537500
42	34284.2716393
43	34284.2771989
44	34284.2215833
45	34283.1318261
46	34282.9867011
47	34283.4056514
48	34284.5720556
49	34284.8886189
50	34284.6255000
51	34283.6820000
52	34282.6312183
53	34283.9913413
54	34284.0316500
55	34284.1537500
56	34283.8145833
57	34283.8058868
58	34284.0833077
59	34283.7582377
60	34284.4268684
61	34284.4590000
62	34284.8151250
63	34284.6810000
64	34283.3736667
65	34283.4124286
66	34283.7806667
67	34283.8485000
68	34284.8999167
69	34284.7642500
70	34284.6770357
71	34284.1198333
72	34284.1085278
73	34284.1232250
74	34284.1213076
75	34284.6468462
76	34284.4069616
77	34284.2285911
78	34284.5040048
79	34284.7365000
80	34284.6299400
81	34284.3650880
82	34284.3369000
83	34284.1537500
84	34284.2527500
85	34283.9785618
86	34283.9706000
87	34284.1155938
88	34284.0392812
89	34284.0011250
90	34283.9706000
91	34283.8892000
92	34283.8078000
93	34283.5432500
94	34283.7077294
95	34284.0910206
96	34284.3024235
97	34284.0982500
98	34283.3055962
99	34283.3319231
100	34283.3601000
101	34283.3397500
102	34282.0170000
103	34281.8824615
104	34282.6744615
105	34282.7996923
106	34282.5693571
107	34281.4646429
108	34281.0334167
109	34281.1012500
110	34281.1452949
111	34281.0402000
112	34281.0308077
113	34280.9784560
114	34281.0788187
115	34281.1791813
116	34281.8117271
117	34282.1914286
118	34281.8216400
119	34281.6466300
120	34281.4716200
121	34281.5239038
122	34282.3613846
123	34281.8505000
124	34281.6507000
125	34281.8643750
126	34282.1391000
127	34281.7643472
128	34281.7117500
129	34281.7844286
130	34283.2380000
131	34283.1769500
132	34282.7631667
133	34283.1616875
134	34283.0683344
135	34282.6954156
136	34282.9836250
137	34282.8332899
138	34282.8600714
139	34282.6169286
140	34282.6275000
141	34282.5442500
142	34282.6275000
143	34282.6628927
144	34282.8623077
145	34282.4934188
146	34282.9866176
147	34283.3906250
148	34284.5970893
149	34284.6240114
150	34284.4318687
151	34284.4590000
152	34284.4120385
